rowname	Df	Sum Sq	Mean Sq	F value	Pr(>F)	gene
combined_fixed$harmonized_diagnosis	34	117751.82129486428	3463.288861613655	11.511088615771952	1.3005178727071263e-44	SLC7A5
Residuals                          	530	159458.68874124228	300.86545045517414	NA	NA	SLC7A5
combined_fixed$harmonized_diagnosis	34	5165.579278190574	151.92880229972275	4.972767330982867	1.0722117521493405e-16	FOLH1
Residuals                          	530	16192.646842163402	30.552163853138495	NA	NA	FOLH1
combined_fixed$harmonized_diagnosis	34	3546.4768359873065	104.30814223492078	7.561237990067594	2.7496246454518692e-28	BRAF
Residuals                          	530	7311.410572862263	13.795114288419363	NA	NA	BRAF
combined_fixed$harmonized_diagnosis	34	15258.763172060431	448.78715211942443	13.090266526785232	1.2326025444544309e-50	NRAS
Residuals                          	530	18170.538402452912	34.28403472160927	NA	NA	NRAS
combined_fixed$harmonized_diagnosis	34	1811644.2382448616	53283.65406602534	7.03591391759205	5.554938876013877e-26	PEBP1
Residuals                          	530	4013741.0698535545	7573.096358214254	NA	NA	PEBP1
combined_fixed$harmonized_diagnosis	34	103734.39219934629	3051.011535274891	9.271078456544865	1.4076319457125955e-35	MAPK1
Residuals                          	530	174417.26130083113	329.0891722657191	NA	NA	MAPK1
combined_fixed$harmonized_diagnosis	34	110967.23547309061	3263.7422197967826	9.989078549666054	1.5437559475143872e-38	MAPK3
Residuals                          	530	173167.46163239685	326.7310596837676	NA	NA	MAPK3
combined_fixed$harmonized_diagnosis	34	29970.902452521295	881.4971309565087	7.409483233690017	1.265509393601341e-27	MAP2K1
Residuals                          	530	63053.44983880627	118.96877328076656	NA	NA	MAP2K1
combined_fixed$harmonized_diagnosis	34	104245.5654320995	3066.0460421205735	12.824456409296268	1.2171522224813173e-49	MAP2K2
Residuals                          	530	126711.36697427278	239.0780508948543	NA	NA	MAP2K2
combined_fixed$harmonized_diagnosis	34	8691.436348226674	255.63048083019632	5.268316911259476	4.834213732770538e-18	SLC1A5
Residuals                          	530	25716.78149248132	48.52222923109683	NA	NA	SLC1A5
combined_fixed$harmonized_diagnosis	34	523581.1921952431	15399.446829271856	11.854867875958838	6.013004663091123e-46	SLC3A2
Residuals                          	530	688468.8133948479	1298.9977611223546	NA	NA	SLC3A2
combined_fixed$harmonized_diagnosis	34	4512.598335574838	132.72348045808346	6.00240781911303	2.2818959920814255e-21	SLC7A11
Residuals                          	530	11719.204486372073	22.111706578060517	NA	NA	SLC7A11
combined_fixed$harmonized_diagnosis	34	6.00415490661024	0.1765927913708894	4.871800137008907	3.093959580694811e-16	SLC6A14
Residuals                          	530	19.211416066841057	0.036247954843096335	NA	NA	SLC6A14
