pathway_description	pvalue	hub_gene	comparison
KEGG_LINOLEIC_ACID_METABOLISM	0.001996007984031936	PLA2G4B	cluster1_vs_cluster2
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.001996007984031936	CHSY3	cluster1_vs_cluster2
KEGG_GLYCEROLIPID_METABOLISM	0.003992015968063872	GPAT4	cluster1_vs_cluster2
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.017964071856287425	UGDH	cluster1_vs_cluster2
KEGG_ENDOMETRIAL_CANCER	0.017964071856287425	AXIN1	cluster1_vs_cluster2
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.027944111776447105	PANK1	cluster1_vs_cluster2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.027944111776447105	OXCT1	cluster1_vs_cluster2
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.027944111776447105	CALM3	cluster1_vs_cluster2
KEGG_TYPE_II_DIABETES_MELLITUS	0.027944111776447105	MTOR	cluster1_vs_cluster2
KEGG_THYROID_CANCER	0.027944111776447105	MAP2K1	cluster1_vs_cluster2
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.029940119760479042	PLA2G4B	cluster1_vs_cluster2
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.031936127744510975	LCP2	cluster1_vs_cluster2
KEGG_BASAL_CELL_CARCINOMA	0.031936127744510975	SUFU	cluster1_vs_cluster2
KEGG_DILATED_CARDIOMYOPATHY	0.033932135728542916	ITGA9	cluster1_vs_cluster2
KEGG_STEROID_BIOSYNTHESIS	0.043912175648702596	CYP51A1	cluster1_vs_cluster2
KEGG_GALACTOSE_METABOLISM	0.04590818363273453	GALE	cluster1_vs_cluster2
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.04790419161676647	B3GALT1	cluster1_vs_cluster2
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.0499001996007984	RASSF1	cluster1_vs_cluster2
