pathway_description	pvalue	hub_gene	comparison
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.001996007984031936	PPCDC	cluster2_vs_cluster3
KEGG_SELENOAMINO_ACID_METABOLISM	0.001996007984031936	GGT7	cluster2_vs_cluster3
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.001996007984031936	RAB11B	cluster2_vs_cluster3
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.003992015968063872	MAP3K14	cluster2_vs_cluster3
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.007984031936127744	PLCG1	cluster2_vs_cluster3
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.00998003992015968	PIK3AP1	cluster2_vs_cluster3
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.00998003992015968	MAPK13	cluster2_vs_cluster3
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.011976047904191617	ALDOA	cluster2_vs_cluster3
KEGG_THYROID_CANCER	0.011976047904191617	MAP2K1	cluster2_vs_cluster3
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.013972055888223553	TAF1	cluster2_vs_cluster3
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.013972055888223553	GGT7	cluster2_vs_cluster3
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.01996007984031936	IARS2	cluster2_vs_cluster3
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.021956087824351298	CSK	cluster2_vs_cluster3
KEGG_PRION_DISEASES	0.021956087824351298	ELK1	cluster2_vs_cluster3
KEGG_GALACTOSE_METABOLISM	0.029940119760479042	GAA	cluster2_vs_cluster3
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.033932135728542916	ACO2	cluster2_vs_cluster3
KEGG_PROTEIN_EXPORT	0.033932135728542916	SRP9	cluster2_vs_cluster3
KEGG_ACUTE_MYELOID_LEUKEMIA	0.033932135728542916	IKBKG	cluster2_vs_cluster3
KEGG_RNA_DEGRADATION	0.03792415169660679	EXOSC9	cluster2_vs_cluster3
KEGG_MISMATCH_REPAIR	0.03792415169660679	RFC3	cluster2_vs_cluster3
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.03992015968063872	UCKL1	cluster2_vs_cluster3
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.041916167664670656	GUSB	cluster2_vs_cluster3
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.0499001996007984	CD14	cluster2_vs_cluster3
