pathway_description	pvalue	hub_gene	comparison
KEGG_N_GLYCAN_BIOSYNTHESIS	0.001996007984031936	RFT1	cluster2_vs_cluster3
KEGG_GLYCEROLIPID_METABOLISM	0.001996007984031936	DGKQ	cluster2_vs_cluster3
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.001996007984031936	PIGF	cluster2_vs_cluster3
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.001996007984031936	DGKQ	cluster2_vs_cluster3
KEGG_ETHER_LIPID_METABOLISM	0.001996007984031936	PAFAH2	cluster2_vs_cluster3
KEGG_RIBOFLAVIN_METABOLISM	0.001996007984031936	RFK	cluster2_vs_cluster3
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.001996007984031936	NT5C3A	cluster2_vs_cluster3
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.001996007984031936	FARSB	cluster2_vs_cluster3
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.001996007984031936	TBP	cluster2_vs_cluster3
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.001996007984031936	SEC22B	cluster2_vs_cluster3
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.001996007984031936	COX5A	cluster2_vs_cluster3
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.001996007984031936	ATP1B1	cluster2_vs_cluster3
KEGG_PRIMARY_IMMUNODEFICIENCY	0.001996007984031936	BTK	cluster2_vs_cluster3
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.001996007984031936	PGK1	cluster2_vs_cluster3
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.001996007984031936	DLD	cluster2_vs_cluster3
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.001996007984031936	PRPS2	cluster2_vs_cluster3
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.001996007984031936	AKR1B1	cluster2_vs_cluster3
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.001996007984031936	AKR1B1	cluster2_vs_cluster3
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.001996007984031936	ALDH3A2	cluster2_vs_cluster3
KEGG_FATTY_ACID_METABOLISM	0.001996007984031936	CPT2	cluster2_vs_cluster3
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.001996007984031936	HSD17B7	cluster2_vs_cluster3
KEGG_OXIDATIVE_PHOSPHORYLATION	0.001996007984031936	NDUFA8	cluster2_vs_cluster3
KEGG_PURINE_METABOLISM	0.001996007984031936	POLR3B	cluster2_vs_cluster3
KEGG_PYRIMIDINE_METABOLISM	0.001996007984031936	DTYMK	cluster2_vs_cluster3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.001996007984031936	GLS2	cluster2_vs_cluster3
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.001996007984031936	PSPH	cluster2_vs_cluster3
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.001996007984031936	DNMT3B	cluster2_vs_cluster3
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.001996007984031936	ACAD8	cluster2_vs_cluster3
KEGG_LYSINE_DEGRADATION	0.001996007984031936	DOT1L	cluster2_vs_cluster3
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.001996007984031936	GOT1	cluster2_vs_cluster3
KEGG_BETA_ALANINE_METABOLISM	0.001996007984031936	HIBCH	cluster2_vs_cluster3
KEGG_SELENOAMINO_ACID_METABOLISM	0.001996007984031936	CTH	cluster2_vs_cluster3
KEGG_GLUTATHIONE_METABOLISM	0.001996007984031936	PGD	cluster2_vs_cluster3
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.001996007984031936	PIK3CB	cluster2_vs_cluster3
KEGG_PYRUVATE_METABOLISM	0.001996007984031936	DLD	cluster2_vs_cluster3
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.001996007984031936	ACO1	cluster2_vs_cluster3
KEGG_PROPANOATE_METABOLISM	0.001996007984031936	MCEE	cluster2_vs_cluster3
KEGG_BUTANOATE_METABOLISM	0.001996007984031936	OXCT1	cluster2_vs_cluster3
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.001996007984031936	SHMT2	cluster2_vs_cluster3
KEGG_FOLATE_BIOSYNTHESIS	0.001996007984031936	GGH	cluster2_vs_cluster3
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.001996007984031936	ALAS1	cluster2_vs_cluster3
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.001996007984031936	HMGCR	cluster2_vs_cluster3
KEGG_NITROGEN_METABOLISM	0.001996007984031936	CTH	cluster2_vs_cluster3
KEGG_SULFUR_METABOLISM	0.001996007984031936	SUOX	cluster2_vs_cluster3
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.001996007984031936	GSTK1	cluster2_vs_cluster3
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.001996007984031936	ELOVL5	cluster2_vs_cluster3
KEGG_RIBOSOME	0.001996007984031936	RPL11	cluster2_vs_cluster3
KEGG_RNA_DEGRADATION	0.001996007984031936	EXOSC9	cluster2_vs_cluster3
KEGG_RNA_POLYMERASE	0.001996007984031936	POLR2B	cluster2_vs_cluster3
KEGG_SPLICEOSOME	0.001996007984031936	SNRPC	cluster2_vs_cluster3
KEGG_PROTEASOME	0.001996007984031936	PSMB1	cluster2_vs_cluster3
KEGG_PROTEIN_EXPORT	0.001996007984031936	SRPRB	cluster2_vs_cluster3
KEGG_PPAR_SIGNALING_PATHWAY	0.001996007984031936	ACSL3	cluster2_vs_cluster3
KEGG_BASE_EXCISION_REPAIR	0.001996007984031936	PCNA	cluster2_vs_cluster3
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.001996007984031936	PCNA	cluster2_vs_cluster3
KEGG_MAPK_SIGNALING_PATHWAY	0.001996007984031936	PPP3CB	cluster2_vs_cluster3
KEGG_ERBB_SIGNALING_PATHWAY	0.001996007984031936	MAPK8	cluster2_vs_cluster3
KEGG_CALCIUM_SIGNALING_PATHWAY	0.001996007984031936	CACNA1C	cluster2_vs_cluster3
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.001996007984031936	GRB2	cluster2_vs_cluster3
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.001996007984031936	GLRB	cluster2_vs_cluster3
KEGG_P53_SIGNALING_PATHWAY	0.001996007984031936	SESN2	cluster2_vs_cluster3
