pathway_description	pvalue	hub_gene	comparison
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.001996007984031936	GLUD2	cluster3_vs_cluster4
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.003992015968063872	PYCARD	cluster3_vs_cluster4
KEGG_O_GLYCAN_BIOSYNTHESIS	0.005988023952095809	C1GALT1C1	cluster3_vs_cluster4
KEGG_PHENYLALANINE_METABOLISM	0.005988023952095809	GOT1	cluster3_vs_cluster4
KEGG_REGULATION_OF_AUTOPHAGY	0.005988023952095809	PIK3R4	cluster3_vs_cluster4
KEGG_PRIMARY_IMMUNODEFICIENCY	0.00998003992015968	IL2RG	cluster3_vs_cluster4
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.011976047904191617	IFNGR1	cluster3_vs_cluster4
KEGG_LINOLEIC_ACID_METABOLISM	0.013972055888223553	PLA2G6	cluster3_vs_cluster4
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.013972055888223553	PDHB	cluster3_vs_cluster4
KEGG_TYROSINE_METABOLISM	0.013972055888223553	GOT2	cluster3_vs_cluster4
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.015968063872255488	PIGC	cluster3_vs_cluster4
KEGG_PYRUVATE_METABOLISM	0.017964071856287425	PDHB	cluster3_vs_cluster4
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.017964071856287425	CD33	cluster3_vs_cluster4
KEGG_LYSOSOME	0.01996007984031936	M6PR	cluster3_vs_cluster4
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.01996007984031936	ATIC	cluster3_vs_cluster4
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.021956087824351298	PLA2G6	cluster3_vs_cluster4
KEGG_APOPTOSIS	0.021956087824351298	IRAK4	cluster3_vs_cluster4
KEGG_CALCIUM_SIGNALING_PATHWAY	0.023952095808383235	PPP3CB	cluster3_vs_cluster4
KEGG_P53_SIGNALING_PATHWAY	0.02594810379241517	APAF1	cluster3_vs_cluster4
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.027944111776447105	ST3GAL3	cluster3_vs_cluster4
KEGG_FOCAL_ADHESION	0.027944111776447105	RHOA	cluster3_vs_cluster4
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.029940119760479042	PPCS	cluster3_vs_cluster4
KEGG_STEROID_BIOSYNTHESIS	0.029940119760479042	FDFT1	cluster3_vs_cluster4
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.029940119760479042	IPPK	cluster3_vs_cluster4
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.031936127744510975	IFNGR1	cluster3_vs_cluster4
KEGG_MTOR_SIGNALING_PATHWAY	0.031936127744510975	STK11	cluster3_vs_cluster4
KEGG_PANCREATIC_CANCER	0.03592814371257485	CDC42	cluster3_vs_cluster4
KEGG_GLUTATHIONE_METABOLISM	0.03992015968063872	GSTK1	cluster3_vs_cluster4
KEGG_PROTEIN_EXPORT	0.04790419161676647	SPCS1	cluster3_vs_cluster4
