pathway_description	pvalue	hub_gene	comparison
KEGG_RIBOSOME	0.003992015968063872	RPS25	cluster1_vs_cluster3
KEGG_LONG_TERM_DEPRESSION	0.003992015968063872	GNAO1	cluster1_vs_cluster3
KEGG_PYRUVATE_METABOLISM	0.00998003992015968	ACACB	cluster1_vs_cluster3
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.00998003992015968	EHHADH	cluster1_vs_cluster3
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.011976047904191617	WWP1	cluster1_vs_cluster3
KEGG_SPHINGOLIPID_METABOLISM	0.013972055888223553	GBA	cluster1_vs_cluster3
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.013972055888223553	HSD17B8	cluster1_vs_cluster3
KEGG_BETA_ALANINE_METABOLISM	0.015968063872255488	HIBCH	cluster1_vs_cluster3
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.017964071856287425	BHLHE41	cluster1_vs_cluster3
KEGG_LONG_TERM_POTENTIATION	0.017964071856287425	ADCY1	cluster1_vs_cluster3
KEGG_VIBRIO_CHOLERAE_INFECTION	0.017964071856287425	KDELR2	cluster1_vs_cluster3
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.021956087824351298	B4GALNT1	cluster1_vs_cluster3
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.023952095808383235	PANK1	cluster1_vs_cluster3
KEGG_BUTANOATE_METABOLISM	0.023952095808383235	HMGCL	cluster1_vs_cluster3
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.023952095808383235	GABBR2	cluster1_vs_cluster3
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.027944111776447105	VARS2	cluster1_vs_cluster3
KEGG_ERBB_SIGNALING_PATHWAY	0.027944111776447105	ABL2	cluster1_vs_cluster3
KEGG_GLIOMA	0.027944111776447105	CALM1	cluster1_vs_cluster3
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.029940119760479042	PNP	cluster1_vs_cluster3
KEGG_ENDOMETRIAL_CANCER	0.029940119760479042	ERBB2	cluster1_vs_cluster3
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.031936127744510975	PIGM	cluster1_vs_cluster3
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.031936127744510975	GLI2	cluster1_vs_cluster3
KEGG_ALZHEIMERS_DISEASE	0.031936127744510975	MAPT	cluster1_vs_cluster3
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.033932135728542916	ALDH6A1	cluster1_vs_cluster3
KEGG_TRYPTOPHAN_METABOLISM	0.033932135728542916	EHHADH	cluster1_vs_cluster3
KEGG_ECM_RECEPTOR_INTERACTION	0.033932135728542916	COL1A2	cluster1_vs_cluster3
KEGG_PARKINSONS_DISEASE	0.033932135728542916	MT-ATP6	cluster1_vs_cluster3
KEGG_ETHER_LIPID_METABOLISM	0.03792415169660679	PLD1	cluster1_vs_cluster3
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.03992015968063872	TK2	cluster1_vs_cluster3
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.041916167664670656	DGKZ	cluster1_vs_cluster3
KEGG_BASAL_CELL_CARCINOMA	0.041916167664670656	FZD2	cluster1_vs_cluster3
KEGG_OXIDATIVE_PHOSPHORYLATION	0.043912175648702596	MT-ND5	cluster1_vs_cluster3
KEGG_GAP_JUNCTION	0.043912175648702596	TUBB2A	cluster1_vs_cluster3
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.043912175648702596	RARB	cluster1_vs_cluster3
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.04590818363273453	MDH1	cluster1_vs_cluster3
KEGG_THYROID_CANCER	0.0499001996007984	TCF7L2	cluster1_vs_cluster3
