"pathway"	"1"	"2"	"3"
"M1"	3.14832975501007	-3.23556863844682	1.60681614192875
"M2"	2.56461204713202	-1.79826102009106	0.890750037954552
"M3"	-5.01613413732719	-1.31929666889645	2.74191690497263
"M4"	-5.50815524436405	NA	NA
"M5"	2.89429898644123	-1.74948566292147	NA
"M6"	-1.70982540989777	-1.89154408503361	2.05161416872431
"M7"	1.655826392999	1.98093471591525	NA
"M8"	-3.2433353194883	5.29548198071236	NA
"M9"	1.62028031585896	-1.01844326767498	NA
"Not.Correlated"	-1.70008784297103	3.95834643285187	NA
