"pathway"	"1"	"2"	"3"
"M1"	2.53413744726099e-52	2.36575876571755e-72	4.61277668261162e-13
"M2"	1.12003085436464e-26	2.30870448051413e-09	0.877122877122877
"M3"	4.3055750154647e-88	0.0191128869119192	9.85863653479169e-108
"M4"	6.12635428929572e-118	NA	NA
"M5"	5.60423415691946e-28	8.54061590793578e-06	NA
"M6"	0.000775251435405928	4.34713135405932e-05	1.11739270612281e-14
"M7"	0.00376158681982093	0.000143797822918581	NA
"M8"	3.68029663750835e-15	1.51507146965574e-32	NA
"M9"	0.0110993624809702	0.462354188759279	NA
"Not.Correlated"	0.000589737963139345	2.8482198911878e-26	NA
