"Module"	"Gene1"	"Gene2"
"M1"	"TTR"	"APBB1IP"
"M1"	"TTR"	"ARL8A"
"M1"	"TRPC4"	"AQP3"
"M1"	"CERCAM"	"STXBP3"
"M1"	"CERCAM"	"CTBS"
"M1"	"CERCAM"	"PTP4A1"
"M1"	"CERCAM"	"RAB11FIP5"
"M1"	"CERCAM"	"RPL36AL"
"M1"	"CERCAM"	"SAA1"
"M1"	"CERCAM"	"SLN"
"M1"	"CERCAM"	"HIST1H4E"
"M1"	"CERCAM"	"SMAD3"
"M1"	"CERCAM"	"EIF4H"
"M1"	"CERCAM"	"FAM50B"
"M1"	"CERCAM"	"C11orf68"
"M1"	"CERCAM"	"UBL5"
"M1"	"CERCAM"	"CALML3"
"M1"	"CORO1C"	"PLEKHG4B"
"M1"	"PRUNE"	"RASD1"
"M1"	"PRUNE"	"PLEKHG4B"
"M1"	"PTGIS"	"VPS28"
"M1"	"PTGIS"	"PTP4A1"
"M1"	"PTGIS"	"APBB1IP"
"M1"	"PTGIS"	"C1orf94"
"M1"	"PTGIS"	"BAIAP2L1"
"M1"	"PTGIS"	"WDR92"
"M1"	"DYNC1I1"	"ATP1B1"
"M1"	"EPHX1"	"ACSM5"
"M1"	"WNK4"	"DYRK1A"
"M1"	"WNK4"	"DHCR24"
"M1"	"WNK4"	"DLGAP2"
"M1"	"ATP8A1"	"NFE2"
"M1"	"COPZ2"	"TRAF5"
"M1"	"COPZ2"	"HRH3"
"M1"	"COPZ2"	"PODXL"
"M1"	"COPZ2"	"FBXW11"
"M1"	"COPZ2"	"DNAJC11"
"M1"	"COPZ2"	"SLC3A2"
"M1"	"COPZ2"	"MSRB1"
"M1"	"COPZ2"	"FOLR3"
"M1"	"COPZ2"	"FMOD"
"M1"	"COPZ2"	"CSDE1"
"M1"	"ITGB7"	"FAM189B"
"M1"	"ITGB7"	"HDAC10"
"M1"	"ITGB7"	"TCF21"
"M1"	"ITGB7"	"RPL35A"
"M1"	"ITGB7"	"ACACA"
"M1"	"ITGB7"	"DHX30"
"M1"	"ITGB7"	"NOC2L"
"M1"	"ITGB7"	"PTPN7"
"M1"	"ITGB7"	"TAL2"
"M1"	"ITGB7"	"ALOX15B"
"M1"	"ITGB7"	"PDE8B"
"M1"	"SHMT1"	"VLDLR"
"M1"	"CRTC1"	"GRIN2A"
"M1"	"CRTC1"	"NFE2"
"M1"	"CHMP5"	"AR"
"M1"	"KCNB2"	"SRPX"
"M1"	"VCAN"	"EME2"
"M1"	"VCAN"	"GIT1"
"M1"	"VCAN"	"PRELP"
"M1"	"VCAN"	"S100A13"
"M1"	"VCAN"	"MBD3"
"M1"	"VCAN"	"FGFR4"
"M1"	"VCAN"	"TNNT3"
"M1"	"VCAN"	"SCOC"
"M1"	"VCAN"	"LGR5"
"M1"	"VCAN"	"SF3A3"
"M1"	"VCAN"	"AGO4"
"M1"	"NPPC"	"ELMSAN1"
"M1"	"NPPC"	"TESK2"
"M1"	"NPPC"	"RIMS4"
"M1"	"NPPC"	"GPC3"
"M1"	"NPPC"	"DPF1"
"M1"	"NPPC"	"ADORA2A"
"M1"	"NPPC"	"ADRB2"
"M1"	"NPPC"	"ERBB2"
"M1"	"NPPC"	"PRKAB2"
"M1"	"NPPC"	"PRF1"
"M1"	"NPPC"	"DGCR14"
"M1"	"NPPC"	"CSRP3"
"M1"	"NPPC"	"CTBS"
"M1"	"NPPC"	"PTP4A1"
"M1"	"NPPC"	"PCSK4"
"M1"	"NPPC"	"RIC8A"
"M1"	"NPPC"	"CSPG4"
"M1"	"NPPC"	"RAB4A"
"M1"	"NPPC"	"ABCE1"
"M1"	"NPPC"	"HTR2A"
"M1"	"NPPC"	"TRIM24"
"M1"	"NPPC"	"TSN"
"M1"	"NPPC"	"KDM3A"
"M1"	"NPPC"	"RCAN3"
"M1"	"NPPC"	"KPNA5"
"M1"	"NPPC"	"NAT10"
"M1"	"NPPC"	"SCN1A"
"M1"	"NPPC"	"JUP"
"M1"	"NPPC"	"BTBD3"
"M1"	"NPPC"	"ZNF2"
"M1"	"NPPC"	"NUP107"
"M1"	"NPPC"	"WDR26"
"M1"	"NPPC"	"ANGPT4"
"M1"	"NPPC"	"SCARB2"
"M1"	"NPPC"	"HSPA2"
"M1"	"NPPC"	"AQP9"
"M1"	"RECQL5"	"AQP3"
"M1"	"GABRB3"	"PIK3CA"
"M1"	"GABRB3"	"ANAPC7"
"M1"	"GABRB3"	"S100A13"
"M1"	"GABRB3"	"PIWIL2"
"M1"	"GABRB3"	"RHOG"
"M1"	"GABRB3"	"PRDX5"
"M1"	"GABRB3"	"KPNA3"
"M1"	"GABRB3"	"AMIGO3"
"M1"	"GABRB3"	"PHF8"
"M1"	"GABRB3"	"CUL7"
"M1"	"GABRB3"	"BCAR3"
"M1"	"GABRB3"	"SNRNP27"
"M1"	"GABRB3"	"REV1"
"M1"	"GABRB3"	"FBXO30"
"M1"	"GABRB3"	"ZFP91"
"M1"	"GABRB3"	"ZFR"
"M1"	"GABRB3"	"CBL"
"M1"	"GABRB3"	"PPL"
"M1"	"GABRB3"	"ZCCHC11"
"M1"	"GABRB3"	"KLC2"
"M1"	"GABRB3"	"SKI"
"M1"	"GABRB3"	"GPC3"
"M1"	"GABRB3"	"ACKR3"
"M1"	"GABRB3"	"FZD4"
"M1"	"GABRB3"	"TUBA1C"
"M1"	"GABRB3"	"MYO16"
"M1"	"GABRB3"	"KIFC1"
"M1"	"GABRB3"	"CRY1"
"M1"	"GABRB3"	"FAIM2"
"M1"	"GABRB3"	"ADRB2"
"M1"	"GABRB3"	"CCR4"
"M1"	"GABRB3"	"NEIL1"
"M1"	"GABRB3"	"CRIPT"
"M1"	"GABRB3"	"PRKAB2"
"M1"	"GABRB3"	"KLHDC9"
"M1"	"GABRB3"	"NCBP2"
"M1"	"GABRB3"	"PRF1"
"M1"	"GABRB3"	"DGCR14"
"M1"	"GABRB3"	"VPS28"
"M1"	"GABRB3"	"CSRP3"
"M1"	"GABRB3"	"CTBS"
"M1"	"GABRB3"	"MPPED1"
"M1"	"GABRB3"	"FOLR3"
"M1"	"GABRB3"	"PTP4A1"
"M1"	"GABRB3"	"PID1"
"M1"	"GABRB3"	"CASP3"
"M1"	"GABRB3"	"SIPA1L3"
"M1"	"GABRB3"	"RINT1"
"M1"	"GABRB3"	"BNIP3L"
"M1"	"GABRB3"	"RAB5B"
"M1"	"GABRB3"	"SLC1A1"
"M1"	"GABRB3"	"CSPG4"
"M1"	"GABRB3"	"MECR"
"M1"	"GABRB3"	"FBLIM1"
"M1"	"GABRB3"	"IRF2BPL"
"M1"	"GABRB3"	"MAVS"
"M1"	"GABRB3"	"REG1A"
"M1"	"GABRB3"	"SLC12A2"
"M1"	"GABRB3"	"NFIB"
"M1"	"GABRB3"	"NRARP"
"M1"	"GABRB3"	"SOX6"
"M1"	"GABRB3"	"TEP1"
"M1"	"GABRB3"	"TAPBP"
"M1"	"GABRB3"	"NMT2"
"M1"	"GABRB3"	"C6"
"M1"	"GABRB3"	"MST1R"
"M1"	"GABRB3"	"KIF20A"
"M1"	"GABRB3"	"IL1RAP"
"M1"	"GABRB3"	"CYP11A1"
"M1"	"GABRB3"	"PLK2"
"M1"	"GNRH1"	"WISP1"
"M1"	"KCNG1"	"TAZ"
"M1"	"KCNG1"	"TCF7L1"
"M1"	"KCNG1"	"CDK5"
"M1"	"KCNG1"	"EIF4E3"
"M1"	"KCNG1"	"PARP3"
"M1"	"KCNG1"	"FBXW11"
"M1"	"KCNG1"	"MPP2"
"M1"	"KCNG1"	"WDR62"
"M1"	"KCNG1"	"GSC"
"M1"	"KCNG1"	"SCLT1"
"M1"	"KCNG1"	"DVL3"
"M1"	"KCNG1"	"DYRK1A"
"M1"	"KCNG1"	"EMILIN1"
"M1"	"KCNG1"	"DES"
"M1"	"KCNG1"	"PTOV1"
"M1"	"KCNG1"	"ENG"
"M1"	"KCNG1"	"HAO2"
"M1"	"KCNG1"	"PADI4"
"M1"	"KCNG1"	"IL17RB"
"M1"	"KCNG1"	"NES"
"M1"	"KCNG1"	"GRHL2"
"M1"	"KCNG1"	"HNRNPL"
"M1"	"KCNG1"	"FAS"
"M1"	"KCNG1"	"DHX9"
"M1"	"KCNG1"	"RPL34"
"M1"	"KCNG1"	"TRHDE"
"M1"	"KCNG1"	"PPP1R37"
"M1"	"KCNG1"	"FLT4"
"M1"	"KCNG1"	"CHN2"
"M1"	"KCNG1"	"DEDD"
"M1"	"KCNG1"	"TESK2"
"M1"	"KCNG1"	"ESCO2"
"M1"	"KCNG1"	"TIMM8A"
"M1"	"KCNG1"	"RPL8"
"M1"	"KCNG1"	"POLR1D"
"M1"	"KCNG1"	"RBBP6"
"M1"	"KCNG1"	"BMP2"
"M1"	"KCNG1"	"AP3S2"
"M1"	"KCNG1"	"SLC3A2"
"M1"	"KCNG1"	"ARFGEF1"
"M1"	"KCNG1"	"MLLT1"
"M1"	"KCNG1"	"FZD4"
"M1"	"KCNG1"	"IL3"
"M1"	"KCNG1"	"RSL1D1"
"M1"	"KCNG1"	"CLCN3"
"M1"	"KCNG1"	"HPRT1"
"M1"	"KCNG1"	"GATA5"
"M1"	"KCNG1"	"ZADH2"
"M1"	"KCNG1"	"TRPV6"
"M1"	"KCNG1"	"RHOH"
"M1"	"KCNG1"	"SEMG1"
"M1"	"KCNG1"	"SMARCE1"
"M1"	"KCNG1"	"GALC"
"M1"	"KCNG1"	"BMPR1B"
"M1"	"KCNG1"	"MSRB1"
"M1"	"KCNG1"	"PRKAB2"
"M1"	"KCNG1"	"DGCR14"
"M1"	"KCNG1"	"PTP4A1"
"M1"	"KCNG1"	"CEP57"
"M1"	"KCNG1"	"MIEF2"
"M1"	"KCNG1"	"OTUB1"
"M1"	"KCNG1"	"TBCD"
"M1"	"KCNG1"	"LPAR4"
"M1"	"KCNG1"	"TEFM"
"M1"	"KCNG1"	"PSME3"
"M1"	"KCNG1"	"ZNF423"
"M1"	"KCNG1"	"EPHA5"
"M1"	"KCNG1"	"CLDN1"
"M1"	"KCNG1"	"BTG1"
"M1"	"KCNG1"	"FBXO38"
"M1"	"KCNG1"	"DOK3"
"M1"	"KCNG1"	"FBN1"
"M1"	"KCNG1"	"RPS15A"
"M1"	"KCNG1"	"RAB4A"
"M1"	"KCNG1"	"NBN"
"M1"	"KCNG1"	"ATOX1"
"M1"	"KCNG1"	"ANG"
"M1"	"KCNG1"	"TP53RK"
"M1"	"KCNG1"	"C1QA"
"M1"	"KCNG1"	"VASP"
"M1"	"KCNG1"	"PALLD"
"M1"	"KCNG1"	"HTR2A"
"M1"	"KCNG1"	"FIZ1"
"M1"	"KCNG1"	"KDM5B"
"M1"	"KCNG1"	"IRX4"
"M1"	"KCNG1"	"DLC1"
"M1"	"KCNG1"	"NFIB"
"M1"	"KCNG1"	"MIIP"
"M1"	"KCNG1"	"CENPJ"
"M1"	"KCNG1"	"IRF9"
"M1"	"KCNG1"	"FBLN5"
"M1"	"KCNG1"	"KDM3A"
"M1"	"KCNG1"	"MOCS2"
"M1"	"KCNG1"	"REPS2"
"M1"	"KCNG1"	"HSPG2"
"M1"	"KCNG1"	"VAPA"
"M1"	"KCNG1"	"SH3PXD2A"
"M1"	"KCNG1"	"GNL1"
"M1"	"KCNG1"	"RABIF"
"M1"	"KCNG1"	"IRF3"
"M1"	"KCNG1"	"NCAPG"
"M1"	"KCNG1"	"HOXA11"
"M1"	"KCNG1"	"MPZ"
"M1"	"KCNG1"	"TOP2B"
"M1"	"KCNG1"	"KIF21B"
"M1"	"KCNG1"	"CD209"
"M1"	"KCNG1"	"SLC22A1"
"M1"	"KCNG1"	"BRCA2"
"M1"	"KCNG1"	"ATP1A1"
"M1"	"KCNG1"	"CARD8"
"M1"	"KCNG1"	"TAF12"
"M1"	"KCNG1"	"PKN3"
"M1"	"KCNG1"	"FAM84B"
"M1"	"KCNG1"	"DNAJA4"
"M1"	"KCNG1"	"PDCD4"
"M1"	"KCNG1"	"CCT4"
"M1"	"KCNG1"	"SDCBP"
"M1"	"KCNG1"	"MAST1"
"M1"	"KCNG1"	"TAGLN"
"M1"	"KCNG1"	"F11R"
"M1"	"KCNG1"	"PIKFYVE"
"M1"	"KCNG1"	"ATP6V1G1"
"M1"	"KCNG1"	"GTF3A"
"M1"	"KCNG1"	"ZNF264"
"M1"	"KCNG1"	"SMAD2"
"M1"	"KCNG1"	"SPHK2"
"M1"	"KCNG1"	"JUP"
"M1"	"KCNG1"	"DLGAP4"
"M1"	"KCNG1"	"EFNA3"
"M1"	"KCNG1"	"FCGRT"
"M1"	"KCNG1"	"RPS12"
"M1"	"KCNG1"	"ZHX2"
"M1"	"KCNG1"	"SP100"
"M1"	"KCNG1"	"PMS2"
"M1"	"KCNG1"	"RSBN1"
"M1"	"KCNG1"	"ALAS1"
"M1"	"KCNG1"	"DFFB"
"M1"	"KCNG1"	"MTX2"
"M1"	"KCNG1"	"EHMT1"
"M1"	"KCNG1"	"PLA2G4C"
"M1"	"STRADB"	"ADCY2"
"M1"	"RBM5"	"VLDLR"
"M1"	"JUNB"	"ADCY2"
"M1"	"UBE2Z"	"WISP1"
"M1"	"CYFIP2"	"NDRG2"
"M1"	"CYFIP2"	"EFEMP1"
"M1"	"POLR1B"	"PPL"
"M1"	"POLR1B"	"WISP1"
"M1"	"FCGR2A"	"WISP1"
"M1"	"STAMBP"	"WISP1"
"M1"	"SIX4"	"S100A1"
"M1"	"TAF15"	"VLDLR"
"M1"	"CGB"	"GRIN2B"
"M1"	"CGB"	"PLP1"
"M1"	"SLC27A2"	"CAPN7"
"M1"	"SLC27A2"	"PGK1"
"M1"	"SLC27A2"	"DECR2"
"M1"	"SLC27A2"	"SIPA1"
"M1"	"SLC27A2"	"LIN52"
"M1"	"SLC27A2"	"ALAS1"
"M1"	"SLC27A2"	"TSEN54"
"M1"	"SLC27A2"	"TPK1"
"M1"	"SLC27A2"	"RPS13"
"M1"	"SLC27A2"	"WFDC3"
"M1"	"SLC27A2"	"TOX3"
"M1"	"SLC27A2"	"COL5A1"
"M1"	"JPH1"	"CRYAB"
"M1"	"CDK1"	"NDRG2"
"M1"	"PINX1"	"PIEZO2"
"M1"	"BCL2L1"	"WISP1"
"M1"	"CREB3"	"HOXA3"
"M1"	"CREB3"	"NFE2"
"M1"	"NEIL2"	"NFE2"
"M1"	"DUSP11"	"NDRG2"
"M1"	"TLE2"	"TBX21"
"M1"	"TLE2"	"SMARCA1"
"M1"	"TLE2"	"DNAJC19"
"M1"	"TLE2"	"NCR3"
"M1"	"TLE2"	"HIST1H4I"
"M1"	"TLE2"	"MMP3"
"M1"	"TLE2"	"PLCL2"
"M1"	"TLE2"	"GATA3"
"M1"	"TLE2"	"IRAK1"
"M1"	"TLE2"	"CHRAC1"
"M1"	"TLE2"	"SMYD2"
"M1"	"TLE2"	"INPPL1"
"M1"	"TLE2"	"PPP1R3G"
"M1"	"TLE2"	"KPNA2"
"M1"	"TLE2"	"NUP155"
"M1"	"TLE2"	"F8A1"
"M1"	"TLE2"	"LRPAP1"
"M1"	"TLE2"	"CLCN3"
"M1"	"TLE2"	"GATA5"
"M1"	"TLE2"	"MUSTN1"
"M1"	"TLE2"	"CHD1"
"M1"	"TLE2"	"AHRR"
"M1"	"TLE2"	"FGF8"
"M1"	"TLE2"	"SARNP"
"M1"	"TLE2"	"MPPED1"
"M1"	"TLE2"	"PTP4A1"
"M1"	"TLE2"	"SNCAIP"
"M1"	"TLE2"	"LRP4"
"M1"	"TLE2"	"NDNL2"
"M1"	"TLE2"	"POU2F2"
"M1"	"TLE2"	"TAL1"
"M1"	"TLE2"	"SNX5"
"M1"	"TLE2"	"TSEN15"
"M1"	"TLE2"	"B3GNT4"
"M1"	"GYS1"	"FBN2"
"M1"	"GYS1"	"HSD11B2"
"M1"	"GYS1"	"ATP1A3"
"M1"	"LOXL1"	"PFKP"
"M1"	"LOXL1"	"PTP4A1"
"M1"	"LOXL1"	"AVP"
"M1"	"LOXL1"	"FAM109B"
"M1"	"LOXL1"	"PLOD2"
"M1"	"LOXL1"	"PARVG"
"M1"	"LOXL1"	"SCARA3"
"M1"	"LOXL1"	"ACAP3"
"M1"	"LOXL1"	"TMEM55A"
"M1"	"LOXL1"	"FBXO24"
"M1"	"CPSF4"	"NDRG2"
"M1"	"CPSF4"	"NEFM"
"M1"	"SUPT20H"	"ASS1"
"M1"	"SUPT20H"	"HECW1"
"M1"	"HSPB6"	"EFEMP1"
"M1"	"HSPB6"	"MT1G"
"M1"	"HSPB6"	"GLMN"
"M1"	"HSPB6"	"ADAM22"
"M1"	"HSPB6"	"EMILIN1"
"M1"	"HSPB6"	"MRPS25"
"M1"	"HSPB6"	"BAZ1A"
"M1"	"HSPB6"	"PAX2"
"M1"	"HSPB6"	"TIMM17A"
"M1"	"HSPB6"	"SH3GLB1"
"M1"	"HSPB6"	"BASP1"
"M1"	"HSPB6"	"WDR12"
"M1"	"HSPB6"	"LPAR4"
"M1"	"HSPB6"	"PTPRU"
"M1"	"HSPB6"	"REN"
"M1"	"HSPB6"	"WDR36"
"M1"	"HSPB6"	"POLR3H"
"M1"	"HSPB6"	"CACNA1C"
"M1"	"HSPB6"	"C1QA"
"M1"	"HSPB6"	"ACVR2B"
"M1"	"HSPB6"	"BDNF"
"M1"	"HSPB6"	"C5AR1"
"M1"	"HSPB6"	"ABCC4"
"M1"	"HSPB6"	"NOSIP"
"M1"	"HSPB6"	"GAS2L2"
"M1"	"HSPB6"	"CCNDBP1"
"M1"	"HSPB6"	"ZNF639"
"M1"	"HSPB6"	"RELA"
"M1"	"HSPB6"	"ADRB1"
"M1"	"HSPB6"	"NOLC1"
"M1"	"HSPB6"	"IMPDH2"
"M1"	"HSPB6"	"RPL26"
"M1"	"HSPB6"	"DOK6"
"M1"	"HSPB6"	"CEP250"
"M1"	"HSPB6"	"SNAP25"
"M1"	"HSPB6"	"TNR"
"M1"	"HSPB6"	"SDC4"
"M1"	"HSPB6"	"ZNF91"
"M1"	"HSPB6"	"SPI1"
"M1"	"HSPB6"	"CXCR2"
"M1"	"HSPB6"	"BRF2"
"M1"	"HSPB6"	"ARL3"
"M1"	"HSPB6"	"ZNF324B"
"M1"	"HSPB6"	"SREBF2"
"M1"	"HSPB6"	"STARD9"
"M1"	"HSPB6"	"TGFB2"
"M1"	"HSPB6"	"KIF26B"
"M1"	"HSPB6"	"SLC37A4"
"M1"	"HSPB6"	"ZNF217"
"M1"	"HSPB6"	"MRPL17"
"M1"	"HSPB6"	"BNIP2"
"M1"	"HSPB6"	"IL12A"
"M1"	"HSPB6"	"LY6G6F"
"M1"	"HSPB6"	"SOCS6"
"M1"	"HSPB6"	"RASGRF2"
"M1"	"HSPB6"	"RPAP3"
"M1"	"HSPB6"	"CHRM2"
"M1"	"HSPB6"	"CDH4"
"M1"	"HSPB6"	"EXOC6"
"M1"	"HSPB6"	"ZNF653"
"M1"	"HSPB6"	"MAP2K4"
"M1"	"HSPB6"	"AHI1"
"M1"	"HSPB6"	"FTCD"
"M1"	"HSPB6"	"HAGH"
"M1"	"HSPB6"	"SETD1A"
"M1"	"HSPB6"	"PDCD7"
"M1"	"HSPB6"	"DDX6"
"M1"	"HSPB6"	"ATP2B4"
"M1"	"HSPB6"	"PSCA"
"M1"	"HSPB6"	"JMJD6"
"M1"	"HSPB6"	"HELZ2"
"M1"	"HSPB6"	"MAP3K8"
"M1"	"HSPB6"	"TGS1"
"M1"	"HSPB6"	"ATP5G3"
"M1"	"HSPB6"	"PSPN"
"M1"	"HSPB6"	"LSP1"
"M1"	"HSPB6"	"LYL1"
"M1"	"HSPB6"	"RUNX2"
"M1"	"HSPB6"	"TGDS"
"M1"	"HSPB6"	"CASP12"
