"genes"	"modules"
"GFAP"	"M2"
"IGF2"	"M8"
"IGFBP5"	"M1"
"MT-ND4"	"M1"
"CDR1"	"M1"
"MT-ND5"	"M1"
"CST3"	"M1"
"AQP4"	"M7"
"NTRK2"	"M2"
"FN1"	"M3"
"MT-ND2"	"M1"
"TNC"	"M2"
"MT-ND1"	"M1"
"ATP1A2"	"M2"
"CHI3L1"	"M3"
"ITM2C"	"M1"
"C4B"	"M3"
"SERPINA3"	"M3"
"FCGBP"	"M3"
"COL6A2"	"M3"
"AQP1"	"M1"
"ITGB4"	"M1"
"C4A"	"M3"
"APLNR"	"M2"
"VCAN"	"M1"
"COL1A1"	"M3"
"ELN"	"M8"
"FAM107A"	"M1"
"CTGF"	"M6"
"NDRG2"	"M1"
"EGR1"	"M6"
"CAPS"	"M1"
"PPP1R1B"	"M1"
"SYNM"	"M1"
"FLNC"	"M1"
"GPR37L1"	"M7"
"FOS"	"M6"
"AGT"	"M2"
"BCAN"	"M7"
"NCAN"	"M8"
"VEGFA"	"M3"
"SPP1"	"M3"
"CNTN1"	"M1"
"RELN"	"M2"
"SMOC1"	"M1"
"JUNB"	"M6"
"DUSP1"	"M6"
"AHNAK2"	"M3"
"AK1"	"M5"
"IFITM3"	"M3"
"ZFP36"	"M6"
"HEPACAM"	"M7"
"THBS1"	"M3"
"CRYAB"	"M1"
"MSX1"	"M1"
"BAIAP3"	"M5"
"NDRG1"	"M6"
"L1CAM"	"M4"
"ATP1B1"	"M1"
"TGFBI"	"M3"
"S100B"	"M2"
"CHI3L2"	"M3"
"LAMA2"	"M2"
"ALDH1L1"	"M2"
"TAGLN"	"M3"
"AKAP12"	"M3"
"WFIKKN2"	"Not.Correlated"
"SLC1A2"	"M4"
"EPPK1"	"M4"
"MT-ATP8"	"M1"
"PSD2"	"M7"
"GPX3"	"M3"
"LTF"	"M3"
"HBA2"	"M6"
"GALNT15"	"M1"
"GPM6A"	"M7"
"CP"	"M3"
"CYR61"	"M6"
"C10orf105"	"M2"
"MYLK"	"M2"
"IGSF1"	"M2"
"FBXO32"	"M6"
"ADCY2"	"M1"
"DAAM2"	"M1"
"C1R"	"M3"
"ZIC1"	"M2"
"SLIT2"	"M2"
"BHLHE40"	"M3"
"HBB"	"M6"
