"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"KEGG_HEDGEHOG_SIGNALING_PATHWAY"	"KEGG_HEDGEHOG_SIGNALING_PATHWAY"	"7/120"	"56/5245"	0.000252178702151817	0.0221917257893599	0.0185815885796076	"BMP2/LRP2/WNT3/BMP5/WNT10B/WNT9B/WNT1"	7
"M1"	"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"	"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"	"4/120"	"23/5245"	0.0016477954493789	0.0725029997726717	0.0607082533981701	"AQP1/ATP1B1/SLC4A4/ATP1A3"	4
"M1"	"KEGG_TGF_BETA_SIGNALING_PATHWAY"	"KEGG_TGF_BETA_SIGNALING_PATHWAY"	"7/120"	"86/5245"	0.00332023736116274	0.0942253344510749	0.0788968111432445	"ID1/BMP2/BMP5/LEFTY2/CHRD/AMH/LEFTY1"	7
"M1"	"KEGG_DILATED_CARDIOMYOPATHY"	"KEGG_DILATED_CARDIOMYOPATHY"	"7/120"	"90/5245"	0.00428296974777613	0.0942253344510749	0.0788968111432445	"ITGB4/ADCY2/ADCY8/MYH7/CACNG6/ITGB7/CACNA2D3"	7
"M1"	"KEGG_MELANOGENESIS"	"KEGG_MELANOGENESIS"	"7/120"	"101/5245"	0.00802445523037186	0.118127919331775	0.0989109372395243	"ADCY2/ADCY8/WNT3/WNT10B/POMC/WNT9B/WNT1"	7
"M1"	"KEGG_BASAL_CELL_CARCINOMA"	"KEGG_BASAL_CELL_CARCINOMA"	"5/120"	"55/5245"	0.00805417631807555	0.118127919331775	0.0989109372395243	"BMP2/WNT3/WNT10B/WNT9B/WNT1"	5
"M1"	"KEGG_NITROGEN_METABOLISM"	"KEGG_NITROGEN_METABOLISM"	"3/120"	"23/5245"	0.0148126946583999	0.147097006135989	0.123167349635398	"CA3/CA14/CA7"	3
"M1"	"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION"	"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION"	"4/120"	"42/5245"	0.0149252190976325	0.147097006135989	0.123167349635398	"ATP1B1/ATP1A3/HSD11B2/SCNN1A"	4
"M1"	"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"14/120"	"325/5245"	0.0156900756183803	0.147097006135989	0.123167349635398	"FGF1/ZBTB16/AR/BMP2/PPARG/WNT3/FGF13/FGF10/RXRG/WNT10B/NKX3-1/PAX8/WNT9B/WNT1"	14
"M1"	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"5/120"	"67/5245"	0.0180151530107944	0.147097006135989	0.123167349635398	"CD36/SLC2A4/RXRG/PRKCQ/POMC"	5
"M1"	"KEGG_PPAR_SIGNALING_PATHWAY"	"KEGG_PPAR_SIGNALING_PATHWAY"	"5/120"	"69/5245"	0.0202253567744579	0.147097006135989	0.123167349635398	"CD36/PPARG/RXRG/AQP7/SLC27A2"	5
"M1"	"KEGG_LONG_TERM_POTENTIATION"	"KEGG_LONG_TERM_POTENTIATION"	"5/120"	"70/5245"	0.0213942841518426	0.147097006135989	0.123167349635398	"GRIN2A/ADCY8/PPP1R1A/RAPGEF3/GRIN2B"	5
"M1"	"KEGG_WNT_SIGNALING_PATHWAY"	"KEGG_WNT_SIGNALING_PATHWAY"	"8/120"	"151/5245"	0.0217302395428166	0.147097006135989	0.123167349635398	"DAAM2/SFRP4/PRICKLE1/WNT3/SFRP5/WNT10B/WNT9B/WNT1"	8
"M1"	"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"	"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"	"5/120"	"74/5245"	0.0265080584471045	0.162413695137207	0.135992328464168	"ITGB4/PKP2/CACNG6/ITGB7/CACNA2D3"	5
"M1"	"KEGG_THYROID_CANCER"	"KEGG_THYROID_CANCER"	"3/120"	"29/5245"	0.0276841525802057	0.162413695137207	0.135992328464168	"PPARG/RXRG/PAX8"	3
