"modules"	"BS_AGTPCRR4"	"BS_C80S5N37"	"BS_BJDNWMJH"	"BS_GV3NZ9QD"	"BS_EMYET8F4"	"BS_3X9WMZGJ"	"BS_34201DKZ"	"BS_3F4FQJMR"	"BS_0BXY0F9N"	"BS_7BTZQKYY"	"BS_4SCWT0FX"	"BS_4FZS7TX4"	"BS_VJ2S5DVS"	"BS_X67GTEM6"	"BS_WFD0GE5X"	"BS_SAA624A4"	"BS_T4P3J13C"	"BS_SDCNP7MW"	"BS_TXY8QYWA"	"BS_TBWYAFSM"	"BS_TNRHHYNC"	"BS_Q5WZYWCT"	"BS_RCFQ31XF"	"BS_N8J1DP02"	"BS_PSW27ZTE"	"BS_PRAEF32W"	"BS_P78SMRBS"	"BS_KDSTG5YY"	"BS_0XEG6SNV"	"BS_07ANYSYQ"	"BS_WYERXS4G"	"BS_EVCAC3NH"	"BS_74G5K7JF"	"BS_C05FKR8X"	"BS_FTKPQ5FZ"	"BS_G23JJAZY"	"BS_CZ3NA7KV"	"BS_CZ3ER8DY"	"BS_EK5PCKY0"	"BS_7G42J2SK"	"BS_4NWHYH53"	"BS_W80TJC27"	"BS_XF0ZX2B3"	"BS_KBT7MQ6H"	"BS_MT15SGJN"	"BS_H4NXBD2D"	"BS_QXKRN6CR"	"BS_NGHK9RZP"	"BS_N5DVEJXT"	"BS_8ZP3CBQA"	"BS_E4F1D721"	"BS_0QYS36NR"	"BS_1J2WQ08M"	"BS_196BBNEJ"	"BS_6H1C1ME9"	"BS_4T0HPZDC"	"BS_WRHDP7WF"	"BS_XQYHPBFS"	"BS_KXMYBQ6N"	"BS_MA2T7ET1"	"BS_JHGW42S6"	"BS_RHD7XPNP"	"BS_RGPSEMHC"	"BS_PJPGVD62"	"BS_J8VX4D17"	"BS_8RHPJ740"	"BS_CXVJK2FY"	"BS_T1DVKKJB"	"BS_V4W81SFC"
"M1"	0.0690689617815013	0.0883903155981995	0.0932564178911054	0.143270228716765	0.13516190223102	0.0661444371566574	0.127378436200955	-0.0528610719283902	0.120063631240946	0.169018620231495	0.0538323652309422	0.0451421918176489	-0.0470736758904272	0.0966304714733087	0.110037206804981	-0.140751819151312	0.126369972668882	0.0185475283148886	0.108969725390428	0.121117544201259	0.0325647147728013	0.0716336975101655	0.0732316479212017	0.0661569037699437	0.118734058899531	0.0354790731323435	0.0668871201133583	0.074461134309684	0.0194966070969545	0.0405536317626731	-0.0976013749731285	-0.123318606167359	-0.161059116083124	-0.102519471209648	-0.253070788093551	-0.243666827417591	-0.145031358265629	-0.152922707723702	-0.227142555474374	-0.170103939465897	-0.193183983053025	-0.204144059606588	-0.106287238446128	-0.158222941476147	-0.234386993550501	-0.23634537511921	-0.220373435615073	-0.0984305170029871	-0.0507414818517025	0.135889413453256	0.0831746549313993	0.044271658704244	0.0230715817786266	0.11396207812371	0.0638181387855786	0.0619594275837423	0.142991083088267	0.059549353938577	0.0985292088578066	0.0881192975443531	0.0926517292471245	0.105821375365087	0.0120450029067135	0.0274893701068551	0.0852185715436092	0.0570898204923182	-0.124451657936112	-0.0695668218678088	0.0260075046785079
"M2"	0.0951071742549025	0.129459513002267	-0.192346182096359	0.174082333835036	0.166699306886439	0.0429185927845274	0.146229957564347	-0.0608657244886002	0.123624654981194	0.194177880245146	0.0860096988517183	0.0840859014553414	-0.0454575876333601	0.128338611250393	0.137063493457203	-0.249980804539645	0.1642982484228	0.0293200404497151	0.141444072937958	-0.136861429957054	-0.0875793617028488	-0.049832463251672	0.126272469156114	0.0691372573968089	0.157417735067731	0.0710766179488083	-0.0230309034147058	0.125393783008395	0.0249078316643774	0.0691821742576241	-0.152810532190241	-0.065470644323236	-0.119028284562879	-0.0661710897256121	-0.188551078979007	-0.18739369601758	-0.088612297474016	-0.0918916652944856	-0.17496246974988	-0.0940165224464769	-0.149925743812037	-0.152785408940209	-0.0708002212307669	-0.123482191081005	-0.19021075476315	-0.163253684827749	-0.161902678873021	-0.0819784137549998	0.00191709961444978	0.154226680191504	-0.129268206366791	0.0535688310193208	0.00434461603256479	0.144600963755132	0.0850390102703213	0.0726442270480182	0.167125082695348	0.0795070711617298	-0.096900630154034	-0.152782463651738	0.116070407385873	0.135078637654276	0.0201904071320856	0.0290361894590003	0.0962650743798042	0.0673775771612253	-0.0784534716123041	-0.0659275590287179	-0.0207050578953196
"M3"	0.100668280999538	-0.0511162255619435	-0.0825663653917011	0.0210160805468293	-0.0677188466653371	-0.0513842639870947	-0.00212628072062258	-0.197574859716431	-0.0274618041810392	0.040068436419158	-0.0114579749515138	-0.0799597180601739	-0.133206763992542	0.123913682889167	0.0659709605612332	-0.230088573434673	-0.0356697537412141	-0.174595577158298	0.0220386422824649	-0.0804038664510834	-0.0809210589052165	-0.0352736833874263	-0.0847319020315697	-0.0867404278507503	0.0662791100792955	0.049013478813734	0.0151931867535574	-0.0452178048255226	0.0507914613669857	-0.0333435939349045	-0.0808630961657517	-0.125258813625995	-0.0267808752706906	-0.0177249147578183	-0.190375840265421	-0.162202118313634	-0.0343933275383224	-0.0410738075112058	-0.217804965835464	-0.0729956543214975	-0.108817237409405	-0.0748109786977974	0.0296188833474194	0.0142118453794272	-0.176908641037558	-0.133089170433985	-0.241399970936267	0.0818597985807725	-0.0730045576080715	0.155304079107952	0.0648911364787359	0.212524797874565	0.187188498636491	0.0671516287285494	0.178529376546545	0.240072363130899	0.278577833097217	0.169201806636801	0.143580687018509	-0.045573125360324	0.100216965324042	0.117283538453759	0.0840812389019891	0.232646664377957	0.128046636277751	0.177363464385975	0.0150973280500013	0.086315340340803	0.0959192086501417
"M4"	-0.0916986126125228	-0.103878964915346	-0.172734381244696	-0.00953155581636461	-0.00514574087333729	-0.068317855550951	-0.0617917328661334	-0.11217338417197	-0.0874992733133549	0.0665798317453179	-0.0236393569800624	-0.148840082566138	-0.0466740718630107	-0.0357044089745701	-0.0714325974477019	-0.287017808401487	-0.0245062421388083	-0.101415699044743	-0.0498413080628702	-0.14265185430577	-0.0878611117482524	-0.115932832891541	-0.0588220017343995	-0.129265106509156	-0.0190578639556733	-0.0907531523378865	-0.0830682054982739	-0.0245005277556447	0.204944242923059	0.22863244867389	-0.215944471210399	-0.00613775929805478	0.0852002871254168	0.203100061570932	0.124186986913485	0.151541246866675	0.102612372044632	0.191252659123243	0.0688903889557675	0.173830539554522	0.145411225151042	0.121849353646918	0.12154768838965	0.199958727024286	0.135482702315804	0.14761904910474	0.163451871432395	0.183716785252432	0.225428483260226	-0.00300134002166994	-0.146558076494912	-0.0619495210867226	0.0165218882069886	-0.0334206874761152	-0.0360831352108721	-0.0229778925191	0.0169152548982516	-0.0338079554224319	-0.0911846718283984	-0.157536019192786	-0.0434843567881565	-0.0608150618036233	-0.112253914807576	-0.0753291537960062	-0.0448339453924664	-0.0413775236273685	0.140297852454947	0.224527952411158	-0.00304867948845437
"M5"	0.066184581789138	0.0282507207971745	0.0057413406705653	-0.00103462603805959	0.0204771321212114	0.119414941952789	0.180222487230855	0.154757015564427	0.118353115192449	0.312932833454056	-0.111957667300263	0.0612592647423173	-0.312882816294328	0.11375321716446	0.128146729182052	0.0698704382495887	0.0104769605138134	0.0953493784366703	0.0517754216717809	0.00512467135238209	0.132517606370949	0.233400536086131	0.0691719633072638	-0.113851976287064	0.106355561440571	-0.0729050734172566	0.140254460990059	0.0259112207132098	0.102494053840749	-0.0330483800549152	0.101023611085979	-0.235654755333518	-0.152871174161964	-0.204447601244235	-0.225050214773364	-0.26506488874171	-0.0363232657336336	-0.0236634233605368	-0.0981106747846143	-0.00855657677060697	-0.128278892529891	-0.0968598124656216	-0.0584448166209277	-0.140553817377007	-0.172630270711278	-0.107379098668517	-0.0800239411278875	0.0125620314038372	0.0207846392098303	0.1445946917691	0.0587636066097662	-0.0304452295352702	0.0279046641171246	-0.0127584063747665	0.0598500294724934	-0.0662067521159472	0.0379912932765859	-0.0443033534632245	-0.0401337756130597	-0.0741005668199523	0.128886787559948	0.181640744223379	0.0554121814897586	0.0190162486903515	0.00373926799736628	0.0421708580744816	-0.207757217988968	-0.0979443008125002	0.00670705870622311
"M6"	0.0107336038324407	-0.076088323112788	0.164572260954763	0.0222416673582981	-0.0350741378967832	0.057571895526778	0.0708828813014753	-0.120135525001099	-0.0153920779185411	0.129394761156105	-0.0496796780795521	-0.0689059061360425	-0.130255235448503	0.0251800908309417	0.0207628477046553	-0.0759185994588427	-0.0335636957333232	-0.106783477305366	-0.0153660788361101	0.112083098887093	0.120477780728231	0.180152100952643	-0.0447911778496282	-0.0374239908715355	-0.00151344651871195	-0.0285958816315688	0.188056273269721	-0.0654472659071881	0.0958886502227299	-0.00544797418312149	-0.0222827008085242	-0.131920756538043	-0.0652125662697264	-0.0641602533313212	-0.243353116551728	-0.193112174097873	-0.123702231369456	-0.116784508848223	-0.240898475086694	-0.127130819439235	-0.127891243794917	-0.17743484620372	-0.00457813762213766	-0.0760376361818058	-0.186971783600505	-0.220688855616646	-0.252622055220724	-0.0197517313614692	-0.0609764166508275	0.101177705076553	0.224886037991596	0.190273877496094	0.186807469674743	0.0257335541659907	0.0740763836637219	0.106893334506535	0.159527649964335	0.0487928006408267	0.259030827904779	0.137214067022208	0.0912373483721329	0.105754837708463	0.0230709914184894	0.0907402958478003	0.0915203134098222	0.0981532257940256	0.00620449046619314	-0.0205130604137813	0.167312717045877
"M7"	0.0733604346402709	0.113999944021121	-0.314226107641988	0.166136354396075	0.168032643529927	0.0495009703956957	0.145450913344867	0.0190297741987088	0.070065708779845	0.193426626125599	0.0226403944316469	0.0828739671554472	0.102287734583972	0.130863334798802	0.075832092569827	-0.328928805556266	0.161507964697821	0.0417652203845347	0.143026503671501	-0.229530960633995	-0.13013477056398	-0.155530482298097	0.172356180051391	0.132426358411476	0.148001244068943	0.0509738244845359	-0.0739813049854014	0.122772548559601	0.0742795059192353	0.133006312415033	-0.173114904005852	-0.0112459431540408	-0.0979537098999386	0.0495754491213534	-0.0762918059200071	-0.0212457962537287	0.000595415193120117	0.0121358512952738	-0.0860961861430262	0.00520776889926613	-0.00777667656769649	-0.0213057019923466	0.00282975528441808	-0.0878917437321492	-0.037756891340098	-0.0467061488891922	0.0252163000069845	-0.0620844936681997	0.0641783670951018	0.0849274755725799	-0.275139875046915	-0.0637559851348464	-0.131399905964279	0.115512694656273	-0.00588278100544337	-0.036723848336401	0.0920797335604481	0.0187613250141357	-0.239614705685871	-0.263488013427876	0.0652479591415302	0.048216971309603	-0.067525367427886	-0.0763066601527937	0.0368440463301301	-0.0193056418444956	-0.0650793411396467	0.00457897924224851	-0.0135000889458852
"M8"	-0.0864284819630065	-0.0533646678093015	-0.145262799865201	0.0544669569480464	0.135545612819957	-0.0164502770801982	-0.056052134976639	-0.244043336314095	-0.112124364382163	-0.0432905357429247	0.192873657419868	-0.131012180502855	0.136336177469878	0.044210701933722	-0.015053549411574	-0.316216178412835	0.0986032006120723	-0.0708772927384981	-0.037831902066651	-0.128634742049866	0.00829559402020768	-0.221929201393952	0.0893487840538252	-0.195796627313993	0.106704896421952	0.0194043792337148	-0.147506122710986	0.250510409770314	-0.00935622240291633	0.055834005732223	-0.247170437590733	0.0884218262250488	0.104305001435397	0.161894325314432	0.078172810943661	0.104145389547138	-0.036011042976459	0.110329530427088	-0.0511838506412177	0.172638893622816	-0.133491481537474	0.0574668519487173	0.052236367350408	0.0445910908615474	-0.0151119252506809	0.110193251040661	0.0516699696504314	0.0299937073386691	0.239726004028626	0.0429481219706268	-0.235220211635554	0.0305856488771985	0.150046245097941	0.0802767370216823	-0.0157896201727299	0.0231545590808425	0.0951981057884295	0.018870522324752	-0.00897753983383775	-0.176701346682386	-0.00674756686663935	-0.00125110742450784	-0.121778679627369	-0.0883676989004351	0.0380327880157974	-0.0732846636645259	-0.0777718958977837	0.071084632918679	0.171972928573621
"M9"	0.0189382595311757	-0.0952494793756093	-0.125196601671742	0.195701835223782	0.19429973203333	-0.0639445805562496	-0.0617026429095217	0.00621299785455427	-0.0118376982926695	0.197725190787615	0.113916416910272	-0.137695949185544	0.114568624943027	0.0928065216965745	-0.0273657257795998	-0.173272567768229	0.193782261409804	0.0684966984913421	-0.0318206357654701	-0.0725303916601225	0.0703070860455726	-0.0831332348567764	0.144314628534603	0.0627127760394813	0.145898179670676	0.114035103838276	0.0585661215078631	0.0409642607788442	0.15416416092242	0.268753572952231	-0.243222030953097	0.115938092459915	0.0513302893310832	-0.0295536901938087	-0.24478252451038	-0.0966645034100647	-0.0585858769500756	-0.0518890008610976	-0.127853996699655	-0.102612682108019	-0.249363250604152	-0.130419691203291	0.0577240148594598	-0.117622852890752	-0.188033442926314	-0.0945045978177041	-0.236419284565728	-0.033041819000787	0.118945849329707	0.0158118179893773	-0.106258504026177	-0.0169095004917716	0.0521429499800675	0.140955980728303	0.0346589550102559	0.153755251384342	0.0898947214979588	0.16475740622115	-0.0855123882055771	-0.121266199984701	-0.0159973164015389	-0.0609502282877636	0.000390980022705113	-0.00173969404745173	0.0952268120815172	0.00296863317417567	-0.111539033731577	-0.0513571920454189	0.109182626496977
"Not.Correlated"	-0.0521753673420413	-0.136755680216259	0.3847094721667	-0.0398451041400102	-0.0420953540969704	0.143756296056193	-0.0556956282498461	0.00970764729139049	-0.0123042019805257	0.0841173016529307	-0.0588629595069871	-0.130728410806712	0.129419703561021	-0.0279467093300269	-0.0362201111495495	0.0409575193904429	-0.0726883020569059	-0.0754502908269569	-0.0785773047357062	0.362520206919407	0.179091475832384	0.18064247658747	-0.0798070131245474	-0.0890076890813316	-0.0223223417748412	-0.125512352256598	0.166350701335828	-0.0789223531598182	0.00549258883571938	0.0641995313241581	-0.0779448954238689	-0.0231789557854975	-0.037890155962435	0.00168254831776531	-0.0434322052866081	-0.103435897174692	-0.0403947561390832	-0.0132099121338621	-0.0970355928439992	-0.0406329518345389	-0.0794926723025119	-0.099422865181532	-0.0185787331467546	-0.00724422414673585	-0.0200903960525638	-0.0875273724152448	-0.114404367790239	0.0113040535551653	0.0705368239530227	-0.0308759045497754	0.308414792091473	-0.0240893107936037	0.058172219760812	-0.104112789409762	-0.0621798178399145	-0.0588469607050259	0.000837889477581902	-0.0252821071406788	0.371544589836703	0.307861877267504	-0.0334104514716228	-0.0763650711660212	-0.0600774161339626	-0.10108125134078	-0.0753542011252829	-0.0921612178099927	-0.0858523196548307	0.0168036237548772	0.0503986076285055
