"modules"	"BS_AGTPCRR4"	"BS_C80S5N37"	"BS_BJDNWMJH"	"BS_GV3NZ9QD"	"BS_EMYET8F4"	"BS_3X9WMZGJ"	"BS_34201DKZ"	"BS_3F4FQJMR"	"BS_0BXY0F9N"	"BS_7BTZQKYY"	"BS_4SCWT0FX"	"BS_4FZS7TX4"	"BS_VJ2S5DVS"	"BS_X67GTEM6"	"BS_WFD0GE5X"	"BS_SAA624A4"	"BS_T4P3J13C"	"BS_SDCNP7MW"	"BS_TXY8QYWA"	"BS_TBWYAFSM"	"BS_TNRHHYNC"	"BS_Q5WZYWCT"	"BS_RCFQ31XF"	"BS_N8J1DP02"	"BS_PSW27ZTE"	"BS_PRAEF32W"	"BS_P78SMRBS"	"BS_KDSTG5YY"	"BS_0XEG6SNV"	"BS_07ANYSYQ"	"BS_WYERXS4G"	"BS_EVCAC3NH"	"BS_74G5K7JF"	"BS_C05FKR8X"	"BS_FTKPQ5FZ"	"BS_G23JJAZY"	"BS_CZ3NA7KV"	"BS_CZ3ER8DY"	"BS_EK5PCKY0"	"BS_7G42J2SK"	"BS_4NWHYH53"	"BS_W80TJC27"	"BS_XF0ZX2B3"	"BS_KBT7MQ6H"	"BS_MT15SGJN"	"BS_H4NXBD2D"	"BS_QXKRN6CR"	"BS_NGHK9RZP"	"BS_N5DVEJXT"	"BS_8ZP3CBQA"	"BS_E4F1D721"	"BS_0QYS36NR"	"BS_1J2WQ08M"	"BS_196BBNEJ"	"BS_6H1C1ME9"	"BS_4T0HPZDC"	"BS_WRHDP7WF"	"BS_XQYHPBFS"	"BS_KXMYBQ6N"	"BS_MA2T7ET1"	"BS_JHGW42S6"	"BS_RHD7XPNP"	"BS_RGPSEMHC"	"BS_PJPGVD62"	"BS_J8VX4D17"	"BS_8RHPJ740"	"BS_CXVJK2FY"	"BS_T1DVKKJB"	"BS_V4W81SFC"
"M1"	3.53324747936579	3.66476843742301	3.74874442097745	3.94211500798519	3.91458015561216	3.59005666925382	3.81586568372456	2.97550705085899	3.83370311545161	4.04540685132967	3.51755188727973	3.41583841770699	3.01297162858247	3.68855640181415	3.7711789676716	2.5813877648714	3.84935685656134	3.34410158339469	3.74332709625137	3.8945178116512	3.42386386752737	3.60648668628247	3.57079410494467	3.52326066320894	3.84556592636058	3.40166685888922	3.56960101795312	3.60800963745233	3.27543331991052	3.39778262777753	2.71313858843467	2.64242296841451	2.43296925467827	2.70566786302265	2.01848471336227	2.03576803124493	2.50819088793736	2.47471567718301	2.12882147734645	2.40394578066177	2.29802064860349	2.22645816522624	2.68375760318628	2.44424223584993	2.11213037794898	2.07018459417807	2.19983051183199	2.72860609910816	2.98809512943778	3.87287950833089	3.69158363414659	3.44702326732598	3.34569196982007	3.79966341652541	3.54786561050775	3.52374731724191	3.91833447919187	3.51882339745516	3.77278977570188	3.73894632598107	3.69306270310367	3.74657413451076	3.28212579649004	3.35322945508677	3.63552927756236	3.50252232908767	2.59255526262214	2.84896597565775	3.30961952585947
"M2"	3.59536650287842	3.77217729269912	2.17425296767141	3.98167251958171	3.95952894859614	3.34135371351576	3.83604088148012	2.84956350013229	3.74873645725501	4.09197476387391	3.57618046750236	3.54755068884706	2.90791362973567	3.75937488069253	3.80887451188762	1.95573270129413	3.94685795278875	3.27181285454579	3.81924909654096	2.47296755769981	2.72821476368179	2.91038317679118	3.76256560830196	3.46441005263442	3.9288432382856	3.49799454343235	3.03008947343218	3.77645613406823	3.26463232419545	3.4928395649328	2.40202106183087	2.83445092153777	2.58890645616951	2.80928189361561	2.2450014913168	2.22197408187298	2.72334748770701	2.70492362306344	2.30805269098514	2.7064447339174	2.429877333207	2.40618970345784	2.81372255726691	2.55439874627064	2.2619173312622	2.37485480488975	2.36672637138539	2.7405419056963	3.18802426802208	3.9025447630947	2.5226168050554	3.41662124704963	3.17287410536593	3.83917407779041	3.57002178620787	3.49759321658149	3.95720550155116	3.53936251675203	2.6541731788264	2.38121364005211	3.71479141285722	3.80453344191864	3.24940733517527	3.27807692866158	3.60163831441769	3.46479997095549	2.76840621689884	2.81177222351142	3.03200522918827
"M3"	3.52467835624034	2.79358489193064	2.63853222406609	3.14497868672955	2.74271555395227	2.81540419569853	3.00881090431949	2.12926080915677	2.93829755567037	3.25731478022079	2.99734249568608	2.66104331346763	2.41667070353713	3.64894080784273	3.38244534567488	1.98153727085037	2.85367674603064	2.20830355399398	3.14104532275867	2.70016724599866	2.67314044865957	2.87757786750927	2.63978036778576	2.62396357585161	3.39410075588632	3.29342659198666	3.09954015060312	2.84289152442617	3.29316889719957	2.92629896598379	2.68648093046055	2.45825715169558	2.95168026791265	2.96671121876428	2.167229210688	2.29422309968885	2.90994330200733	2.84877609715631	2.05044507755358	2.72945072842743	2.52808477803573	2.69793760901899	3.19744816442193	3.15615596061508	2.25338823046762	2.42751239839065	1.93373231607778	3.48362033149502	2.72271846821371	3.78214926174102	3.34005060017747	4.0526006941603	3.90619940328313	3.36118811244426	3.91946454945229	4.19758936450132	4.39169256444973	3.86850583747575	3.69602629450553	2.83624533314613	3.52847393253408	3.61082294403969	3.45279241543377	4.13075387177434	3.66330197369503	3.89034754997302	3.12284762601149	3.49119909900987	3.47565758026243
"M4"	2.41449985106777	2.32454779252714	2.04038434981898	2.79578182607802	2.82540254344927	2.55187106384232	2.53869677119633	2.37257169058433	2.42646922470429	3.25149317243765	2.73681735522689	2.09617585534566	2.65039807638787	2.6883824099743	2.51865199687659	1.48376498149475	2.70428847438038	2.35021616167444	2.5955967997325	2.16714760534909	2.44640161345054	2.36315744386153	2.54541357827127	2.20064213308158	2.76677707180876	2.39348507449265	2.46711657416587	2.72423886003674	3.91614342386109	4.07526323284241	1.84586672684566	2.91351452871146	3.33738569696796	3.88540360025736	3.53887620617372	3.6437243031166	3.44073457362819	3.86742028487047	3.23670900258985	3.77576826277787	3.64373735922542	3.51168905536461	3.52796106268566	3.86659290558026	3.60830721427237	3.63783800936144	3.72010340259462	3.79798304992637	3.96703356694953	2.84020152102843	2.15911446415554	2.55406401582141	2.96177156563999	2.659060378628	2.68853222626993	2.73171210766277	2.93935199218083	2.69255494786411	2.41782222956337	2.08563840385429	2.66680278396873	2.55461552053217	2.32478540004632	2.47356082891749	2.61646032361621	2.6683217963221	3.56940247459551	4.01367064299474	2.87661206001984
"M5"	3.46260407780674	3.24376705368783	3.13714599406646	3.12512734917284	3.23249407578653	3.73944641517001	4.04053324726669	3.92484764410474	3.73248085555145	4.71535693904892	2.58579350260477	3.43215811209842	1.65522630431678	3.6697700639614	3.75111609719729	3.49090842873806	3.16298199978653	3.57146757848564	3.38213650190396	3.16261363294183	3.79701024708378	4.33658614405248	3.48605165703891	2.57538029756556	3.65972570306156	2.75910910269418	3.86466927204283	3.22316863145351	3.6141514962309	3.00797118577125	3.6668485548085	1.99646027953325	2.33038314391731	2.09211837562103	2.00443549780622	1.81166861570242	2.93861300298893	2.98759394990814	2.60008445105008	3.08619482392572	2.45215069933746	2.62963032309715	2.86312672799151	2.39464805886199	2.2637513251807	2.54509409375306	2.66440595183815	3.15431094319922	3.20520767003712	3.86368578870825	3.43890353041389	3.00433297247725	3.27289165851862	3.02471538031301	3.46839996047471	2.82995641340582	3.31125179314917	2.90116071620331	2.9571641542968	2.80273201021222	3.78048363346789	4.00611966086465	3.42181018114641	3.20278513538587	3.11399600501042	3.35969308436686	2.07189199980411	2.62230858344142	3.17763165566894
"M6"	3.20085127381527	2.82689691104318	4.06681926367964	3.30599569517907	3.06440646463533	3.47677882351508	3.49784112417252	2.67341566042611	3.16560111349181	3.81775036791821	2.95009760011827	2.82875922852552	2.66792589596191	3.3035110300304	3.27793606205482	2.94739898747214	3.03378440387941	2.75082607349026	3.10653323468846	3.80582836898754	3.87950165463796	4.10362047107882	2.95328730967233	2.99998227666054	3.2096134017597	3.04978356150517	4.13276257481113	2.89746353665173	3.64556180300104	3.22124333600315	3.12590847434055	2.648812244591	2.96854210192869	2.91808867890119	2.10369909381256	2.34208619033875	2.67960664120767	2.67502943963333	2.12169191101849	2.64558234527844	2.58527437536161	2.39928240881828	3.19298392981536	2.8286155978121	2.35598226807126	2.22222122878314	2.08547570777025	3.11704223919878	2.97032976354891	3.65953030177362	4.29949629250479	4.05555267594194	4.10767537316809	3.26571987659567	3.52119488734752	3.67491477458114	3.9031734032198	3.42262822184448	4.47547006538475	3.95022912845766	3.58845712279562	3.66809591915918	3.29777507599707	3.59698677391033	3.60762102191002	3.62073252215103	3.21619679752294	3.13216872395723	3.94360885512467
"M7"	3.93289064303941	4.11558591520032	2.06495561983075	4.37459391079498	4.39117345366736	3.79758013412344	4.28374288459631	3.68491393929296	3.90213512378402	4.52676426869431	3.67680412898987	3.97625290099308	4.0929359354607	4.19480990614022	3.92790292681289	1.98614221832379	4.35219878317929	3.73384222970267	4.27772521748451	2.48708531310958	2.92946615433478	2.80235331843531	4.43307593172987	4.21899157446458	4.30094374642783	3.83366473142217	3.20975674203415	4.1635433655641	3.9352878229372	4.25596698040552	2.72173382891325	3.56941881439177	3.10279746324769	3.8145054820202	3.24175748849827	3.49384506986101	3.5942913766538	3.65979766627558	3.15924360357712	3.58526155968929	3.55048001011866	3.49175987782719	3.61994719182507	3.14008383771448	3.42537357943907	3.36226228274233	3.6953193166708	3.28643947508053	3.89378950325413	4.0007416421375	2.25226439927055	3.26702411133182	2.92556665336771	4.12283786850452	3.57097062061176	3.41184723732596	4.0218581065907	3.67546273319662	2.43514252267597	2.33218636656146	3.91374711327895	3.8035348841466	3.26949490691298	3.21534043281143	3.74831364462668	3.49228841000307	3.24690046781101	3.60765375721196	3.49984553484452
"M8"	2.74015633471288	2.92574331821662	2.3984247697406	3.382867446991	3.76341387251687	3.08227318483823	2.90566965496152	2.18258264332311	2.68923878195921	2.99653836614441	3.93481302645714	2.56481208250765	3.66728526509529	3.31997308027721	3.05290029016674	1.73552539336073	3.59018221564097	2.80723636920325	3.03747088493547	2.55002384924264	3.08127158852146	2.18308105302661	3.46887874681694	2.44704021806754	3.57150841149543	3.18064398915385	2.53898441952443	4.16871474898247	3.11951927103581	3.5132199742528	1.98255042482981	3.4879007626223	3.55720066703617	3.82911059192613	3.41545986323172	3.57295415708778	2.98534923991076	3.64060187036474	2.86132687725262	3.86675685629736	2.57914758492772	3.3263781356257	3.36182792739638	3.27947915874904	3.05188084517034	3.61058448329021	3.32750183094665	3.28975725076644	4.16246656852078	3.26456361159719	2.13774247977942	3.18352373722957	3.70261785248365	3.4653840792089	3.02655422692892	3.20080111437824	3.55174216264294	3.22199467509157	2.98340343425106	2.3466956308734	3.09328147863594	3.09784832233064	2.50679265672107	2.73606798149116	3.31138587001419	2.86407440481162	2.82152222397404	3.4574797968243	3.72495912798537
"M9"	2.62880684842028	1.98737087724866	1.9014090846368	3.56532331295947	3.57497974254192	2.20568392259135	2.18063904681666	2.60864027942565	2.46248699308478	3.59954763455344	3.12503097568797	1.77394472095792	3.15441623370605	3.03107960755465	2.38557003965461	1.62175821249976	3.56517062465055	2.89434784802558	2.35960200863682	2.21644440079313	2.9102253215457	2.09298495821614	3.31796801161073	2.88397331377465	3.32471770235881	3.13259210320707	2.85050981465145	2.74476155277093	3.35663451181499	3.98792231493682	1.25570621198798	3.17706160284776	2.81235843948653	2.36315094322705	1.22704514534549	2.01463507309975	2.21869097201011	2.25270499503028	1.84250473563768	1.99343561622349	1.21553494449217	1.83414573976508	2.8427962850296	1.90649021550528	1.5670676981899	2.02753084757996	1.30016335580275	2.3835705074802	3.173151707134	2.618762150474	1.99492944317667	2.43460353704666	2.7984534118446	3.26829623328629	2.71783660352817	3.33003869951871	3.00504358925073	3.41083977926428	2.11582642212438	1.95380475610363	2.44712700395629	2.18492358871616	2.51589846451073	2.52728247107395	3.02913158808715	2.55113334687795	1.9376630262415	2.26141340189293	3.10469646599396
"Not.Correlated"	2.35756556611162	1.83775084722919	2.95981641452519	2.47367819630204	2.32364442725723	2.84383566436465	2.38766662540544	2.53482489145734	2.39179267773188	3.21484959132619	2.27247050402974	1.96529000316786	2.73701322548608	2.42780911979109	2.38614438106829	2.22556217381947	2.15728249604604	2.19907726277462	2.04603235077121	3.03896160565853	2.9204669715005	3.06243313259182	2.26894668923409	2.30800333827408	2.60820520202716	1.8145878943923	2.91626302883733	2.05980951606828	2.65607786329997	2.86478801005354	2.01805493870346	2.37131453573036	2.47227849689573	2.49238925610603	2.40357927705112	1.89425918624022	2.37759572018702	2.63499022501734	2.12289255101798	2.48038613987322	2.38179786654524	2.03064022548079	2.59202902347756	2.47875691096059	2.52713957120562	2.12824436264355	2.14893237786842	2.38614240366386	2.87567339544281	2.37190518129506	2.8686413084944	2.18934539024943	2.55613710726797	2.12199094850067	2.37311637189779	2.0558737768453	2.44746279937774	2.40657260822811	3.11299415946475	2.90095482459551	2.34590170629615	2.19839714897469	1.99421653584712	1.99556340197102	1.98854921867317	2.0469624582275	2.0673400721048	2.48682812745297	2.45183041907068
