"modules"	"BS_AGTPCRR4"	"BS_C80S5N37"	"BS_BJDNWMJH"	"BS_GV3NZ9QD"	"BS_EMYET8F4"	"BS_3X9WMZGJ"	"BS_34201DKZ"	"BS_3F4FQJMR"	"BS_0BXY0F9N"	"BS_7BTZQKYY"	"BS_4SCWT0FX"	"BS_4FZS7TX4"	"BS_VJ2S5DVS"	"BS_X67GTEM6"	"BS_WFD0GE5X"	"BS_SAA624A4"	"BS_T4P3J13C"	"BS_SDCNP7MW"	"BS_TXY8QYWA"	"BS_TBWYAFSM"	"BS_TNRHHYNC"	"BS_Q5WZYWCT"	"BS_RCFQ31XF"	"BS_N8J1DP02"	"BS_PSW27ZTE"	"BS_PRAEF32W"	"BS_P78SMRBS"	"BS_KDSTG5YY"	"BS_0XEG6SNV"	"BS_07ANYSYQ"	"BS_WYERXS4G"	"BS_EVCAC3NH"	"BS_74G5K7JF"	"BS_C05FKR8X"	"BS_FTKPQ5FZ"	"BS_G23JJAZY"	"BS_CZ3NA7KV"	"BS_CZ3ER8DY"	"BS_EK5PCKY0"	"BS_7G42J2SK"	"BS_4NWHYH53"	"BS_W80TJC27"	"BS_XF0ZX2B3"	"BS_KBT7MQ6H"	"BS_MT15SGJN"	"BS_H4NXBD2D"	"BS_QXKRN6CR"	"BS_NGHK9RZP"	"BS_N5DVEJXT"	"BS_8ZP3CBQA"	"BS_E4F1D721"	"BS_0QYS36NR"	"BS_1J2WQ08M"	"BS_196BBNEJ"	"BS_6H1C1ME9"	"BS_4T0HPZDC"	"BS_WRHDP7WF"	"BS_XQYHPBFS"	"BS_KXMYBQ6N"	"BS_MA2T7ET1"	"BS_JHGW42S6"	"BS_RHD7XPNP"	"BS_RGPSEMHC"	"BS_PJPGVD62"	"BS_J8VX4D17"	"BS_8RHPJ740"	"BS_CXVJK2FY"	"BS_T1DVKKJB"	"BS_V4W81SFC"
"M1"	3.61258168340927	3.68931631186879	3.85691769815067	3.9759010394783	3.9492662763913	3.55802912617528	3.8886607421847	3.06512116692044	3.85966679743464	4.08504554439554	3.60238550511772	3.50834169248556	3.1155193590191	3.72959561040211	3.86616838344729	2.61814509096691	3.91716217311118	3.40830214177836	3.79871218615943	3.9126031786963	3.40578188762588	3.68247353258401	3.68999498436708	3.65050040100394	3.8912039423425	3.49398617873324	3.59204052397391	3.75440482979088	3.41080856414341	3.52518770664017	2.85167214207025	2.70209922423411	2.48774452695282	2.71946243404852	2.07042341899467	2.04627029691767	2.52146397719251	2.47502341127875	2.11520460511852	2.35766608389924	2.30452521724144	2.24437577691427	2.73859220097826	2.4164250895802	2.09336278966143	2.13604913237799	2.13848771714593	2.76277478271191	3.04608020204793	3.94575091881979	3.71634662434653	3.48195390352117	3.35363393451382	3.87394072097816	3.61975601456828	3.60692267105014	3.99263387451743	3.5562147622699	3.80823333373415	3.78844197169714	3.76660849020823	3.86246453274513	3.291520300195	3.40830214177836	3.69067264980831	3.5688549197075	2.53262854568506	2.91136863171183	3.26133341143132
"M2"	3.58184265123561	3.82011733012625	2.09336278966143	4.02273204835857	3.96393509431173	3.38377887471127	3.83860899239078	2.8163262112887	3.86754961949937	4.07843055302096	3.61258168340927	3.50019387728201	3.0262106814603	3.78912478764586	3.81084324647582	1.90156235969514	3.94461840133476	3.41947427505938	3.80560841997931	2.40526260988241	2.67787108046395	2.91508410506521	3.74832772747658	3.47156963338349	3.92735732872036	3.52323777345856	2.94722937186146	3.85069250879307	3.35926491139795	3.59332453643754	2.46847825866452	2.90003732606697	2.61099975749014	2.79275990574262	2.30452521724144	2.2754401406325	2.66506541890101	2.80233284630341	2.2754401406325	2.70209922423411	2.4164250895802	2.43796341175973	2.81170923421682	2.60374084694041	2.26017206172182	2.40526260988241	2.29021420169375	2.7692879644827	3.15656362222695	3.88469301380801	2.47821298683078	3.37575287545611	3.20585972101661	3.83218199363499	3.58611947275901	3.49294330885752	3.98309646231807	3.51035613385038	2.63893383771141	2.38208417038271	3.74307519718464	3.82113625402202	3.2363925662591	3.34793266011846	3.58611947275901	3.52225967583718	2.68404968082699	2.7829819952147	2.99312812206715
"M3"	3.42914124063524	2.74701008434234	2.54941572314286	3.02555590034658	2.64897175978469	2.70480411886779	2.91689710548188	2.12562686874825	2.91672920225125	3.20018925963612	2.92050976608352	2.62864460631589	2.4108438497313	3.59031844055096	3.28657855281862	1.97940039337674	2.81355047674797	2.19341726489775	3.1128184653701	2.59502226320431	2.62166271895446	2.76791102596695	2.55758343572371	2.55349957943328	3.26771029873511	3.25079702497673	3.07171660675164	2.80932952879605	3.33487630830871	3.02647517234528	2.58880486784255	2.45842074810001	2.90573421744063	2.94343660322733	2.21046532064652	2.16553368360832	2.83649616230467	2.79027672699718	1.99375592239915	2.66700283857529	2.62512697832834	2.67787108046395	3.15218111686833	3.20147150590671	2.28573910383345	2.3494186951348	1.90156235969514	3.43521328671607	2.68713584737514	3.67453010234444	3.33554671492351	3.93653984094021	3.90230884282023	3.29622464793738	3.80243816999343	4.12870718695928	4.29552404242901	3.75525327290374	3.70364722709721	2.81401772275276	3.48715691322747	3.47489623949759	3.35292460455793	4.10602570879692	3.57578700556796	3.89387303956325	3.08509251308343	3.42641974911091	3.44682907751645
"M4"	2.46847825866452	2.38208417038271	1.93440624099142	2.8884176996413	2.97075512750553	2.61814509096691	2.67787108046395	2.38208417038271	2.51520065320309	3.3407044970213	2.84308880358779	2.13604913237799	2.70209922423411	2.76791102596695	2.57349326642397	1.48679185804293	2.86425204749683	2.44836323753551	2.67787108046395	2.15598349454817	2.45853149014707	2.29021420169375	2.73079248540239	2.26017206172182	2.90076337520964	2.51520065320309	2.52399773091949	2.79757145877966	4.01113119361552	4.1700002408874	1.78591013184388	2.98047806376717	3.50733112986703	3.94786106532384	3.65443930114943	3.78898830610416	3.6547617412281	3.94747532022189	3.4363274727912	3.95853173015335	3.8261970500254	3.60692267105014	3.57491532103073	3.9751752224358	3.70204172386528	3.75085732269893	3.91385106111771	3.92896763826327	4.02890838847564	2.94376739051715	2.15598349454817	2.56560763124623	3.05299939779837	2.79757145877966	2.71495376793851	2.82089697871326	3.00543720322016	2.77299014483646	2.47821298683078	2.07042341899467	2.7251065053369	2.65881731268465	2.3700383146337	2.58423293004845	2.77299014483646	2.79275990574262	3.87575044186132	4.13909036553512	2.87245016992979
"M5"	3.5830956285512	3.28826306254004	3.36620737953102	3.22714439392485	3.27161901221481	3.83070430760655	4.11755376823651	3.97189469460999	3.85259654351895	4.7945976937263	2.67787108046395	3.47375258069105	1.68845424575424	3.75616830285816	3.82820576944595	3.60408302066047	3.22714439392485	3.64663164492687	3.42069891908775	3.31830715039336	3.94398887344688	4.47424961686217	3.54424236998144	2.60374084694041	3.68247353258401	2.77801339602434	3.96116088981258	3.33778089201104	3.68040054476612	3.13192213593907	3.73083760087086	2.09336278966143	2.38208417038271	2.21104290573995	2.17508387266846	1.93440624099142	2.98367357981126	3.03197644458579	2.69014580368707	3.14328788486928	2.55758343572371	2.75411897934836	2.98047806376717	2.53262854568506	2.2754401406325	2.64565831255778	2.76791102596695	3.32739831972942	3.27499670357074	3.97553827514954	3.53002642300652	3.06512116692044	3.38905223497649	3.12496438625251	3.54888435382147	2.80704510359567	3.31059043767885	2.89045306681396	3.0144560690522	2.86009712996621	3.92776043873343	4.11808529255125	3.5340516967628	3.31059043767885	3.21579355811566	3.43750780486041	2.17508387266846	2.7251065053369	3.21194637504751
"M6"	3.18200592048458	2.80694883503418	4.08240743404084	3.25958313106443	3.09836595548632	3.33923501681729	3.52552557885254	2.75419630882337	3.21863302964814	3.73214303842382	3.08024466886097	2.88357152386467	2.68660896055448	3.31712203418443	3.27240230276211	2.91061884331257	2.96727682366115	2.80702104026011	3.17786192743479	3.68997093995223	3.92974509099024	4.1284194483281	2.93846879297487	2.87846401040326	3.24260575877077	3.03915087415184	4.11603520117285	2.89217473479524	3.77878081192956	3.23112837222406	3.1152245995533	2.74047538143317	3.0833999202309	2.87317927642106	2.0928140120566	2.22801342122825	2.71932114568426	2.77790407240243	2.13323587246518	2.64443541897705	2.90240515043412	2.45742265483461	3.36567454867157	2.78977978200736	2.57805329830462	2.26017206172182	2.09834194358868	3.1809488766321	2.94989748324226	3.53505214451678	4.34623569528811	4.12322523063431	4.04613602689663	3.25138700329941	3.54047900313488	3.75906223792506	4.03231639975166	3.37958752778065	4.47083783780905	4.03436365945719	3.53100186561278	3.63536397474528	3.24961045403479	3.56654654562358	3.51467139954382	3.72470798707404	3.13831909802176	2.93143602073895	4.08413212815713
"M7"	3.97727800628276	4.21025029565093	1.99290629882426	4.33345834111176	4.36627142334252	3.60657744172369	4.21700659365373	3.61616884898878	3.91320249241256	4.47831294535223	3.74287413449099	3.99729742299666	4.1127331297803	4.23310947794878	3.89118430493952	1.82780254869735	4.30531998105321	3.7505909950813	4.1660836872412	2.34494929739009	2.88043393478554	2.6134516790433	4.3485718502819	4.39207924866629	4.30476586862389	3.77652116506193	2.97975639338765	4.10576360546544	3.84730482122531	4.26259913984906	2.60737030221528	3.52419712890513	3.03771778145706	3.81574503199289	3.29369046039029	3.6477050762135	3.48021931785055	3.73820924610282	3.16083420986029	3.73349236751646	3.8253906199673	3.5657449303924	3.55666699811791	3.25865798867417	3.54122620645229	3.43622957953959	3.85873015677805	3.38523080641879	3.8104812736214	3.99747620977391	2.17354601905897	3.22338815589765	2.90460692843812	4.1385411408116	3.59454792102199	3.52732475281833	3.96927876914582	3.63823041791085	2.3184013349923	2.3184013349923	3.88244009989937	3.71019109738442	3.20414916812273	3.20211596171327	3.67394006799248	3.47793325389291	3.20064509143212	3.87549506671105	3.32432493905879
"M8"	2.54941572314286	2.75758011548117	2.34494929739009	3.31214424666179	3.56610572620014	2.86836950433006	2.6522852070116	2.07042341899467	2.58886743724785	3.05705776422682	3.91385106111771	2.46847825866452	3.92856559287923	3.21387401768595	2.9608206776453	1.73977942277406	3.49265087803181	2.81170923421682	2.94027896458267	2.46847825866452	3.06244915366347	1.96504486435434	3.41080856414341	2.3184013349923	3.44568580024516	3.09352556858598	2.39382042977851	4.21230996641047	3.01146952659986	3.51236172860225	1.86617079523151	3.59622333376697	3.56163637150567	3.76257672909317	3.43985935639701	3.66490411581016	2.94027896458267	3.63530661377526	2.85838262667759	3.82266039001663	2.39382042977851	3.2490332271498	3.28662569026341	3.23821993768146	2.98999830566373	3.62837429333627	3.28989458530187	3.30432179019587	4.072892787266	3.19018726855608	1.96504486435434	3.20020646407969	3.70401897751236	3.41080856414341	2.91876959421814	3.26306384587817	3.43276806177962	3.13192213593907	2.9868468916275	2.2754401406325	3.00846332483486	2.91508410506521	2.56560763124623	2.61814509096691	3.20806650751709	2.75758011548117	2.63893383771141	3.34360950489002	3.81240206467665
"M9"	2.70427637690129	1.86617079523151	1.82780254869735	3.63907264076784	3.61760838747441	2.23560748373089	2.13578902146748	2.49325382770561	2.39925462998146	3.62659112329365	3.06237837882466	1.65953347510672	2.84028912939277	3.1521598851451	2.31510518817776	1.56435264551611	3.54326137582697	2.98467330458965	2.21762796719514	2.06981654328955	2.87858318021465	1.96504486435434	3.36093187514552	2.90949565698734	3.28187489220196	3.09601549894765	2.81161491250834	2.62057632212973	3.37166808668805	3.99087779472214	1.19541102897113	3.10581634562468	2.77254279278351	2.26017206172182	1.27533261402646	2.00352129995346	2.23560748373089	2.39323170210695	1.94972555267288	2.05834685795617	1.11548944391581	1.88386657746333	2.88124237143637	1.94765914104714	1.44002056074116	2.12562686874825	1.27533261402646	2.34623522016206	3.16518439416076	2.57697406293999	1.93440624099142	2.49698765374914	2.77544651059082	3.28825136328565	2.80193948696398	3.29654286518689	3.04741443466804	3.42494944950239	1.94972555267288	1.82780254869735	2.4108438497313	2.14514423889349	2.61077251854915	2.47821298683078	3.00238066765238	2.55729626619019	1.91798430034328	2.3251347732096	3.05420762364519
"Not.Correlated"	2.47821298683078	1.90156235969514	3.39296767603028	2.4164250895802	2.38208417038271	3.01146952659986	2.38077457360616	2.67787108046395	2.50623078054546	3.36066187369388	2.24437577691427	1.99375592239915	2.90003732606697	2.43796341175973	2.3700383146337	2.3318682114269	2.22801342122825	2.22801342122825	1.96504486435434	3.5798358886125	2.87649469597254	3.19622512386459	2.54109926595641	2.21104290573995	2.91136863171183	1.93440624099142	2.97726003056911	2.09336278966143	2.85167214207025	3.28333322832699	2.04627029691767	2.49708118828186	2.47821298683078	2.48774452695282	2.44836323753551	1.68845424575424	2.3700383146337	2.73068167333863	2.09336278966143	2.47821298683078	2.34275178233911	2.19341726489775	2.76318781467774	2.64805508742675	2.70796061802989	2.09336278966143	2.21104290573995	2.47821298683078	2.96746759770836	2.51234941735805	3.00846332483486	2.24437577691427	2.54941572314286	2.19341726489775	2.58886743724785	2.13604913237799	2.42732121824955	2.47821298683078	3.35425675147478	3.02913148969023	2.55758343572371	2.26017206172182	2.21104290573995	1.96504486435434	2.07042341899467	2.02076773329418	1.90156235969514	2.46847825866452	2.3184013349923
