"Module"	"Gene1"	"Gene2"
"M1"	"RBBP7"	"FOLR1"
"M1"	"RBBP7"	"FOXJ1"
"M1"	"PDK3"	"WFIKKN2"
"M1"	"DHRS2"	"TLN1"
"M1"	"DHRS2"	"ARNT"
"M1"	"DHRS2"	"EXOSC5"
"M1"	"DHRS2"	"SOX9"
"M1"	"DHRS2"	"RNF39"
"M1"	"DHRS2"	"LGR5"
"M1"	"DHRS2"	"MED21"
"M1"	"DHRS2"	"DUS2"
"M1"	"DHRS2"	"KRT15"
"M1"	"CD38"	"PTP4A1"
"M1"	"CD38"	"GATM"
"M1"	"TCL1B"	"EGFR"
"M1"	"MED31"	"OLR1"
"M1"	"THRA"	"POU3F4"
"M1"	"DNAJA1"	"WFIKKN2"
"M1"	"GRIN2C"	"ACKR3"
"M1"	"GRIN2C"	"MYO16"
"M1"	"GRIN2C"	"ERBB2"
"M1"	"GRIN2C"	"PRF1"
"M1"	"GRIN2C"	"APBB1IP"
"M1"	"GRIN2C"	"CSRP3"
"M1"	"GRIN2C"	"CTBS"
"M1"	"GRIN2C"	"PABPC3"
"M1"	"GRIN2C"	"RAB5B"
"M1"	"GRIN2C"	"PTP4A1"
"M1"	"GRIN2C"	"SCGB3A2"
"M1"	"GRIN2C"	"ALCAM"
"M1"	"LGI1"	"SEMA6A"
"M1"	"LGI1"	"SLC9A4"
"M1"	"LGI1"	"GOT2"
"M1"	"LGI1"	"HABP4"
"M1"	"LGI1"	"ZNF581"
"M1"	"LGI1"	"RPL15"
"M1"	"DIO2"	"EXTL1"
"M1"	"HNRNPU"	"AMER2"
"M1"	"PCNA"	"C8orf34"
"M1"	"MAP3K5"	"C8orf34"
"M1"	"ARHGDIA"	"C8orf34"
"M1"	"BTAF1"	"RORB"
"M1"	"BTAF1"	"CYP4F3"
"M1"	"SYT13"	"ART3"
"M1"	"RASSF9"	"MTFR2"
"M1"	"RASSF9"	"REV1"
"M1"	"RASSF9"	"PTP4A1"
"M1"	"RASSF9"	"POLR3H"
"M1"	"RASSF9"	"DNAJB9"
"M1"	"RASSF9"	"MCFD2"
"M1"	"RASSF9"	"DDX39B"
"M1"	"RASSF9"	"ACVR2B"
"M1"	"RASSF9"	"MT1G"
"M1"	"RASSF9"	"HELZ2"
"M1"	"RASSF9"	"ANKMY2"
"M1"	"RASSF9"	"TGS1"
"M1"	"RASSF9"	"NOLC1"
"M1"	"RASSF9"	"GRM7"
"M1"	"RASSF9"	"EPS15"
"M1"	"RASSF9"	"CCNDBP1"
"M1"	"RASSF9"	"H3F3A"
"M1"	"RASSF9"	"PRDM1"
"M1"	"RASSF9"	"PCDH17"
"M1"	"RASSF9"	"DCAF4"
"M1"	"RASSF9"	"ATG3"
"M1"	"RASSF9"	"KCNE1"
"M1"	"RASSF9"	"TGFB2"
"M1"	"RASSF9"	"SLC37A4"
"M1"	"RASSF9"	"BASP1"
"M1"	"RASSF9"	"BNIP2"
"M1"	"RASSF9"	"SOCS6"
"M1"	"RASSF9"	"RASGRF2"
"M1"	"RASSF9"	"CHRM2"
"M1"	"RASSF9"	"RPL26"
"M1"	"RASSF9"	"MAP2K4"
"M1"	"RASSF9"	"LSP1"
"M1"	"RASSF9"	"TGDS"
"M1"	"RASSF9"	"MYO7A"
"M1"	"RASSF9"	"PAX2"
"M1"	"RASSF9"	"FADS2"
"M1"	"RASSF9"	"THSD7A"
"M1"	"RASSF9"	"SORCS3"
"M1"	"RASSF9"	"RASD2"
"M1"	"RASSF9"	"ATP5J"
"M1"	"COG8"	"MOG"
"M1"	"PITPNC1"	"RORB"
"M1"	"PITPNC1"	"OLR1"
"M1"	"CASC3"	"ANGPT1"
"M1"	"CASC3"	"EXTL1"
"M1"	"DENND5A"	"DDIT4L"
"M1"	"DENND5A"	"CYP4F3"
"M1"	"CXXC4"	"ADAP1"
"M1"	"CXXC4"	"ART3"
"M1"	"CSNK1G2"	"OLR1"
"M1"	"SIX4"	"S100A1"
"M1"	"SH3GL3"	"COMMD1"
"M1"	"SH3GL3"	"DNAJA3"
"M1"	"SH3GL3"	"REV1"
"M1"	"SH3GL3"	"TARBP2"
"M1"	"SH3GL3"	"EXOC8"
"M1"	"SH3GL3"	"CD163"
"M1"	"SH3GL3"	"MIA3"
"M1"	"SH3GL3"	"CHMP2A"
"M1"	"SH3GL3"	"TAPBP"
"M1"	"SH3GL3"	"TIMM8A"
"M1"	"SH3GL3"	"ZCCHC11"
