"genes"	"modules"
"MT-CO1"	"M6"
"GFAP"	"M1"
"MT-ND4"	"M6"
"MT-CO3"	"M6"
"MT-CO2"	"M6"
"MT-ATP6"	"M6"
"MT-CYB"	"M6"
"MT-ND2"	"M6"
"MT-ND1"	"M6"
"MBP"	"M1"
"BCAN"	"M2"
"PLP1"	"M1"
"AQP4"	"M1"
"MT-ND3"	"M6"
"NTRK2"	"M1"
"SPP1"	"M4"
"CDR1"	"M5"
"MT-ND4L"	"M6"
"CHI3L1"	"M4"
"MT-ND6"	"M6"
"ATP1A2"	"M1"
"FAM107A"	"M1"
"TNR"	"M2"
"PMP2"	"M1"
"IGF2"	"Not.Correlated"
"EGFR"	"M1"
"PDGFRA"	"M2"
"FCGBP"	"M4"
"MTURN"	"M1"
"MT-ATP8"	"M6"
"EGR1"	"M4"
"AQP1"	"M1"
"FOS"	"M4"
"DAAM2"	"M1"
"HBA2"	"M4"
"ZBTB20"	"M5"
"SERPINA3"	"M4"
"COL1A1"	"M4"
"HBB"	"M4"
"COL1A2"	"M4"
"CDK6"	"M5"
"SMOC1"	"M2"
"OLIG1"	"M2"
"CNTN1"	"M2"
"ADCYAP1R1"	"M1"
"HBA1"	"M4"
"DNER"	"M2"
"C1QL1"	"M2"
"SEZ6L"	"M2"
"VGF"	"M2"
"SOX8"	"M2"
"COL3A1"	"M4"
"S100B"	"M1"
"COL6A2"	"M4"
"APOD"	"M2"
"OLIG2"	"M2"
"IGFBP2"	"M4"
"ZCCHC24"	"M6"
"METRN"	"M6"
"TUBB4A"	"M1"
"FLNC"	"M4"
"JUNB"	"M4"
"TTR"	"Not.Correlated"
"PTGDS"	"M1"
"POSTN"	"M4"
"GPX3"	"M6"
"BCAS1"	"M1"
"MOBP"	"M1"
"CADM3"	"M2"
"MKI67"	"M5"
"ARC"	"M2"
"TIMP1"	"M4"
"MT3"	"M6"
"TF"	"M1"
"DCX"	"M2"
"ZBED6"	"M5"
"SCG2"	"M4"
"GPR37L1"	"M1"
"AMER2"	"M1"
"TMEM132B"	"M2"
"NRXN1"	"M5"
"APLNR"	"M1"
"ADGRB1"	"M2"
"PADI2"	"M1"
"EFEMP1"	"M4"
"FREM2"	"M5"
"CNTN2"	"M1"
"PAQR6"	"M1"
"GRIA4"	"M2"
"IER2"	"M4"
"ATCAY"	"M2"
"APLP1"	"M1"
"FGF1"	"M1"
"CADM2"	"M2"
"SALL3"	"M5"
"EEF1A2"	"M2"
"FGFR3"	"M1"
"SLIT1"	"M2"
"GALNT15"	"M1"
"HIST1H1C"	"M5"
"THBS4"	"M2"
"HIST1H1E"	"M5"
"SCG3"	"M2"
"HSPB8"	"M1"
"ATP1A3"	"M3"
"PCSK1N"	"M6"
"HES6"	"M2"
"TOP2A"	"M5"
"KCNQ2"	"M2"
"NR4A1"	"M4"
"SPRY4"	"M4"
"VAT1L"	"M2"
"GRIA1"	"M2"
"ITGA3"	"M4"
"GABBR2"	"M2"
"GRIA2"	"M2"
"CD163"	"M4"
"HIST1H4E"	"M5"
"TENM3"	"M2"
"GNG7"	"M6"
"COL5A1"	"M4"
"HIST2H4A"	"M5"
"TIMP4"	"M2"
"TPPP"	"M1"
"COL11A1"	"M2"
"LUZP2"	"M2"
"MET"	"M4"
"ACAN"	"M2"
"SERPINE1"	"M4"
"CEBPD"	"M4"
"PSD2"	"M1"
"UGT8"	"M2"
"EDIL3"	"M2"
"SOCS3"	"M4"
"LTF"	"M4"
"MYRF"	"M1"
"GPR17"	"M2"
"CX3CR1"	"M1"
"CA12"	"M4"
"KBTBD11"	"M1"
"CLDN11"	"M1"
"COL20A1"	"M2"
"RASD1"	"M6"
"CSMD2"	"M2"
"EIF3CL"	"M6"
"ELFN2"	"M2"
"ERBB3"	"M2"
"DRAXIN"	"M2"
"SLC6A11"	"M2"
"RELN"	"M1"
"IGSF9B"	"M2"
"CD24"	"M1"
"CACNA1A"	"M3"
"LZTS1"	"M4"
"ST8SIA5"	"M5"
"NKAIN4"	"M2"
"FOSB"	"M4"
"CTNNA2"	"M1"
"GRIN2B"	"M3"
"HIST2H2AA4"	"M5"
"HIST2H3C"	"M5"
"KCND2"	"M2"
"TMEM47"	"M1"
"FBXL16"	"M3"
"ZIC1"	"M4"
"ZFHX4"	"M5"
"FBN2"	"M4"
"SNAP25"	"M3"
"HIST1H4J"	"M5"
"COL6A3"	"M4"
"RGS1"	"M4"
"CACNG7"	"M2"
"PTPRT"	"M2"
"FUT9"	"M3"
"CADPS"	"M3"
"GFRA1"	"M2"
"OPCML"	"M2"
"S100A10"	"M4"
"CRB2"	"M1"
"NEFL"	"M3"
"ERMN"	"M1"
"LYPD1"	"M2"
"STMN2"	"M3"
"CTXN1"	"M6"
"COL22A1"	"M4"
"ISG15"	"M4"
"EGR2"	"M4"
"NPTX2"	"M4"
"MAG"	"M1"
"CD93"	"M4"
"NPTX1"	"M3"
"EGR3"	"M4"
"HIST1H1B"	"M5"
"AHNAK2"	"M4"
"FAM19A5"	"M2"
"HIST2H2BF"	"M5"
"STUM"	"M1"
"ZNF460"	"M5"
"FOXG1"	"M5"
"GADD45B"	"M4"
"FRAS1"	"M5"
"PCLO"	"M3"
"NMNAT2"	"M3"
"PCDH15"	"M2"
"HIST1H2BC"	"M5"
"AATK"	"M1"
"SFRP1"	"M2"
"MEGF11"	"M2"
"ENPP2"	"M1"
"CP"	"M4"
"RAMP1"	"M6"
"EFHD1"	"M1"
"GPD1"	"M1"
"MDFI"	"M2"
"LMO3"	"M1"
"LRRN2"	"M2"
"ASCL1"	"M2"
"DLL3"	"M2"
"NGFR"	"M4"
"DCC"	"M2"
"MYT1"	"M2"
"SEZ6"	"M3"
"ENHO"	"M1"
"MASP1"	"M1"
"GALNT8"	"M2"
"CSMD1"	"M5"
"SLIT2"	"M2"
"GABRB3"	"M2"
"FRRS1L"	"M2"
"MYH14"	"M1"
"GALNT13"	"M2"
"PPP1R16B"	"M1"
"FBLN2"	"M4"
"SLC24A2"	"M1"
"TMEM132E"	"M2"
"IL17D"	"M1"
"MXRA5"	"M4"
"HIST1H2AG"	"M5"
"RPS4Y1"	"Not.Correlated"
"NEFM"	"M3"
"SFRP2"	"M1"
"NDN"	"M6"
"NNAT"	"M3"
"MOG"	"M1"
"KCNJ9"	"M3"
"BAIAP3"	"M1"
"CA10"	"M2"
"LINC00094"	"M6"
"FBXO2"	"M1"
"NMB"	"M1"
"P2RY12"	"M1"
"HPCAL4"	"M3"
"CRB1"	"M5"
"PHACTR3"	"M2"
"HIST1H3B"	"M5"
"CHGB"	"M3"
"CPLX2"	"M3"
"RORB"	"M1"
"ST6GAL2"	"M1"
"CELSR1"	"M5"
"BRINP3"	"M2"
"CALN1"	"M1"
"HIST1H2AE"	"M5"
"CHI3L2"	"M4"
"RIMS4"	"M2"
"TENM2"	"M2"
"AJAP1"	"M3"
"GPR37"	"M1"
"RYR3"	"M5"
"IGF2BP2"	"M4"
"NPNT"	"M5"
"L1CAM"	"M3"
"SEZ6L2"	"M3"
"B3GAT2"	"M1"
"SEMA3E"	"M2"
