"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	"12/103"	"272/5245"	0.00661714708392097	0.312077139619349	0.296608829684205	"ADCYAP1R1/APLNR/VIPR2/NTSR2/GRIK1/TSHR/GRIN2C/ADRA2A/S1PR5/ADRA2B/ADRA1D/NPY2R"	12
"M1"	"KEGG_NITROGEN_METABOLISM"	"KEGG_NITROGEN_METABOLISM"	"3/103"	"23/5245"	0.00979089914704067	0.312077139619349	0.296608829684205	"CA8/CA3/CA4"	3
"M1"	"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"	"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"	"3/103"	"23/5245"	0.00979089914704067	0.312077139619349	0.296608829684205	"ATP1A2/AQP1/CA4"	3
"M1"	"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE"	"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE"	"3/103"	"26/5245"	0.0137765610913541	0.312077139619349	0.296608829684205	"B3GAT2/EXTL1/HS3ST5"	3
"M1"	"KEGG_CELL_ADHESION_MOLECULES_CAMS"	"KEGG_CELL_ADHESION_MOLECULES_CAMS"	"7/103"	"133/5245"	0.0151493757096771	0.312077139619349	0.296608829684205	"CNTN2/CLDN11/MAG/HLA-DOA/CLDN10/HLA-DQA2/CD22"	7
"M1"	"KEGG_HISTIDINE_METABOLISM"	"KEGG_HISTIDINE_METABOLISM"	"3/103"	"29/5245"	0.0185588272567573	0.318593201241	0.302801918399724	"CNDP1/ASPA/ACY3"	3
"M1"	"KEGG_ARACHIDONIC_ACID_METABOLISM"	"KEGG_ARACHIDONIC_ACID_METABOLISM"	"4/103"	"58/5245"	0.0264751568847649	0.389563022732969	0.370254073726787	"PTGDS/AKR1C3/CYP4F3/ALOX15"	4
"M1"	"KEGG_RETINOL_METABOLISM"	"KEGG_RETINOL_METABOLISM"	"4/103"	"64/5245"	0.0362914240991125	0.467252085276074	0.444092426475982	"CYP26B1/RPE65/LRAT/DHRS9"	4
"M1"	"KEGG_TIGHT_JUNCTION"	"KEGG_TIGHT_JUNCTION"	"6/103"	"132/5245"	0.0445229442152636	0.472579059360891	0.449155365565282	"CLDN11/CTNNA2/MYH14/PPP2R2C/CTNNA3/CLDN10"	6
"M1"	"KEGG_PPAR_SIGNALING_PATHWAY"	"KEGG_PPAR_SIGNALING_PATHWAY"	"4/103"	"69/5245"	0.0458814620738729	0.472579059360891	0.449155365565282	"OLR1/RXRG/ACADL/SLC27A6"	4
"M1"	"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"	"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"	"3/103"	"48/5245"	0.0673773914358877	0.59936928081796	0.569661145795302	"HLA-DOA/HLA-DQA2/CCL28"	3
"M1"	"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM"	"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM"	"2/103"	"24/5245"	0.0796932344086235	0.59936928081796	0.569661145795302	"CD38/QPRT"	2
"M1"	"KEGG_AUTOIMMUNE_THYROID_DISEASE"	"KEGG_AUTOIMMUNE_THYROID_DISEASE"	"3/103"	"52/5245"	0.0814676692373926	0.59936928081796	0.569661145795302	"HLA-DOA/TSHR/HLA-DQA2"	3
"M1"	"KEGG_ENDOMETRIAL_CANCER"	"KEGG_ENDOMETRIAL_CANCER"	"3/103"	"52/5245"	0.0814676692373926	0.59936928081796	0.569661145795302	"EGFR/CTNNA2/CTNNA3"	3
"M1"	"KEGG_HEDGEHOG_SIGNALING_PATHWAY"	"KEGG_HEDGEHOG_SIGNALING_PATHWAY"	"3/103"	"56/5245"	0.096718960764471	0.625312237759682	0.594318222909049	"HHIP/LRP2/WNT7A"	3
"M1"	"KEGG_THYROID_CANCER"	"KEGG_THYROID_CANCER"	"2/103"	"29/5245"	0.110158097278605	0.625312237759682	0.594318222909049	"RET/RXRG"	2
"M1"	"KEGG_ASTHMA"	"KEGG_ASTHMA"	"2/103"	"30/5245"	0.116574210695588	0.625312237759682	0.594318222909049	"HLA-DOA/HLA-DQA2"	2
"M1"	"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	"2/103"	"32/5245"	0.129678509836145	0.625312237759682	0.594318222909049	"ASPA/ACY3"	2
"M1"	"KEGG_MELANOGENESIS"	"KEGG_MELANOGENESIS"	"4/103"	"101/5245"	0.136262117801972	0.625312237759682	0.594318222909049	"ADCY8/WNT7A/TYRP1/POMC"	4
"M1"	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"3/103"	"67/5245"	0.143872160561961	0.625312237759682	0.594318222909049	"IRS4/RXRG/POMC"	3
"M1"	"KEGG_LONG_TERM_POTENTIATION"	"KEGG_LONG_TERM_POTENTIATION"	"3/103"	"70/5245"	0.157862385647845	0.625312237759682	0.594318222909049	"ADCY8/PPP1R1A/GRIN2C"	3
"M1"	"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"	"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"	"3/103"	"70/5245"	0.157862385647845	0.625312237759682	0.594318222909049	"MGST1/AKR1C1/AKR1C3"	3
"M1"	"KEGG_VIRAL_MYOCARDITIS"	"KEGG_VIRAL_MYOCARDITIS"	"3/103"	"70/5245"	0.157862385647845	0.625312237759682	0.594318222909049	"MYH14/HLA-DOA/HLA-DQA2"	3
"M1"	"KEGG_ALLOGRAFT_REJECTION"	"KEGG_ALLOGRAFT_REJECTION"	"2/103"	"37/5245"	0.16375878011647	0.625312237759682	0.594318222909049	"HLA-DOA/HLA-DQA2"	2
"M1"	"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"3/103"	"73/5245"	0.172256211704766	0.625312237759682	0.594318222909049	"EGFR/CTNNA2/CTNNA3"	3
"M1"	"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"	"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"	"3/103"	"74/5245"	0.177136489524543	0.625312237759682	0.594318222909049	"CTNNA2/CTNNA3/PKP2"	3
"M1"	"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"9/103"	"325/5245"	0.186592376991202	0.625312237759682	0.594318222909049	"EGFR/FGF1/FGFR3/CTNNA2/CTNNA3/RET/HHIP/WNT7A/RXRG"	9
"M1"	"KEGG_GRAFT_VERSUS_HOST_DISEASE"	"KEGG_GRAFT_VERSUS_HOST_DISEASE"	"2/103"	"41/5245"	0.192037908300931	0.625312237759682	0.594318222909049	"HLA-DOA/HLA-DQA2"	2
"M1"	"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION"	"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION"	"4/103"	"116/5245"	0.193029575412741	0.625312237759682	0.594318222909049	"CLDN11/CTNNA2/CTNNA3/CLDN10"	4
"M1"	"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION"	"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION"	"2/103"	"42/5245"	0.199209674279071	0.625312237759682	0.594318222909049	"ATP1A2/IRS4"	2
"M1"	"KEGG_BLADDER_CANCER"	"KEGG_BLADDER_CANCER"	"2/103"	"42/5245"	0.199209674279071	0.625312237759682	0.594318222909049	"EGFR/FGFR3"	2
