"pathway"	"1"	"2"	"3"	"4"
"M1"	4.29959261481779e-56	4.54220978216168e-117	1.10979073013597e-09	6.58868824442663e-19
"M2"	3.65714747941797e-62	0.50383631713555	2.14676682773167e-98	1.31680564467609e-41
"M3"	1.83681670849171e-57	2.06050199730495e-05	2.24886804540681e-123	4.36373822237783e-82
"M4"	6.86027430588287e-51	1.17206889276305e-77	2.52018006053384e-07	2.09951047619201e-18
"M5"	0.112433862433862	5.66085227275898e-41	4.04435068942832e-41	4.09879091522747e-28
"M6"	3.04341388505771e-13	4.43389570429923e-09	3.75531572245161e-18	0.991082802547771
"M7"	4.92632447973175e-40	2.05284050651106e-24	5.1548510076132e-40	3.88230255005269e-07
"M8"	1.93538043917279e-33	9.57731432349592e-42	4.01849189413306e-25	2.99069133039558e-38
"M9"	3.04445889456396e-26	7.83320320558743e-12	2.71822606899804e-05	1.87354196051233e-10
"Not.Correlated"	0.182194616977226	0.000318778043412833	0.0144581531327646	0.875735548632745
