"Module"	"Gene1"	"Gene2"
"M1"	"TTR"	"APBB1IP"
"M1"	"TTR"	"ARL8A"
"M1"	"DHRS2"	"LGR5"
"M1"	"ANAPC4"	"DMD"
"M1"	"ANAPC4"	"CDH8"
"M1"	"ANAPC4"	"PTPRN"
"M1"	"PAH"	"PRUNE2"
"M1"	"DMD"	"POLI"
"M1"	"DMD"	"CEND1"
"M1"	"DMD"	"POLK"
"M1"	"DMD"	"PSEN2"
"M1"	"DMD"	"BEST2"
"M1"	"TRPC4"	"AQP3"
"M1"	"CDR2"	"BCL11B"
"M1"	"HK2"	"PTP4A1"
"M1"	"HK2"	"SPO11"
"M1"	"HK2"	"N4BP3"
"M1"	"NOL4"	"FOXA1"
"M1"	"NOL4"	"NEUROD4"
"M1"	"GEMIN4"	"RHO"
"M1"	"PDC"	"PTP4A1"
"M1"	"PDC"	"KISS1"
"M1"	"PDC"	"LNX2"
"M1"	"PDC"	"CCDC74B"
"M1"	"PDC"	"KRT75"
"M1"	"FAM184A"	"FOXA1"
"M1"	"FAM184A"	"GJA3"
"M1"	"FAM184A"	"ATP6V1C2"
"M1"	"DDI2"	"GPR61"
"M1"	"PACRG"	"PRUNE2"
"M1"	"STRA6"	"TLN1"
"M1"	"STRA6"	"VSX2"
"M1"	"STRA6"	"BATF3"
"M1"	"STRA6"	"PTPN11"
"M1"	"STRA6"	"GPC1"
"M1"	"STRA6"	"GATA3"
"M1"	"STRA6"	"CACNA1S"
"M1"	"STRA6"	"AGO4"
"M1"	"STRA6"	"CDK5"
"M1"	"STRA6"	"DNAJC11"
"M1"	"STRA6"	"ID2"
"M1"	"STRA6"	"RET"
"M1"	"STRA6"	"PTS"
"M1"	"STRA6"	"TMEM128"
"M1"	"STRA6"	"ACVR1"
"M1"	"STRA6"	"ZMYM3"
"M1"	"STRA6"	"DOCK4"
"M1"	"STRA6"	"LSAMP"
"M1"	"STRA6"	"PDCD5"
"M1"	"STRA6"	"RBBP8"
"M1"	"STRA6"	"HPRT1"
"M1"	"STRA6"	"NELFE"
"M1"	"STRA6"	"ADRB2"
"M1"	"STRA6"	"ELN"
"M1"	"STRA6"	"FGF8"
"M1"	"STRA6"	"PTP4A1"
"M1"	"STRA6"	"ETV1"
"M1"	"STRA6"	"AHNAK"
"M1"	"STRA6"	"ARHGEF6"
"M1"	"STRA6"	"C2orf44"
"M1"	"STRA6"	"FAM83C"
"M1"	"STRA6"	"CYSLTR1"
"M1"	"STRA6"	"GPR107"
"M1"	"WNK4"	"DLGAP2"
"M1"	"PXK"	"HOXC6"
"M1"	"PSMB5"	"COL2A1"
"M1"	"TUBB3"	"DNAH2"
"M1"	"SETD2"	"FGF8"
"M1"	"EIF2D"	"TNNC1"
"M1"	"PCNA"	"LGR5"
"M1"	"PCNA"	"C8orf34"
"M1"	"MAP3K5"	"C8orf34"
"M1"	"UQCRH"	"RCVRN"
"M1"	"UQCRH"	"RIMBP2"
"M1"	"CACNB4"	"RIMBP2"
"M1"	"IL16"	"CNGB1"
"M1"	"IL16"	"DLGAP2"
"M1"	"ARHGDIA"	"C8orf34"
"M1"	"DAZL"	"GNGT1"
"M1"	"SYT13"	"ART3"
"M1"	"RECQL5"	"AQP3"
"M1"	"GALNT14"	"PPP3CA"
"M1"	"GALNT14"	"SPRED2"
"M1"	"GALNT14"	"FAIM2"
"M1"	"GALNT14"	"A1BG"
"M1"	"GALNT14"	"TAF1A"
"M1"	"GALNT14"	"MPPED1"
"M1"	"GALNT14"	"PDLIM5"
"M1"	"GALNT14"	"RAB13"
"M1"	"GALNT14"	"WSB1"
"M1"	"GALNT14"	"MAGEA9"
"M1"	"GALNT14"	"BZW1"
"M1"	"GALNT14"	"YEATS2"
"M1"	"GALNT14"	"EEF1G"
"M1"	"GALNT14"	"FIGF"
"M1"	"GALNT14"	"GAN"
"M1"	"GALNT14"	"MBD2"
"M1"	"GALNT14"	"AMER1"
"M1"	"GALNT14"	"DHRS13"
"M1"	"ARHGEF28"	"HIST1H3H"
"M1"	"ARHGEF28"	"S100A13"
"M1"	"ARHGEF28"	"SLC7A7"
"M1"	"ARHGEF28"	"RASA3"
"M1"	"ARHGEF28"	"PTP4A1"
"M1"	"ARHGEF28"	"CD59"
"M1"	"ARHGEF28"	"CD300LD"
"M1"	"ARHGEF28"	"MB"
"M1"	"ARHGEF28"	"NANOG"
"M1"	"ARHGEF28"	"EIF2AK2"
"M1"	"ARHGEF28"	"UMOD"
"M1"	"ARHGEF28"	"CHERP"
"M1"	"ARHGEF28"	"EVC2"
"M1"	"ARHGEF28"	"NOMO1"
"M1"	"ARHGEF28"	"VAT1"
"M1"	"ARHGEF28"	"EPHA3"
"M1"	"ARHGEF28"	"TTI1"
"M1"	"ARHGEF28"	"RPL27"
"M1"	"ARHGEF28"	"PPP3R1"
"M1"	"PROM1"	"CTBS"
"M1"	"PROM1"	"PTP4A1"
"M1"	"PROM1"	"PRRG1"
"M1"	"MATN3"	"RPL3L"
"M1"	"F8"	"NRL"
"M1"	"CXXC4"	"LGR5"
"M1"	"CXXC4"	"ART3"
"M1"	"RAMP2"	"EPPK1"
"M1"	"PRKG2"	"RASGRF2"
"M1"	"PRKG2"	"GLMN"
"M1"	"PRKG2"	"JUP"
"M1"	"PRKG2"	"KIFC1"
"M1"	"PRKG2"	"SLC7A7"
"M1"	"PRKG2"	"SH3GLB1"
"M1"	"PRKG2"	"PTP4A1"
"M1"	"PRKG2"	"TGFB1I1"
"M1"	"PRKG2"	"TBCD"
"M1"	"PRKG2"	"C5AR1"
"M1"	"PRKG2"	"IL12A"
"M1"	"PRKG2"	"KPNA5"
"M1"	"PRKG2"	"DNAJC5"
"M1"	"PRKG2"	"GRM7"
"M1"	"PRKG2"	"FANCA"
"M1"	"PRKG2"	"MRPS25"
"M1"	"PRKG2"	"NLRP4"
"M1"	"PRKG2"	"LY6G6F"
"M1"	"PRKG2"	"SOCS6"
"M1"	"PRKG2"	"CDK17"
"M1"	"PRKG2"	"TRIM3"
"M1"	"PRKG2"	"MRPL18"
"M1"	"PRKG2"	"CHRM2"
"M1"	"PRKG2"	"EIF2B5"
"M1"	"PRKG2"	"SETD1A"
"M1"	"PRKG2"	"DDX6"
"M1"	"PRKG2"	"ADAM22"
"M1"	"PRKG2"	"EMILIN1"
"M1"	"PRKG2"	"LIPG"
"M1"	"PRKG2"	"ATP5G3"
"M1"	"PRKG2"	"PSPN"
"M1"	"PRKG2"	"LYL1"
"M1"	"PRKG2"	"CACNA1C"
"M1"	"PRKG2"	"DNAJC9"
"M1"	"PRKG2"	"PAX2"
"M1"	"PRKG2"	"OS9"
"M1"	"PRKG2"	"RAB36"
"M1"	"PRKG2"	"RNF6"
"M1"	"PRKG2"	"ACSBG2"
"M1"	"PRKG2"	"TCEB3C"
"M1"	"PRKG2"	"RPL18A"
"M1"	"PRKG2"	"SEC61A1"
"M1"	"PRKG2"	"BCAS1"
"M1"	"PRKG2"	"CCDC124"
"M1"	"PRKG2"	"ZNF512"
"M1"	"PRKG2"	"DPH6"
"M1"	"PRKG2"	"CHMP4C"
"M1"	"PRKG2"	"POMT2"
"M1"	"PRKG2"	"SUN1"
"M1"	"PRKG2"	"C6orf201"
"M1"	"PRKG2"	"EPHA3"
"M1"	"PRKG2"	"AGTRAP"
"M1"	"PRKG2"	"ATP6V0A1"
"M1"	"KCNN3"	"RPL3L"
"M1"	"NPHP3"	"PKP1"
"M1"	"ITGB6"	"DLGAP2"
"M1"	"SH3GL3"	"TNNC1"
"M1"	"MAGEA6"	"NCOA4"
"M1"	"MAGEA6"	"PPAP2B"
"M1"	"MAGEA6"	"KDM3A"
"M1"	"MAGEA6"	"PTP4A1"
"M1"	"MAGEA6"	"CCM2"
"M1"	"MAGEA6"	"KCNJ8"
"M1"	"MAGEA6"	"TRIM63"
"M1"	"MAGEA6"	"PSMB7"
"M1"	"MAGEA6"	"ITFG3"
"M1"	"MAGEA6"	"TRPV3"
"M1"	"CDK1"	"NRL"
"M1"	"TSHZ3"	"RNF144B"
"M1"	"TSHZ3"	"PTP4A1"
"M1"	"TSHZ3"	"TRO"
"M1"	"TSHZ3"	"LBR"
"M1"	"TSHZ3"	"F11R"
"M1"	"TSHZ3"	"LPA"
"M1"	"TSHZ3"	"H3F3A"
"M1"	"TSHZ3"	"EPS15"
"M1"	"TSHZ3"	"DHRS13"
"M1"	"TSHZ3"	"IER2"
"M1"	"STT3B"	"ART3"
"M1"	"TAS2R13"	"PKP1"
"M1"	"TAS2R13"	"SPOCD1"
"M1"	"CCNG1"	"TEX14"
"M1"	"NEB"	"CSPG4"
"M1"	"NEB"	"COLGALT2"
"M1"	"ANKRD18A"	"MYOT"
"M1"	"APH1B"	"PKP1"
"M1"	"APH1B"	"CDH8"
"M1"	"SLC2A3"	"RIMBP2"
"M1"	"RPP30"	"EPPK1"
"M1"	"RPP30"	"PLVAP"
"M1"	"TRIM56"	"ART3"
"M1"	"MCF2L2"	"HMGB3"
"M1"	"MCF2L2"	"KLHDC9"
"M1"	"MCF2L2"	"FOLR3"
"M1"	"MCF2L2"	"PTP4A1"
"M1"	"MCF2L2"	"UBAP1"
"M1"	"MCF2L2"	"ADRA1B"
"M1"	"MCF2L2"	"MAGEA9"
"M1"	"MCF2L2"	"SNX5"
"M1"	"TNNT2"	"RPL38"
"M1"	"TNNT2"	"STAP2"
"M1"	"TNNT2"	"PTP4A1"
"M1"	"TNNT2"	"ANXA11"
"M1"	"TNNT2"	"POLR2D"
"M1"	"TNNT2"	"OR8H2"
"M1"	"TNNT2"	"MAGEH1"
"M1"	"TNNT2"	"PLEKHD1"
"M1"	"TNNT2"	"UHRF1BP1"
"M1"	"TNNT2"	"LGALS4"
"M1"	"TNNT2"	"CSE1L"
"M1"	"GNAT1"	"ESM1"
"M1"	"GNAT1"	"NEFM"
"M1"	"GNAT1"	"S1PR3"
"M1"	"GNAT1"	"SLC1A7"
"M1"	"GNAT1"	"CIC"
"M1"	"GNAT1"	"APOBEC3C"
"M1"	"GNAT1"	"HPRT1"
"M1"	"GNAT1"	"MPPED1"
"M1"	"GNAT1"	"PTP4A1"
"M1"	"GNAT1"	"STXBP3"
"M1"	"GNAT1"	"WASF3"
"M1"	"GNAT1"	"COPS4"
"M1"	"GNAT1"	"SNCB"
"M1"	"GNAT1"	"ERAP1"
"M1"	"GNAT1"	"SH3BP2"
"M1"	"GNAT1"	"GPR12"
"M1"	"GNAT1"	"RFX2"
"M1"	"GNAT1"	"MGA"
"M1"	"GNAT1"	"ZNF165"
"M1"	"GNAT1"	"TRAPPC1"
"M1"	"GNAT1"	"MID1IP1"
"M1"	"GNAT1"	"DOCK9"
"M1"	"GNAT1"	"POTEM"
"M1"	"NAA10"	"MYO5B"
"M1"	"NBPF11"	"GRK1"
"M1"	"EFNA5"	"GNGT1"
"M1"	"DOCK2"	"DLX3"
"M1"	"ZNF202"	"RIMBP2"
"M1"	"GALNS"	"EPPK1"
"M1"	"URM1"	"GRIK1"
"M1"	"URM1"	"SLC27A6"
"M1"	"CUX1"	"NRTN"
"M1"	"RMND5B"	"RSPO1"
"M1"	"RMND5B"	"LAPTM4B"
"M1"	"RMND5B"	"FGF8"
"M1"	"RMND5B"	"RIMBP2"
"M1"	"FOXP4"	"COMMD1"
"M1"	"FOXP4"	"PIP5K1B"
"M1"	"FOXP4"	"POLR3B"
"M1"	"FOXP4"	"PSD"
"M1"	"FOXP4"	"JUP"
"M1"	"FOXP4"	"SPC24"
"M1"	"FOXP4"	"ZCCHC11"
"M1"	"FOXP4"	"SLC3A2"
"M1"	"FOXP4"	"WDR12"
"M1"	"FOXP4"	"CLCN3"
"M1"	"FOXP4"	"VBP1"
"M1"	"FOXP4"	"GATA5"
"M1"	"FOXP4"	"RHOH"
"M1"	"FOXP4"	"SGCA"
"M1"	"FOXP4"	"SH3GLB1"
"M1"	"FOXP4"	"PPP2R3B"
"M1"	"FOXP4"	"ADRB2"
"M1"	"FOXP4"	"KDM3A"
"M1"	"FOXP4"	"NEU1"
"M1"	"FOXP4"	"ERBB2"
"M1"	"FOXP4"	"AHRR"
"M1"	"FOXP4"	"PRKAB2"
"M1"	"FOXP4"	"PTP4A1"
"M1"	"FOXP4"	"VIMP"
"M1"	"FOXP4"	"AGRN"
"M1"	"FOXP4"	"PPP1R2"
"M1"	"FOXP4"	"SLC31A1"
"M1"	"FOXP4"	"DHX9"
"M1"	"FOXP4"	"CBLL1"
"M1"	"FOXP4"	"PEMT"
"M1"	"FOXP4"	"TFF3"
"M1"	"FOXP4"	"HOXB9"
"M1"	"FOXP4"	"ARL4A"
"M1"	"FOXP4"	"TAS1R2"
"M1"	"FOXP4"	"TSN"
"M1"	"FOXP4"	"FAS"
"M1"	"FOXP4"	"SNX30"
"M1"	"FOXP4"	"REV3L"
"M1"	"FOXP4"	"EPS8L1"
"M1"	"FOXP4"	"FLCN"
"M1"	"FOXP4"	"C1orf94"
"M1"	"FOXP4"	"RELA"
"M1"	"FOXP4"	"PUF60"
"M1"	"FOXP4"	"SPATA18"
"M1"	"FOXP4"	"UBE2T"
"M1"	"FOXP4"	"CC2D2A"
"M1"	"FOXP4"	"SLC10A3"
"M1"	"FOXP4"	"APOD"
"M1"	"IKZF2"	"CDK5R2"
"M1"	"GDI2"	"RIMBP2"
"M1"	"GDI2"	"C8orf34"
"M1"	"GDI2"	"COL23A1"
"M1"	"CABP2"	"CSRP3"
"M1"	"CABP2"	"ZNF91"
"M1"	"CABP2"	"HECTD1"
"M1"	"CABP2"	"SHMT2"
"M1"	"CABP2"	"KCNK18"
"M1"	"RXFP2"	"RSPO1"
"M1"	"CALCOCO2"	"RCVRN"
"M1"	"CALCOCO2"	"HOXC6"
"M1"	"RCVRN"	"CSPG4"
"M1"	"RCVRN"	"EXOC8"
"M1"	"RCVRN"	"PTPRB"
"M1"	"RCVRN"	"C19orf43"
"M1"	"RCVRN"	"MICALL2"
"M1"	"RCVRN"	"OMP"
"M1"	"RCVRN"	"LACRT"
"M1"	"RCVRN"	"SYNJ2"
"M1"	"RCVRN"	"TIAM2"
"M1"	"RCVRN"	"TMEM134"
"M1"	"RCVRN"	"VAMP1"
"M1"	"RCVRN"	"NOL7"
"M1"	"RCVRN"	"RBM41"
"M1"	"RCVRN"	"HERC2"
"M1"	"RCVRN"	"POLR2L"
"M1"	"RCVRN"	"IK"
"M1"	"MAPK13"	"TH"
"M1"	"MAPK13"	"TCF7"
"M1"	"KRBA1"	"DNAH2"
"M1"	"TNFRSF11B"	"RSPO1"
"M1"	"TNFRSF11B"	"P4HA2"
"M1"	"CNTRL"	"HOXC8"
"M1"	"PET100"	"POTEE"
"M1"	"CHML"	"SLC27A6"
"M1"	"PGF"	"CDK5R2"
"M1"	"ELF3"	"GNGT1"
"M1"	"MPP4"	"POU1F1"
"M1"	"MPP4"	"IGFALS"
"M1"	"MPP4"	"SF1"
"M1"	"MPP4"	"MSX2"
"M1"	"MPP4"	"PI4KB"
"M1"	"MPP4"	"TMEM167B"
"M1"	"MPP4"	"GABRB1"
"M1"	"MPP4"	"SPTBN2"
"M1"	"HOXC6"	"GATAD2A"
"M1"	"HOXC6"	"MAP3K11"
"M1"	"HOXC6"	"PRDX2"
"M1"	"HOXC6"	"MYL6B"
"M1"	"HOXC6"	"LTA"
"M1"	"HOXC6"	"PAM16"
"M1"	"HOXC6"	"ASB11"
"M1"	"HOXC6"	"UPK2"
"M1"	"HOXC6"	"SGPP1"
"M1"	"HOXC6"	"CRTC2"
"M1"	"HOXC6"	"HIST1H1E"
"M1"	"HOXC6"	"KIF1B"
"M1"	"HOXC6"	"TBC1D8"
"M1"	"HOXC6"	"PNPLA2"
"M1"	"HOXC6"	"MTFR2"
"M1"	"HOXC6"	"TGS1"
"M1"	"HOXC6"	"GTF2B"
"M1"	"HOXC6"	"CDC42EP3"
"M1"	"HOXC6"	"SKI"
"M1"	"HOXC6"	"SERPINB2"
"M1"	"HOXC6"	"HPRT1"
"M1"	"HOXC6"	"CEP76"
"M1"	"HOXC6"	"SKAP1"
"M1"	"HOXC6"	"MLTK"
"M1"	"HOXC6"	"SMCHD1"
"M1"	"HOXC6"	"NFE2L2"
"M1"	"RSPO1"	"MSH2"
"M1"	"RSPO1"	"HAPLN1"
"M1"	"RSPO1"	"BHMT"
"M1"	"RSPO1"	"RRP15"
"M1"	"RSPO1"	"FLT3"
"M1"	"RSPO1"	"CTSG"
"M1"	"RSPO1"	"CDH8"
"M1"	"RSPO1"	"RPS21"
"M1"	"RSPO1"	"GRIK1"
"M1"	"RSPO1"	"EPOR"
"M1"	"RSPO1"	"RPS12"
"M1"	"RSPO1"	"ACVR1"
"M1"	"RSPO1"	"COL4A1"
"M1"	"RSPO1"	"HAO2"
"M1"	"RSPO1"	"ZNHIT3"
"M1"	"RSPO1"	"PSD3"
"M1"	"RSPO1"	"SNRNP27"
"M1"	"RSPO1"	"APOA4"
"M1"	"RSPO1"	"REV1"
"M1"	"RSPO1"	"BBS2"
"M1"	"RSPO1"	"HOXD12"
"M1"	"RSPO1"	"MED30"
"M1"	"RSPO1"	"NPM3"
"M1"	"RSPO1"	"HOXB1"
"M1"	"RSPO1"	"MARK1"
"M1"	"RSPO1"	"MUSTN1"
"M1"	"RSPO1"	"SGCA"
"M1"	"RSPO1"	"NEU1"
"M1"	"RSPO1"	"AHRR"
"M1"	"RSPO1"	"PTP4A1"
"M1"	"RSPO1"	"CCNB2"
"M1"	"RSPO1"	"RPL11"
"M1"	"RSPO1"	"CDH3"
"M1"	"RSPO1"	"MRGBP"
"M1"	"RSPO1"	"SERPINA3"
"M1"	"RSPO1"	"FOXRED2"
"M1"	"RSPO1"	"ALS2CL"
"M1"	"RSPO1"	"FANCL"
"M1"	"RSPO1"	"F7"
"M1"	"RSPO1"	"GPRC5C"
"M1"	"RSPO1"	"RHBDL2"
"M1"	"RSPO1"	"HIST1H3J"
"M1"	"RSPO1"	"CXCL12"
"M1"	"RSPO1"	"SKA3"
"M1"	"RSPO1"	"ZFP36"
"M1"	"RSPO1"	"MTSS1"
"M1"	"RSPO1"	"NOC4L"
"M1"	"RSPO1"	"TFAP2A"
"M1"	"RSPO1"	"CTDSP1"
"M1"	"RSPO1"	"FGR"
"M1"	"TRPC5"	"C8orf34"
"M1"	"SUPT16H"	"PLVAP"
"M1"	"CARNS1"	"MAGEA2B"
"M1"	"GSK3B"	"DLGAP2"
"M1"	"TRIM40"	"LHX3"
"M1"	"TRIM40"	"DLGAP2"
"M1"	"HIP1R"	"PLVAP"
"M1"	"RGS10"	"MYO5B"
"M1"	"MAP3K11"	"LGR5"
"M1"	"ARHGEF11"	"ART3"
"M1"	"OCA2"	"GPS1"
"M1"	"OCA2"	"SUB1"
"M1"	"OCA2"	"PCID2"
"M1"	"OCA2"	"VAMP3"
"M1"	"OCA2"	"PTP4A1"
"M1"	"OCA2"	"TWSG1"
"M1"	"OCA2"	"SMG8"
"M1"	"OCA2"	"BMP15"
"M1"	"OCA2"	"TTLL4"
"M1"	"OCA2"	"AEN"
"M1"	"OCA2"	"NTMT1"
"M1"	"OCA2"	"COL23A1"
"M1"	"OCA2"	"TMA16"
"M1"	"OCA2"	"PM20D2"
"M1"	"WDR7"	"RIMBP2"
"M1"	"TOP1MT"	"RIMBP2"
"M1"	"MYH7B"	"PTP4A1"
"M1"	"MYH7B"	"UPK1A"
"M1"	"MYH7B"	"POLR1E"
"M1"	"MYH7B"	"KAT5"
"M1"	"MYH7B"	"KDM5D"
"M1"	"MYH7B"	"EPS8L2"
"M1"	"MYH7B"	"FEZ1"
"M1"	"TNFRSF9"	"PTPRN"
"M1"	"TNFRSF9"	"FGF8"
"M1"	"DIABLO"	"UNC119"
"M1"	"ATP8A2"	"MNT"
