"genes"	"modules"
"ZIC1"	"M2"
"RELN"	"M5"
"TNC"	"M3"
"CDR1"	"M6"
"NNAT"	"M2"
"GFAP"	"M6"
"SEZ6L"	"M3"
"IGF2"	"M7"
"COL1A1"	"M7"
"CDHR1"	"M1"
"PCDH17"	"M2"
"AMER2"	"M8"
"CHGB"	"M2"
"DRAXIN"	"M2"
"COL3A1"	"M7"
"BARHL1"	"M2"
"CLU"	"M6"
"KIF1A"	"M5"
"NKD1"	"M4"
"OTX2"	"M1"
"APC2"	"M5"
"CACNA2D1"	"M8"
"STMN2"	"M5"
"COL1A2"	"M7"
"DCX"	"M2"
"ENC1"	"M8"
"PCNT"	"M3"
"NTRK3"	"M4"
"DACH1"	"M5"
"COL6A3"	"M7"
"SYT4"	"M2"
"TBR1"	"M8"
"CADPS"	"M2"
"MAB21L1"	"M2"
"VCAN"	"M5"
"TTN"	"M1"
"EOMES"	"M2"
"CD24"	"M2"
"UNC5D"	"M2"
"PLXNA2"	"M2"
"INSM1"	"M4"
"CNTN1"	"M2"
"CDH23"	"M2"
"CNTNAP2"	"M8"
"SEZ6"	"M8"
"MAPT"	"M5"
"ZIC4"	"M2"
"RREB1"	"M8"
"IMPG2"	"M1"
"RPH3A"	"M2"
"ST18"	"M2"
"SV2B"	"M5"
"CACNA1A"	"M4"
"DPYSL5"	"M5"
"PLPPR4"	"M8"
"ASTN2"	"M2"
"ANK3"	"M5"
"L1CAM"	"M4"
"FZD1"	"M8"
"IGSF21"	"M2"
"ISLR2"	"M2"
"TRPM3"	"M2"
"ERBB4"	"M2"
"NEUROG1"	"M2"
"NRCAM"	"M3"
"PCLO"	"M8"
"PTPRO"	"M8"
"COL27A1"	"M8"
"DISP3"	"M2"
"ADGRV1"	"M1"
"UNCX"	"M2"
"PEX5L"	"M2"
"TMEM132B"	"M2"
"PHLDA1"	"M8"
"CHRM3"	"M2"
"NEUROD2"	"M2"
"ELAVL3"	"M5"
"ABLIM1"	"M5"
"IGFBPL1"	"M4"
"ZIC2"	"M3"
"NOVA2"	"M5"
"NEUROD1"	"M2"
"LHX4"	"M8"
"PAX6"	"M4"
"LAMA2"	"M7"
"TENM3"	"M3"
"TENM4"	"M2"
"KCNA1"	"M2"
"GRIA2"	"M5"
"TTR"	"M1"
"KCNQ2"	"M4"
"SPOCK1"	"M2"
"ST8SIA3"	"M4"
"LHX1"	"M5"
"EDIL3"	"M8"
"ZDHHC22"	"M2"
"HIST2H2AA4"	"M3"
"NPTX1"	"M1"
"HBB"	"Not.Correlated"
"KIAA1456"	"M2"
"HBA2"	"Not.Correlated"
"SFRP1"	"M4"
"PDE1C"	"M5"
"B3GAT1"	"M2"
"GRIN2B"	"M4"
"SEMA6A"	"M4"
"NRXN2"	"M5"
"CNTNAP5"	"M2"
"FLNC"	"M3"
"MYT1L"	"M2"
"CACNA1G"	"M1"
"CHL1"	"M2"
"ESRRG"	"M2"
"CTTNBP2"	"M2"
"EGR1"	"M7"
"ZFHX4"	"M1"
"KCNB2"	"M8"
"UNC119"	"M1"
"ADGRG1"	"M4"
"SHROOM2"	"M3"
"DGKB"	"M2"
"HK2"	"M1"
"EXPH5"	"M5"
"FSTL5"	"M8"
"PTPRZ1"	"M8"
"DSP"	"M2"
"COL5A1"	"M7"
"PSD3"	"M5"
"PLCH2"	"M1"
"DOK6"	"M8"
"HBA1"	"Not.Correlated"
"TMTC2"	"M2"
"BOC"	"M3"
"ELN"	"M3"
"SNCAIP"	"M2"
"COL6A2"	"M7"
"SLC7A14"	"M2"
"DSCAML1"	"M2"
"DCN"	"M7"
"NRN1"	"M8"
"BHLHE22"	"M2"
"DPP6"	"M5"
"GNB3"	"M1"
"RNF152"	"M5"
"KIAA1549L"	"M5"
"ZNF804A"	"M2"
"SLC24A2"	"M2"
"SGK1"	"M8"
"ASXL3"	"M2"
"PRR36"	"M5"
"NCAN"	"M6"
"KCND3"	"M5"
"SLC8A1"	"M1"
"CPLX2"	"M4"
"PRDM8"	"M4"
