"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM"	"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM"	"10/98"	"83/5245"	2.56733960958087e-06	0.000225925885643117	0.000216197019754179	"TTN/SLC8A1/DMD/CACNA2D4/CACNA1F/TNNC1/CACNB2/TNNT2/CACNA1S/CACNG5"	10
"M1"	"KEGG_DILATED_CARDIOMYOPATHY"	"KEGG_DILATED_CARDIOMYOPATHY"	"10/98"	"90/5245"	5.41971888566646e-06	0.000238467630969324	0.000228198689922798	"TTN/SLC8A1/DMD/CACNA2D4/CACNA1F/TNNC1/CACNB2/TNNT2/CACNA1S/CACNG5"	10
"M1"	"KEGG_CARDIAC_MUSCLE_CONTRACTION"	"KEGG_CARDIAC_MUSCLE_CONTRACTION"	"9/98"	"79/5245"	1.3386506129398e-05	0.000392670846462342	0.00037576157556205	"SLC8A1/CACNA2D4/CACNA1F/TNNC1/CACNB2/TNNT2/CACNA1S/COX6B2/CACNG5"	9
"M1"	"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"	"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC"	"8/98"	"74/5245"	6.08449997637851e-05	0.00133858999480327	0.00128094736344811	"SLC8A1/DMD/CACNA2D4/CACNA1F/TCF7/CACNB2/CACNA1S/CACNG5"	8
"M1"	"KEGG_ABC_TRANSPORTERS"	"KEGG_ABC_TRANSPORTERS"	"4/98"	"44/5245"	0.00878104982242557	0.15454647687469	0.147891365430325	"ABCA7/ABCA4/ABCG4/ABCC6"	4
"M1"	"KEGG_THYROID_CANCER"	"KEGG_THYROID_CANCER"	"3/98"	"29/5245"	0.0162578897403288	0.238449049524823	0.228180908636194	"MYC/TCF7/RXRG"	3
"M1"	"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	"10/98"	"272/5245"	0.0296262227724717	0.372443943425359	0.356405687488382	"GRIK1/GABRA5/GLRA1/GABRG3/GABRR2/GRM6/P2RX6/GALR1/MCHR1/HTR1B"	10
"M1"	"KEGG_PPAR_SIGNALING_PATHWAY"	"KEGG_PPAR_SIGNALING_PATHWAY"	"4/98"	"69/5245"	0.0393420796030228	0.43276287563325	0.414127153716029	"ACSL6/PCK2/RXRG/SLC27A6"	4
"M1"	"KEGG_MAPK_SIGNALING_PATHWAY"	"KEGG_MAPK_SIGNALING_PATHWAY"	"9/98"	"267/5245"	0.0604864458684513	0.516665061201346	0.494416326508465	"CACNA1G/MYC/RASGRF2/CACNA2D4/CACNA1F/CACNB2/CACNA1S/CACNG5/FGF8"	9
"M1"	"KEGG_TASTE_TRANSDUCTION"	"KEGG_TASTE_TRANSDUCTION"	"3/98"	"52/5245"	0.0724806491947773	0.516665061201346	0.494416326508465	"GNB3/ASIC2/GNG13"	3
"M1"	"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS"	"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS"	"3/98"	"53/5245"	0.0758287374022796	0.516665061201346	0.494416326508465	"PRPH2/NEFM/NEFL"	3
"M1"	"KEGG_PURINE_METABOLISM"	"KEGG_PURINE_METABOLISM"	"6/98"	"159/5245"	0.076020114110534	0.516665061201346	0.494416326508465	"PDE11A/PDE6B/GUCY2D/PDE6G/PDE6A/PDE6H"	6
"M1"	"KEGG_TGF_BETA_SIGNALING_PATHWAY"	"KEGG_TGF_BETA_SIGNALING_PATHWAY"	"4/98"	"86/5245"	0.0763255204047442	0.516665061201346	0.494416326508465	"MYC/INHBB/BMP7/AMHR2"	4
"M1"	"KEGG_HEDGEHOG_SIGNALING_PATHWAY"	"KEGG_HEDGEHOG_SIGNALING_PATHWAY"	"3/98"	"56/5245"	0.0862740799893221	0.542294217075739	0.518941834522238	"BMP7/LRP2/WNT10A"	3
"M1"	"KEGG_TIGHT_JUNCTION"	"KEGG_TIGHT_JUNCTION"	"5/98"	"132/5245"	0.0998814301155157	0.585971056677692	0.560737853280088	"PPP2R2B/LLGL2/MYH7B/MYH15/CLDN19"	5
"M1"	"KEGG_CALCIUM_SIGNALING_PATHWAY"	"KEGG_CALCIUM_SIGNALING_PATHWAY"	"6/98"	"178/5245"	0.114743490903621	0.631089199969913	0.603913110019056	"CACNA1G/SLC8A1/CACNA1F/TNNC1/CACNA1S/P2RX6"	6
"M1"	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"3/98"	"67/5245"	0.129240298384022	0.669008603399645	0.640199620478129	"ACSL6/PCK2/RXRG"	3
"M1"	"KEGG_VIRAL_MYOCARDITIS"	"KEGG_VIRAL_MYOCARDITIS"	"3/98"	"70/5245"	0.142074647906304	0.694587167541931	0.66467671535113	"DMD/MYH7B/MYH15"	3
"M1"	"KEGG_WNT_SIGNALING_PATHWAY"	"KEGG_WNT_SIGNALING_PATHWAY"	"5/98"	"151/5245"	0.151128187485768	0.69996213151303	0.66982022154357	"MYC/TCF7/DKK4/DKK1/WNT10A"	5
"M1"	"KEGG_TRYPTOPHAN_METABOLISM"	"KEGG_TRYPTOPHAN_METABOLISM"	"2/98"	"40/5245"	0.17119625518983	0.753263522835251	0.720826337641388	"TPH1/AANAT"	2
"M1"	"KEGG_TYROSINE_METABOLISM"	"KEGG_TYROSINE_METABOLISM"	"2/98"	"42/5245"	0.184650147669984	0.77377204737898	0.740451719979885	"PNMT/TH"	2
"M1"	"KEGG_TYPE_II_DIABETES_MELLITUS"	"KEGG_TYPE_II_DIABETES_MELLITUS"	"2/98"	"47/5245"	0.21887063376732	0.843265055471229	0.806952206192563	"CACNA1G/HK2"	2
"M1"	"KEGG_AXON_GUIDANCE"	"KEGG_AXON_GUIDANCE"	"4/98"	"129/5245"	0.220634888221594	0.843265055471229	0.806952206192563	"ROBO3/EPHB6/EPHA4/EPHA2"	4
"M1"	"KEGG_GAP_JUNCTION"	"KEGG_GAP_JUNCTION"	"3/98"	"90/5245"	0.236341306065775	0.843265055471229	0.806952206192563	"GJD2/TUBA4A/PRKG2"	3
"M1"	"KEGG_ENDOMETRIAL_CANCER"	"KEGG_ENDOMETRIAL_CANCER"	"2/98"	"52/5245"	0.253591295669355	0.843265055471229	0.806952206192563	"MYC/TCF7"	2
"M1"	"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"	"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"	"1/98"	"16/5245"	0.260821634867635	0.843265055471229	0.806952206192563	"UPB1"	1
"M1"	"KEGG_ARGININE_AND_PROLINE_METABOLISM"	"KEGG_ARGININE_AND_PROLINE_METABOLISM"	"2/98"	"54/5245"	0.267536142418214	0.843265055471229	0.806952206192563	"P4HA2/CKM"	2
"M1"	"KEGG_BASAL_CELL_CARCINOMA"	"KEGG_BASAL_CELL_CARCINOMA"	"2/98"	"55/5245"	0.274510085885399	0.843265055471229	0.806952206192563	"TCF7/WNT10A"	2
"M1"	"KEGG_CHEMOKINE_SIGNALING_PATHWAY"	"KEGG_CHEMOKINE_SIGNALING_PATHWAY"	"5/98"	"189/5245"	0.277894166007564	0.843265055471229	0.806952206192563	"GNB3/GRK1/GNGT2/GNGT1/GNG13"	5
"M1"	"KEGG_ACUTE_MYELOID_LEUKEMIA"	"KEGG_ACUTE_MYELOID_LEUKEMIA"	"2/98"	"57/5245"	0.288448925644501	0.846116848557202	0.809681194791581	"MYC/TCF7"	2
"M1"	"KEGG_COLORECTAL_CANCER"	"KEGG_COLORECTAL_CANCER"	"2/98"	"62/5245"	0.323140477436136	0.880465107556756	0.842550342159575	"MYC/TCF7"	2
"M1"	"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	"2/98"	"62/5245"	0.323140477436136	0.880465107556756	0.842550342159575	"HK2/PCK2"	2
"M1"	"KEGG_RETINOL_METABOLISM"	"KEGG_RETINOL_METABOLISM"	"2/98"	"64/5245"	0.336912861032554	0.880465107556756	0.842550342159575	"BCO1/RDH12"	2
"M1"	"KEGG_BETA_ALANINE_METABOLISM"	"KEGG_BETA_ALANINE_METABOLISM"	"1/98"	"22/5245"	0.340179700646928	0.880465107556756	0.842550342159575	"UPB1"	1
"M1"	"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"	"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"	"1/98"	"23/5245"	0.35256001643031	0.886436612739065	0.848264701185708	"PCK2"	1
"M1"	"KEGG_GALACTOSE_METABOLISM"	"KEGG_GALACTOSE_METABOLISM"	"1/98"	"26/5245"	0.388337995341936	0.916729161294437	0.877252785927691	"HK2"	1
"M1"	"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"	"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"	"1/98"	"26/5245"	0.388337995341936	0.916729161294437	0.877252785927691	"FUT3"	1
"M1"	"KEGG_O_GLYCAN_BIOSYNTHESIS"	"KEGG_O_GLYCAN_BIOSYNTHESIS"	"1/98"	"30/5245"	0.433014619931581	0.916729161294437	0.877252785927691	"GALNT14"	1
"M1"	"KEGG_CITRATE_CYCLE_TCA_CYCLE"	"KEGG_CITRATE_CYCLE_TCA_CYCLE"	"1/98"	"31/5245"	0.443669378751658	0.916729161294437	0.877252785927691	"PCK2"	1
"M1"	"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"	"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"	"1/98"	"31/5245"	0.443669378751658	0.916729161294437	0.877252785927691	"BHMT"	1
"M1"	"KEGG_ECM_RECEPTOR_INTERACTION"	"KEGG_ECM_RECEPTOR_INTERACTION"	"2/98"	"84/5245"	0.468380900803348	0.916729161294437	0.877252785927691	"COL2A1/VTN"	2
"M1"	"KEGG_SMALL_CELL_LUNG_CANCER"	"KEGG_SMALL_CELL_LUNG_CANCER"	"2/98"	"84/5245"	0.468380900803348	0.916729161294437	0.877252785927691	"MYC/RXRG"	2
"M1"	"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"	"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"	"1/98"	"34/5245"	0.474458878454396	0.916729161294437	0.877252785927691	"BHMT"	1
"M1"	"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	"1/98"	"34/5245"	0.474458878454396	0.916729161294437	0.877252785927691	"HK2"	1
"M1"	"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT"	"KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT"	"1/98"	"38/5245"	0.512902396290477	0.916729161294437	0.877252785927691	"STX3"	1
"M1"	"KEGG_PYRUVATE_METABOLISM"	"KEGG_PYRUVATE_METABOLISM"	"1/98"	"40/5245"	0.531066733663009	0.916729161294437	0.877252785927691	"PCK2"	1
"M1"	"KEGG_BLADDER_CANCER"	"KEGG_BLADDER_CANCER"	"1/98"	"42/5245"	0.548560361527102	0.916729161294437	0.877252785927691	"MYC"	1
"M1"	"KEGG_FATTY_ACID_METABOLISM"	"KEGG_FATTY_ACID_METABOLISM"	"1/98"	"42/5245"	0.548560361527102	0.916729161294437	0.877252785927691	"ACSL6"	1
"M1"	"KEGG_TYPE_I_DIABETES_MELLITUS"	"KEGG_TYPE_I_DIABETES_MELLITUS"	"1/98"	"43/5245"	0.5570633568318	0.916729161294437	0.877252785927691	"PTPRN"	1
"M1"	"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM"	"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM"	"1/98"	"44/5245"	0.565407799552001	0.916729161294437	0.877252785927691	"HK2"	1
"M1"	"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION"	"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION"	"1/98"	"44/5245"	0.565407799552001	0.916729161294437	0.877252785927691	"AQP3"	1
"M1"	"KEGG_GNRH_SIGNALING_PATHWAY"	"KEGG_GNRH_SIGNALING_PATHWAY"	"2/98"	"101/5245"	0.567413415618734	0.916729161294437	0.877252785927691	"CACNA1F/CACNA1S"	2
"M1"	"KEGG_MELANOGENESIS"	"KEGG_MELANOGENESIS"	"2/98"	"101/5245"	0.567413415618734	0.916729161294437	0.877252785927691	"TCF7/WNT10A"	2
"M1"	"KEGG_GLYCEROLIPID_METABOLISM"	"KEGG_GLYCEROLIPID_METABOLISM"	"1/98"	"49/5245"	0.604852302918317	0.916729161294437	0.877252785927691	"PNPLA3"	1
"M1"	"KEGG_ALZHEIMERS_DISEASE"	"KEGG_ALZHEIMERS_DISEASE"	"3/98"	"166/5245"	0.605241127967697	0.916729161294437	0.877252785927691	"CACNA1F/CACNA1S/COX6B2"	3
"M1"	"KEGG_DRUG_METABOLISM_OTHER_ENZYMES"	"KEGG_DRUG_METABOLISM_OTHER_ENZYMES"	"1/98"	"51/5245"	0.619618641062268	0.916729161294437	0.877252785927691	"UPB1"	1
"M1"	"KEGG_STARCH_AND_SUCROSE_METABOLISM"	"KEGG_STARCH_AND_SUCROSE_METABOLISM"	"1/98"	"52/5245"	0.626795647834678	0.916729161294437	0.877252785927691	"HK2"	1
"M1"	"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION"	"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION"	"2/98"	"115/5245"	0.638632108354976	0.916729161294437	0.877252785927691	"CACNA1F/CACNA1S"	2
"M1"	"KEGG_NON_SMALL_CELL_LUNG_CANCER"	"KEGG_NON_SMALL_CELL_LUNG_CANCER"	"1/98"	"54/5245"	0.640749962399228	0.916729161294437	0.877252785927691	"RXRG"	1
"M1"	"KEGG_VIBRIO_CHOLERAE_INFECTION"	"KEGG_VIBRIO_CHOLERAE_INFECTION"	"1/98"	"54/5245"	0.640749962399228	0.916729161294437	0.877252785927691	"ATP6V1C2"	1
"M1"	"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION"	"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION"	"1/98"	"56/5245"	0.654187644016982	0.916729161294437	0.877252785927691	"TUBA4A"	1
"M1"	"KEGG_PARKINSONS_DISEASE"	"KEGG_PARKINSONS_DISEASE"	"2/98"	"130/5245"	0.704506507953717	0.916729161294437	0.877252785927691	"COX6B2/TH"	2
"M1"	"KEGG_OXIDATIVE_PHOSPHORYLATION"	"KEGG_OXIDATIVE_PHOSPHORYLATION"	"2/98"	"132/5245"	0.712501816782055	0.916729161294437	0.877252785927691	"COX6B2/ATP6V1C2"	2
"M1"	"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION"	"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION"	"1/98"	"68/5245"	0.724978193117	0.916729161294437	0.877252785927691	"ATP6V1C2"	1
"M1"	"KEGG_FOCAL_ADHESION"	"KEGG_FOCAL_ADHESION"	"3/98"	"199/5245"	0.725894767820732	0.916729161294437	0.877252785927691	"COL2A1/VTN/CAV3"	3
"M1"	"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES"	"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES"	"1/98"	"69/5245"	0.73018432351579	0.916729161294437	0.877252785927691	"SERPINA5"	1
"M1"	"KEGG_INSULIN_SIGNALING_PATHWAY"	"KEGG_INSULIN_SIGNALING_PATHWAY"	"2/98"	"137/5245"	0.73170982991225	0.916729161294437	0.877252785927691	"HK2/PCK2"	2
"M1"	"KEGG_LONG_TERM_DEPRESSION"	"KEGG_LONG_TERM_DEPRESSION"	"1/98"	"70/5245"	0.735292889260661	0.916729161294437	0.877252785927691	"PRKG2"	1
"M1"	"KEGG_PATHWAYS_IN_CANCER"	"KEGG_PATHWAYS_IN_CANCER"	"5/98"	"325/5245"	0.735702522828738	0.916729161294437	0.877252785927691	"MYC/TCF7/RXRG/FGF8/WNT10A"	5
"M1"	"KEGG_MELANOMA"	"KEGG_MELANOMA"	"1/98"	"71/5245"	0.740305700246642	0.916729161294437	0.877252785927691	"FGF8"	1
"M1"	"KEGG_ADHERENS_JUNCTION"	"KEGG_ADHERENS_JUNCTION"	"1/98"	"73/5245"	0.750051131968176	0.916729161294437	0.877252785927691	"TCF7"	1
"M1"	"KEGG_CHRONIC_MYELOID_LEUKEMIA"	"KEGG_CHRONIC_MYELOID_LEUKEMIA"	"1/98"	"73/5245"	0.750051131968176	0.916729161294437	0.877252785927691	"MYC"	1
"M1"	"KEGG_PEROXISOME"	"KEGG_PEROXISOME"	"1/98"	"78/5245"	0.772859446372453	0.931666181928436	0.891546585577451	"ACSL6"	1
"M1"	"KEGG_ERBB_SIGNALING_PATHWAY"	"KEGG_ERBB_SIGNALING_PATHWAY"	"1/98"	"87/5245"	0.808842834233462	0.9326152505812	0.892454785245168	"MYC"	1
"M1"	"KEGG_HEMATOPOIETIC_CELL_LINEAGE"	"KEGG_HEMATOPOIETIC_CELL_LINEAGE"	"1/98"	"87/5245"	0.808842834233462	0.9326152505812	0.892454785245168	"FCER2"	1
"M1"	"KEGG_RIBOSOME"	"KEGG_RIBOSOME"	"1/98"	"88/5245"	0.812474746262373	0.9326152505812	0.892454785245168	"RPL3L"	1
"M1"	"KEGG_PROSTATE_CANCER"	"KEGG_PROSTATE_CANCER"	"1/98"	"89/5245"	0.81603834425855	0.9326152505812	0.892454785245168	"TCF7"	1
