"modules"	"BS_8T7DZV2F"	"BS_BA6AZWB3"	"BS_AM70R8RG"	"BS_AMZ70B6F"	"BS_BPWEFR89"	"BS_BVSW4GTG"	"BS_8GW1TMV2"	"BS_3F5PR9GS"	"BS_81SP2HX4"	"BS_7C40TRCY"	"BS_7XQRH69M"	"BS_VT6C6N6K"	"BS_VPBMDMQX"	"BS_TW8DQH8J"	"BS_M15PW2N0"	"BS_J1AB8PMA"	"BS_RD4D5F9F"	"BS_R6WNEEE4"	"BS_RCC8BXVE"	"BS_9PB3XH5D"	"BS_FKDQJJB5"	"BS_E3BAT4C1"	"BS_1TWCV047"	"BS_1BWP5MCT"	"BS_V72H4RQS"	"BS_HE57E1RP"	"BS_R439VVPK"	"BS_N4B1SZZH"	"BS_CHDGRYHJ"	"BS_9V633J1X"	"BS_9NJHQE9F"	"BS_D144EJRQ"	"BS_TZVFR600"	"BS_V9HVBBDW"	"BS_ZV68CES9"	"BS_YEB88D32"	"BS_Z45HD492"	"BS_KVNGNETA"	"BS_AHEFXG7W"	"BS_9NZ2D6AD"	"BS_3MYEMXPQ"	"BS_1AYRM596"	"BS_4W68NV3M"	"BS_W311713R"	"BS_VVFBW0YH"	"BS_SKGJ5SY9"	"BS_TYAYZ9ZW"	"BS_TA9WP4TH"	"BS_HZRM07TW"	"BS_HZE3KYZ1"	"BS_HHPA8NJ2"	"BS_JT82QGXF"	"BS_S1M423AB"	"BS_A14Z8BBK"	"BS_2SFTWNVE"	"BS_7FWZ518S"	"BS_J71N7D09"	"BS_VA5T4KAA"	"BS_BSV07M7Z"	"BS_A87NPZAP"	"BS_9M5XJ10G"	"BS_GNV89A5P"	"BS_G00FHF3Q"	"BS_DFWFBYSN"	"BS_EFE4YEK3"	"BS_ERWT0ZWE"	"BS_3NWQXPQV"	"BS_4PH1MBGR"	"BS_4CP4T22V"	"BS_61E80SD6"	"BS_5PJCHF6V"	"BS_W9AT0MR7"	"BS_VMEX27TN"	"BS_TE0GVDNG"	"BS_ZXYDSBM9"	"BS_Z7PKVY9J"	"BS_KN92S7YQ"	"BS_K74PZET7"	"BS_KYF0Q0E7"	"BS_HTEPAKCM"	"BS_HKZENFDA"	"BS_H4B5Y6S0"	"BS_HF3RNN2T"	"BS_HD4EJYE3"	"BS_J8G4SH4Z"	"BS_JFB984RG"	"BS_QRDT19KS"	"BS_QPPPGYP4"	"BS_NKRYMHEP"	"BS_NZ71XCG3"	"BS_VJVDJABP"	"BS_NKEAAFMW"	"BS_K81DR8XG"	"BS_2Z1MKS84"	"BS_77317DY4"	"BS_4D9DD103"	"BS_5VQP0E6K"	"BS_YETBN0RQ"	"BS_K3ER45RV"	"BS_M84H3KXA"	"BS_HB03GSHF"	"BS_JZRM1S3T"	"BS_JTMXAMB7"	"BS_3V3KE3VT"	"BS_WH5HDE0A"
"M1"	2.54681142362828	3.66504439661923	3.34048924846871	2.99990137825554	3.24654616541898	2.74705826774642	2.60947262663631	2.79053261425837	2.76964994049815	2.95266322434224	3.07800515267738	2.7070509546903	3.33410725211383	2.02898554041217	3.26503172226037	2.85344010792151	3.01065907704863	2.97687110024837	3.21188958547653	4.97190341664093	3.8911576270952	4.25579195027859	4.85003648376525	5.46371175037389	4.2981723357181	4.46512777822345	4.42815882556607	4.84896442454496	4.67152962754388	5.11949299180229	5.40542696025162	4.68557332678817	5.0264699699369	5.28550145632637	4.94077901512335	4.19523327858093	4.29812591980193	5.66318062920677	4.27376573612745	3.97901244075478	3.09695396497928	3.60345731179262	4.04583565911574	4.79421497573287	3.21415585408927	4.60899493764407	3.47313719444589	3.68779817013932	3.61713001367704	3.08560308420867	4.48701169330979	4.34614172540428	4.57711711602207	3.95382667844156	3.98996126164967	4.75351229664112	4.73328817157533	5.99493721366087	3.07445266476119	3.26071860506485	5.08855769059804	2.96738445527407	3.37329189573611	3.15245806218614	4.15003123915699	4.25847325558462	3.34660302451551	3.92344690670615	3.08068298782768	5.09259892500174	3.22775821819082	3.68883886259009	3.25434274813299	4.63010370545193	3.74656498460996	3.19137806883581	3.54597125195392	4.64642526788646	3.52825613958706	3.09664165496736	3.43335404999537	3.86440195619204	3.04355406841512	3.57819308820822	3.56835921229985	3.70545133724125	3.71388304531908	3.50586073677081	3.67497275047895	3.94771972308621	5.27112213269253	4.3101942552551	3.86953489956483	4.82064706624001	4.88083798967121	5.15647078405502	4.68070662553943	4.64341143427504	4.58386297296682	4.18943799592737	3.98375738278529	4.92247484915186	4.44186110245439	3.78356675769892	3.56146952160797
"M2"	2.85883943902246	4.98123787143381	4.64289667501619	4.54386392800422	4.48509512606714	4.06990380680256	3.52115573834018	4.09254060744166	4.07666506433129	4.06167074688259	4.42594366301336	3.95631573068317	4.6365373183054	2.97404948055429	4.41204120176518	3.90976951619716	4.41190304997086	4.09439204746395	4.95012740692756	5.80279639647257	4.03913899699574	5.55464840198217	5.32786515168457	4.44777720072083	4.34225634431157	4.37839134682118	5.11298970767945	4.79514538280675	4.32888755625694	4.19635823038147	4.55536595913385	5.11502209876396	4.93129382173267	5.15413385355308	5.66384619846429	4.94439649586693	4.75825929007526	4.42088076241046	5.61944886676071	5.4134131629137	5.63615135281373	5.93482767876817	6.05005485203732	5.62154854525644	5.59852442031716	5.75305370314372	5.46112534816666	5.82773808169608	5.72600432850509	5.83667450074421	5.27054235180781	5.70780931192664	5.83501421661896	6.13205638734647	6.42762552141323	5.89874039619448	5.44155303728695	5.29028699476284	6.23763831737514	5.90367524658665	5.72707113856573	6.02047312182531	5.98326130627295	6.10625875761906	6.13255312954324	6.14783230900199	5.47323607367171	6.47856856795696	5.56246220916005	6.00415082708984	6.05180200418346	6.02678503746271	5.94914325556769	5.74971522443926	6.05701748880134	5.43123153180611	6.10487751316753	5.92989212581233	5.37925622244365	6.08850302089099	5.24990319086546	5.42170039735983	6.02436088304891	6.49888423796087	6.19611844336178	5.37485007754113	6.27783379792562	6.09407407245732	6.35935887362901	6.25004904730416	4.67650435651641	5.05075664867951	4.11158627953066	4.86337060019436	4.164414767483	4.47188639144728	4.42730073468862	4.12443137317717	4.35491527678884	3.79497394997193	4.49460173886522	4.57972527058625	3.99905795815156	4.55447161096517	5.14807809438957
"M3"	4.31981658093068	5.25724676890368	5.29236230938729	5.08601281951697	5.3636481383738	5.0463203609419	4.63129910445363	4.98371224557955	4.92076763401793	5.05198288229157	5.25166395538753	5.23413450599236	5.22161233530225	4.28433125910806	5.09376995289132	5.04740747497591	5.30256164697131	5.18461473752434	4.77936444881764	4.60445220770493	3.97914046179846	4.02237965079962	3.75568765621481	4.22143684070662	3.98208897642872	3.89553996464962	4.3895846533806	5.27406646231138	3.46656280606912	3.77490287607867	3.7122060200983	4.08988065910503	3.85343696331847	4.00617417123312	4.43622546332012	3.95569942181036	3.72771144517151	3.92810274162959	4.05901418918096	3.80274891587615	3.53320067031351	3.96260899783751	3.93312246113739	3.81733532464752	3.729828602901	4.46669977392911	3.6480156968888	4.185148990925	4.12984298046298	3.41469989836113	3.844601427009	4.10980851664176	4.24096659234227	3.9313772554303	4.40836047407721	4.24543308582762	4.46143682568692	4.44195780142145	3.37957928787878	3.36643008850634	3.8386807294732	3.0103868112012	3.92540582691234	3.38346103358171	3.61931258794377	3.91228536953099	3.56036383207824	3.86852249544242	2.99005286079415	3.91366973759439	3.19391907007066	3.72250305823476	3.55627185199901	3.93927862777877	4.0301689428482	3.15886813813262	3.57789671164548	3.76649297733091	2.77400273439644	3.21710896449428	2.92796270685127	3.28133254894748	3.3172872197199	3.74602843900261	3.33489236841112	3.14099133352039	3.67464078384976	3.4660443125785	3.52016185917836	4.0315827068395	4.99125024808427	4.87346069706585	5.39517519433462	5.79594695175703	5.75124610364144	6.16952690643644	5.65668275086842	5.81050114690134	5.93918050749993	5.18586648375974	5.4989457219595	5.86125315921533	5.23177584669498	4.69178383002308	5.1463745323343
"M4"	2.99474654342495	5.98089428363182	6.12312669356405	5.91398354585385	5.93408027572601	5.64672578856791	4.89490700084957	5.6559628329457	5.69890297719232	5.81202171672842	5.8689740202398	5.54075976325706	5.99499440118563	4.51679966653477	5.75964512714268	5.2806300079593	5.93852271421274	5.68720533371115	5.98203873281535	5.29827345804149	3.36334310341496	4.5049041046786	4.22594268922837	3.97437692261436	3.44079153281174	3.43974161628152	4.21004272919244	5.40662830562672	3.46376058808127	3.25742111795695	3.85186731175973	4.10233441825071	3.86526483266958	4.14185267099535	4.67371651513911	4.18833652719159	3.85500944024876	3.76831127298642	4.80266760914823	4.48028465131396	4.40554912230164	4.49333364981171	4.81393439673017	4.26461752123341	4.52569378035561	4.56172066723834	4.2315757026382	4.58747819807249	4.9697657543791	4.42228132798327	4.11968335733741	4.49882947987663	4.61466239974772	5.47138141505093	5.85259700809685	5.57820063111559	5.7458106361314	4.86668430374923	4.78698115528137	4.67259917158303	4.73473532792195	4.36422525213628	4.88603636700356	4.95613883690552	4.82802143752269	5.26458564233205	4.24828241683004	5.07098445975122	4.14502561761462	5.17736429217238	4.65369887032922	5.36059976777333	4.6758464292813	4.8904340733326	5.51826253941742	4.73637953478401	4.78968251718553	4.69364618755145	3.77831086034626	4.79722731521899	3.93150921067935	4.61201009125661	4.69421098988411	5.13729104011328	4.68011196257026	3.93938553478943	4.93921044081695	4.71999872064006	4.74580125626377	5.37249269557544	5.09823514604541	5.55694816880847	4.605380305738	5.85301724716272	5.52898065874284	5.88449792173226	5.66446005170051	5.63110859445458	5.8044441066709	4.98353599533119	5.79032778734958	5.65528327071885	4.93908308971862	5.13111789089775	6.24960278175822
"M5"	3.10426499863559	5.86308402031764	5.89837686024954	5.61199253778668	5.42102799609461	5.19011951979913	4.35647817487473	5.13558707537359	5.17860326792537	5.33523451323084	5.37665564176244	4.8429369904016	5.83761530311738	3.8799334747604	5.53780531066377	4.8619178176093	5.61462049758721	5.18281106565119	6.3978866738928	5.60097131521002	3.4513969983411	4.93406006131237	4.65604890759349	3.9663170898124	3.61735695997298	3.70580410346879	4.42628315754513	4.99595084072279	3.63531803198403	3.34827695538011	4.0040304160286	4.40290878607344	4.11228908336528	4.44964288430943	5.1744132330673	4.31307179904654	3.9853612406172	3.80716878697136	5.45534870133393	4.99563219121377	5.50276834768826	5.40131054106028	5.57440442666014	4.89039467261878	5.41002418823197	4.85631574000106	4.92327134116075	5.38615061701344	5.70097373324453	5.5407916715204	4.81108684502497	5.21482687703122	5.14973648292762	6.13794683573953	6.52266252054604	6.06062865730817	6.17099991940441	4.96068364483177	6.13428529110386	5.84221453226996	5.41133657181308	5.68678486683836	6.01725406688848	6.10075526373751	5.73909894919242	5.97045518686922	5.19952484881499	6.19789697086507	5.35338768043162	5.82971739728279	5.81269646550982	6.12765663253376	5.73880672916522	5.52063204401331	6.16383121979227	5.49321470278184	5.94870988024255	5.36321287621399	4.85823234532867	6.02087024746249	4.66337484028525	5.46671678719582	5.83885574166324	6.20540387454519	5.85203916528962	4.43458892670034	6.08593660667217	5.81780220212606	5.87658463497104	6.15774061320123	5.0532057314571	5.59507794171491	4.33382956247203	4.90442882449532	4.0441023199399	4.2994189038806	4.34292092760435	3.92608552846513	4.25149099572294	3.62609780521809	4.56030501444004	4.47644038618723	3.89526809620312	5.05932978112061	6.29905660933018
"M6"	2.51606739803511	6.14649559980859	3.95597876081341	4.25738123274539	4.14111396312663	2.89557492929053	2.89813979051419	3.16244241190657	3.29831009344404	3.08802353664822	3.54503082335637	3.15392949105347	3.97934908429597	2.04190582647992	4.15518537101568	3.95922862483545	3.33354104126336	3.90233440376095	4.29741904667421	5.21304173093185	2.86865505056691	4.06360794499832	4.1248907112638	3.50270209862635	3.81909747942335	3.3756387711553	3.40508491542438	4.7555908717095	3.87016918425099	3.30595781912183	3.8321257172299	4.0958968252446	3.64659888396015	3.85798995903475	4.16707642806438	3.91704284837953	3.68727352922148	4.07069377399454	4.14089933318544	3.91832432817552	3.90551143828202	3.84065026117907	3.91447659979552	3.69322544118963	4.11289096798599	4.16399561458391	2.98336424430339	4.21450739626679	4.45926340926864	3.82275992630628	3.77648605443219	3.96959672104065	4.54039009707145	5.52993557307264	6.35841145693608	5.99875582359522	6.04610258436517	5.46649476745638	3.79086476921029	4.51529229097978	4.81855546213758	3.88210839785063	3.64155742978179	4.98502407515188	4.3415869867854	5.12896845557405	4.16773527893767	4.26618319059257	3.21897394629947	5.05918643582852	4.20579573902938	5.40272629356066	4.06088762432212	4.44228328406673	5.27883621935772	4.87026981078979	4.67796609363401	4.30301739576242	3.68391148935461	4.58711760707082	3.66361048069189	4.07218232215819	4.47034744065298	4.89449887018544	4.49337784370187	3.79101451972378	4.32176592771075	4.66771771815721	3.61869419903389	5.5419471029718	5.42260374780502	4.08609659983429	4.73290068540319	4.08841178735889	4.0254409863097	3.78996863285461	4.80122617464995	3.35708944945298	3.688419801805	3.70220796169185	3.96464695918082	5.12040952645612	4.55125021454838	4.86407927447608	4.6284576698778
"M7"	5.46795515702681	5.20215852101819	4.83863973242454	5.5133177385504	5.63493558961487	5.60162232701397	5.00966732795574	4.64884541792458	5.42292433578583	5.4817553168933	5.50763958791749	5.63559178036261	5.72256069520348	4.95057670525439	5.5512672916465	5.89983947724576	5.82714493297433	5.5057976591384	4.77963106962574	4.50304133256352	4.68490384325394	4.29317518082029	4.10979142247021	4.32600407295127	5.07897499892858	4.65981440975134	5.46999174722815	5.52224856603685	4.01108254234816	4.20124520553616	3.32453343136196	4.99686583062778	3.93544357013388	4.28856853838692	5.00779558327861	3.6836492784603	3.85234225259189	4.32621232872263	4.68347955569767	4.02658478723209	4.69568936621212	5.36136697930786	4.42315352494956	4.74965567302882	4.70375465759269	5.26399032988202	4.63027370045293	5.23657515012446	4.94400453240287	4.44387255232464	4.92693295819342	4.52750847407458	4.92125584300302	3.46126708364445	4.21154981533375	4.1367524167023	4.34348711842342	4.15257584797093	3.49879361118719	3.53450019006913	3.58169621924615	3.502046283351	4.4554942014755	3.34419161167259	3.63288278840446	3.78865746303426	3.55919592938264	4.45934544011224	3.08293810787631	4.07713539559511	3.44875389015862	3.50553571829631	3.90335530102754	3.5224100550092	4.16060563674345	2.82781814972366	3.75679720561187	3.87665869873938	2.85409716928076	3.36236393509473	2.86997341724778	3.40599748006998	3.80030727180413	4.33742573206456	3.59630961607732	3.16335483200012	4.13301069730406	3.73041402457601	3.89198139987459	4.14445652119879	3.84193207380238	3.6861997446816	5.2855922635034	4.8727088430416	4.3742259824487	3.96777489542406	3.80944412270348	3.41756469825064	3.58379736609056	3.41850485685803	4.1018797991331	3.94839562807816	3.36981993462441	4.60681807684164	4.71526823756909
"M8"	2.67486235935025	4.23365594245838	3.90163139144181	3.8855423387138	3.93515297019586	3.46004882729178	3.05112421727005	3.41849884811971	3.17325544149412	3.62382073969685	3.80045309913748	3.35114749761392	3.86389088945387	2.49954127817548	3.96507181010618	3.34598593232958	3.67690359215008	3.42700250275029	3.99245526461045	5.81926972312202	4.88632934309217	5.73220579882345	5.55206933861014	5.52944558996252	5.51664194774329	5.58593764234366	5.83916208846229	4.09955677511599	5.40121452057661	5.97221786895272	5.70387959336808	5.87288257538724	5.71067365064957	6.09780729908321	6.23761505687216	5.0480193524335	5.62701149044508	5.80946790318687	5.58263224162201	5.79827160000779	5.37918003514773	5.7442930421117	5.63839717372918	5.86577227031741	5.26497400747627	5.93324128482396	5.37124881438777	5.46205009817894	5.33185573508746	5.2914880326375	5.65982257340638	5.54916589357545	5.90305396617535	5.73107580015883	5.99286857828933	5.82086265436149	5.32141379572211	6.18355851252555	5.16747395494454	4.91342930913869	5.84421461154494	5.24402736506072	5.29986730127494	5.23635155974647	5.85039420034003	5.69471486998291	5.02549282650035	5.84318557544901	5.01492325495802	5.85905740573717	5.23803708947224	5.40009133582762	5.22509388434815	5.90157564624034	5.44257091524313	4.95865221697827	5.33312167506349	5.92958040663749	5.26586028772909	5.1305205572208	5.10170308869029	5.05378913019353	5.42742122890751	5.64393411809648	5.63633673543335	5.53847560811278	5.61526076976819	5.46641101031001	5.90052950330145	5.66139569081945	4.60795878778701	4.33104551873025	3.78377158723241	4.01635126701936	3.57416977471697	3.7712627996571	3.43721148104909	3.28731039641515	3.4270350690225	3.0361478655379	3.46387764941719	3.74667074690155	3.36693290506497	3.98837434718088	4.33606175856556
"M9"	3.12667866348036	6.03571075902957	6.01484502280895	5.61352659464065	5.65159001442263	5.69788083161261	4.93680232497673	5.58710658402658	5.36670165130869	5.61284890984528	5.74929861639115	5.82221047533725	5.77563293693978	4.7899580072702	5.23449168030554	5.31172988892723	5.97752447566712	5.65879130489269	5.5911631420526	4.93581589911332	3.12594617168164	3.53465073631271	3.65790209105501	3.42040159362014	3.51879062130359	3.28052134081184	3.54242405779561	4.28630755403543	3.46321443363753	2.8673565582898	3.47092630505281	3.82222852617947	3.57201273664205	3.67192415055427	4.06504385489455	3.34289562956047	3.48739285333644	3.46010160358675	4.24897300731691	3.78831962727041	3.57609698633987	3.61093869137916	3.75472967763454	3.52895027823479	3.92142295560019	3.94258739484038	3.21680033951286	3.70295114137807	4.24242370981622	3.61133785279084	3.55730602113512	3.69212666362334	4.11681142589642	5.07764189498111	5.66628244854114	5.4656820060845	5.62486195865081	4.84504587734549	3.3093743694558	3.78958965842398	4.19272972084721	3.31693318159297	3.55724693285331	4.20688501424038	3.98964111468856	4.71913524277704	3.40992548420389	3.99598428968233	2.92153664761027	4.47040263465324	3.6654846577321	4.90941462600116	3.49465039764541	3.79432481383224	4.89951656200573	4.35921226097603	3.99571366322732	3.81153113756531	3.20781754167074	3.89588231092696	3.24318426072456	3.62814224910623	4.06902419876149	4.29394138346699	3.73869925716734	3.30427628142996	3.89083647684897	3.9877865661801	3.45331636665038	4.89836546316643	4.6202203553388	4.34518867579997	4.52424741088277	3.71324520323871	3.03690917832814	3.1162418355009	3.59310241813441	2.85238036128185	2.91990380055958	2.80003488555734	3.45491348599954	4.03505299413373	3.54656293343398	4.96045820317938	5.93530411198437
"Not.Correlated"	2.65981718930978	3.67421593085323	3.03407505937726	2.53772709413648	3.29061084150956	2.52454986557682	3.15678596491968	2.99110742822164	3.30809948015521	3.25773254353628	3.00298120845963	2.6604452415528	3.91101709909294	2.34736553636418	2.80942130820131	3.08879378788204	3.31283248377411	2.69516630059281	3.69648244229836	4.21662984092279	3.38949336241318	3.27927362211261	3.49026576829692	3.49125992798866	2.86773693009123	3.43222064412065	4.26533801613962	4.25320688071087	2.51949491601369	2.88101171558692	3.2281723562951	3.68931421693939	3.33991217430115	3.85514722137477	3.89019923342623	3.34623597995718	3.17573727109409	2.49979658338034	4.04669318313166	4.07845878941251	3.59142295811208	3.79535701120097	3.44323473936768	3.88967037922933	3.02212981232474	4.38265382044395	2.62501466425646	3.78487934613629	3.0203957020397	3.36150451481376	3.79066950239596	3.20650997796534	3.80676316701425	2.92342448367291	3.71383811355805	3.47214536729482	3.67442584342148	4.02092179874827	3.37940226407571	2.64169659613545	3.25252687439003	2.85696186427457	3.4672083350172	3.73229509482535	3.30716325411487	3.34010963389822	3.81948597799209	3.89895750175129	3.36181005630854	3.43719762803142	3.59390952617469	3.43889362739138	4.09388729493289	2.83039790602766	4.0238981749606	3.45756580458247	3.82914741260862	2.78718729263402	3.48762748613306	3.1412910128905	3.05819096545025	3.26405946239332	2.83282603243815	3.53599490098963	3.55672227579698	3.29910466423994	3.58487289375727	3.01772356587649	2.83600482479288	4.1904070345911	2.73169617051166	2.75608998585687	4.26361671788895	3.82335302513771	2.94404985150508	2.67438236675369	3.14097269181967	3.34202368292798	3.67176729004324	2.47826689615586	2.51826708115199	3.49205072893863	2.53291865894147	3.31851271898398	4.08626623300517
