"modules"	"BS_8T7DZV2F"	"BS_BA6AZWB3"	"BS_AM70R8RG"	"BS_AMZ70B6F"	"BS_BPWEFR89"	"BS_BVSW4GTG"	"BS_8GW1TMV2"	"BS_3F5PR9GS"	"BS_81SP2HX4"	"BS_7C40TRCY"	"BS_7XQRH69M"	"BS_VT6C6N6K"	"BS_VPBMDMQX"	"BS_TW8DQH8J"	"BS_M15PW2N0"	"BS_J1AB8PMA"	"BS_RD4D5F9F"	"BS_R6WNEEE4"	"BS_RCC8BXVE"	"BS_9PB3XH5D"	"BS_FKDQJJB5"	"BS_E3BAT4C1"	"BS_1TWCV047"	"BS_1BWP5MCT"	"BS_V72H4RQS"	"BS_HE57E1RP"	"BS_R439VVPK"	"BS_N4B1SZZH"	"BS_CHDGRYHJ"	"BS_9V633J1X"	"BS_9NJHQE9F"	"BS_D144EJRQ"	"BS_TZVFR600"	"BS_V9HVBBDW"	"BS_ZV68CES9"	"BS_YEB88D32"	"BS_Z45HD492"	"BS_KVNGNETA"	"BS_AHEFXG7W"	"BS_9NZ2D6AD"	"BS_3MYEMXPQ"	"BS_1AYRM596"	"BS_4W68NV3M"	"BS_W311713R"	"BS_VVFBW0YH"	"BS_SKGJ5SY9"	"BS_TYAYZ9ZW"	"BS_TA9WP4TH"	"BS_HZRM07TW"	"BS_HZE3KYZ1"	"BS_HHPA8NJ2"	"BS_JT82QGXF"	"BS_S1M423AB"	"BS_A14Z8BBK"	"BS_2SFTWNVE"	"BS_7FWZ518S"	"BS_J71N7D09"	"BS_VA5T4KAA"	"BS_BSV07M7Z"	"BS_A87NPZAP"	"BS_9M5XJ10G"	"BS_GNV89A5P"	"BS_G00FHF3Q"	"BS_DFWFBYSN"	"BS_EFE4YEK3"	"BS_ERWT0ZWE"	"BS_3NWQXPQV"	"BS_4PH1MBGR"	"BS_4CP4T22V"	"BS_61E80SD6"	"BS_5PJCHF6V"	"BS_W9AT0MR7"	"BS_VMEX27TN"	"BS_TE0GVDNG"	"BS_ZXYDSBM9"	"BS_Z7PKVY9J"	"BS_KN92S7YQ"	"BS_K74PZET7"	"BS_KYF0Q0E7"	"BS_HTEPAKCM"	"BS_HKZENFDA"	"BS_H4B5Y6S0"	"BS_HF3RNN2T"	"BS_HD4EJYE3"	"BS_J8G4SH4Z"	"BS_JFB984RG"	"BS_QRDT19KS"	"BS_QPPPGYP4"	"BS_NKRYMHEP"	"BS_NZ71XCG3"	"BS_VJVDJABP"	"BS_NKEAAFMW"	"BS_K81DR8XG"	"BS_2Z1MKS84"	"BS_77317DY4"	"BS_4D9DD103"	"BS_5VQP0E6K"	"BS_YETBN0RQ"	"BS_K3ER45RV"	"BS_M84H3KXA"	"BS_HB03GSHF"	"BS_JZRM1S3T"	"BS_JTMXAMB7"	"BS_3V3KE3VT"	"BS_WH5HDE0A"
"M1"	2.3662591345375	3.83152985511014	3.40832283167287	3.11970416180899	3.09355713137564	2.68720145363456	2.54269012013606	2.70865761212645	2.56824967382259	2.94074601314726	3.09355713137564	2.59380922750911	3.34290057846815	1.82131132103021	3.09355713137564	2.84659446333883	2.93205396924833	2.96391395406134	3.22777951206252	4.83321878658304	3.89282293715876	4.15488709516725	4.9971531431927	5.56516177756938	4.34048061096529	4.5037320380213	4.55928575179802	5.05686646853147	4.83020419982901	5.33518043681112	5.66099269679709	4.64835302794757	5.17125439360611	5.40092500332344	4.89922075887284	4.41621291685585	4.29463333957369	5.92724142699906	4.32092838902727	4.11487714718907	3.09355713137564	3.49348525125046	4.13332980189101	5.10322356434499	3.22811203340131	4.67323518403701	3.45207610882219	3.80456372268738	3.64736886126389	3.11970416180899	4.7022760892676	4.43152559489108	4.81002319633749	4.11857428884221	4.29168656610323	4.93635447971876	4.96794368249049	6.26387872825234	3.00958796298782	3.29257190573767	5.33664003295565	3.00958796298782	3.19305595914982	3.18148784143765	4.31512982591848	4.38492377519884	3.24996240598466	3.94055766342583	2.84659446333883	5.53776254935857	3.05382581216279	3.83621451505244	3.27154947209399	4.8316706321809	3.8977407891818	3.16957686682411	3.59933252702175	4.93900200081017	3.64734612261801	3.11970416180899	3.46891325670818	4.1260028757442	3.20496693376337	3.81539314964715	3.58477943504049	3.83683713361335	3.62718084874989	3.6203382726201	3.69915975577229	4.06691259247787	5.64467805229175	4.51059603220165	3.71713310796567	4.92417151918098	5.21579516495869	5.55186166673943	4.86135508020822	4.80994942358121	4.88358008495641	4.31512982591848	4.00724581968947	4.94438179236439	4.65807693032043	3.85248421832001	3.5827031396362
"M2"	2.80961397171852	5.24320703504528	4.67880948346547	4.60520583747864	4.54630818158223	4.24864604698053	3.51740741294223	4.20314669045349	4.0324414536241	4.04320072541294	4.44908867986793	4.08058180962474	4.74963617758808	2.94829976708115	4.34948392075413	3.9723748178596	4.60520583747864	4.24230160444435	5.25414406267449	5.88907083407782	3.91705854675653	5.49621284085522	5.46617908097131	4.39289051058657	4.32111501485018	4.48275477917511	5.2037121049669	4.86325654518574	4.31531916146355	4.08833235204864	4.61728462934308	5.20755818914095	5.05136364953849	5.23952806155412	5.71332757386313	5.18222350312049	5.00336779076949	4.49214709210242	5.76002719753372	5.60973783122858	5.77342936070579	5.95305838584984	6.08382979415361	5.79428942812872	5.73353204662701	5.82134080698381	5.61091223142458	5.93306852039484	5.68583492577069	5.93772585449967	5.32514668833233	5.8442672106533	5.95684628527327	6.37158249952181	6.37742841645236	5.97847115601917	5.71537101173285	5.45356184980824	6.33458445917955	6.03046388626489	5.92595303014512	6.14111966268058	6.08769306579552	6.22440928697887	6.13083622650675	6.25669160333915	5.42185999753026	6.58446818496925	5.69260250624181	6.14352030814706	6.06091657288161	6.08961776598186	6.1104909808758	5.88824817361887	6.33180095237849	5.63607679940998	6.22603345349966	6.15364386939504	5.50553856697445	6.18441177347185	5.32182475734029	5.62587717254847	6.05625455195905	6.55591416356984	6.23944213892833	5.42332842196467	6.42103062106997	6.20964230086493	6.43907653663321	6.23196083008248	4.75301895657929	5.32514668833233	4.11114570194023	4.96798103930177	4.08058180962474	4.6132784849278	4.38225648127016	4.16198777557741	4.35503958311928	3.71157706425374	4.52418252134797	4.48746464437541	3.99866877671348	4.73250554248757	5.23211924771822
"M3"	4.5802180730335	5.31189532886803	5.42181165511534	5.13943637990783	5.51541161052744	5.33823939445417	4.84512374103616	5.13687734792545	5.08221324625304	5.31764208362084	5.41595389530993	5.45069969487628	5.27468783041101	4.39480918225482	5.06405505124675	5.04212634346695	5.54107306159042	5.2468360621143	4.90339885891314	4.60520583747864	3.98070626340391	3.90739966796917	3.64075150587843	4.22621148254559	4.15491843704532	3.99433402993456	4.40077052575026	5.37495597237373	3.33303594896669	3.72380556195367	3.76097560103948	4.15317504220712	3.92654617454959	3.96789521563859	4.46357641158126	3.87794760903611	3.66807682617513	3.9404508307154	4.08058180962474	3.72380556195367	3.60629356368053	3.95888555014939	3.90745766393844	3.87278004781258	3.82622257660693	4.57625199397858	3.57048505501378	4.25801528984855	4.14412411946817	3.41730572547975	3.91705854675653	4.27045972916976	4.26736083725184	4.04062596638481	4.49678904562444	4.37147997961574	4.48275477917511	4.43155710211716	3.30294570660716	3.44347747825091	3.82622257660693	3.06653071442784	3.91225810534749	3.49172149174738	3.61337723596132	3.98123532405902	3.51740741294223	3.79139158560611	2.94829976708115	4.0748559981715	3.1933988160512	3.79903764537087	3.49316033482521	4.06198374821074	4.03604941352106	3.15730207336879	3.64075150587843	3.60629356368053	2.73011377061834	3.23871794539768	2.87787178752165	3.14464051431655	3.41730572547975	3.815466056126	3.43487884767964	3.00958796298782	3.62021981209111	3.53279608096872	3.44330729560315	4.04864723048837	5.13952308982349	4.95232538591872	5.50751616531808	5.83152697853685	5.8443204277168	6.47398948531976	5.8154903670906	6.0704531066021	6.17636332426188	5.37960306861996	5.9060645234601	5.94080659241257	5.2790999272595	4.73750887025053	5.20513714471966
"M4"	2.79023080016174	6.16742277942182	6.43386765611891	6.11265595297187	6.12036642297713	5.90090571854619	5.14990286553985	5.93811042620843	6.05350688532404	6.11390427581908	6.09340385017503	5.8189080480107	6.33620344622718	4.67405737160515	6.0238852250375	5.44646580658609	6.19008654996614	5.94961811501376	6.12492715456251	5.33092347218544	3.15730207336879	4.43401153255323	4.25374152061986	3.89519101285241	3.50917419266053	3.41710939277282	4.22293591420135	5.43930532123978	3.45973365515978	3.08004392290174	3.8675608193431	4.10737931051654	3.97146867425973	4.19298858095277	4.74111463844289	4.11860859243791	3.79134148331676	3.72380556195367	4.79092995223793	4.5263449008545	4.25806379347838	4.50598071361778	4.92825532187686	4.3632971172387	4.57628497129014	4.49631997071785	4.08833235204864	4.65055228779456	4.96667860785976	4.45164274250181	4.06481379734781	4.5884295929546	4.65816661215136	5.65109505571799	5.95381596304093	5.73546329496283	6.0251227769968	4.90900392859784	4.9509971478853	4.73077036982087	4.9323071458474	4.4005663987301	4.99341124166822	5.08083841565202	4.83478412567833	5.4563779024262	4.2641423469309	5.20068454320667	4.13250222248723	5.28741088701805	4.69348252944132	5.48053484382137	4.70788478095875	5.11567535901026	5.72346216317058	4.96148534914577	4.7844503773151	4.76305513180005	3.85235122051543	4.77458468676168	3.82622257660693	4.69703608428602	4.73596097995335	5.19594313191264	4.69891461682065	3.88292634708592	4.91948618755414	4.76470489331664	4.84530960095045	5.46269137058053	5.27383668816681	5.81115914281458	4.60097356167518	6.027354161803	5.69010952524292	5.96246329849066	5.80314748506005	5.78471514844967	6.03165915367449	5.07090537244843	5.89599240766732	5.70297860586854	4.93231621682058	5.26760505449173	6.49033944778959
"M5"	3.00958796298782	5.92209538087673	6.04414093579412	5.58613408607158	5.429175459318	5.37026829281993	4.42904004796249	5.22464156018041	5.43063060183294	5.63042631419263	5.55061123704119	4.85139612492017	5.87747631318852	3.85765501048943	5.69991717538333	4.96279627063957	5.68203622838941	5.28926816756586	6.53812957811935	5.65279393554286	3.30294570660716	4.99341513790023	4.79894219935216	3.9723748178596	3.63402342487968	3.75941352297863	4.36603709852998	5.03488887816413	3.50156543312989	3.16957686682411	3.92654617454959	4.36055713594742	4.24864604698053	4.51515898750717	5.23211924771822	4.48275477917511	4.16899552269201	3.60641619930255	5.57412203065403	5.02772364245208	5.75129208962871	5.41743857161236	5.59684688486602	4.93096561898424	5.49755172521549	4.89216434654289	5.09665624700648	5.45497357740269	5.64504695586881	5.55809060979279	4.97313260276626	5.18024122620978	5.25051488480692	6.36159158323786	6.63514115124781	6.16364160384194	6.38456555287228	5.02532097649097	5.93384661775589	5.85463218998965	5.50155505879058	5.51344688586463	6.08614998293249	6.08447496262489	5.73253378551984	6.03253032769589	5.10541658072882	6.09917278743467	5.23583218446186	5.94772518003611	5.83728227399173	6.08124393315866	5.70092555259388	5.6549968659412	6.30675640287706	5.74933800503375	5.96661214881708	5.34155362580606	4.99090761367156	5.9616989635683	4.62523755338244	5.58613408607158	5.81234599204499	6.11671072762417	5.66700630993941	4.36603709852998	6.10233273772517	5.80781058322444	5.87245561176797	6.10323420538612	5.11623451430638	5.61091223142458	4.23590672092262	5.10541658072882	3.98999928315564	4.23590672092262	4.24230160444435	3.99866877671348	4.20314669045349	3.80456372268738	4.75301895657929	4.46363459709032	4.0324414536241	5.11192478352477	6.61171183007042
"M6"	2.33192930451869	6.09543312602032	3.99198724138485	4.17246913255578	4.19978908174716	2.73011377061834	2.91580817141552	2.93205396924833	3.10663064659232	2.93205396924833	3.390151732534	2.8642705690385	3.8725271076662	1.82131132103021	3.95857925626926	3.98999928315564	3.16957686682411	3.73585090594534	4.18280123124568	5.190101729883	2.68720145363456	4.04876967319495	4.00312789147904	3.42570802334409	3.69225992980089	3.32942457733843	3.32292314253765	4.62701739817897	3.90722562984266	3.00958796298782	3.57769576275969	4.17240912351474	3.65344299289476	3.72380556195367	4.06485300735264	3.79556932290713	3.52517536444613	3.90895372737813	4.11692426502233	4.14775451204892	3.75339591034718	3.64703650123913	3.86780130976277	3.59224885474096	4.00706479028473	4.11114570194023	2.86271107156702	4.16198777557741	4.4921335420519	3.66060715836768	3.54027504186033	3.80448881209018	4.56571109746563	5.45697267647059	6.24340896250716	5.88700742883932	6.0645182808069	5.48676744344708	3.60629356368053	4.38989148989336	4.86325654518574	3.83152985511014	3.65278797753742	4.90063300883704	4.41931595310704	5.08756171288815	3.98118705050762	4.09597263557075	3.13236572086123	4.94119008485352	4.21278322049721	5.28867312035588	3.84724607205139	4.45248000339317	5.17725307107547	4.8861789729424	4.66004788014326	4.18271349786643	3.68564257441543	4.54664300999012	3.57782743924915	3.99848384365228	4.27961566257152	4.70428230925258	4.38492377519884	3.54818474899521	4.21305453382949	4.70428230925258	3.51725437453996	5.4144760270909	5.49345645117684	3.87794760903611	4.61114445243393	4.06086237332028	3.90693539875781	3.71148265886298	4.90381916877507	3.06653071442784	3.29257190573767	3.50862271373115	3.86237110937454	5.22745330107293	4.57412159749435	4.85248588758464	4.58992296456291
"M7"	5.44360976836028	5.3949593809692	4.84238461655155	5.64503581930417	5.71444189107916	5.73153428401597	5.22087648626807	4.75974213307321	5.53416333504948	5.51344688586463	5.64280540155709	5.75324143872067	5.97847115601917	5.14990550589441	5.65609607288143	5.99737676438879	5.94389398161434	5.64503581930417	4.83327100717991	4.47325149869182	4.8484034921362	4.15491843704532	3.90745766393844	4.11860859243791	5.11838075153629	4.59294289717889	5.53798896522403	5.63155959106948	3.90745766393844	4.1260028757442	3.11970416180899	5.00336779076949	3.79351156805436	4.16899552269201	5.03963048705526	3.46891325670818	3.68654771316943	4.26118674888073	4.59705135148541	3.96341561341757	4.59705135148541	5.21519562450829	4.24230160444435	4.48746464437541	4.6409113253405	5.08109227250734	4.42397423523181	5.12052127748628	4.92825532187686	4.30360064229082	4.79894219935216	4.60925228822409	4.73250554248757	3.45207610882219	4.23590672092262	4.09600892228246	4.27963864688128	4.15491843704532	3.45309634111787	3.48540506937103	3.56314267077842	3.43487884767964	4.44899016218721	3.3621572745142	3.59851325676746	3.87794760903611	3.53294331595003	4.38759106912751	3.14502727991347	4.08833235204864	3.41730572547975	3.45207610882219	3.83683713361335	3.46891325670818	3.94519213837214	2.88194667473817	3.78230541638409	3.91073483918685	2.77084762860495	3.48540506937103	2.88194667473817	3.34290057846815	3.8473134261506	4.26738453271658	3.48540506937103	2.94829976708115	3.92654617454959	3.80456372268738	3.69915975577229	4.0324414536241	3.90745766393844	3.50156543312989	5.41299270839774	4.87841818559736	4.22946058788568	3.59224885474096	3.6203382726201	3.1943371646399	3.26090083931982	3.1933988160512	3.98123532405902	3.74771850276192	3.14502727991347	4.53753081420183	4.76972269457964
"M8"	2.51538866067133	4.42641141790354	4.01984363665678	3.97424147206547	4.01479125467592	3.34555004073585	3.18148784143765	3.23902397264951	2.84659446333883	3.38074860619009	3.54818474899521	3.26061103875884	4.04844307641075	2.29759947449989	3.85739237132473	3.36193205283508	3.44347747825091	3.46891325670818	4.02819998517375	6.13749300860489	4.82665993224541	5.78252526816497	5.49872869680041	5.89026543677464	5.69417400946678	5.92910519036447	6.09129003553562	4.12210175307269	5.55309659398905	6.21546262879516	5.95084106354995	5.93228929221577	5.82879083391313	6.3418905556002	6.31671255915474	5.14989494437215	5.93955757848191	6.16944416817156	5.74884859237778	6.0335614877421	5.77151431056244	5.72897059323004	5.6430267281903	5.86908700809037	5.52306108698561	6.10836625639239	5.20271934066312	5.67822717315699	5.46330303220937	5.5048429727323	5.86773245039712	5.48978464606713	6.06615084528241	6.00734429049566	6.15729021118478	6.03124495629503	5.39589307354163	6.38466355219881	5.3003097795678	4.99591099757417	6.03638596831514	5.47033646413317	5.3225792620547	5.27553356057119	5.77144579418411	6.11110326822248	4.97696560662855	5.83240974805066	5.15475406712193	6.12486514774849	5.45815821343961	5.64440911604135	5.24774029569055	6.0089721376472	5.68693679683993	5.32981882234989	5.5367031121311	6.22006775101183	5.44998377945485	5.28930845520326	5.32348057825766	5.29867499675956	5.70963644895915	5.91558413937404	5.64260689852265	5.70965220538868	5.73203030893672	5.53216993865082	6.05078080093395	5.89667116676457	4.73072545075431	4.36274687379755	3.35696331478587	3.92913161506509	3.40832283167287	3.69166524641126	3.26061103875884	3.05254717347692	3.05254717347692	2.88194667473817	3.22588748584614	3.69906238871159	3.20084066394232	4.08043096481755	4.43042128390966
"M9"	2.89887742307685	6.13631139847058	6.21206472142059	5.64426438083601	5.89553954003351	6.00682282945707	5.16618623167888	5.99614922715745	5.63213863373385	5.65497806387019	5.84295260304207	6.24063902288607	5.96175300729398	5.16919955432699	5.58044657601057	5.47031146718666	6.06242715707837	6.01954809675125	5.84766999426142	5.04190451830216	2.945767318863	3.83434085196541	3.68012836713942	3.34195461690459	3.54263590170046	3.48523934491904	3.43015399570519	4.1441885009048	3.38973149999697	2.56824967382259	3.54056403247262	3.90739966796917	3.66722451375313	3.86276015895347	4.24547382571244	3.11970416180899	3.33255149056068	3.48814407341338	4.45141575639574	3.93991624089902	3.65409694226264	3.5528608512796	3.67891449341668	3.65409694226264	4.05102458899147	4.01502290160227	3.11970416180899	3.81711712777956	4.34948392075413	3.70536841001302	3.56967975762629	3.93090657540982	4.31821708815686	4.91990084411347	5.76190844467808	5.48333235433701	5.67765042547264	4.95355461580468	3.34151384671582	3.87788519627662	4.48186611881654	3.6597490141962	3.33303594896669	4.33541952745716	4.00767447485172	4.98198804149009	3.6799370267102	4.07028781079024	2.76986387116843	4.66499514115235	3.87573728428216	4.88931987049183	3.60629356368053	3.93123468151455	4.89348168116244	4.54554954032646	4.15808013667154	3.83676800137876	3.38973149999697	4.25075758967715	3.57011439255099	3.50917419266053	4.01966819190773	4.19304559655632	3.85706383087133	3.30869047847606	4.05276030722731	4.34151221631525	3.53294331595003	4.88274132723246	4.94100371027026	4.40005562740091	4.55061434421859	3.64703650123913	3.15730207336879	2.97952814104154	3.72298061807403	2.82810421752868	2.61783650555846	2.88194667473817	3.43978234372821	3.86276015895347	3.76517721886383	4.99839146433486	6.07850804578305
"Not.Correlated"	2.3662591345375	3.43487884767964	2.88194667473817	2.25338130237206	2.54269012013606	2.04696698391845	2.59380922750911	2.3662591345375	2.88194667473817	2.88194667473817	2.42644281163539	2.29759947449989	3.82622257660693	2.07399430336599	2.13954875063404	2.77084762860495	3.19761278526132	2.42948840704421	3.73811926598727	4.30360064229082	3.29677745281624	3.30294570660716	3.83957412457807	3.17655821548799	1.94215465079488	3.0687265925931	4.48746464437541	4.25186254546381	2.04696698391845	2.4880872012066	2.98714918790218	3.51740741294223	3.45207610882219	3.80456372268738	3.51740741294223	2.7458371170208	2.64605073298924	2.13954875063404	4.65246942611902	4.17469666302094	3.71157706425374	3.93592318847951	3.29822095080383	4.41374588125673	3.16957686682411	4.77302221761284	2.4880872012066	4.13267310487054	2.4880872012066	3.45207610882219	4.29170887080092	3.28219810486817	3.59950538230491	2.30188961003385	3.1933988160512	3.815466056126	3.67373472985817	3.68654771316943	2.94829976708115	2.3662591345375	2.80961397171852	2.29759947449989	3.43487884767964	3.88790508513573	2.85985683857525	3.28219810486817	3.46891325670818	3.83683713361335	3.14502727991347	3.54818474899521	3.74771850276192	3.45207610882219	4.20501694823815	2.42948840704421	4.36055713594742	3.56787103577828	3.77094091474903	2.97952814104154	3.34290057846815	2.42948840704421	2.6418637836078	3.3621572745142	2.68720145363456	3.82622257660693	3.30233100651642	3.30294570660716	3.28219810486817	3.03856363252601	2.22248084764279	4.01573236324554	2.47095331727889	2.49651864634931	4.51147545962716	3.80137420354254	2.29759947449989	2.22248084764279	2.68322437248257	2.94829976708115	3.51740741294223	2.22248084764279	2.04696698391845	3.22176349500298	2.29759947449989	2.94829976708115	4.15569911262264
