pathway	logFC	P.Value	adj.P.Val	direction
KEGG_AXON_GUIDANCE	0.0722019149081382	1.4643387048827136e-17	2.7236699910818473e-15	up
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.05566984831947239	5.815996586804016e-14	5.408876825727735e-12	down
KEGG_WNT_SIGNALING_PATHWAY	-0.026236957687507348	1.545127100276402e-13	9.579788021713693e-12	down
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	-0.09156862918043941	2.3018003527913376e-13	1.070337164047972e-11	down
KEGG_GLIOMA	-0.022682333961636342	5.399881673347557e-12	2.0087559824852914e-10	down
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.034010321838160905	9.570983290543975e-12	2.967004820068632e-10	up
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.06687018692695221	1.6761596509427406e-11	3.951210680762168e-10	up
KEGG_LYSOSOME	0.046271962953663086	1.699445454091255e-11	3.951210680762168e-10	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	-0.04528295582530318	3.6938338019949547e-10	7.633923190789573e-9	down
KEGG_FATTY_ACID_METABOLISM	-0.04675327301223182	5.30764958977833e-10	9.872228236987694e-9	down
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.05156875648220839	9.730555942961564e-10	1.645348550355319e-8	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.0282633794490853	1.8481191136503224e-9	2.8645846261579998e-8	up
KEGG_FOCAL_ADHESION	0.050350172426631194	4.091272847516627e-9	5.853667304908405e-8	up
KEGG_NON_SMALL_CELL_LUNG_CANCER	-0.03158016636931251	1.0527645921477779e-8	1.3986729581391907e-7	down
KEGG_TYPE_II_DIABETES_MELLITUS	0.042171963481534416	1.2033380152859011e-8	1.4921391389545174e-7	up
KEGG_PEROXISOME	0.030050108174821875	2.0061154129158363e-8	2.3321091675146597e-7	up
KEGG_VEGF_SIGNALING_PATHWAY	0.03078692533867606	4.8906591809791424e-8	5.350956515659533e-7	up
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.030490884100083264	5.719014251166979e-8	5.909648059539212e-7	up
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	-0.034008228853869546	6.502280981765559e-8	6.365390855833652e-7	down
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-0.01931804538920612	9.591282603123773e-8	8.91989282090511e-7	down
KEGG_BASE_EXCISION_REPAIR	-0.026935783932651496	1.1541779915817872e-7	1.0222719354010115e-6	down
KEGG_ERBB_SIGNALING_PATHWAY	0.03265990163702066	1.4013878742262775e-7	1.1848097482094893e-6	up
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.04815364544100928	2.1805038645659911e-07	1.763363994822932e-6	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.03741510191881457	2.481487069643787e-7	1.923152478973935e-6	down
KEGG_PROPANOATE_METABOLISM	0.04332304152043598	3.2184116453529355e-7	2.337340266128022e-6	up
KEGG_ENDOCYTOSIS	0.029435885524582633	3.267249834372504e-7	2.337340266128022e-6	up
KEGG_RIBOFLAVIN_METABOLISM	-0.0361018897168439	3.541888698289369e-7	2.4399677699326762e-6	down
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.03533932026106834	3.918932296849628e-7	2.60329074005011e-6	up
KEGG_PARKINSONS_DISEASE	0.027294029360972378	4.1629642312197744e-7	2.6700391276099243e-6	up
KEGG_THYROID_CANCER	-0.030778479928013427	5.040974528167948e-7	3.1254042074641278e-6	down
KEGG_GLYCEROLIPID_METABOLISM	-0.03510536431149315	1.009788990298332e-6	6.0587339417899915e-6	down
KEGG_APOPTOSIS	0.03160890055012693	1.1583527016603347e-6	6.732925078400695e-6	up
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.02892491194076472	1.2741183571545613e-6	7.181394376689345e-6	up
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.0329155176576306	1.6843407688821583e-6	9.214334794472985e-6	up
KEGG_MTOR_SIGNALING_PATHWAY	0.033973717989448766	2.2417778178783666e-6	1.1913447832153604e-5	up
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.027024674980049207	6.258732217823518e-6	3.233678312542151e-5	up
KEGG_HUNTINGTONS_DISEASE	0.06230927270949075	8.1654666309197e-6	4.051246663937643e-5	up
KEGG_LEISHMANIA_INFECTION	0.024881437034719407	8.27674049621669e-6	4.051246663937643e-5	up
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	-0.044008637371977244	1.0189236357941935e-5	4.8594819553261534e-5	down
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	-0.029778630728097034	1.2366712115401455e-5	5.750521133661677e-5	down
