pathway	logFC	P.Value	adj.P.Val	direction
KEGG_OLFACTORY_TRANSDUCTION	-0.4193171228268515	5.923573922334318e-78	1.1017847495541832e-75	down
KEGG_TIGHT_JUNCTION	0.21518854090511041	2.9597734280996795e-59	2.752589288132702e-57	up
KEGG_ADHERENS_JUNCTION	0.3228679315415465	4.8173162857988555e-58	2.9867360971952906e-56	up
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.29043203244342897	1.1589042284721747e-57	5.388904662395613e-56	up
KEGG_RIBOSOME	0.4683772145122491	3.109605879014651e-56	1.1567733869934503e-54	up
KEGG_LYSINE_DEGRADATION	0.3030859101793384	2.972476963426846e-54	9.214678586623224e-53	up
KEGG_ENDOMETRIAL_CANCER	0.304107337903922	1.1625530360077154e-52	3.089069495677644e-51	up
KEGG_PROSTATE_CANCER	0.24534587165978014	3.833165320938479e-52	8.912109371181964e-51	up
KEGG_INSULIN_SIGNALING_PATHWAY	0.22708914106289732	4.3573877191174135e-52	9.005267952842656e-51	up
KEGG_MTOR_SIGNALING_PATHWAY	0.23233533165766107	1.328151315196123e-49	2.470361446264789e-48	up
KEGG_VIBRIO_CHOLERAE_INFECTION	0.22366019188045033	8.289553969753526e-49	1.4016882167037782e-47	up
KEGG_ENDOCYTOSIS	0.22446667007496235	4.675361169262058e-48	7.24680981235619e-47	up
KEGG_SPLICEOSOME	0.2582159588491708	1.640229690613946e-47	2.346790172724569e-46	up
KEGG_RETINOL_METABOLISM	-0.2557505374759665	2.5974124255363293e-47	3.4508479367839804e-46	down
KEGG_LINOLEIC_ACID_METABOLISM	-0.27274575852197075	2.8066783151731533e-47	3.4802811108147104e-46	down
KEGG_COLORECTAL_CANCER	0.2885543936106556	3.4903812525029017e-47	4.0575682060346234e-46	up
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.209378894006356	5.391413557416121e-46	5.898840715761167e-45	up
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	-0.19539236415096553	6.302910981430097e-46	6.513008014144433e-45	down
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.26491922987888766	3.178858798012836e-45	3.1119354548967757e-44	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.2505897159736657	3.8650224890108674e-45	3.594470914780107e-44	up
KEGG_ALZHEIMERS_DISEASE	0.2513088156627773	4.5608999423068194e-45	4.039654234614612e-44	up
KEGG_ERBB_SIGNALING_PATHWAY	0.21831961356430604	5.443712373081059e-45	4.602411369968532e-44	up
