pathway	P.Value	adj.P.Val
KEGG_OLFACTORY_TRANSDUCTION	7.037829549773685e-80	1.3090362962579054e-77
KEGG_TIGHT_JUNCTION	2.05261868007469e-59	1.908935372469462e-57
KEGG_ADHERENS_JUNCTION	6.128037690647157e-59	3.799383368201237e-57
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1.4966912362439501e-58	6.959614248534369e-57
KEGG_RIBOSOME	2.438242275064343e-57	9.070261263239358e-56
KEGG_LYSINE_DEGRADATION	4.970119358451315e-55	1.5407370011199076e-53
KEGG_ENDOMETRIAL_CANCER	3.676988055389073e-54	9.77028254717668e-53
KEGG_PROSTATE_CANCER	2.4166935152901136e-53	5.618812423049514e-52
KEGG_INSULIN_SIGNALING_PATHWAY	5.126848904235205e-53	1.0595487735419425e-51
KEGG_MTOR_SIGNALING_PATHWAY	4.298728827009631e-52	7.995635618237914e-51
KEGG_SPLICEOSOME	1.5270863575705904e-50	2.582164204619362e-49
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	2.4541658953746643e-50	3.803957137830729e-49
KEGG_VIBRIO_CHOLERAE_INFECTION	3.491666462400603e-50	4.9957689385116316e-49
KEGG_LINOLEIC_ACID_METABOLISM	3.570341306879449e-49	4.743453450568411e-48
KEGG_ENDOCYTOSIS	1.409412630554693e-48	1.7476716618878192e-47
KEGG_RETINOL_METABOLISM	1.820234327888963e-48	2.1160224061709194e-47
KEGG_COLORECTAL_CANCER	2.361150688579646e-48	2.583376635740083e-47
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	4.818542679470573e-47	4.979160768786259e-46
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	5.851076062005609e-47	5.727895513331806e-46
KEGG_ERBB_SIGNALING_PATHWAY	1.469225189633792e-46	1.3663794263594266e-45
KEGG_CHRONIC_MYELOID_LEUKEMIA	6.195121646568974e-46	5.4871077441039484e-45
KEGG_ALZHEIMERS_DISEASE	6.9410521860907274e-46	5.686666760518777e-45
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	7.031899757630745e-46	5.686666760518777e-45
KEGG_NON_SMALL_CELL_LUNG_CANCER	5.766131072766085e-45	4.468751581393716e-44
KEGG_RENAL_CELL_CARCINOMA	8.100033746299081e-45	5.913243090442154e-44
KEGG_WNT_SIGNALING_PATHWAY	8.265823674811612e-45	5.913243090442154e-44
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1.839752906455854e-44	1.2673853355584773e-43
KEGG_PANCREATIC_CANCER	8.235270253759562e-44	5.470572382854567e-43
KEGG_PROPANOATE_METABOLISM	8.939376126686582e-44	5.733530895047256e-43
KEGG_HUNTINGTONS_DISEASE	3.512111469569093e-43	2.1775091111328377e-42
KEGG_STEROID_HORMONE_BIOSYNTHESIS	3.678019761565888e-42	2.2068118569395325e-41
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	4.555657306407106e-42	2.64797580934913e-41
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	6.001752153585316e-42	3.382805759293542e-41
KEGG_N_GLYCAN_BIOSYNTHESIS	6.424656884543138e-42	3.5146652368383054e-41
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	7.33990948064623e-42	3.9006376097148534e-41
KEGG_THYROID_CANCER	1.7791002513105726e-41	9.192017965104626e-41
KEGG_CIRCADIAN_RHYTHM_MAMMAL	2.0395420564194952e-41	1.0252833040379084e-40
KEGG_GLIOMA	3.393416988865273e-41	1.6609883156024758e-40
KEGG_PATHWAYS_IN_CANCER	1.7560127144677771e-40	8.374829869000167e-40
KEGG_PYRUVATE_METABOLISM	3.925374984646996e-39	1.8252993678608532e-38
KEGG_NOTCH_SIGNALING_PATHWAY	7.37114681580495e-39	3.343983677413953e-38
KEGG_OOCYTE_MEIOSIS	1.2601295310360986e-38	5.58057363744558e-38
KEGG_PARKINSONS_DISEASE	1.3754646484212759e-38	5.9496842931711e-38
KEGG_FOCAL_ADHESION	1.6619606510002022e-38	7.025560933773582e-38
KEGG_ACUTE_MYELOID_LEUKEMIA	8.063301614011921e-38	3.3328313337915944e-37
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	9.350358470988782e-38	3.780797120878073e-37
KEGG_SMALL_CELL_LUNG_CANCER	2.308344432953214e-37	9.135150309133996e-37
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	5.4787507825221945e-37	2.1230159282273505e-36
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1.6853256085733236e-36	6.397358432543637e-36
KEGG_FATTY_ACID_METABOLISM	3.047407213720659e-36	1.1336354835040852e-35
KEGG_TGF_BETA_SIGNALING_PATHWAY	9.447558030924255e-36	3.445579987748846e-35
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1.232619363534068e-35	4.4089846464872436e-35
KEGG_OXIDATIVE_PHOSPHORYLATION	1.2734336069749357e-35	4.469031149006378e-35
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.3631564486342224e-35	4.695316656406766e-35
KEGG_LYSOSOME	1.4676685416792313e-35	4.963388159133401e-35
KEGG_ARGININE_AND_PROLINE_METABOLISM	5.122501534004047e-35	1.7014022952227728e-34
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1.4577788960844351e-34	4.756962713538683e-34
KEGG_CITRATE_CYCLE_TCA_CYCLE	1.6730475002027086e-34	5.3652902592707555e-34
KEGG_GAP_JUNCTION	3.8454840924992794e-34	1.2123051545845186e-33
KEGG_PROTEIN_EXPORT	3.99498422956903e-34	1.2384451111663992e-33
KEGG_GNRH_SIGNALING_PATHWAY	4.5921536910054085e-34	1.399549053335509e-33
KEGG_PEROXISOME	4.665163511118363e-34	1.399549053335509e-33
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	8.85627475848189e-34	2.6147096905994156e-33
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1.0917679257318728e-33	3.172950534158255e-33
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	2.169254144029029e-33	6.20740416599076e-33
KEGG_RNA_POLYMERASE	2.9381820538700755e-33	8.280331242724758e-33
KEGG_PROTEASOME	1.4129673696142e-32	3.922566130570764e-32
KEGG_PRION_DISEASES	1.606419397204277e-32	4.3940295276469926e-32
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1.6698464981222836e-32	4.5013253427644164e-32
KEGG_RNA_DEGRADATION	3.6509553091645575e-32	9.701109821494395e-32
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	4.722640824415708e-32	1.2371988638610164e-31
KEGG_CARDIAC_MUSCLE_CONTRACTION	1.0776399402115317e-31	2.7839031788797905e-31
KEGG_BETA_ALANINE_METABOLISM	2.216826257604738e-31	5.648351834444949e-31
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	2.4111872036852997e-31	6.060551620073862e-31
KEGG_INOSITOL_PHOSPHATE_METABOLISM	4.324028818085711e-31	1.0723591468852564e-30
KEGG_PURINE_METABOLISM	1.3225085851074582e-30	3.2366657477629894e-30
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	3.0419818654025645e-30	7.348163986556844e-30
KEGG_AXON_GUIDANCE	3.7921405538296165e-30	9.042796705286009e-30
KEGG_PENTOSE_PHOSPHATE_PATHWAY	5.548349518252418e-30	1.3063202663227214e-29
KEGG_NON_HOMOLOGOUS_END_JOINING	1.5852932793049282e-29	3.6858068743839584e-29
KEGG_MELANOGENESIS	3.480690659018526e-29	7.899660290902597e-29
KEGG_SELENOAMINO_ACID_METABOLISM	3.4826459346989947e-29	7.899660290902597e-29
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	7.814319197801867e-29	1.7511606877001772e-28
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	9.158475430515481e-29	2.0279481310427138e-28
KEGG_NUCLEOTIDE_EXCISION_REPAIR	4.198697768110066e-28	9.18773864551144e-28
KEGG_BLADDER_CANCER	5.140170740975044e-28	1.1117113463039046e-27
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	8.31483222994753e-28	1.7776537870922302e-27
KEGG_LONG_TERM_POTENTIATION	1.284706402201465e-27	2.7154021682894603e-27
KEGG_GLYCEROLIPID_METABOLISM	1.3268918286416913e-27	2.7730548328916247e-27
KEGG_MAPK_SIGNALING_PATHWAY	1.5144547067120957e-27	3.1298730605383316e-27
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	4.075749325027128e-27	8.330652466538964e-27
KEGG_VEGF_SIGNALING_PATHWAY	4.1420362402766575e-27	8.374116746646286e-27
KEGG_DILATED_CARDIOMYOPATHY	4.932997818206398e-27	9.865995636412796e-27
KEGG_TASTE_TRANSDUCTION	1.5325857422478196e-26	3.032563277213771e-26
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	4.2828253251034974e-26	8.385321162834217e-26
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	4.9485657605593585e-26	9.587846161083758e-26
KEGG_LONG_TERM_DEPRESSION	7.574885936080362e-26	1.4525039011453067e-25
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	8.995537212287361e-26	1.7073162464137238e-25
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	1.6637589670104141e-25	3.1258501804438084e-25
KEGG_GALACTOSE_METABOLISM	2.845986018839855e-25	5.2935339950421305e-25
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	4.645450918638078e-25	8.554988820462204e-25
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	4.781633975456672e-25	8.719450190538636e-25
KEGG_BUTANOATE_METABOLISM	5.749851123256854e-25	1.0383226300250242e-24
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	2.507187785285495e-24	4.484008923683674e-24
KEGG_GLUTATHIONE_METABOLISM	7.126055504290099e-24	1.2623298321885316e-23
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	8.387390623474507e-24	1.461338404484628e-23
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	8.406624154830925e-24	1.461338404484628e-23
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1.0099799200496058e-23	1.7394098623076544e-23
KEGG_APOPTOSIS	1.1085310294198511e-23	1.8916217566247e-23
KEGG_ECM_RECEPTOR_INTERACTION	4.388251982013987e-22	7.420135169587287e-22
KEGG_TYPE_II_DIABETES_MELLITUS	5.24927851326174e-22	8.796088319519672e-22
KEGG_STARCH_AND_SUCROSE_METABOLISM	8.569795786488133e-22	1.4231982288274935e-21
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	9.59748346763096e-22	1.5797627654684587e-21
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1.958777743310387e-21	3.1959005285590524e-21
KEGG_SPHINGOLIPID_METABOLISM	2.92052864853466e-21	4.723637640238667e-21
KEGG_CELL_CYCLE	3.0414742802816556e-21	4.876846690796447e-21
KEGG_BASAL_TRANSCRIPTION_FACTORS	4.783287231036519e-21	7.60420021344267e-21
KEGG_ARACHIDONIC_ACID_METABOLISM	5.408616658985438e-21	8.525446598061793e-21
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1.3722819721347146e-20	2.1449113177903942e-20
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	3.834865252943727e-20	5.944041142062777e-20
KEGG_MELANOMA	6.464571126162714e-20	9.937274623688138e-20
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	2.559970972377248e-19	3.902906564444001e-19
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	8.311535527064168e-19	1.2568663479950693e-18
KEGG_PPAR_SIGNALING_PATHWAY	1.0929615443693383e-18	1.6394423165540076e-18
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.78076297583623e-18	2.64977530804431e-18
KEGG_PRIMARY_IMMUNODEFICIENCY	2.5750103660426026e-18	3.801205778443842e-18
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	6.229886280435541e-18	9.124085418590635e-18
KEGG_PYRIMIDINE_METABOLISM	9.23086599542907e-18	1.3413602149607868e-17
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1.0518765396119455e-17	1.5166591966497818e-17
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1.2654687934803685e-17	1.8105938122103735e-17
KEGG_VIRAL_MYOCARDITIS	1.5766937211119418e-17	2.238664367380314e-17
KEGG_BASE_EXCISION_REPAIR	6.111009570392275e-17	8.610968031007297e-17
KEGG_ONE_CARBON_POOL_BY_FOLATE	2.3584714282964456e-16	3.2983134260386383e-16
KEGG_OTHER_GLYCAN_DEGRADATION	5.998110067345681e-16	8.3257348695992285e-16
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	2.307727907752201e-15	3.1795362284585878e-15
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1.6331502432036123e-14	2.2335731267343523e-14
KEGG_P53_SIGNALING_PATHWAY	5.5425202957303076e-14	7.524881569385672e-14
KEGG_HEMATOPOIETIC_CELL_LINEAGE	9.016202155799975e-14	1.2152272470860837e-13
KEGG_CHEMOKINE_SIGNALING_PATHWAY	2.0508206087613997e-13	2.744263548414535e-13
KEGG_MISMATCH_REPAIR	5.706935715105048e-13	7.582071735782421e-13
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1.5371261345960063e-12	2.027698305211753e-12
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	2.022198562015183e-12	2.6487952995410144e-12
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	3.479690928080841e-12	4.52603155680445e-12
KEGG_STEROID_BIOSYNTHESIS	6.435018855008398e-12	8.311899354385848e-12
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	2.9391719393286594e-11	3.77024814286297e-11
KEGG_CELL_ADHESION_MOLECULES_CAMS	4.4788388247882967e-11	5.705917954867282e-11
KEGG_AUTOIMMUNE_THYROID_DISEASE	8.018130917006204e-11	1.0145390139885401e-10
KEGG_TRYPTOPHAN_METABOLISM	8.335693283750138e-11	1.0475938856604904e-10
KEGG_BASAL_CELL_CARCINOMA	1.0555927393182663e-10	1.3177197953905875e-10
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.7276285690963904e-10	2.142259425679524e-10
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1.9805425915020177e-10	2.4396087550952007e-10
KEGG_RENIN_ANGIOTENSIN_SYSTEM	4.50994170591647e-10	5.518744455924101e-10
KEGG_HISTIDINE_METABOLISM	5.422808315384182e-10	6.592433638310181e-10
KEGG_RIBOFLAVIN_METABOLISM	2.3716749764908093e-9	2.864490556021367e-9
KEGG_LEISHMANIA_INFECTION	4.532964169666809e-9	5.439557003600171e-9
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	6.316076812766492e-9	7.53070696906774e-9
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	7.991563735093332e-9	9.467712450492738e-9
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1.097307561794048e-8	1.2917671297069173e-8
KEGG_TYROSINE_METABOLISM	1.6241547057580832e-8	1.899954561452852e-8
KEGG_ASTHMA	2.33525294226308e-8	2.7147315453808307e-8
KEGG_CALCIUM_SIGNALING_PATHWAY	3.129792124084715e-8	3.615784689936379e-8
KEGG_ABC_TRANSPORTERS	1.4437317314495927e-7	1.6576179138865695e-7
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	2.1383631626810196e-7	2.440095388089998e-7
KEGG_HEDGEHOG_SIGNALING_PATHWAY	3.754438150186125e-7	4.258082292284263e-7
KEGG_PHENYLALANINE_METABOLISM	1.3995711775467336e-6	1.5776984183254086e-6
