pathway	logFC	P.Value	adj.P.Val	direction
KEGG_TASTE_TRANSDUCTION	0.029751343173312315	4.524666951931739e-14	8.415880530593034e-12	up
KEGG_DILATED_CARDIOMYOPATHY	0.019208126182457572	2.9618631034483954e-10	2.649481685458238e-8	up
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.018368112749828334	4.2733575571907065e-10	2.649481685458238e-8	up
KEGG_OTHER_GLYCAN_DEGRADATION	0.02109070487365152	1.0943742927874846e-9	4.248398694534674e-8	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.01831893767995784	1.4286758481955266e-9	4.248398694534674e-8	up
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.018769778020171327	1.48347302357431e-9	4.248398694534674e-8	up
KEGG_HISTIDINE_METABOLISM	0.020955731914076993	1.5988597237496083e-9	4.248398694534674e-8	up
KEGG_NON_HOMOLOGOUS_END_JOINING	0.024137321228195067	2.27899622158167e-9	5.2986662151773827e-8	up
KEGG_ARACHIDONIC_ACID_METABOLISM	0.02233037214645604	3.3978500705168935e-9	7.022223479068247e-8	up
KEGG_REGULATION_OF_AUTOPHAGY	0.029239474173380117	5.842061286810514e-9	1.027958086548469e-7	up
KEGG_ADHERENS_JUNCTION	0.01383873924550468	6.079322017222128e-9	1.027958086548469e-7	up
KEGG_RNA_DEGRADATION	0.020186158759417185	1.193548652722693e-8	1.850000411720174e-7	up
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.01701451647119603	1.4311735142706064e-8	2.0476790281102522e-7	up
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.019322414866556885	1.7532268112306325e-8	2.329287049206412e-7	up
KEGG_GALACTOSE_METABOLISM	0.026410083526902727	2.995946065448158e-8	3.7149731211557156e-7	up
KEGG_OXIDATIVE_PHOSPHORYLATION	0.014146154852758299	4.8385569330115645e-8	5.624822434625944e-7	up
KEGG_PROSTATE_CANCER	0.02118117631208076	5.668681593042263e-8	6.202204566505064e-7	up
KEGG_LEISHMANIA_INFECTION	0.015287162952495886	8.723265011672181e-8	9.014040512061255e-7	up
KEGG_DNA_REPLICATION	0.020958904582812528	1.0041186141217256e-7	9.829792748770577e-7	up
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.020187452393860116	1.3360202190890794e-7	1.242498803752844e-6	up
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.0194272082379125	2.0738019349312943e-7	1.836795999510575e-6	up
KEGG_WNT_SIGNALING_PATHWAY	-0.009977195245518468	2.7831869985983327e-7	2.3530580988149543e-6	down
KEGG_RNA_POLYMERASE	0.04246057723052438	3.464136187266078e-7	2.8014318731803937e-6	up
KEGG_MISMATCH_REPAIR	0.013795488853740509	4.4600516042255046e-7	3.4105962787640384e-6	up
KEGG_LONG_TERM_DEPRESSION	0.012611665175527361	4.732684287139164e-7	3.4105962787640384e-6	up
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.01651198234335177	4.942836365400863e-7	3.4105962787640384e-6	up
KEGG_VEGF_SIGNALING_PATHWAY	0.014601848381820973	4.950865565947797e-7	3.4105962787640384e-6	up
KEGG_AXON_GUIDANCE	0.023944069502962868	6.135605352090117e-7	4.075794983888435e-6	up
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.0164913780294354	6.78295820963754e-7	4.3504490585951116e-6	up
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.015030724122085424	9.72920139988826e-7	6.032104867930721e-6	up
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.016241208100945655	1.0163549588127559e-6	6.0981297528765356e-6	up
KEGG_PURINE_METABOLISM	0.02669520953179884	1.140933274959083e-6	6.631674660699671e-6	up
KEGG_PYRIMIDINE_METABOLISM	0.010410150626845744	2.588502235575112e-6	1.4589739873241541e-5	up
