pathway	logFC	P.Value	adj.P.Val	direction
KEGG_WNT_SIGNALING_PATHWAY	-0.4275396574611133	6.087115610441372e-79	1.1322035035420951e-76	down
KEGG_O_GLYCAN_BIOSYNTHESIS	0.30862317792325195	3.8841521271959387e-57	3.612261478292223e-55	up
KEGG_ASTHMA	0.27750019329467984	9.636999666341659e-57	5.9749397931318286e-55	up
KEGG_GLIOMA	0.19321507795906137	1.7537683985591813e-56	8.155023053300194e-55	up
KEGG_MELANOGENESIS	0.4547913226859822	8.409080947138558e-56	3.1281781123355436e-54	up
KEGG_BASE_EXCISION_REPAIR	0.28735848593438224	4.0734114686009945e-53	1.2627575552663084e-51	up
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.3035297378767425	4.819225155941206e-53	1.2805369700072349e-51	up
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.2400738734361657	6.203741909629283e-52	1.4423699939888082e-50	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.24610864652226572	9.974576357086202e-52	2.0614124471311484e-50	up
KEGG_ABC_TRANSPORTERS	0.2179389326224229	2.653723854511217e-51	4.935926369390864e-50	up
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.24314171377149604	8.356905559250864e-51	1.4130767582006007e-49	up
KEGG_PARKINSONS_DISEASE	0.2816729517142847	1.6921467262537173e-50	2.622827425693262e-49	up
KEGG_ALLOGRAFT_REJECTION	0.22173364938129475	5.3819818559085385e-49	7.700374039992217e-48	up
KEGG_PROTEASOME	-0.2797347413073412	1.808646154005805e-48	2.4029156046077124e-47	down
KEGG_GNRH_SIGNALING_PATHWAY	-0.24989738455051932	5.124273547183361e-47	6.354099198507368e-46	down
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.2823041623987501	5.566332533232923e-47	6.470861569883273e-46	up
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-0.16552592915897832	7.988065990996473e-47	8.73988396661967e-46	down
KEGG_PYRIMIDINE_METABOLISM	0.2088401067970273	2.187536368123823e-46	2.260454247061284e-45	up
KEGG_TIGHT_JUNCTION	-0.1890828220008902	1.2948567642903714e-45	1.2675966218842583e-44	down
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.21960347728594118	1.3754538094785072e-45	1.2791720428150118e-44	up
KEGG_PEROXISOME	0.22283555544119085	1.6117019296066683e-44	1.4275074233659064e-43	up
KEGG_ETHER_LIPID_METABOLISM	0.23979030400255694	3.808603614013434e-44	3.220001237302267e-43	up
KEGG_DILATED_CARDIOMYOPATHY	0.25066959399918676	4.673876908277332e-44	3.6353463328248704e-43	up
KEGG_SPLICEOSOME	0.3387507275756721	4.810377812536781e-44	3.6353463328248704e-43	up
KEGG_OOCYTE_MEIOSIS	0.23766699121097024	4.886218189280739e-44	3.6353463328248704e-43	up
KEGG_VIRAL_MYOCARDITIS	0.20592591285579925	7.35354495573253e-44	5.260612929870195e-43	up
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.2579250098126904	1.386654590762117e-43	9.552509403027918e-43	up
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.2731765956069728	2.0914901132312516e-43	1.3893470037893315e-42	up
KEGG_VEGF_SIGNALING_PATHWAY	0.2242139502647808	5.30093021667491e-43	3.399906966557011e-42	up
KEGG_OXIDATIVE_PHOSPHORYLATION	-0.20339466510227566	2.6881123663200202e-42	1.6666296671184126e-41	down
KEGG_PRION_DISEASES	-0.2500001003172259	5.411177445477947e-42	3.2467064672867685e-41	down
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.2578920499948972	2.2178055418661497e-41	1.2890994712096995e-40	up
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.22736466112753143	9.882008105638168e-41	5.569859114086968e-40	up
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.20021493127786583	1.2169685204906756e-40	6.657533670919579e-40	up
KEGG_ENDOMETRIAL_CANCER	0.23337521940930012	2.9833138661112285e-39	1.5854182259905386e-38	up
KEGG_LONG_TERM_DEPRESSION	0.17653606334450822	5.49622984501594e-39	2.8397187532582355e-38	up
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.2322162020531715	8.471649261598601e-39	4.2587209801549727e-38	up
KEGG_MTOR_SIGNALING_PATHWAY	0.24943824802471548	2.0698025608724352e-38	1.013113885058613e-37	up
KEGG_NOTCH_SIGNALING_PATHWAY	0.16832070769793211	2.42948596532637e-38	1.158677921924884e-37	up
KEGG_ADHERENS_JUNCTION	0.1625755040420735	4.088088058944676e-38	1.9009609474092746e-37	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.211081398593536	9.72202610153477e-38	4.410480133866993e-37	up
KEGG_SMALL_CELL_LUNG_CANCER	0.24244665847043337	5.803669941398992e-37	2.5701966883338394e-36	up
KEGG_ECM_RECEPTOR_INTERACTION	0.2877450749803639	9.601676967496093e-37	4.153283525475054e-36	up
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.18233256414679153	3.464028109400355e-36	1.464339155337423e-35	up
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.17437342469879386	4.866864066928201e-36	1.9974754775204235e-35	up
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.35256157145332884	4.9399931164483594e-36	1.9974754775204235e-35	up
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.2343388837660807	5.365486503743445e-36	2.12336274403464e-35	up
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.19075052122002903	1.4772071537788946e-35	5.724177720893217e-35	up
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.1605135249281364	3.058801659630016e-35	1.1610961401860877e-34	up
KEGG_HISTIDINE_METABOLISM	0.20126568901267355	8.236916588640486e-35	3.064132970974261e-34	up
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.1733650326696182	1.223044834467973e-34	4.46051645511849e-34	up
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.27629554897618663	1.5207716999339431e-34	5.439683388225258e-34	up
KEGG_OTHER_GLYCAN_DEGRADATION	0.2013622269269859	1.774435226426288e-34	6.227263247458293e-34	up
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.2089626518988014	2.0978345163452063e-34	7.225874445189045e-34	up
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.26265041634172936	5.385708366209775e-34	1.8213486474818512e-33	up
KEGG_PANCREATIC_CANCER	0.1576708307372185	1.4290092571169974e-33	4.7463521754243134e-33	up
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.2714564886380107	2.0976340192003297e-33	6.844911010022128e-33	up
