pathway_description	BS_AGTPCRR4	BS_C80S5N37	BS_BJDNWMJH	BS_GV3NZ9QD	BS_EMYET8F4	BS_3X9WMZGJ	BS_34201DKZ	BS_3F4FQJMR	BS_0BXY0F9N	BS_7BTZQKYY	BS_4SCWT0FX	BS_4FZS7TX4	BS_VJ2S5DVS	BS_X67GTEM6	BS_WFD0GE5X	BS_SAA624A4	BS_T4P3J13C	BS_SDCNP7MW	BS_TXY8QYWA	BS_TBWYAFSM	BS_TNRHHYNC	BS_Q5WZYWCT	BS_RCFQ31XF	BS_N8J1DP02	BS_PSW27ZTE	BS_PRAEF32W	BS_P78SMRBS	BS_KDSTG5YY	BS_0XEG6SNV	BS_07ANYSYQ	BS_WYERXS4G
KEGG_ABC_TRANSPORTERS	0.046621704385154575	0.07582964527905033	-0.008563407382615023	0.0774937146594173	0.07067972962922123	0.06405687052881925	0.054942901845625905	0.034457788426995345	0.07654377434728271	0.04118701221751073	0.016414953792987335	0.06368712436177679	0.029374785460763962	0.0721725593460605	0.062117317843262944	0.03496672730482108	0.06337993095348399	0.05362395125772532	0.06857696683337176	-0.0075084038878139026	-0.016238477087729148	0.045849124446708016	0.061664457992445965	0.033161758774390496	0.07185295538796332	0.05789471652778024	0.03252200638958096	0.028653355706052437	0.0739786851054338	0.04032133991583322	0.02439463005147489
KEGG_ACUTE_MYELOID_LEUKEMIA	0.27748059087408644	0.25527433914199604	0.24603648818276494	0.26190542693421226	0.2620550623071099	0.2365935637492462	0.25424543345548645	0.21125184228457672	0.2484287875132146	0.2251224990999945	0.23742593939571036	0.2611429698406157	0.22747652202670407	0.27517044857004136	0.24796113017662808	0.17606738217463686	0.2618530554621242	0.22808295954538044	0.28227618753678696	0.21602228394360923	0.20380884240723063	0.2546231583898704	0.24218272711953254	0.24767073956567312	0.25882765191655904	0.2737219061718757	0.2487054845447103	0.24418185889032545	0.2561185279647338	0.256914872137531	0.2068110198632422
KEGG_ADHERENS_JUNCTION	0.33435436558163584	0.32286074732769404	0.31604751903281075	0.3292897273365115	0.3186793137332063	0.3228533882972407	0.32062395979189356	0.29988097075941483	0.3095769199179075	0.30417697686053324	0.3255536897299148	0.3341074913216006	0.28784316217366773	0.3308403925519422	0.32872803022585173	0.29023416442614697	0.3263078979585255	0.29704934607311595	0.33331291649119504	0.3470380904365213	0.3023602021823521	0.32034248430495893	0.3341739205059075	0.33053990304629	0.3401114655805009	0.3348510436298177	0.3382556970079338	0.33070956591405765	0.3264789760189363	0.35219373756364075	0.3323308880979977
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.17862656107919778	0.1710867129970591	0.1787764781650489	0.1822656260850875	0.15474818378584795	0.13290143269216334	0.18399156288607452	0.13135748372906217	0.1701856348979414	0.16263087712580443	0.15644293660276642	0.1963627730609227	0.1342840603118257	0.1792944717150537	0.1858375275330863	0.1326845469632241	0.1663313195291523	0.15429085846729776	0.17891048059404807	0.16454757257370806	0.13259105380782527	0.16316589895840855	0.16849224493242485	0.19885417267128422	0.17160833978278847	0.1795269230214556	0.1682696828300769	0.1457284004766128	0.1763701724272346	0.18084510610056084	0.14754322232995257
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.15929738208558275	0.1358378439580125	0.12777366093839423	0.1459595177539846	0.13344037027083444	0.10396787123780252	0.15715607880180305	0.11699422889695629	0.14616525881761655	0.13778280985211364	0.09389369640815147	0.1321184970574136	0.08958539420383564	0.13245827813985966	0.12506938707421647	0.08125157080511762	0.15403434015562442	0.09686367644379885	0.125618356553218	0.11682144346633544	0.08790278843845757	0.07772993606152066	0.1364189754721647	0.13458922843658327	0.10644147084160788	0.13857995197594541	0.09303404463099375	0.10137517213880579	0.08197299688983715	0.15565583848156314	0.12230714163695837
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.15002219970290787	0.1538585136185554	0.14441107871087086	0.16723120039014003	0.1484935450493625	0.14881049247001865	0.14351081959518325	0.13929267500321316	0.14701044883794648	0.15205226048053502	0.20111931664702498	0.14501624870959962	0.10501556395854852	0.15308904500712003	0.1531491322882093	0.10089226325389418	0.1536243406676664	0.16122007324941384	0.15974531985928525	0.11759145969260879	0.1172846801131479	0.11786140036078455	0.15201866970183273	0.14715953067247386	0.15457468463698426	0.17687948589535127	0.15798203130880012	0.15882613354243233	0.11661730453072115	0.20040987932316714	0.13651662266267048
KEGG_ALLOGRAFT_REJECTION	0.09928462066313348	0.013725399323592857	-0.03208562745181365	-0.05502983843793577	-0.09323449781392273	0.021496220770133898	-0.02318426377084186	0.0026174338199310963	0.010052344744628156	0.022936751487117813	-0.058423313259275994	-0.03906413642904194	-0.12771817892877352	0.0779743801300276	0.060506226662824104	-0.010023552414490055	-0.017856990576066795	-0.06868996406972668	0.05178134832394462	-0.0658059910222067	0.012634763220515072	-0.021936024299320796	-0.05566947964125535	-0.03077786518700305	-0.018830576173563526	0.0897139943883465	-0.018038709510204413	-0.1447921609277268	0.0586635941608369	-0.04144428254133434	0.03258774099345204
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.10142179758440875	-0.08800523724698864	-0.08526123298570505	-0.09602551015835735	-0.0981438195091098	-0.09589343454005769	-0.09248792382327324	-0.08913171392105824	-0.07620437352113085	-0.07920757787140122	-0.14107787245083314	-0.07657189356971607	-0.08326120295833116	-0.0763735097820346	-0.08028621168678587	-0.08416370809736451	-0.08641679261846384	-0.07423248565591058	-0.07245144744419567	-0.09706247006351805	-0.13363763481465069	-0.09577229999774559	-0.08104839969589803	-0.08887119400772142	-0.10534516173493051	-0.10036535481981994	-0.08219824998203988	-0.11662355150818403	-0.0880385235532954	-0.10396308588382316	-0.09549740529679446
KEGG_ALZHEIMERS_DISEASE	0.2482679329722055	0.21912602692214306	0.26620472495384984	0.2394283972350177	0.23272380008331386	0.22489015715323632	0.26652696310932683	0.21753098701933007	0.23742248570911076	0.26827483667830293	0.2548543664041284	0.24337784588918526	0.21595706808261486	0.22988078210602028	0.22628335185106602	0.28969626405905446	0.24215163384851582	0.2305221948155097	0.233438711959961	0.25239001766998953	0.2871192436467908	0.2186169678576307	0.23600455248407348	0.24736547056395822	0.2264390790877994	0.2205222304844611	0.2518952810865477	0.25345083187182577	0.193960979988838	0.24255576382359095	0.23302706348134059
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.15400547425040967	0.10380289829816686	0.14679831856629103	0.11639505219461478	0.09522615851196808	0.11583285211561208	0.1004530406964622	0.11483308152068843	0.13241030025433223	0.0997848262163107	0.12834090846932686	0.09389955837350628	0.13059391608092052	0.11848809834842686	0.11445672301449229	0.11618665494938354	0.10271718546667265	0.1064967608105652	0.1173091757375727	0.14350153195711068	0.12343143116518784	0.11493870974944528	0.1038762862020774	0.13588677794468243	0.10041530315568656	0.13473398776070344	0.11446297037075316	0.10532046338642723	0.1014156388304648	0.08979194466083186	0.1398036720799708
