pathway_description	BS_8ZP3CBQA	BS_E4F1D721	BS_0QYS36NR	BS_1J2WQ08M	BS_196BBNEJ	BS_6H1C1ME9	BS_4T0HPZDC	BS_WRHDP7WF	BS_XQYHPBFS	BS_KXMYBQ6N	BS_MA2T7ET1	BS_JHGW42S6	BS_RHD7XPNP	BS_RGPSEMHC	BS_PJPGVD62	BS_J8VX4D17	BS_8RHPJ740	BS_CXVJK2FY	BS_T1DVKKJB	BS_V4W81SFC
KEGG_ABC_TRANSPORTERS	0.04525832931369463	-0.01489417030027662	0.048449402518783005	0.0326796868234685	0.05151730179304417	0.03799903601324416	0.04663785258389575	0.05184222866095376	0.054977493605598185	0.013216124509521808	0.014258367021153679	0.05252733603619653	0.056505291547384276	0.06733276707557186	0.03313041727986058	0.04377606347747333	0.018356064936762246	-0.008329715477842689	0.049817211032139125	0.013542635361578287
KEGG_ACUTE_MYELOID_LEUKEMIA	0.27519765167881255	0.2666204950344173	0.31544197634046317	0.30503167101857087	0.28603791278564134	0.2817543258104893	0.3089424594863519	0.28745732556204273	0.27062525444018143	0.29215695945630726	0.2624794004418788	0.2748304458178552	0.2728308746946594	0.28429572108782186	0.3260982982093966	0.28811128703925315	0.28720783294539715	0.29275176932668945	0.3021771731035034	0.2803707577433986
KEGG_ADHERENS_JUNCTION	0.33352927439352514	0.3350694571190017	0.34818797244638056	0.35925490694795276	0.33987052066568	0.33766656796285444	0.34624278730912483	0.3441266712368367	0.3378553680602298	0.350351259773966	0.3421759808451752	0.3303275851756217	0.3204523885635052	0.3365238836125557	0.32743962441066565	0.3336724297871194	0.33920409594494344	0.32725767143830836	0.31432525138030354	0.3552375236608518
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.1792123522844962	0.196402336471596	0.19407752099470124	0.1792925919675481	0.1864291825308118	0.18628370967490543	0.20125584985785286	0.19339548389644484	0.1959995869936123	0.18272551403842482	0.17211066346411136	0.18743540132656916	0.18212168593229558	0.19366971721984927	0.21099936802657532	0.18225831645098686	0.17011356022728244	0.17626258484136015	0.18685648526075094	0.15481284367113757
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.12482653802223531	0.0846716035819723	0.10394867272321187	0.11464900177438629	0.12540760182768326	0.14787248401574943	0.1371415044719099	0.11307617259630218	0.12401385666700485	0.1084992090341458	0.13950111730877307	0.10443922741255475	0.10339556877693344	0.11932632694186161	0.1092517333428254	0.12119637768210241	0.16676877245164012	0.08188600145167549	0.07499259450466671	0.11913297960550523
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.16517432765122605	0.1520360001919319	0.19342734645349066	0.1480470559627874	0.16575513727149638	0.16589825632656802	0.19447464178424081	0.18684025764497414	0.17799383126399954	0.14815617093049332	0.15082602149246424	0.16447770157954833	0.15200984652149316	0.18324269196785473	0.1775038808157188	0.1636062476989	0.13905568497798826	0.14528137024655413	0.13763112879608067	0.1477263930977738
KEGG_ALLOGRAFT_REJECTION	0.004600873025183982	-0.0096614680805764	0.15260402166859355	0.10677030232454993	-0.010625720948992452	0.06486732001754984	0.15522208105161073	0.10512805855985051	0.10379154165855695	0.1341520675050769	0.021061022089854303	0.11377060043528149	0.047256973935887917	0.13113017668107033	0.1310865159518652	0.10270599460007489	0.03926158169025554	0.009894463745831122	0.08457572729427776	-0.012823623514231814
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.10550782731501504	-0.06866046855412522	-0.11570244070510927	-0.1423687504056709	-0.08504033015467206	-0.06047955898940212	-0.0994532408581937	-0.1004453570498354	-0.07793435129324519	-0.11363267085506125	-0.08858588011110186	-0.09375499581366672	-0.07110461365457887	-0.0593574184120522	-0.07412280808264202	-0.10444779605171968	-0.10716145093133005	-0.10519568668049875	-0.0959823397091601	-0.1252198246019015
KEGG_ALZHEIMERS_DISEASE	0.2554508214014291	0.25857450354950684	0.24350786608477135	0.22530911037486695	0.23446032816178186	0.24212132246249893	0.24653371973949745	0.24226815288396356	0.22834083787225548	0.24922262084480062	0.24594658513206258	0.23183535661855437	0.24457225391301016	0.22895507515893548	0.23717195343969955	0.24130989817680984	0.2677236352793346	0.2124199767370582	0.23558670651280478	0.24566514773262657
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.14848938932315722	0.11720185044658578	0.19591549320226412	0.1882115846364248	0.127420500353719	0.19448071168482511	0.1988289469851243	0.1556524075128313	0.169290563777187	0.17584443196930585	0.17713034737566852	0.13387582622215136	0.13506042068642676	0.15050275423980486	0.2335151211027384	0.14334988657096262	0.2052636348795678	0.12897650521138687	0.1357501496700241	0.1545336056169058
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.07105058914265282	0.06876705271377674	0.03965331019624933	0.06858611409148947	0.06140021505374651	0.06897622931163608	0.04914950307950068	0.03299856098361738	0.038896750538028074	0.07065385139835094	0.10432136519696027	0.059211010978864886	0.07872825356636604	0.04297050260672829	0.0394413541283449	0.07244699417236491	0.08715466592278018	0.10047930399542869	0.08592723968295278	0.0834068802626103
