pathway	logFC	P.Value	adj.P.Val	direction
KEGG_TASTE_TRANSDUCTION	449.1150449545354	2.2514504950189425e-12	4.187697920735233e-10	up
KEGG_OXIDATIVE_PHOSPHORYLATION	265.5667345035373	8.108300041927107e-10	7.54071903899221e-8	up
KEGG_GALACTOSE_METABOLISM	457.52183963405065	5.4930912039370125e-9	3.4057165464409476e-7	up
KEGG_RNA_DEGRADATION	331.8575094181099	1.2902208486564983e-8	5.323785595385672e-7	up
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	260.84909699402704	1.6650837904179576e-8	5.323785595385672e-7	up
KEGG_REGULATION_OF_AUTOPHAGY	462.6745941936286	1.8873645183743476e-8	5.323785595385672e-7	up
KEGG_NON_HOMOLOGOUS_END_JOINING	364.87196221260433	2.0035752240698764e-8	5.323785595385672e-7	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	273.8531734993152	2.3876292500691957e-8	5.55123800641088e-7	up
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	312.40275305000563	2.871487652372133e-8	5.708939848717233e-7	up
KEGG_ARACHIDONIC_ACID_METABOLISM	343.79093411220134	3.06932249931034e-8	5.708939848717233e-7	up
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	268.1007298059591	4.2322318868942575e-8	7.156319372384836e-7	up
KEGG_DILATED_CARDIOMYOPATHY	259.6424782941203	7.772256224463346e-8	1.2046997147918188e-6	up
KEGG_OTHER_GLYCAN_DEGRADATION	298.9606212157094	1.279273693212901e-7	1.8303454379815353e-6	up
KEGG_PROSTATE_CANCER	336.8293762488924	1.3851732541376552e-7	1.840301609068599e-6	up
KEGG_HISTIDINE_METABOLISM	296.7633365197708	2.095725050686157e-7	2.598699062850835e-6	up
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	281.28470584385315	2.2854481223604314e-7	2.6568334422440015e-6	up
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	-273.8126479385864	2.766763440691129e-7	2.865557584135239e-6	down
KEGG_AUTOIMMUNE_THYROID_DISEASE	248.49401249613877	2.7731202427115216e-7	2.865557584135239e-6	up
KEGG_LEISHMANIA_INFECTION	227.50767266067743	7.080568377381023e-7	6.931503779962474e-6	up
KEGG_ADHERENS_JUNCTION	190.3829457324037	7.505344976114254e-7	6.979970827786257e-6	up
KEGG_RNA_POLYMERASE	672.2074655085537	9.362047956125545e-7	7.899294245427055e-6	up
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	302.157147195733	9.550506886694671e-7	7.899294245427055e-6	up
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-230.22876816836867	9.767944497033454e-7	7.899294245427055e-6	down
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	-260.2719016074131	1.0348861412764172e-6	8.020367594892233e-6	down
KEGG_DNA_REPLICATION	315.3792893214092	1.1088459757998578e-6	8.249814059950942e-6	up
KEGG_SMALL_CELL_LUNG_CANCER	-294.10962686620115	1.413558054019658e-6	1.0112376847986784e-5	down
KEGG_AXON_GUIDANCE	366.8688214898738	1.5242196705175574e-6	1.0500179952454284e-5	up
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	671.6818962005125	2.9339883079705475e-6	1.9490065188661494e-5	up
KEGG_ARGININE_AND_PROLINE_METABOLISM	289.68211818466665	3.7559915021746273e-6	2.4090152393257953e-5	up
KEGG_MISMATCH_REPAIR	198.9204452251654	9.018802706863663e-6	5.489643995566287e-5	up
KEGG_RIBOSOME	652.0008487880872	9.149406659277145e-6	5.489643995566287e-5	up
KEGG_NITROGEN_METABOLISM	511.17898923632515	1.0680473679237392e-5	6.2067867081547e-5	up
KEGG_PURINE_METABOLISM	400.4257898655186	1.1012040933822853e-5	6.2067867081547e-5	up
KEGG_SPHINGOLIPID_METABOLISM	390.12859302428035	1.3408805813455861e-5	7.335405533243501e-5	up
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-325.1759093424979	1.596003041430143e-5	8.48161616302876e-5	down
KEGG_LYSINE_DEGRADATION	221.36148739665452	1.92301745500317e-5	9.80252526762772e-5	up
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	696.509216470701	1.9798744503566845e-5	9.80252526762772e-5	up
KEGG_SULFUR_METABOLISM	-232.33659672675884	2.0026664525260934e-5	9.80252526762772e-5	down
KEGG_VEGF_SIGNALING_PATHWAY	191.1707738315763	2.1537897294420834e-5	1.0271920248108397e-4	up
KEGG_BASAL_CELL_CARCINOMA	594.9001047819708	2.246016543400894e-5	1.0443976926814159e-4	up
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	384.11119165053185	2.6611418377041226e-5	1.2072497117389433e-4	up
KEGG_HEDGEHOG_SIGNALING_PATHWAY	295.2860903271296	3.0192604979248353e-5	1.337101077652427e-4	up
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	206.4428653529228	3.842456430506552e-5	1.659406133761266e-4	up
KEGG_NUCLEOTIDE_EXCISION_REPAIR	223.8064940409637	3.925476875564285e-5	1.659406133761266e-4	up
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	667.8383308062689	4.303908286523995e-5	1.778948758429918e-4	up
KEGG_LONG_TERM_DEPRESSION	167.97737425214288	4.753161145711374e-5	1.9219303763093817e-4	up
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	537.3439087134466	5.465248119517372e-5	2.1331800613571937e-4	up
KEGG_FOCAL_ADHESION	294.70827790892207	5.5049808035024356e-5	2.1331800613571937e-4	up
KEGG_PROPANOATE_METABOLISM	276.508928991463	5.757472143540762e-5	2.185489425915473e-4	up
KEGG_CELL_ADHESION_MOLECULES_CAMS	219.3353647556736	6.177745244289703e-5	2.2981212308757697e-4	up
KEGG_P53_SIGNALING_PATHWAY	213.89518222656545	6.796619369794648e-5	2.478767064278048e-4	up
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	191.50735560448473	7.719955184533513e-5	2.761368585236987e-4	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-202.9049322710386	9.934215085534698e-5	3.4863471809612337e-4	down
KEGG_JAK_STAT_SIGNALING_PATHWAY	308.98284612430786	1.373124278924957e-4	4.729650294074852e-4	up
KEGG_PANCREATIC_CANCER	158.28440066779217	1.7513347210531917e-4	5.922695602107158e-4	up
