pathway	logFC	P.Value	adj.P.Val	direction
KEGG_AXON_GUIDANCE	0.07124691989367324	5.57826765462775e-16	1.0375577837607615e-13	up
KEGG_GLIOMA	-0.0244126213926738	8.330786372362468e-14	7.747631326297096e-12	down
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	-0.09505196799737498	2.1412392496596172e-13	1.3275683347889627e-11	down
KEGG_FATTY_ACID_METABOLISM	-0.049457188587152055	7.729653908730241e-13	3.594289067559562e-11	down
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.0526853888263557	1.0357493481268401e-12	3.8529875750318454e-11	down
KEGG_NON_SMALL_CELL_LUNG_CANCER	-0.03608807523765616	2.8968760498203144e-11	8.980315754442975e-10	down
KEGG_LYSOSOME	0.047596243283673435	4.0030966963931105e-11	1.0636799793273122e-9	up
KEGG_RIBOFLAVIN_METABOLISM	-0.040224470303825685	2.542759186441901e-10	5.9119151084774206e-9	down
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.028771116718695585	4.781697209592669e-10	9.882174233158183e-9	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	-0.0423779991476232	1.3035151981950518e-9	2.4245382686427966e-8	down
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.05073556613844883	1.4742843257700645e-9	2.492880769029382e-8	up
KEGG_GLYCEROLIPID_METABOLISM	-0.04510404473727278	2.193559231078571e-9	3.400016808171785e-8	down
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	-0.03805859412901472	9.977345476349923e-9	1.4275278912316045e-7	down
KEGG_APOPTOSIS	0.038726579056058835	3.2450902549651166e-8	4.3113341958822265e-7	up
KEGG_TYPE_II_DIABETES_MELLITUS	0.03835420259504238	3.833900446436924e-8	4.754036553581786e-7	up
KEGG_FOCAL_ADHESION	0.04157278534536441	6.849920245755162e-8	7.963032285690376e-7	up
KEGG_WNT_SIGNALING_PATHWAY	-0.016558779932283177	9.685924871498229e-8	1.059754132999218e-6	down
KEGG_ENDOCYTOSIS	0.03697203863129149	1.0364460608170265e-7	1.0709942628442608e-6	up
KEGG_PARKINSONS_DISEASE	0.029220330015949637	1.2933684343983644e-7	1.2661396252531357e-6	up
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.05346957941392558	1.6123739501417402e-7	1.4995077736318185e-6	down
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.034244509615607106	1.8866028460673258e-7	1.67099109223106e-6	up
KEGG_STARCH_AND_SUCROSE_METABOLISM	-0.020672714762071248	3.0723522722874854e-7	2.597534193843056e-6	down
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.05538000549051184	5.222451201669276e-7	4.223373580480371e-6	up
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.04196112413725453	6.37199963341925e-7	4.938299715899918e-6	up
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.02729511803578927	9.629568191846467e-7	7.164398734733772e-6	up
KEGG_THYROID_CANCER	-0.02693198873233807	1.155723525783919e-6	8.267868299838804e-6	down
KEGG_PROPANOATE_METABOLISM	0.03960146720738202	1.6303227310815645e-6	1.1231112147450778e-5	up
KEGG_PEROXISOME	0.02343975340583113	2.109813977525573e-6	1.4015192850705591e-5	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.03282506419758718	2.269359124064462e-6	1.4555199899172067e-5	down
KEGG_VEGF_SIGNALING_PATHWAY	0.024968522056322724	2.5449825124772534e-6	1.5778891577358973e-5	up
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-0.015547605776043322	2.722423638987511e-6	1.6334541833925068e-5	down
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	-0.0495645570454228	2.974505072143491e-6	1.7289310731834042e-5	down
KEGG_NON_HOMOLOGOUS_END_JOINING	0.03474955538859413	3.234081558163365e-6	1.773180027494821e-5	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	-0.03285019946529603	3.241296824452899e-6	1.773180027494821e-5	down
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	-0.01848296647507511	3.6835930134012502e-6	1.9575665728360928e-5	down
KEGG_MELANOGENESIS	0.011921731983327959	3.870210617595537e-6	1.9996088190910273e-5	up
KEGG_ERBB_SIGNALING_PATHWAY	0.026714749976846267	5.526772323988275e-6	2.778323384491403e-5	up
KEGG_LINOLEIC_ACID_METABOLISM	0.03928075671198407	1.0352046835201738e-5	5.0670545035461135e-5	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.020768374982786317	1.1558731742691104e-5	5.51262590805268e-5	up
KEGG_BASE_EXCISION_REPAIR	-0.02212291156830051	1.5290928074449225e-5	7.11028155461889e-5	down
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-0.022832194158753347	1.7159592830779624e-5	7.784595772012219e-5	down
KEGG_MTOR_SIGNALING_PATHWAY	0.033483653800829585	1.8431286228770188e-5	8.16242675845537e-5	up
KEGG_LEISHMANIA_INFECTION	0.023039767935275127	1.9327003343148932e-5	8.360052608896979e-5	up
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.03683234684087463	2.1649316263673615e-5	9.151756420552938e-5	down
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.023589159256966027	4.3638100168598335e-5	1.8037081403020648e-4	up
KEGG_GLUTATHIONE_METABOLISM	-0.019830430733219304	4.661424932267901e-5	1.8848370378300643e-4	down
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.04040207963069226	4.816786662416601e-5	1.906217700445719e-4	down
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.022640328245448017	5.341647904706626e-5	2.0698885630738176e-4	up
