pathway	logFC	P.Value	adj.P.Val	direction
KEGG_MELANOGENESIS	0.5033018442443132	4.005530251330396e-89	7.450286267474537e-87	up
KEGG_WNT_SIGNALING_PATHWAY	-0.42614453328022733	2.968590958465515e-79	2.760789591372929e-77	down
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.3179859228137724	2.8711176634054446e-63	1.7800929513113756e-61	up
KEGG_ETHER_LIPID_METABOLISM	0.29039025577676064	5.31370211559931e-62	2.4708714837536794e-60	up
KEGG_ECM_RECEPTOR_INTERACTION	0.37706007021207727	1.0561591035902988e-61	3.928911865355912e-60	up
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.36195563212661863	1.9500360899221483e-60	6.04511187875866e-59	up
KEGG_ASTHMA	0.2776943758368608	1.0926077811940404e-58	2.90321496145845e-57	up
KEGG_GLIOMA	0.19242774644216717	5.925238760007262e-57	1.3776180117016883e-55	up
KEGG_O_GLYCAN_BIOSYNTHESIS	0.2887882149102255	2.2903589167821832e-52	4.6778639860863116e-51	up
KEGG_ALLOGRAFT_REJECTION	0.236760873869678	2.5596136094977313e-52	4.6778639860863116e-51	up
KEGG_PARKINSONS_DISEASE	0.310276512345024	2.7664787014488936e-52	4.6778639860863116e-51	up
KEGG_BASE_EXCISION_REPAIR	0.26406865806952573	7.579011112397041e-49	1.1747467224215415e-47	up
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.33416973801902494	1.549853841934528e-47	2.2174831892294016e-46	up
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.20882041958652856	3.3470960466608456e-47	4.446856176277981e-46	up
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.19067075104980533	7.106963862493554e-47	8.812635189492007e-46	up
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.2715189199164787	1.628405855447727e-46	1.8930218069579827e-45	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.25299602562320583	1.7325902116139562e-46	1.895657525648211e-45	up
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.20844206905757362	2.9204297295671416e-46	3.01777738721938e-45	up
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.27139632764055566	7.184080195326279e-46	7.032836401740462e-45	up
KEGG_SPLICEOSOME	0.3054918101200685	1.1145626381541454e-45	1.0365432534833553e-44	up
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-0.15104005697763806	1.3801572600429537e-45	1.2224250017523305e-44	down
KEGG_PYRIMIDINE_METABOLISM	0.19967407222987757	2.647772853263715e-45	2.238571594122959e-44	up
KEGG_GNRH_SIGNALING_PATHWAY	-0.23221707516192389	3.7936200357419196e-45	3.067884028904335e-44	down
KEGG_ABC_TRANSPORTERS	0.19318162548968162	4.271513718960007e-45	3.3104231321940055e-44	up
KEGG_TYPE_I_DIABETES_MELLITUS	0.24075314462600178	5.477654947567306e-44	4.075375280990076e-43	up
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.26904522189775787	1.4023671171249928e-43	1.0032318607124948e-42	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.2025992656482719	1.780124886293628e-43	1.2263082550022771e-42	up
KEGG_DILATED_CARDIOMYOPATHY	0.2330492907671443	2.022577048452908e-42	1.3435690393294318e-41	up
KEGG_OOCYTE_MEIOSIS	0.22041396905555433	1.1255972392841393e-41	7.219347810581032e-41	up
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.33396155985640524	2.839903365404585e-41	1.7607400865508429e-40	up
KEGG_TIGHT_JUNCTION	-0.1471707277163542	5.668778163652193e-41	3.401266898191316e-40	down
KEGG_PROTEASOME	-0.24861146755816255	1.1768713330711212e-40	6.840564623475892e-40	down
KEGG_ENDOMETRIAL_CANCER	0.23814545018628777	2.111291086289636e-40	1.1900004304541585e-39	up
KEGG_VEGF_SIGNALING_PATHWAY	0.20142401844800387	2.2151394046022084e-40	1.2118115566353258e-39	up
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.31256813894973795	3.3248063556422742e-40	1.7668970918556086e-39	up
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.2264827034986223	3.884639717329726e-40	2.007063853953692e-39	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.18642913482386753	8.807867139626833e-40	4.4277386161367324e-39	up
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.21056128788310002	1.202132033155001e-39	5.884119951758689e-39	up
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.12477224615937686	1.2627038475476074e-39	6.022126042150127e-39	up
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.20163261012673894	2.029094783641861e-39	9.435290743934654e-39	up
KEGG_PEROXISOME	0.1795801844668371	3.3858995273380426e-39	1.5189149020988987e-38	up
KEGG_SMALL_CELL_LUNG_CANCER	0.25880872587243964	3.429807843449126e-39	1.5189149020988987e-38	up
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.2419674085208764	1.0535375937756941e-38	4.557162614936723e-38	up
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.18117435250878242	1.1122962697813685e-38	4.701979685893967e-38	up
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.2581191636933857	1.8982145984748867e-38	7.845953673696199e-38	up
KEGG_LONG_TERM_DEPRESSION	0.17034416304499095	2.5052590281331524e-38	1.0129960418103616e-37	up
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.18243590544906788	3.1521083571474687e-38	1.2474301158072962e-37	up
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.1793687124375178	6.2316343722505e-38	2.414758319247069e-37	up
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.39639039488046907	8.02407007450798e-38	3.045871497670376e-37	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.14531660731313376	9.179470343686537e-38	3.414762967851392e-37	up
KEGG_PRION_DISEASES	-0.20763095576056118	2.8393780047291357e-37	1.035537860548273e-36	down
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.2391253773964312	5.668591862755492e-37	2.027611704754849e-36	up
KEGG_OXIDATIVE_PHOSPHORYLATION	-0.16594801392537195	6.017106708512647e-37	2.1116638637421743e-36	down
KEGG_OTHER_GLYCAN_DEGRADATION	0.20763053092986192	2.415310917027947e-36	8.212339662968562e-36	up
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.18158561505835913	2.4283800078670478e-36	8.212339662968562e-36	up
KEGG_VIRAL_MYOCARDITIS	0.1708841718230163	7.757232006384483e-36	2.5765092021205605e-35	up
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.17656137395922417	1.233837667931207e-34	4.026207126933412e-34	up
KEGG_SELENOAMINO_ACID_METABOLISM	0.20769602762049974	2.489953092207345e-34	7.98502198535459e-34	up
KEGG_ADHERENS_JUNCTION	0.14919479997130905	4.230295203726522e-34	1.3336184879544629e-33	up
KEGG_GAP_JUNCTION	0.19624912702595906	6.1720133799674365e-34	1.9133241477899053e-33	up
KEGG_HISTIDINE_METABOLISM	0.19356141268225577	7.0537691952753786e-34	2.150821426756099e-33	up
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.11588715056713743	4.0551349906435096e-33	1.216540497193053e-32	up
KEGG_NOTCH_SIGNALING_PATHWAY	0.13798521600774777	1.1826696351335807e-32	3.491691303727715e-32	up
KEGG_CELL_CYCLE	-0.1904055761097018	5.820109164473033e-32	1.6914692259249752e-31	down
KEGG_PATHWAYS_IN_CANCER	-0.16094871121184812	1.0849936304590169e-31	3.1047510040827253e-31	down
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.20298400202333852	1.6214433451190548e-31	4.569522154426427e-31	up
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.15134271846904063	2.6711798789844376e-31	7.415514290912021e-31	up
KEGG_TYPE_II_DIABETES_MELLITUS	0.18180303028249858	5.569143958626636e-31	1.5233246710361094e-30	up
KEGG_PANCREATIC_CANCER	0.14154076939477245	9.155478965300521e-31	2.4679986776027492e-30	up
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.15325609201835402	1.0619527767785693e-30	2.785872744368248e-30	up
KEGG_MTOR_SIGNALING_PATHWAY	0.21082227687582294	1.063424542205084e-30	2.785872744368248e-30	up
KEGG_TASTE_TRANSDUCTION	0.17522302578324395	1.4488606395838966e-30	3.742889985591733e-30	up
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.13111497400166441	1.9707931313852744e-30	5.021472910104946e-30	up
KEGG_BETA_ALANINE_METABOLISM	0.15482911606520344	3.787309382327432e-30	9.519453312336518e-30	up
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.13859121760025989	4.448027487310348e-30	1.1031108168529663e-29	up
KEGG_RIBOFLAVIN_METABOLISM	0.15324516305533106	6.374483615316546e-30	1.5600709900643124e-29	up
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.14906112469604008	9.342192831070511e-30	2.256685541011838e-29	up
KEGG_TRYPTOPHAN_METABOLISM	0.17253175635462262	1.1324893382301792e-29	2.700551498856581e-29	up
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.19042936976800956	9.166054016995809e-29	2.158083604001545e-28	up
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.12395658306236867	1.0816444802156676e-28	2.514823416501427e-28	up
KEGG_LONG_TERM_POTENTIATION	0.13596979258432107	1.50725868382763e-28	3.4611125332338167e-28	up
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.11512990867038571	2.2904395267713224e-28	5.19538721926178e-28	up
KEGG_RETINOL_METABOLISM	0.18434859490902805	2.8464662137631693e-28	6.378827900722283e-28	up
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.13659380939690965	6.586488887881893e-28	1.4584368251738478e-27	up
KEGG_GLUTATHIONE_METABOLISM	0.11548754491050411	2.9607522128640005e-27	6.478822489325932e-27	up
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.15220654375455872	3.4767392334303526e-27	7.519459272302855e-27	up
KEGG_PHENYLALANINE_METABOLISM	0.15394903922744974	1.2084231415894761e-26	2.5835253371912933e-26	up
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.17571928795588188	2.780278689836493e-26	5.8764981398816785e-26	up
KEGG_HOMOLOGOUS_RECOMBINATION	-0.21972875267237074	3.1485127871287385e-26	6.580037959617364e-26	down
KEGG_APOPTOSIS	0.15013666330000444	4.6839025141750775e-26	9.680065195961827e-26	up
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.23396937996686779	5.947088248089853e-26	1.2155586968623214e-25	up
KEGG_PPAR_SIGNALING_PATHWAY	0.18551509072933348	1.0891103265324253e-25	2.201896964511208e-25	up
KEGG_ARACHIDONIC_ACID_METABOLISM	0.15530570395676108	1.7543461022650987e-25	3.5086922045301974e-25	up
KEGG_MISMATCH_REPAIR	0.11508494998016769	2.7556513538266895e-25	5.452671827784726e-25	up
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.136066608134171	4.573238204756502e-25	8.953919011417994e-25	up
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.14864409054023298	2.8530106162787272e-24	5.527708069040034e-24	up
KEGG_FATTY_ACID_METABOLISM	0.125214915962651	5.179483418143264e-24	9.931792946130383e-24	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.11245467458018364	6.311601080896703e-24	1.1979161235171295e-23	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.14266912763307338	7.526964284404009e-24	1.4141569261607532e-23	up
KEGG_GLYCEROLIPID_METABOLISM	0.14423478647016383	8.056617298973386e-24	1.4985308176090498e-23	up
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.11677622350268574	5.838942266567248e-23	1.0752903580014934e-22	up
KEGG_ACUTE_MYELOID_LEUKEMIA	0.18288345331298728	6.057969599709504e-23	1.1046885740646742e-22	up
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.13635127444084957	1.4852836081686955e-22	2.682162632226965e-22	up
KEGG_MAPK_SIGNALING_PATHWAY	0.11295586456941806	2.0393170049504383e-22	3.647240028084438e-22	up
KEGG_DNA_REPLICATION	0.12906590802477258	5.737270767811859e-22	1.0163165360123863e-21	up
KEGG_PYRUVATE_METABOLISM	0.16555374025641478	1.3659215610403232e-21	2.396805758051888e-21	up
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.1219248497449246	1.548530858459589e-21	2.6918386885372295e-21	up
KEGG_ALZHEIMERS_DISEASE	0.09426635334665265	1.3343160602722343e-20	2.297988770468848e-20	up
KEGG_PROTEIN_EXPORT	0.10995485425520542	3.375077457402168e-20	5.759306486943149e-20	up
