pathway	P.Value	adj.P.Val
KEGG_MELANOGENESIS	5.894529876405523e-91	1.0963825570114273e-88
KEGG_WNT_SIGNALING_PATHWAY	6.082057645771754e-81	5.656313610567731e-79
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	7.2084027760024195e-65	4.4692097211215e-63
KEGG_ETHER_LIPID_METABOLISM	1.0658506517661512e-63	4.956205530712603e-62
KEGG_ECM_RECEPTOR_INTERACTION	2.1585974888581344e-63	8.029982658552261e-62
KEGG_TGF_BETA_SIGNALING_PATHWAY	2.449590985241977e-62	7.593732054250129e-61
KEGG_ASTHMA	1.361820794263026e-59	3.618552396184612e-58
KEGG_GLIOMA	3.614769857035879e-57	8.404339917608419e-56
KEGG_PARKINSONS_DISEASE	2.5714530125278665e-55	5.314336225890924e-54
KEGG_ALLOGRAFT_REJECTION	3.4065525601480456e-54	6.336187761875365e-53
KEGG_O_GLYCAN_BIOSYNTHESIS	7.956683243851093e-53	1.345402803051185e-51
KEGG_CHRONIC_MYELOID_LEUKEMIA	4.563737326868129e-51	7.0737928566456e-50
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	3.3702263719057103e-50	4.822016193649709e-49
KEGG_BASE_EXCISION_REPAIR	4.361869120017316e-50	5.795054688023007e-49
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1.0632622955021335e-48	1.3184452464226454e-47
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	3.1972875402642297e-48	3.716846765557167e-47
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	7.912128896078769e-48	8.65679985100383e-47
KEGG_SPLICEOSOME	1.2616229216832665e-47	1.3036770190727088e-46
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.5606745586138423e-47	1.5278182521167087e-46
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	4.952571100008852e-47	4.605891123008233e-46
KEGG_GNRH_SIGNALING_PATHWAY	1.9443909513253882e-46	1.7221748426024868e-45
KEGG_CELL_ADHESION_MOLECULES_CAMS	4.329126013208101e-46	3.6600792657123034e-45
KEGG_TYPE_I_DIABETES_MELLITUS	6.8678812438387345e-46	5.5540257015391505e-45
KEGG_PYRIMIDINE_METABOLISM	7.321384153816591e-46	5.674072719207858e-45
KEGG_ABC_TRANSPORTERS	1.4007401724151497e-45	1.0421506882768714e-44
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.5925704399877854e-45	1.1393003916835695e-44
