pathway_description	BS_AGTPCRR4	BS_C80S5N37	BS_BJDNWMJH	BS_GV3NZ9QD	BS_EMYET8F4	BS_3X9WMZGJ	BS_34201DKZ	BS_3F4FQJMR	BS_0BXY0F9N	BS_7BTZQKYY	BS_4SCWT0FX	BS_4FZS7TX4	BS_VJ2S5DVS	BS_X67GTEM6	BS_WFD0GE5X	BS_SAA624A4	BS_T4P3J13C	BS_SDCNP7MW	BS_TXY8QYWA	BS_TBWYAFSM	BS_TNRHHYNC	BS_Q5WZYWCT	BS_RCFQ31XF	BS_N8J1DP02	BS_PSW27ZTE	BS_PRAEF32W	BS_P78SMRBS	BS_KDSTG5YY	BS_0XEG6SNV	BS_07ANYSYQ	BS_WYERXS4G
KEGG_ABC_TRANSPORTERS	-0.007641639612384768	0.023466900808344914	-0.05782344780484229	0.02531557369481297	0.022025058028205702	1.1479491866465197e-4	-0.005478474868330286	-0.026666591936019175	0.012516202438919105	-0.023302505387455878	-0.04643002741435633	0.009960039990089606	-0.019185521988188358	0.011360628119286481	0.008129615236008046	-0.01507809462751665	0.010574625835720304	0.004831702065842721	0.019916536315701033	-0.056361115575330765	-0.06436933313161458	-0.012447355176768881	0.003312361459956866	-0.02422577234034963	0.01145319385474559	0.009740895269155739	-0.028138784607633943	-0.030761516941211313	0.02566401184669883	-0.009963833920015744	-0.03419122506741909
KEGG_ACUTE_MYELOID_LEUKEMIA	0.24919664605569813	0.22440053958537481	0.21586583370332305	0.23188470408018735	0.23517500579238845	0.20999021655876707	0.2210875583067797	0.17856297804721624	0.2185154911334892	0.1967092489519647	0.2175014777714787	0.23020657484614648	0.20632798921279202	0.24566003312172066	0.2215551138999114	0.15966939430840804	0.23205534060346864	0.197614070073512	0.25261014176318725	0.18686847016255573	0.17487276962707718	0.22650296138790552	0.21545624117092863	0.21800779870006654	0.23008076659190435	0.24726992531026828	0.2140130244136664	0.2227660253338563	0.23747904675166848	0.22987416911020342	0.17779395595614175
KEGG_ADHERENS_JUNCTION	0.2894448978310787	0.2809312091889281	0.2682796491914828	0.28573465566647877	0.27409027969258676	0.2766121489411288	0.2748325136396357	0.2546806806735214	0.2628919945828283	0.25826563692849286	0.27622788803480064	0.2917286294986748	0.24584071246023875	0.28759527087857795	0.2856526294507744	0.24779185130538317	0.2820833334439023	0.25065412688493294	0.2908545515380546	0.30572814897160455	0.24590060398126745	0.2778628085900603	0.28864324075176545	0.2923515630885941	0.2946528079545198	0.29064169636018644	0.29372678142476955	0.28513022417509876	0.287594371933983	0.30402330153509183	0.2910055306339064
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.14857728736596648	0.14616761362650338	0.1553902362707462	0.15610617574443658	0.13356289987779388	0.11129028345399143	0.15412692846510667	0.09032428587417346	0.14638944165416548	0.13699258131802663	0.12842736607432462	0.1655227516100947	0.10636576341203352	0.15040053925623736	0.15860338607689012	0.11755141851317913	0.14167374321196577	0.12849093631250214	0.156832993073278	0.13782367546415117	0.11252474768358828	0.14121345594732093	0.13770018226812203	0.1769788112355658	0.14026195283116724	0.14960694499345653	0.14768651172293118	0.1192659384692843	0.16213633448335293	0.1569052484004009	0.1056213946770712
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.15086880613232698	0.1184377119499194	0.11084154088647108	0.1265591302259227	0.12305054111685745	0.09754570578078305	0.15225633773318756	0.10191579000103987	0.13353490607633903	0.1257657827117353	0.08464744574131017	0.12173517243951221	0.07443800373319438	0.11599489275772641	0.11159305253693387	0.07341405171750426	0.14063911986174357	0.08352609381242539	0.12376360834295264	0.10072121566855315	0.08493497715144487	0.06717028731493521	0.12563920259837685	0.1273042604033407	0.09106119347236623	0.12100628343348309	0.0906080782217188	0.095096349707553	0.07702541746070046	0.14583315893089185	0.1074586552798486
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.10690301869113819	0.10737799335877166	0.09737700002633488	0.12141628461218118	0.10207966389589947	0.09946424979835607	0.09784732491399381	0.07457561536247206	0.10038727369031764	0.0982027623731382	0.15604704304226083	0.09984252851611805	0.057203681102021314	0.10548772359124656	0.10451992988510277	0.061284610269342975	0.10347163134163377	0.1096264706728072	0.11880264584705937	0.07431681152203046	0.05904243230249184	0.0696834336132372	0.10221202125112624	0.10895277423348165	0.10142505003929383	0.12242979117024669	0.10580451503777104	0.10493051436504629	0.07947133348629357	0.14762138563490054	0.07524548007350826
KEGG_ALLOGRAFT_REJECTION	0.13113362283931287	0.0665531116879446	0.01546087609812401	0.0010797059125100337	-0.03966794108133662	0.06788985695243403	0.026038673187827144	0.059773445733828826	0.05719138871877009	0.07024895555615857	-0.0028393772639929236	0.014593252497596692	-0.07651932975669526	0.12192143980597286	0.09890709054644993	0.033450063340053016	0.04076384114343146	-0.009580589093813005	0.08711332274358614	-0.012545329685819898	0.05360106487403275	0.031244498651912415	-0.0026835856673212925	0.012920102689832156	0.04275081295364047	0.13977418531614988	0.03611510793818773	-0.09546876082940282	0.10145366049227918	0.012485426002859188	0.0921539779173919
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.08328464127002147	-0.06778947719601747	-0.0754143688508508	-0.0819545684070473	-0.08337638103549778	-0.09121421668638359	-0.08981805283300962	-0.08670294302524088	-0.052113877335846936	-0.0688559996887851	-0.1371064040339119	-0.07631661157957786	-0.08057885246900358	-0.05173897809038327	-0.056537431915232285	-0.05948697554025244	-0.06421977876031038	-0.07613750940062972	-0.05627297676730431	-0.09036917780028925	-0.1204216878024802	-0.08585677964218336	-0.075086232765576	-0.08063017115553084	-0.10136580435871312	-0.0841968800664427	-0.06737223674351987	-0.1078260652916421	-0.06851100542640734	-0.09713782076702002	-0.06411957773261444
KEGG_ALZHEIMERS_DISEASE	0.30606498451905734	0.2909206742314719	0.29825578968947764	0.3017734224200199	0.2930167348344931	0.28346919113766933	0.30939796433992656	0.28807732581503676	0.28584401917044394	0.3087373236349739	0.30512225360833495	0.2995756051633738	0.28466831306231716	0.28964467778336767	0.2908827689422646	0.3023254279123548	0.2979351092597453	0.28715943082803175	0.28918263478933	0.3008258752520269	0.2999437457426896	0.2791009346894149	0.3023215689402994	0.2958941596603987	0.2961184250927169	0.2982301682607377	0.29958633459122885	0.30568577191520285	0.26465515797111194	0.31394962526544984	0.3003471308273099
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.19435905594539585	0.1396217182952074	0.1791182856684206	0.15605575570780011	0.13045797959781513	0.14849954958408307	0.13967452222563348	0.14291151721013612	0.17022627124287157	0.13752275982800855	0.17283041382247366	0.12618236978307557	0.16067171858622273	0.16338824162267238	0.15229864136439236	0.14815754476397758	0.14396311378469182	0.13353538592997058	0.15771516702481117	0.175950708094039	0.16017966251326232	0.1474897867820871	0.13754141409982681	0.16415440298058337	0.1350918733040161	0.1773600223747519	0.1422419113478311	0.14678159837086607	0.1417191418704579	0.13386494890429979	0.16473322574188373
