pathway_description	BS_AGTPCRR4	BS_C80S5N37	BS_BJDNWMJH	BS_GV3NZ9QD	BS_EMYET8F4	BS_3X9WMZGJ	BS_34201DKZ	BS_3F4FQJMR	BS_0BXY0F9N	BS_7BTZQKYY	BS_4SCWT0FX	BS_4FZS7TX4	BS_VJ2S5DVS	BS_X67GTEM6	BS_WFD0GE5X	BS_SAA624A4	BS_T4P3J13C	BS_SDCNP7MW	BS_TXY8QYWA	BS_TBWYAFSM	BS_TNRHHYNC	BS_Q5WZYWCT	BS_RCFQ31XF	BS_N8J1DP02	BS_PSW27ZTE	BS_PRAEF32W	BS_P78SMRBS	BS_KDSTG5YY	BS_0XEG6SNV	BS_07ANYSYQ	BS_WYERXS4G
KEGG_ABC_TRANSPORTERS	780.9071059083653	1269.5019873071287	-142.11884848152295	1297.4510651946366	1183.763915612857	1072.5208259320152	919.8239187459967	577.7119353011458	1281.555294831267	689.6360148271287	275.56816892158713	1066.6806363748237	492.22611645145844	1208.1959433114716	1040.0326168522279	586.4896287173688	1061.4547762450566	898.1945491233328	1148.2478931966034	-125.30165846603632	-270.7411647712561	767.9770069531223	1032.8173169985494	555.0076917884362	1203.137610286385	969.7970508110793	545.0333801815686	479.7989251983727	1238.3161205247216	675.7154431148865	409.288175825277
KEGG_ACUTE_MYELOID_LEUKEMIA	4644.6458095547005	4272.907748511572	4118.47576874046	4383.949353867187	4386.5246683776495	3960.312443676419	4255.886073015965	3536.244078384174	4158.518392745405	3768.3523210947715	3974.297447405679	4371.248069694868	3807.819996777469	4606.050490358446	4150.58052583178	2948.1969962201383	4383.177091549127	3818.0366504886424	4725.029352617279	3616.0767730808548	3411.608087870927	4261.981040382045	4053.928335041961	4145.787923049322	4332.649507244658	4581.836084759489	4163.0695881252395	4087.496284498684	4287.191421131547	4300.492279485014	3462.102990836436
KEGG_ADHERENS_JUNCTION	5596.901225677269	5404.56874128311	5290.612730888299	5511.915199335315	5334.535788054689	5404.3395850892975	5366.969839502346	5019.932667225896	5182.167512255144	5091.57979657394	5449.421563587812	5592.8479634759515	4818.334120580774	5537.989949914119	5502.666015721197	4859.702609421653	5462.270977902237	4972.613584113833	5579.448243624056	5809.123154341556	5061.287113767079	5362.40489877351	5593.748140587846	5533.099752063057	5693.077574201816	5605.309234167202	5662.220411617669	5535.805129313958	5464.986650106503	5895.383441622007	5563.1144186650745
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	2990.200314204545	2864.1556706047286	2992.954944462106	3051.10284279581	2590.8315686726437	2224.9335563782806	3079.9400172452406	2199.1497190551618	2849.022358217364	2722.3774510316252	2619.0236487408965	3286.8979962945014	2248.016778086787	3001.629649993236	3110.6308535858534	2222.2036012384215	2784.6550195373475	2583.478240083852	2995.3055991136644	2754.4659664883984	2219.802974010978	2731.290669239592	2820.5299354749004	3328.854961873667	2872.9142333140353	3005.410135732436	2817.0383914352406	2439.5436693622196	2952.5419000914408	3027.45460528281	2470.483267407175
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	2666.919318205906	2273.9787243152077	2139.263807607407	2443.629451871231	2234.204753095495	1740.1105356724784	2630.567830891803	1958.3005946691374	2447.1812555864526	2306.1775023676637	1571.8571445449415	2211.7733966448104	1499.9389154756627	2217.728736546762	2093.95345182904	1361.5402299207399	2578.6525548331065	1622.37098830383	2102.969932182703	1955.938988827982	1471.68851488584	1301.2331315275605	2283.993851757119	2253.7399449513905	1781.9461875832458	2320.0009124529442	1557.902171307267	1697.2936755998035	1371.98562008702	2605.100985641502	2047.693893741849
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2511.022198234774	2575.6031740564813	2416.330300219546	2799.538275306306	2486.0194077104716	2490.8792426226937	2402.43707214588	2331.381531309902	2460.7344557886245	2545.5196125225975	3366.5438003066683	2427.360910606636	1758.1207841567066	2562.3628002754485	2562.9471522493186	1692.4107241088404	2572.0452495322243	2698.9638538970776	2674.4001418450134	1968.1568101335379	1963.524881729074	1973.2598521055243	2544.6169851686755	2463.8809600374225	2587.695351567547	2960.5060585617102	2644.705884847166	2658.60807804825	1952.2468399179124	3354.4949194600904	2286.508580544294
KEGG_ALLOGRAFT_REJECTION	1661.0015120849748	229.40654814442678	-537.956053887865	-921.5974755902243	-1560.422973366125	359.69664199631006	-387.8688658073461	45.641337810875484	167.77306125657378	383.84910379106077	-978.1611479158673	-652.7306537471541	-2136.879708730421	1303.896259973004	1012.3813551199473	-167.7125266413277	-299.1291117369001	-1150.5907393541092	866.4710907993831	-1103.2180401763471	211.96191180295136	-367.98354738408307	-931.9540899210369	-515.3106905336972	-315.20458090613283	1501.422267286298	-300.4627332418295	-2424.0141412071616	981.1671212877609	-693.8673614475065	544.9306624551155
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-1696.0020370025113	-1480.0465419302282	-1425.815735555254	-1606.1639734096998	-1641.6759465174355	-1602.659953052903	-1545.5815997375885	-1490.6426150883217	-1274.1969659612369	-1324.8294851711926	-2358.644547864178	-1278.7419218118903	-1403.5833811717412	-1276.8670696911904	-1342.1650567332854	-1402.4010940664039	-1444.9853195140377	-1240.7303902556796	-1211.816157757059	-1622.031372471205	-2235.1363096428668	-1602.3220982857592	-1363.6557074115271	-1497.4859456386985	-1763.1917572888424	-1678.4669030554269	-1378.0231471454063	-1950.8144199893395	-1472.5310508106222	-1739.1861447963392	-1595.3109869519276
KEGG_ALZHEIMERS_DISEASE	4155.94747720132	3668.1936135538326	4456.157514273504	4008.0018060920847	3895.732896536434	3764.653721899642	4461.444046934492	3641.5637385834125	3974.4233986231447	4490.641322515634	4266.00615600596	4074.086291264768	3615.1060224271932	3848.063406295749	3787.797913482469	4849.804900795163	4053.4136646656225	3859.033470719196	3907.7353865338646	4224.923307005716	4806.139920084364	3659.709657880927	3950.7033200265505	4140.88755179217	3790.4699344488054	3691.634040230274	4216.717982277496	4242.7136643964495	3247.1492768469525	4060.2399454120987	3901.097806679103
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	2577.77117812878	1737.527509282474	2457.31411121585	1948.37215079411	1593.9009565628603	1938.7620137229096	1681.431051466876	1922.1202759618209	2216.390122073575	1670.3184320347664	2148.4078878980363	1571.8027363444526	2186.2504077018657	1983.6716148944015	1916.0778108379982	1945.2151771665722	1719.7564674256064	1782.8629930047464	1963.8355459993145	2402.1713644309257	2066.0568460592567	1923.8278937386513	1738.8915006044408	2274.731592696631	1681.0853659182976	2255.3785759332823	1916.1532524645972	1763.1989816006317	1697.864893272219	1502.996674005235	2340.3404595185348
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1127.4017956912558	1089.969227232681	2010.172593300067	630.8996381056713	1279.023711950871	1434.8990216833408	1087.0891481024246	1334.4715334405191	1247.2656819855965	1565.9649294805495	2029.3287333714743	664.273845366215	2786.9847596709915	570.6256835945132	830.4089918336122	1546.448344116765	1279.126457548422	1182.9912087279154	877.3801011299129	1452.274124734431	1393.6743080218366	632.2424181418501	709.0703893455375	998.4277103027125	613.6544917074316	579.027773029562	1169.888580757417	1688.7003573160473	1348.9075667353572	386.02145267224296	1500.6304491260926
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	2730.0846519320094	2477.151794091831	2791.6821228288736	2864.8178689672695	2657.3138823141016	2027.6251436988641	2576.891478559108	2202.4883154080762	2100.019712008583	2324.449391473585	2308.972952963908	2734.853462515115	2085.1387439148602	2605.975268159851	2313.5941310612707	1582.3281297177036	2816.09488776963	2400.0848457049706	2847.6578521339598	2315.948345388744	2057.952183538193	1834.6824037815968	2960.9517781187715	2562.607603566883	2612.2241372786575	2806.7063454580166	2405.1748202143426	2308.4656311663293	2684.55855448894	4041.115622819001	2346.163325202053
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	3089.1945889014114	2313.890565537473	1733.0661658212248	1862.6466053521526	1693.4885233996338	2351.561404485481	1930.2756724928186	1904.441465595064	2273.269573185198	2255.152856819792	1886.579227859036	1811.7266455300287	1075.632157342361	3001.0068341234983	2675.6098393598113	1786.7540067486825	2175.6925839656797	1728.4883327776333	2616.6332903232105	1316.7521960855993	2220.2117044800198	1695.1955847051213	1639.1149243333057	1824.901046842342	2065.9007752883936	3051.038942460098	1759.3307239896385	1013.4698296963634	2588.7715168440063	1970.7784337015019	2249.9719231842664
KEGG_APOPTOSIS	2616.102645809904	2265.750418019383	2387.5070406293253	2314.476920548099	2055.0260097478877	2137.774450235378	2342.4464041947704	2075.1490706270124	2103.536784883434	2118.412533093444	2221.5433898949286	2426.966461864655	2715.816047590444	2495.9918633678335	2220.623063507277	1805.4159796723088	2133.9815395641035	2056.552767154628	2401.957419054912	2274.01992894093	2057.1512520434208	2202.799003934624	2266.342048469518	2455.823783251788	2311.220728527682	2838.826347475828	2546.8647498817354	2010.5162669032798	2678.541250047334	2473.265461039011	2523.1699861121506
KEGG_ARACHIDONIC_ACID_METABOLISM	-1202.597883149132	-1754.4027472846356	-1882.0373994948923	-1354.800079742493	-1915.1533731291302	-1753.1787949486334	-1445.5042867779766	-1815.6772190644851	-1116.7767845648777	-1817.0542143593502	-2459.4384262618123	-1336.0425915354663	-2260.7286708222746	-1366.8888514464516	-1614.576136368195	-1523.650068174742	-1767.004773888215	-1915.5082064667413	-1234.0817352786416	-1807.9291038525835	-2037.2594008472124	-2064.831883019414	-2146.16649835083	-959.6819704424488	-2037.22889372985	-1780.0604740400577	-1719.5892693676687	-2617.0046534311778	-2006.098378921124	-1859.5457666051607	-1982.791802278618
KEGG_ARGININE_AND_PROLINE_METABOLISM	3110.153720538652	2665.1468251526367	2609.5590084443484	2829.4696936406563	2727.0571240475783	2361.6494563622637	2758.641801784417	2217.581597857208	2856.594259454845	2526.264509470624	2259.484115921681	2742.1274092821113	1609.6374686464878	2619.5090051337647	2525.0009234777226	2144.574486109572	2766.688976384956	2094.9970011925434	2683.130474495636	2367.3666977069133	2475.201463269499	1986.0340069455542	2633.6338407956464	2413.3348409881874	2259.71876987195	2597.694371020425	2457.897454361955	2174.2980522772923	2178.607272037165	2746.0938453244216	2358.9002917270263
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	2774.9993748974084	2550.2426355988573	2407.79865313502	3095.3332256823614	2777.058349713092	2687.236786225518	2715.314994544113	2193.5918778061678	2712.6124715820115	2548.314053193555	3142.8203356911727	2903.900434812942	1740.6978174723754	3112.957548481336	2942.58802705151	2560.1474493824535	2734.3942424431298	1917.2912664793093	3136.5443495153286	2309.420815886677	2370.191177707371	2889.6653778282325	2787.833260778647	2507.3088014633468	3078.6640180961786	2886.1241069567786	2711.077518483955	3026.0710955223185	2676.4869100834057	3289.9773950625677	2487.046818603403
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	-2639.3767065207567	-2787.620726741963	-3133.9684419941623	-2729.623354752398	-2732.622381829583	-2664.7940940478784	-2850.9673227672665	-2883.915625299006	-2734.60369779512	-2767.8674965626715	-2864.329697056586	-2900.27913005757	-3279.2600584819793	-2756.061406741551	-2942.1551590451645	-3153.184932591468	-2741.4416435649955	-2703.851833639432	-2837.846065079869	-3081.1337502438373	-2713.5959339047513	-3308.24059957841	-2863.8702619885626	-2717.606628958213	-2783.15088620192	-2673.101121333074	-2899.534030910785	-2905.816964387601	-3274.2662340448787	-3003.3420999661294	-2969.402591039884
KEGG_ASTHMA	243.43823884861376	-1252.5925288151084	-2217.7109571165374	-2973.140271705158	-3764.543912665302	-1120.7443549973996	-2247.4897350376395	-1406.2561749675478	-1451.675867517688	-1215.6221736388761	-2881.8895830772917	-2434.5758446806976	-3926.000749705886	-191.23249412432233	-437.58939197896507	-2168.6123391298042	-1784.2015309022554	-2794.8341642424793	-776.9427842835394	-2601.9558854527995	-1468.3677666722033	-2282.9739487998904	-2978.66377055507	-2681.634491699825	-2125.783786069048	207.46472413056108	-2098.5612439254437	-4650.085165874863	-937.0200052164182	-2720.3975661436225	-1111.8140442750046
KEGG_AUTOIMMUNE_THYROID_DISEASE	-494.37823444549394	-1677.9269451858518	-2210.607807666268	-2561.9574894267507	-3054.5649651910444	-1295.5506842251762	-2162.237272711345	-1721.22555132473	-1677.844852272593	-1401.3760758290828	-2646.6888509682112	-2335.063752201181	-3587.981086528397	-643.9900641934528	-921.8793447225053	-1631.6127109508188	-2041.7580711671717	-2617.168908011714	-1009.3313344999315	-2653.137315046247	-1709.838051419305	-2001.4913544266929	-2593.890395619115	-1836.203161341541	-1966.362192474313	-653.5115913469162	-2108.3325032062567	-3616.896454458295	-912.5002867428702	-2230.459028508716	-1432.4878328723598
KEGG_AXON_GUIDANCE	3124.409817587277	3474.8935153619695	2605.4321228052067	3757.9288249502715	3770.1211090622637	3047.0374452988963	3281.45772184421	2891.0471523922206	3253.4357271408207	3218.2017177679245	3896.0316142740776	3250.38472046459	3066.845672338148	3328.7677005199657	3434.330792579851	2768.245985357067	3776.733731714714	3089.7274823830194	3566.4766084282837	2726.905508993623	2715.6144238219968	3287.1841359774626	3425.357614305176	2730.1401653310277	3814.114508231347	3738.347053237041	3391.790341576405	3761.1194248105276	3619.590802433391	4485.10289513564	3085.8005894814214
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	3024.1100485267143	2918.3532025880704	2514.435713811723	2933.2200875327435	2640.261740697759	2501.078481311286	2641.144892326367	2275.2650454003087	2292.9187547561232	2453.196033424285	2492.607181296962	2819.9411828811953	2405.1683021855497	3041.0530753482326	2684.063611188418	1640.8412071801104	2829.440837964199	2684.553283302812	3158.7124995107115	2471.9499232897015	2047.3928695576833	2293.5156412406577	2738.0245526428935	3012.3026241648877	2787.3331391429747	3383.140222887656	2625.670692169824	2387.904366275654	3094.727057390919	3439.2956507835443	2494.089536138006
KEGG_BASAL_CELL_CARCINOMA	1748.3457823890003	2254.7582356665916	1504.4158053695955	2049.9262273054683	2740.901360416301	1977.5528805626254	2119.443671669522	791.0645009389045	1748.3601441202882	1670.622882901669	2976.44578417953	2094.188252175052	1911.4856146093698	2378.1314840959258	2025.0062470252396	575.5874535962139	2454.961897610834	2150.2128339346564	2356.351600990065	1702.458995239247	1532.7882753170907	1949.2881503966437	2163.067712872835	1216.8649885543055	2364.686286228425	1569.5062498029292	2168.0218844106985	2867.9451292575905	2215.6945413001504	1643.6709152718977	739.0706007063873
KEGG_BASAL_TRANSCRIPTION_FACTORS	1551.4476832288292	1687.9380597606705	1880.725053520715	1332.0601760061181	1477.8769061267776	1463.6443256793664	1140.3445704847945	2039.478293042319	1283.0016777799137	1333.387174152349	1747.7969191120574	1450.354402809524	2461.1809039842374	1051.665477470824	1292.7527669329866	1804.3812077918483	1278.2113605618852	2032.0669178947428	933.5432329160485	2425.5147233056887	1813.8540491178428	1692.0828057693398	1543.6562776488681	1817.5713748214257	1472.987001336336	1291.876417816262	1467.755084645054	1536.6134562494626	1204.9729676416064	1286.2795128142188	1908.3921737713772
KEGG_BASE_EXCISION_REPAIR	1913.9972021928552	2042.58051555587	2946.6990215358237	1828.9703448657328	2503.7531168054356	2003.1524616670886	2097.154067930933	1827.4206242823366	2287.8200974376377	2036.6508482399022	2672.280816678349	1886.8909741335374	3323.8343389760303	1893.3948052232026	1922.0229040327959	2358.630625184189	2253.00066906571	2150.2404057332897	2348.2534688820997	2165.140482692541	3343.5341950197035	2043.3357920061499	1820.4131519032526	2098.073896191143	1814.3686816479803	1815.2319887736612	2255.581493893138	2953.526157402519	1935.297045178866	895.0519881969994	1942.74466713754
KEGG_BETA_ALANINE_METABOLISM	2727.9271254778287	2397.020779330358	2614.0738686949753	2470.6841639629474	2233.496707462149	2302.0935399627506	2244.704693379783	2599.203770582879	2100.1625223561186	2614.698904983139	1813.6508905375595	2154.278945215967	2242.604460232	2408.718970173153	2430.5793575934495	1757.8481246164247	2453.505346007776	2315.769923490636	2253.271510499413	2294.6644560158056	2529.6302508965146	1719.9614210586515	2162.4058369860286	2646.2862576627413	2149.3487215642217	2621.151396923786	1846.4666273034873	1889.5864886201307	2074.839154654761	2662.4129641402724	2575.8397832162864
