pathway_description	BS_EVCAC3NH	BS_74G5K7JF	BS_C05FKR8X	BS_FTKPQ5FZ	BS_G23JJAZY	BS_CZ3NA7KV	BS_CZ3ER8DY	BS_EK5PCKY0	BS_7G42J2SK	BS_4NWHYH53	BS_W80TJC27	BS_XF0ZX2B3	BS_KBT7MQ6H	BS_MT15SGJN	BS_H4NXBD2D	BS_QXKRN6CR	BS_NGHK9RZP	BS_N5DVEJXT
KEGG_ABC_TRANSPORTERS	725.5344818951962	441.0579415087832	545.9586286976555	897.5652265390218	368.8700546702876	987.5249222426628	751.0304222247541	1008.2501359165126	788.1619835473139	640.345190267275	889.0519407521479	842.6757789414278	533.0569945327516	912.0894614864865	869.7526572612132	709.9636084162339	937.5473047403066	722.951779136707
KEGG_ACUTE_MYELOID_LEUKEMIA	4144.395522014254	3959.144659313828	4624.373338990106	4225.66489417236	4036.765546903931	3760.125678424287	4070.318275785492	3665.279675511347	4219.284910139126	4216.434834309399	4029.5429323536246	4187.5398523221975	4803.365280244836	4059.3491979494775	3932.34219798079	3968.9958967365183	4740.907360532454	4408.284151490225
KEGG_ADHERENS_JUNCTION	5678.7317947107495	5088.499665723677	5419.470775118703	5212.181384952217	5162.33387984824	5325.034196600722	5305.591274999819	5207.326586565701	5307.536251565856	5524.00925084544	5101.134315160578	5548.435913726225	5527.7159151869855	5096.218701608066	5256.404315409205	4886.937449850437	4913.086438614224	5106.673582946292
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	2474.44730487967	2533.8700656058063	2402.6168582457885	2546.317166284778	2419.0060114445096	2936.0919237615	2672.4701119792226	2639.4932628682254	2308.8420387333517	3204.578765767401	2857.28530451402	3111.6032211194834	3009.621284021834	2684.554430692069	2564.0957539924693	2698.860047466689	2991.070681001278	2202.549625800928
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	2189.173941689218	1632.7491593259	1292.5203414266489	1186.198251966669	2200.9330805622376	1375.0530882101175	1772.0534567992454	1582.502860992845	1645.1969677686757	1111.770390870519	1429.7786632030347	1849.3172628543634	1313.5975246179041	1474.2837574819368	1469.9095771934408	1378.053818188302	1349.2576484484125	1310.9973089723808
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2687.3612465468905	1527.4482608731796	1630.1561183601716	2106.4771702702874	1568.4552374747673	1832.042441532134	1701.0173259914372	1601.690290516024	1235.5654665636048	2169.012990006144	1175.1351739740949	2225.1582123670396	2136.3237064577224	2258.3233474039644	1327.0838376425709	1720.2875092839004	2352.204315379129	1708.8297580123235
KEGG_ALLOGRAFT_REJECTION	-1953.7361894396217	18.313298372759164	-928.8596330046221	-920.7477891786166	-2162.273500545799	1008.7773591823407	211.39282242942681	-210.1719441200912	-881.2512504895167	1471.1378405365922	1611.0448084792788	2122.206441269411	142.5557779904102	1831.8915998384073	-1808.5066324099216	-1260.6445250340057	728.9102258930689	-1028.5042469032524
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-2097.2858035842673	-1739.4634046481879	-1622.1427903408876	-1640.3593240011187	-1581.26372481841	-1625.120802926841	-1739.3029732180748	-1760.643631463162	-2042.0885958539611	-1783.4050674041273	-1564.8226055040523	-1479.1304632266483	-2050.6134770602393	-1459.0222509338791	-1870.2978652697248	-1352.2957948252406	-1795.2608932132698	-1572.3555860111856
KEGG_ALZHEIMERS_DISEASE	3959.871519335953	3849.6775802181983	3347.48342118487	3833.5668527293037	3730.044845801889	3965.8113517088586	3551.944679749631	3722.0096456399715	3535.5110709990568	3791.0899458752338	3695.520251174208	3630.010296079039	3353.595680346745	4241.946851561359	3430.96573061056	3999.8149616753963	3842.5557558849596	3589.340815381025
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	2104.4737769760995	2236.3383285708114	1851.163392280001	1904.5950199952676	2227.976816417411	2187.08033827737	1814.9190753783369	1494.3588200064696	1641.3095111951789	2039.575220016899	2097.5889387275984	2246.5658618963207	2034.277146614313	2059.2586988455205	2271.1854686995794	1862.5767981587778	2129.35020485347	1325.4285459461025
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1432.5124397201162	1581.818389185908	1863.2008456883796	2220.1237188783707	2169.9228478197183	2385.1960437764537	1315.4098436592649	1972.0351567417547	1587.2583759083682	1453.9343386278888	1821.9892937597779	555.034678211714	1267.9826906034505	1917.7617870340055	1899.9181354216762	1980.9075398884306	1187.6242150954804	1579.1314273383596
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	3507.9369968800675	2293.3765057689416	2497.8026829560004	2196.1178232256934	2014.4375023521388	2439.026148743851	2283.7677190790455	2497.398996564203	2024.3876714036614	2076.8957405245474	2373.1575335597354	2798.2758213047655	2160.460833146739	2448.250997778554	2039.2758990399598	2426.747959948083	2509.059968625006	2297.8949428287833
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1238.4480677140982	2212.280150590099	1682.2132240046267	1621.0304044168533	870.5942417042825	2658.5633775261886	2257.6984342834403	1988.438710127377	1635.0188846066521	2799.1514978610667	2963.4878747638177	3351.911033283186	2243.1659568995874	3015.450188784982	1320.005060167261	1402.0320670935635	2915.938890016647	1614.4967370687573
KEGG_APOPTOSIS	2174.8173671621025	2745.6265913957413	2253.506001917098	2381.0556057615267	2394.9294091067804	2561.886156248869	2386.548987133834	2178.6259732017643	2471.7680905302714	2734.1546899094446	2937.8550948880074	3146.9464157082202	2767.8386517539766	2456.674213850587	2137.72518113162	2364.2020774455996	2840.6240749205917	1954.3981081937472
KEGG_ARACHIDONIC_ACID_METABOLISM	-2857.0901300095848	-2038.0611380041491	-2178.5949755134034	-2524.6996641782844	-2640.4220313814158	-2200.279353585621	-2215.3859284617047	-2429.2561920699236	-3052.643991684994	-2079.1731251715055	-1948.8820100783942	-1763.8704991020732	-2167.0214268665877	-2082.325051652935	-2645.9111727211994	-2462.3872538044106	-1977.2595176270206	-2439.42517368102
KEGG_ARGININE_AND_PROLINE_METABOLISM	2185.8941691679065	2098.6604607454046	2229.869357524909	2000.3772488801878	2162.1194229412176	2399.746939504834	2236.7333899012046	2088.448629657438	2064.7867953199184	2211.4165361459545	2361.5563564091008	2418.1408692506247	1908.3352686528833	2140.6594197767063	1837.9055201363353	2194.4627361417897	2320.0636268022263	1589.2540095258373
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	2563.394386516906	1899.5504534382017	2081.876640043629	2356.8890119143307	2007.1317140640804	2392.7654657772055	2144.3932577685664	2081.0617154584525	1613.4929795786466	1963.2706249843432	1432.4012562646767	2268.0638812371326	2533.3784081452613	1653.0956084009413	1902.5016693662128	1531.2615208800762	1883.9332291568626	2297.945194463611
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	-3111.7778799327725	-2947.522609786389	-3257.514725510383	-2978.7369524115684	-2900.6734634396144	-3042.173530223695	-3104.1799709805537	-3061.3176009022573	-3000.365691285426	-3078.4300101498793	-3088.0139361173597	-3125.6813575032265	-3201.3332731897626	-3249.96638872736	-3198.872338697589	-3034.131193247782	-3293.953489237264	-3318.931526888776
KEGG_ASTHMA	-3993.9332308408893	-2194.4089105236344	-3181.2433366703763	-2875.1825685916874	-4293.734401078609	-854.0211027069126	-1788.8934624638077	-2141.841749703496	-3196.5324902889324	-161.6282218158085	-27.222122699124156	614.076224420407	-1775.0827021245877	334.9800252894602	-4238.910576671807	-3027.23991782533	-1078.4280321205442	-2797.3127011777815
KEGG_AUTOIMMUNE_THYROID_DISEASE	-3477.65064524655	-1869.0530646249144	-2411.871653202399	-2404.6247126790313	-3545.098194031375	-901.9313825071822	-1468.2323344084753	-1731.3145882196122	-2213.683335698045	-460.71902678250626	-332.7748149722829	127.6335984534926	-1576.3693558640307	-165.10803095652045	-3141.8855621596012	-2558.4204359828573	-946.6446761075695	-2429.574783717976
KEGG_AXON_GUIDANCE	4241.759135365031	3704.889681702827	4131.1411278014275	3941.742345101895	3973.02034023142	3544.004383397307	3873.041297656093	3188.2904438984933	3984.043419610214	3706.876883545401	3300.7156846395774	3601.2912094376243	4169.236943967759	4123.300730243282	3648.472653331037	3614.8617223879737	3787.3256057995804	4088.5327229114973
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	2850.97131190196	3268.7077817254467	3152.230768057734	2735.6880214945268	3156.285946098851	2997.240735736148	3335.5181353311564	2883.623568032306	3033.787287377065	3606.6002105862735	3281.36190263991	3784.9575122759743	3351.8213515035277	3281.4677913039377	3006.3028425026187	2702.499938673329	3286.7184307299685	2826.609747608889
KEGG_BASAL_CELL_CARCINOMA	3062.1516977673673	3053.491829066499	2623.2501591986274	2463.847686212275	1674.6968480983305	1622.837877437385	1549.5197371299873	1806.6059009682285	2269.8102148598737	1984.0637982125209	1256.8097436811222	1089.956790384611	2592.4262162661853	1776.6325788645663	1721.1739170697401	2318.015067071452	1701.3944335669494	2902.9895462552777
KEGG_BASAL_TRANSCRIPTION_FACTORS	2250.54825750091	2417.4626744401066	1583.256593508826	2498.8653323064937	2441.598620113682	2422.1428926312274	2257.232323919994	2221.764115019656	2603.448378196139	2375.746423540413	2476.1188093755572	2103.3620048659723	2117.690844937664	2475.944148075072	2447.035315642932	2567.9207161563354	1885.5018362766532	1850.932102624034
KEGG_BASE_EXCISION_REPAIR	2286.111351290894	2783.50326122984	3283.6249593316807	2459.3355113405632	2430.881567271297	1940.7776227130616	1788.3608267040618	1802.2303427458355	2341.9061251592684	1432.5778060397442	2023.2165267049986	1454.8299866405468	1831.2159556918796	1677.4195800238413	2295.6440345907467	2206.497682884439	2011.1546392617056	3035.20685655717
KEGG_BETA_ALANINE_METABOLISM	2608.1185651238393	1833.8832236495	2065.316381163566	1846.5852749324004	2782.877864137112	2254.65227577366	2166.817568078024	2196.9662244206975	2168.4502735615933	2220.3583421785206	2374.5155399030245	2431.3770680241214	1868.865170557645	1818.0017824857314	2038.4788763226625	2053.1591683535808	2140.460391429375	1965.7122696828264
