pathway	logFC	P.Value	adj.P.Val	direction
KEGG_WNT_SIGNALING_PATHWAY	-0.4193171228268515	5.923573922334151e-78	1.1017847495541521e-75	down
KEGG_GLIOMA	0.21518854090511041	2.9597734280996795e-59	2.752589288132702e-57	up
KEGG_O_GLYCAN_BIOSYNTHESIS	0.3228679315415465	4.8173162857988555e-58	2.9867360971952906e-56	up
KEGG_ASTHMA	0.29043203244342897	1.1589042284721747e-57	5.388904662395613e-56	up
KEGG_MELANOGENESIS	0.4683772145122491	3.109605879014651e-56	1.1567733869934503e-54	up
KEGG_BASE_EXCISION_REPAIR	0.3030859101793384	2.972476963426846e-54	9.214678586623224e-53	up
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.304107337903922	1.1625530360077154e-52	3.089069495677644e-51	up
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.24534587165978014	3.833165320938479e-52	8.912109371181964e-51	up
KEGG_ABC_TRANSPORTERS	0.22708914106289732	4.3573877191174135e-52	9.005267952842656e-51	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.23233533165766107	1.3281513151960853e-49	2.4703614462647188e-48	up
KEGG_ALLOGRAFT_REJECTION	0.22366019188045036	8.289553969753526e-49	1.4016882167037782e-47	up
KEGG_PYRIMIDINE_METABOLISM	0.22446667007496232	4.675361169262058e-48	7.24680981235619e-47	up
KEGG_PARKINSONS_DISEASE	0.2582159588491708	1.6402296906139227e-47	2.3467901727245355e-46	up
KEGG_GNRH_SIGNALING_PATHWAY	-0.2557505374759665	2.597412425536293e-47	3.4508479367839322e-46	down
KEGG_PROTEASOME	-0.27274575852197075	2.8066783151731533e-47	3.4802811108147104e-46	down
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.2885543936106556	3.4903812525029017e-47	4.0575682060346234e-46	up
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.209378894006356	5.391413557416044e-46	5.898840715761084e-45	up
KEGG_TIGHT_JUNCTION	-0.19539236415096553	6.302910981430007e-46	6.513008014144341e-45	down
KEGG_DILATED_CARDIOMYOPATHY	0.26491922987888766	3.178858798012836e-45	3.1119354548967757e-44	up
KEGG_OOCYTE_MEIOSIS	0.2505897159736657	3.865022489010812e-45	3.5944709147800557e-44	up
KEGG_ETHER_LIPID_METABOLISM	0.2513088156627773	4.5608999423068194e-45	4.039654234614612e-44	up
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.21831961356430604	5.443712373081059e-45	4.602411369968532e-44	up
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-0.1527143064966051	3.8427961217902026e-44	3.107652515882512e-43	down
