pathway	P.Value	adj.P.Val
KEGG_WNT_SIGNALING_PATHWAY	7.037829549773484e-80	1.309036296257868e-77
KEGG_GLIOMA	2.05261868007469e-59	1.908935372469462e-57
KEGG_O_GLYCAN_BIOSYNTHESIS	6.128037690647157e-59	3.799383368201237e-57
KEGG_ASTHMA	1.4966912362439501e-58	6.959614248534369e-57
KEGG_MELANOGENESIS	2.438242275064343e-57	9.070261263239358e-56
KEGG_BASE_EXCISION_REPAIR	4.970119358451244e-55	1.5407370011198856e-53
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	3.676988055389073e-54	9.77028254717668e-53
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	2.4166935152900793e-53	5.618812423049434e-52
KEGG_ABC_TRANSPORTERS	5.126848904235132e-53	1.0595487735419273e-51
KEGG_CHEMOKINE_SIGNALING_PATHWAY	4.2987288270095086e-52	7.995635618237686e-51
KEGG_PARKINSONS_DISEASE	1.5270863575705904e-50	2.582164204619362e-49
KEGG_CHRONIC_MYELOID_LEUKEMIA	2.4541658953746297e-50	3.803957137830676e-49
KEGG_ALLOGRAFT_REJECTION	3.491666462400603e-50	4.9957689385116316e-49
KEGG_PROTEASOME	3.570341306879449e-49	4.743453450568411e-48
KEGG_PYRIMIDINE_METABOLISM	1.409412630554693e-48	1.7476716618878192e-47
KEGG_GNRH_SIGNALING_PATHWAY	1.8202343278888855e-48	2.1160224061708295e-47
KEGG_PENTOSE_PHOSPHATE_PATHWAY	2.361150688579612e-48	2.583376635740046e-47
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	4.818542679470505e-47	4.979160768786189e-46
KEGG_TIGHT_JUNCTION	5.8510760620054425e-47	5.7278955133316434e-46
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1.4692251896337711e-46	1.3663794263594073e-45
KEGG_DILATED_CARDIOMYOPATHY	6.195121646568974e-46	5.4871077441039484e-45
KEGG_ETHER_LIPID_METABOLISM	6.9410521860907274e-46	5.686666760518695e-45
KEGG_OOCYTE_MEIOSIS	7.031899757630644e-46	5.686666760518695e-45
KEGG_PEROXISOME	5.766131072766003e-45	4.4687515813936523e-44
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	8.100033746299081e-45	5.913243090442154e-44
KEGG_VIRAL_MYOCARDITIS	8.265823674811612e-45	5.913243090442154e-44
KEGG_SPLICEOSOME	1.839752906455854e-44	1.2673853355584773e-43
KEGG_VEGF_SIGNALING_PATHWAY	8.235270253759562e-44	5.470572382854567e-43
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	8.939376126686582e-44	5.733530895047256e-43
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	3.512111469569093e-43	2.1775091111328377e-42
KEGG_PRION_DISEASES	3.678019761565888e-42	2.2068118569395325e-41
KEGG_OXIDATIVE_PHOSPHORYLATION	4.555657306407106e-42	2.64797580934913e-41
KEGG_LONG_TERM_DEPRESSION	6.001752153585316e-42	3.382805759293542e-41
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	6.424656884542956e-42	3.5146652368382055e-41
KEGG_CELL_ADHESION_MOLECULES_CAMS	7.33990948064623e-42	3.9006376097148534e-41
KEGG_ENDOMETRIAL_CANCER	1.7791002513105976e-41	9.192017965104755e-41
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	2.0395420564194952e-41	1.0252833040379084e-40
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	3.393416988865273e-41	1.6609883156024758e-40
KEGG_ADHERENS_JUNCTION	1.7560127144677771e-40	8.374829869000167e-40
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	3.925374984646996e-39	1.8252993678608532e-38
KEGG_MTOR_SIGNALING_PATHWAY	7.37114681580495e-39	3.343983677413953e-38
KEGG_NOTCH_SIGNALING_PATHWAY	1.2601295310360986e-38	5.58057363744558e-38
KEGG_ECM_RECEPTOR_INTERACTION	1.3754646484212759e-38	5.9496842931711e-38
KEGG_HISTIDINE_METABOLISM	1.6619606510001787e-38	7.025560933773483e-38
KEGG_OTHER_GLYCAN_DEGRADATION	8.063301614011921e-38	3.3328313337915944e-37
KEGG_SMALL_CELL_LUNG_CANCER	9.350358470988782e-38	3.780797120878073e-37
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2.308344432953214e-37	9.135150309133996e-37
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	5.4787507825221945e-37	2.1230159282273505e-36
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	1.6853256085733236e-36	6.397358432543637e-36
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	3.047407213720486e-36	1.1336354835040209e-35
KEGG_PANCREATIC_CANCER	9.447558030923719e-36	3.44557998774865e-35
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1.2326193635340505e-35	4.4089846464871806e-35
KEGG_TGF_BETA_SIGNALING_PATHWAY	1.2734336069749357e-35	4.469031149006378e-35
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1.3631564486341837e-35	4.695316656406633e-35
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1.4676685416792313e-35	4.963388159133401e-35
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	5.122501534004047e-35	1.7014022952227728e-34
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1.4577788960844351e-34	4.756962713538683e-34
KEGG_CITRATE_CYCLE_TCA_CYCLE	1.6730475002027086e-34	5.3652902592707555e-34
