pathway	logFC	P.Value	adj.P.Val	direction
KEGG_TRYPTOPHAN_METABOLISM	0.029694765807795415	3.7884763326173216e-24	7.046565978668218e-22	up
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.02398897249582884	3.569636449836331e-23	3.319761898347788e-21	up
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.0451247410609656	2.9748930160982973e-20	1.8444336699809443e-18	up
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.03562923553449427	9.230424374604832e-19	4.292147334191247e-17	up
KEGG_ARACHIDONIC_ACID_METABOLISM	0.021299683200553376	2.7824555961045288e-18	1.0350734817508848e-16	up
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.024041878310616552	6.4864709229873274e-18	2.0108059861260715e-16	up
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.020116028400489285	1.9534345256343954e-17	5.190554596685679e-16	up
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.02375117993425463	2.2885377117418033e-17	5.320850179799692e-16	up
KEGG_OXIDATIVE_PHOSPHORYLATION	0.016268278322072074	1.5122717086312768e-16	3.1253615311713055e-15	up
KEGG_NITROGEN_METABOLISM	0.03403883590947703	7.358973175119607e-16	1.3649802332204786e-14	up
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.0331298423122334	8.072463744852292e-16	1.3649802332204786e-14	up
KEGG_PURINE_METABOLISM	0.03631398259010044	8.175039476786676e-14	1.2671311189019348e-12	up
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.027517866595444643	7.036879045249139e-13	1.006815001858723e-11	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.014105042466076202	2.031088941968939e-12	2.6984467371873052e-11	up
KEGG_GALACTOSE_METABOLISM	0.021003705516382414	2.8877371608341523e-12	3.580794079434349e-11	up
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.013989842411878721	1.6156126465991415e-11	1.878149701671502e-10	up
KEGG_CALCIUM_SIGNALING_PATHWAY	0.019308067120278216	9.763286717771541e-11	9.829909797411224e-10	up
KEGG_RNA_DEGRADATION	0.01376975026713263	9.822538006053526e-11	9.829909797411224e-10	up
KEGG_TIGHT_JUNCTION	0.015850255028085538	1.0041305707032972e-10	9.829909797411224e-10	up
KEGG_HISTIDINE_METABOLISM	0.016785563297172845	1.652079732440916e-10	1.5364341511700519e-9	up
KEGG_SELENOAMINO_ACID_METABOLISM	0.01942165308442805	2.8392455638587087e-10	2.5147603565605707e-9	up
KEGG_PRION_DISEASES	0.016135398228389754	3.867171637048908e-10	3.269517838595895e-9	up
KEGG_GAP_JUNCTION	0.017290967680739948	4.725824677706543e-10	3.821753869797466e-9	up
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.038034841716349625	6.15517435205486e-10	4.7702601228425166e-9	up
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.014008452035454602	1.0178539366828895e-9	7.572833288920697e-9	up
KEGG_RIBOFLAVIN_METABOLISM	0.01733390433436649	1.412357698863566e-9	1.0103789691870126e-8	up
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.012696717331389109	1.743286940390276e-9	1.200931003379968e-8	up
KEGG_INSULIN_SIGNALING_PATHWAY	0.019504237332031042	1.9796232982954484e-9	1.3150354767248337e-8	up
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.016445826639263986	2.1942752603699304e-9	1.4073627532027829e-8	up
