pathway	logFC	P.Value	adj.P.Val	direction
KEGG_MTOR_SIGNALING_PATHWAY	0.30979210324338474	4.939206229640116e-97	6.627042397840682e-95	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.3297306148936366	7.125852040688906e-97	6.627042397840682e-95	up
KEGG_INSULIN_SIGNALING_PATHWAY	0.2515164228349287	2.0194006244389056e-96	1.2520283871521214e-94	up
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.3294786717942665	5.595745144325595e-94	2.602021492111402e-92	up
KEGG_COLORECTAL_CANCER	0.33453846719735825	5.147938638016103e-88	1.9150331733419903e-86	up
KEGG_RIBOSOME	0.47653649758104927	2.048344242810835e-87	6.349867152713588e-86	up
KEGG_RENAL_CELL_CARCINOMA	0.32635422994695684	2.5574780939503407e-87	6.795584649639477e-86	up
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.34150971415465	7.605319103721625e-85	1.7682366916152777e-83	up
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.31275987984446163	2.441502640466512e-84	5.045772123630792e-83	up
KEGG_ENDOMETRIAL_CANCER	0.3240317491625337	3.0049710025356986e-82	5.5892460647164e-81	up
KEGG_ADHERENS_JUNCTION	0.30441794122132415	2.7889125968716183e-81	4.7157976638011e-80	up
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.2721253092992304	1.4696593574986688e-80	2.2779720041229368e-79	up
KEGG_GLIOMA	0.3298484036308625	4.5870402752202254e-79	6.562996086084323e-78	up
KEGG_WNT_SIGNALING_PATHWAY	0.24384584094180548	1.5318950301285263e-78	2.0352319685993278e-77	up
KEGG_OLFACTORY_TRANSDUCTION	-0.4852341453601335	2.723172710458124e-78	3.3767341609680737e-77	down
KEGG_PROSTATE_CANCER	0.2845598485938453	3.458037290850868e-77	3.957844212037386e-76	up
KEGG_RETINOL_METABOLISM	-0.3199661863874086	3.6173844948728795e-77	3.957844212037386e-76	down
KEGG_ERBB_SIGNALING_PATHWAY	0.30567568068518786	6.29628927874223e-77	6.506165588033638e-76	up
KEGG_PANCREATIC_CANCER	0.29062973350812016	9.053859496839731e-76	8.863251928485209e-75	up
KEGG_ENDOCYTOSIS	0.25682572729336484	5.53589164338754e-75	5.148379228350413e-74	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	-0.3680993006331553	3.2635170465464916e-72	2.8905436697983213e-71	down
KEGG_LINOLEIC_ACID_METABOLISM	-0.34091857598184533	3.9649792512795363e-70	3.3522097306272446e-69	down
KEGG_PATHWAYS_IN_CANCER	0.1909860274275527	1.8802096771178212e-67	1.520517391060499e-66	up
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	-0.2953645883271303	2.6006936004219643e-67	2.0155375403270224e-66	down
KEGG_LYSINE_DEGRADATION	0.24321929324934868	2.4445752177475416e-66	1.818763962004171e-65	up
KEGG_OOCYTE_MEIOSIS	0.2149144561130626	9.373719935225888e-66	6.705815030584674e-65	up
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.23881300278960998	3.6233019751249257e-65	2.4960524717527267e-64	up
KEGG_TIGHT_JUNCTION	0.17542066757227298	3.840249484301046e-65	2.5510228717142665e-64	up
KEGG_ACUTE_MYELOID_LEUKEMIA	0.25832793935700626	3.187267667972292e-64	2.0442475387684355e-63	up
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	-0.3019340829926567	1.1650730802334552e-63	7.223453097447422e-63	down
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.21198168668991998	2.3575766231254825e-63	1.4145459738752894e-62	up
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.2823687125988835	2.809119241981097e-60	1.6328005594015125e-59	up
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	-0.31970975731642814	4.7796926389586913e-60	2.6940085783221717e-59	down
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	-0.23605168135999294	7.437915179951496e-60	4.068977127855818e-59	down
KEGG_NOTCH_SIGNALING_PATHWAY	0.3321185330969536	2.2217870762923e-57	1.1807211319724793e-56	up
KEGG_VIBRIO_CHOLERAE_INFECTION	0.2513306177667539	4.6381791241225783e-57	2.3963925474633325e-56	up
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.2491319633878978	6.917128128752194e-57	3.4772590052646164e-56	up
KEGG_MELANOGENESIS	0.18440284161206671	1.0306030356575978e-56	5.044530648218767e-56	up
KEGG_GAP_JUNCTION	0.23174419718397612	1.1396031814479166e-55	5.4350305576746795e-55	up
KEGG_THYROID_CANCER	0.25842812571867163	4.257815340853426e-55	1.979884133496843e-54	up
KEGG_AXON_GUIDANCE	0.25931690976381033	1.2741149411770573e-54	5.780131196559333e-54	up
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.21659636738457932	6.571109829968494e-54	2.910062924700333e-53	up
KEGG_MELANOMA	0.1890071468956607	2.0203243360152961e-53	8.739077360438257e-53	up
KEGG_VEGF_SIGNALING_PATHWAY	0.17589016107867256	6.104986072230554e-53	2.580744112352007e-52	up
KEGG_STARCH_AND_SUCROSE_METABOLISM	-0.197211315685557	9.272674089624643e-53	3.832705290378187e-52	down
KEGG_MAPK_SIGNALING_PATHWAY	0.1773494044346298	2.4256700149172282e-52	9.808143973360967e-52	up
KEGG_SMALL_CELL_LUNG_CANCER	0.2080226925295992	4.219919495312031e-52	1.670010693889442e-51	up
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.23005350891164572	1.0766816837488515e-50	4.1721415245267995e-50	up
KEGG_SPLICEOSOME	0.27759384058111103	3.0796359139746573e-50	1.1690046530597679e-49	up
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.18827337649428771	5.887927544462913e-50	2.1903090465402036e-49	up
KEGG_GNRH_SIGNALING_PATHWAY	0.1969704897124286	7.956039780548537e-50	2.9016145082000543e-49	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.3386472627546384	2.9257752501700087e-48	1.0465273010223493e-47	up
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.22662232454953343	4.59989831983752e-48	1.61430393865996e-47	up
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.1693551546343088	1.1257161514504222e-47	3.877466743884788e-47	up
KEGG_FOCAL_ADHESION	0.2151540818925207	2.345378078874921e-47	7.931642230377005e-47	up
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.14900912582862874	1.195750180061441e-46	3.97159881234693e-46	up
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.17809994144529753	3.5696913769311046e-46	1.1648466598406762e-45	up
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	-0.22045327434030298	1.896611661318818e-45	6.082237396643106e-45	down
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.23692354642885213	3.726998247393153e-44	1.1749519898561466e-43	up
KEGG_BLADDER_CANCER	0.2134246240826466	8.38997836964837e-43	2.600893294590995e-42	up
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	-0.20835408388472626	6.072666546210064e-42	1.8516655370411012e-41	down
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.1739085227882082	2.724198907866465e-41	8.172596723599396e-41	up
KEGG_SELENOAMINO_ACID_METABOLISM	0.15357134310723133	2.755524938456581e-40	8.135359342109906e-40	up
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.22134062015983422	9.389184273044614e-40	2.728731679353591e-39	up
KEGG_LONG_TERM_POTENTIATION	0.26329737099138295	2.5861346190462005e-39	7.40032367911682e-39	up
KEGG_RNA_DEGRADATION	0.20139732306444924	2.3656399229029025e-38	6.666803419089999e-38	up
