pathway	P.Value	adj.P.Val
KEGG_INSULIN_SIGNALING_PATHWAY	5.56046775961361e-109	1.0342470032881315e-106
KEGG_MTOR_SIGNALING_PATHWAY	1.3832623478389622e-108	1.2864339834902348e-106
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	4.491690125358542e-105	2.784847877722296e-103
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	3.7593750398245633e-103	1.7481093935184218e-101
KEGG_RIBOSOME	1.7043462642707776e-102	6.340168103087293e-101
KEGG_COLORECTAL_CANCER	1.7309276897568967e-101	5.36587583824638e-100
KEGG_ADHERENS_JUNCTION	6.045010601011292e-101	1.6062456739830006e-99
KEGG_RENAL_CELL_CARCINOMA	5.653802023786799e-98	1.3145089705304308e-96
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	2.3738920991359353e-97	4.9060436715476e-96
KEGG_ENDOMETRIAL_CANCER	4.5082300854533685e-97	8.385307958943266e-96
KEGG_CHRONIC_MYELOID_LEUKEMIA	3.19827694384398e-94	5.40799555959073e-93
KEGG_NON_SMALL_CELL_LUNG_CANCER	2.639153648238035e-93	4.090688154768954e-92
KEGG_RETINOL_METABOLISM	2.373369472922715e-91	3.3957440151048077e-90
KEGG_OLFACTORY_TRANSDUCTION	1.8652165523514566e-89	2.4780734195526496e-88
KEGG_PROSTATE_CANCER	4.095065558637969e-89	5.077881292711081e-88
KEGG_WNT_SIGNALING_PATHWAY	6.062949387856419e-89	7.048178663383087e-88
KEGG_LYSINE_DEGRADATION	8.482343908190523e-89	9.28068215837316e-88
KEGG_GLIOMA	9.568997679241596e-89	9.88796426854965e-88
KEGG_ENDOCYTOSIS	2.596567695195724e-87	2.5419031121389716e-86
KEGG_ERBB_SIGNALING_PATHWAY	1.4587937325981228e-86	1.3566781713162544e-85
KEGG_PANCREATIC_CANCER	2.0391405615218312e-86	1.8060959259193362e-85
KEGG_TIGHT_JUNCTION	6.412048456784126e-82	5.421095513462943e-81
KEGG_LINOLEIC_ACID_METABOLISM	1.745411104076202e-81	1.411506371122494e-80
KEGG_STEROID_HORMONE_BIOSYNTHESIS	5.455044877756519e-81	4.227659780261302e-80
KEGG_OOCYTE_MEIOSIS	8.306397565194287e-81	6.17995978850455e-80
KEGG_PATHWAYS_IN_CANCER	2.687959907385356e-80	1.9229251645141393e-79
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	3.085373815197299e-77	2.1254797393581396e-76
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1.066725063417971e-74	7.086102206990809e-74
KEGG_ACUTE_MYELOID_LEUKEMIA	4.2335488512240524e-74	2.7153106425092197e-73
KEGG_DORSO_VENTRAL_AXIS_FORMATION	3.0995870565341187e-72	1.9217439750511536e-71
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	4.1494718132624636e-72	2.4896830879574783e-71
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	4.808587715571108e-72	2.7949916096757063e-71
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1.2430403238355046e-71	7.006227279800117e-71
KEGG_SMALL_CELL_LUNG_CANCER	7.041272147512404e-71	3.85199005716855e-70
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1.1756388680451794e-70	6.247680841611524e-70
KEGG_GAP_JUNCTION	4.501169594048658e-70	2.3256042902584737e-69
KEGG_NOTCH_SIGNALING_PATHWAY	1.0958773633228647e-68	5.509005123731158e-68
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	2.985545597020581e-68	1.461346002752179e-67
KEGG_SPLICEOSOME	1.02822575151134e-67	4.903845891823314e-67
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1.1772882337770765e-66	5.474390287063406e-66
KEGG_FOCAL_ADHESION	1.3911011072465993e-65	6.310848925557742e-65
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	3.283690755985528e-65	1.4542059062221623e-64
KEGG_VIBRIO_CHOLERAE_INFECTION	1.0290679510136095e-64	4.451317183454218e-64
KEGG_AXON_GUIDANCE	1.6299409553189478e-64	6.890204947484643e-64
KEGG_THYROID_CANCER	1.0050900940055029e-63	4.154372388556079e-63
KEGG_MELANOGENESIS	1.8200035366386064e-63	7.359144735103931e-63
KEGG_N_GLYCAN_BIOSYNTHESIS	8.286829449642483e-62	3.279468675815961e-61
KEGG_TGF_BETA_SIGNALING_PATHWAY	4.798372511856867e-61	1.8593693483445361e-60
KEGG_GNRH_SIGNALING_PATHWAY	1.1781905790841547e-60	4.472315259380669e-60
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	2.588421012632785e-60	9.628926166993961e-60
KEGG_RNA_DEGRADATION	6.447871598699414e-60	2.351576700702139e-59
KEGG_MAPK_SIGNALING_PATHWAY	6.117669730805966e-59	2.1882434037113646e-58
KEGG_VEGF_SIGNALING_PATHWAY	7.706638440235187e-59	2.704593867705179e-58
KEGG_MELANOMA	1.3787128460956357e-58	4.748899803218301e-58
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1.6262592902973314e-57	5.499713236278248e-57
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	8.242283359317843e-57	2.7376155443448553e-56
KEGG_NON_HOMOLOGOUS_END_JOINING	1.026614739714635e-56	3.3500059927530198e-56
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	3.0777972328376558e-56	9.870177332893171e-56
KEGG_SELENOAMINO_ACID_METABOLISM	3.42347366351021e-55	1.0792645786659307e-54
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1.1694673340368554e-54	3.625348735514252e-54
KEGG_STARCH_AND_SUCROSE_METABOLISM	4.4816970597884595e-53	1.3665502510174646e-52
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	7.808848066218121e-53	2.342654419865436e-52
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	8.007005568963708e-53	2.363973072741666e-52
KEGG_LONG_TERM_POTENTIATION	2.0272303815676858e-52	5.891638296431087e-52
KEGG_ARACHIDONIC_ACID_METABOLISM	1.060490861967587e-50	3.034635389630326e-50
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1.1481452718286836e-50	3.2356821296990174e-50
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	3.4544797786573626e-49	9.484337312267164e-49
