pathway	logFC	P.Value	adj.P.Val	direction
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.09666956407091226	1.043664654787195e-20	1.9412162579041828e-18	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.0620064819549198	1.7437540605956533e-19	1.6216912763539576e-17	up
KEGG_GNRH_SIGNALING_PATHWAY	0.043796102057737554	3.038640597472672e-17	1.8839571704330567e-15	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.05582621324280831	6.405245091320131e-17	2.978438967463861e-15	up
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.056164666511413545	1.0251205690781622e-16	3.813448516970764e-15	up
KEGG_CALCIUM_SIGNALING_PATHWAY	0.05817259155738561	1.4631813910512954e-16	4.535862312259016e-15	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.05053430517715689	3.4099370457419445e-16	9.060689864400025e-15	up
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.05383777614727856	1.9050484932431617e-14	4.429237746790351e-13	up
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.04954429461117936	2.6033813075212162e-14	5.38032136887718e-13	up
KEGG_SULFUR_METABOLISM	0.052408347205311054	6.61157732798867e-14	1.1869252777511237e-12	up
KEGG_ECM_RECEPTOR_INTERACTION	0.06993260645914261	7.019450567345355e-14	1.1869252777511237e-12	up
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.0748688363126903	1.021920840199756e-13	1.5839773023096217e-12	up
KEGG_THYROID_CANCER	0.050141145114190426	3.614464828998175e-13	4.8323493056457695e-12	up
KEGG_SMALL_CELL_LUNG_CANCER	0.05819705117137646	3.637252165539826e-13	4.8323493056457695e-12	up
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.050377589813561136	1.118089475595168e-12	1.3864309497380084e-11	up
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.041684474813835436	1.3633586275388233e-12	1.584904404513882e-11	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.03490570316778736	2.7652331727754174e-12	3.025490412566045e-11	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.046929714505957495	3.0891208494507292e-12	3.1920915444324205e-11	up
KEGG_TYROSINE_METABOLISM	0.06643398296591219	4.587604735686646e-12	4.491023583356401e-11	up
KEGG_SELENOAMINO_ACID_METABOLISM	0.053533950355430605	5.629922300391642e-12	5.235827739364228e-11	up
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.06153242578231833	1.7649845185657512e-11	1.5632720021582368e-10	up
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.03342868620892631	1.8112118389565766e-10	1.531297282026924e-9	up
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.059557158102302665	1.9849830338964415e-10	1.6052471491510353e-9	up
KEGG_PRION_DISEASES	0.0390194379260464	2.179032384211876e-10	1.688750097764204e-9	up
KEGG_ETHER_LIPID_METABOLISM	0.04170397474780887	2.434663283583681e-10	1.8113894829862585e-9	up
KEGG_P53_SIGNALING_PATHWAY	0.046859935232828824	5.16484817849271e-10	3.694852927690939e-9	up
KEGG_PHENYLALANINE_METABOLISM	0.03538206006991991	1.1840955547580979e-9	8.157102710555785e-9	up
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.04300243977656211	1.7840521875937435e-9	1.1851203817587011e-8	up
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.06493414145719945	4.547475479079539e-9	2.9166566865820492e-8	up
KEGG_TIGHT_JUNCTION	0.031162841954169844	4.801957674510682e-9	2.977213758196623e-8	up
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.05523580337942131	4.988342091245027e-9	2.9930052547470164e-8	up
KEGG_GALACTOSE_METABOLISM	0.04273958691984721	5.797126350068604e-9	3.3695796909773764e-8	up
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.028962120690541836	8.57985702303062e-9	4.835919412980895e-8	up
KEGG_SPLICEOSOME	0.05821026676050509	9.593022535957582e-9	5.247947622612089e-8	up
KEGG_RNA_POLYMERASE	0.07382362959723124	2.309022859965327e-8	1.227080719867288e-7	up
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.03600213884140452	2.9759331697068472e-8	1.5375654710152044e-7	up
KEGG_RENAL_CELL_CARCINOMA	0.06920679985751903	3.430518207154008e-8	1.72453077440715e-7	up
KEGG_GAP_JUNCTION	0.0391417599032132	3.55797870813192e-8	1.7415369466119396e-7	up
KEGG_NITROGEN_METABOLISM	0.05775740288631189	3.778432151261122e-8	1.788634973255545e-7	up
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	-0.053686448845396216	3.8741264331988734e-8	1.788634973255545e-7	down
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	-0.027364015644173338	3.9670639367906794e-8	1.788634973255545e-7	down
KEGG_ALZHEIMERS_DISEASE	0.03733201966411665	4.038853165415747e-8	1.788634973255545e-7	up
KEGG_HUNTINGTONS_DISEASE	0.07061531954984417	7.010401127182881e-8	3.0324060689674783e-7	up
