pathway	logFC	P.Value	adj.P.Val	direction
KEGG_PURINE_METABOLISM	-0.11296593791232468	8.502280179016649e-25	1.5814241132970966e-22	down
KEGG_HISTIDINE_METABOLISM	-0.05766255274790098	4.299545321500386e-21	3.998577148995359e-19	down
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	-0.04479514242267037	8.597856899745591e-18	5.330671277842266e-16	down
KEGG_PROPANOATE_METABOLISM	-0.07399958805110571	4.040004158450481e-17	1.878601933679474e-15	down
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	-0.0780673394764246	1.1691003612988405e-15	4.349053344031687e-14	down
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	-0.049358899745468296	1.3831928578233997e-14	4.287897859252539e-13	down
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	-0.04080762001169304	2.0287776349997838e-14	5.390752001570855e-13	down
KEGG_RIBOFLAVIN_METABOLISM	-0.050063681824264766	2.462517901374927e-14	5.725354120696705e-13	down
KEGG_SULFUR_METABOLISM	0.05139214313078871	3.0358319141175585e-14	6.274052622509621e-13	up
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.041288239243756276	4.2873892121680186e-13	7.974543934632515e-12	up
KEGG_FATTY_ACID_METABOLISM	-0.047239475705840056	6.739458307115281e-13	1.1395811319304022e-11	down
KEGG_SMALL_CELL_LUNG_CANCER	0.05310553749843561	4.044179199756424e-12	6.268477759622457e-11	up
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.04892849453547062	1.0498900103702667e-10	1.5021503225297663e-9	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.04108153454496293	1.4018177213147091e-10	1.8624149726038279e-9	up
KEGG_INSULIN_SIGNALING_PATHWAY	-0.04999704389458511	1.615940931455144e-10	2.0037667550043784e-9	down
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.03883321071200187	3.259729947382818e-10	3.789436063832525e-9	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.035306990928119175	4.1427578622609144e-10	4.415599382670468e-9	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	-0.053636663481005764	4.445721416004688e-10	4.415599382670468e-9	down
KEGG_RENAL_CELL_CARCINOMA	0.07661909874926319	4.5105585091795103e-10	4.415599382670468e-9	up
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.048407397691024354	7.420547915193938e-10	6.619056761504299e-9	up
KEGG_ADHERENS_JUNCTION	-0.020551143113543544	7.473128601698402e-10	6.619056761504299e-9	down
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.02743390987296939	1.5794866554028084e-9	1.3353841722951017e-8	down
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.053614397782280276	3.2795597322709785e-9	2.6521656965321827e-8	up
KEGG_OLFACTORY_TRANSDUCTION	0.02768400005417468	4.316202165839752e-9	3.345056678525808e-8	up
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.03842598764081916	6.477385477500513e-9	4.819174795260382e-8	up
KEGG_SPLICEOSOME	0.05446410135971237	2.37023661361412e-8	1.6956308082008705e-7	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.031956326163507756	8.63258485170446e-8	5.946891786729739e-7	up
KEGG_THYROID_CANCER	0.03363351349206251	1.2180854102809378e-7	8.091567368294802e-7	up
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.03713891039972277	1.2711349336383138e-7	8.152796470921599e-7	up
KEGG_BUTANOATE_METABOLISM	-0.04362476396748129	1.6968689238681825e-7	1.0520587327982731e-6	down
KEGG_OTHER_GLYCAN_DEGRADATION	-0.024443085011244887	1.970869857198308e-7	1.1669545989851053e-6	down
KEGG_GNRH_SIGNALING_PATHWAY	0.023954464262518738	2.007663826210934e-7	1.1669545989851053e-6	up
KEGG_AXON_GUIDANCE	-0.03477314597470848	3.3107962328140407e-7	1.8660851494042776e-6	down
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	-0.04084859343825391	3.9898302627145946e-7	2.18267184960269e-6	down
KEGG_PYRUVATE_METABOLISM	-0.04713217165122924	5.365037116300412e-7	2.8511340103767904e-6	down
KEGG_TYROSINE_METABOLISM	0.044267900598638124	6.232499749967521e-7	3.2201248708165526e-6	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.027511957752423474	6.556567103693461e-7	3.2521483855642817e-6	up
KEGG_HEDGEHOG_SIGNALING_PATHWAY	-0.04645109052242384	6.678407547674162e-7	3.2521483855642817e-6	down
KEGG_DILATED_CARDIOMYOPATHY	-0.021242975871074484	6.819020808441236e-7	3.2521483855642817e-6	down
KEGG_RNA_DEGRADATION	-0.02551830131666178	7.236767012094631e-7	3.3650966606240036e-6	down
KEGG_FOCAL_ADHESION	-0.029424345300255596	1.2040841551325844e-6	5.462430557430749e-6	down
KEGG_GLIOMA	0.015111269134775028	1.2690065974752062e-6	5.619886360247342e-6	up
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.027933194933325925	1.3184220975787007e-6	5.702942096503217e-6	up
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	-0.054189200334401624	1.8937146020087935e-6	8.0052480903099e-6	down
KEGG_TRYPTOPHAN_METABOLISM	-0.03039357067866712	2.654626860582348e-6	1.097245769040704e-5	down
KEGG_ABC_TRANSPORTERS	-0.01185830743814326	3.88663024955225e-6	1.5715504922102577e-5	down
KEGG_TASTE_TRANSDUCTION	-0.02711063114383621	4.248314954727881e-6	1.681248045913587e-5	down
KEGG_ECM_RECEPTOR_INTERACTION	0.038771005090994015	4.463358517615898e-6	1.7295514255761604e-5	up
KEGG_O_GLYCAN_BIOSYNTHESIS	-0.018402674495167512	4.9475524059650245e-6	1.8780505051214175e-5	down
KEGG_N_GLYCAN_BIOSYNTHESIS	-0.030411947756571064	7.16674448721326e-6	2.6660289492433327e-5	down
KEGG_RETINOL_METABOLISM	0.02222098725408735	7.370604832508706e-6	2.6881029389149398e-5	up
KEGG_LONG_TERM_DEPRESSION	-0.01707698884615172	9.992711889860478e-6	3.5743161759885556e-5	down
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.01764275699064089	1.227263216394435e-5	4.306999212252168e-5	down
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.018311285929706284	1.2905638922429569e-5	4.445275628836852e-5	up
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.03951148280322574	1.3632582292798763e-5	4.6102914662919454e-5	up
KEGG_P53_SIGNALING_PATHWAY	0.030188832430977062	1.6790140204126158e-5	5.5767251392276174e-5	up
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.034841065712103186	3.283667490292468e-5	1.071512549463858e-4	up
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	-0.018668458333331063	3.459223830188726e-5	1.109337297267419e-4	down
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.02569130775157559	3.5473515173083966e-5	1.1183175969819691e-4	up
KEGG_CALCIUM_SIGNALING_PATHWAY	0.02540701477652095	3.9482040522005855e-5	1.2239432561821816e-4	up
KEGG_NUCLEOTIDE_EXCISION_REPAIR	-0.02660100743870212	4.367198177494913e-5	1.3316374770722193e-4	down
KEGG_HUNTINGTONS_DISEASE	0.05038324718208887	4.554455275871732e-5	1.3663365827615195e-4	up
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.02518606488585048	5.969399001696353e-5	1.7623939909770187e-4	up
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.015098804950850166	1.0355949720271909e-4	3.009697887454024e-4	down
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.0295511815013817	2.249020303607173e-4	6.435658099552833e-4	up
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.020878770522130864	2.444299575559523e-4	6.888480622031383e-4	down
KEGG_PYRIMIDINE_METABOLISM	0.013440554697529382	3.3170145340340206e-4	9.208428407915341e-4	up
KEGG_MAPK_SIGNALING_PATHWAY	-0.013231479726870011	4.446622777883533e-4	0.0012162821127740253	down
KEGG_PANCREATIC_CANCER	-0.01568992373966839	4.935256216978067e-4	0.0013146477625864766	down
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.030506442092479536	4.947599106508245e-4	0.0013146477625864766	up
KEGG_ERBB_SIGNALING_PATHWAY	-0.01405852092560998	6.330416870021143e-4	0.0016583908983435669	down
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.020385927477275856	7.430174299529983e-4	0.0019194616940452459	up
KEGG_OXIDATIVE_PHOSPHORYLATION	-0.015195828637434171	8.110663618230699e-4	0.0020665526479327536	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.01787429553163738	0.0020545885449895387	0.005164236072541273	up
KEGG_VEGF_SIGNALING_PATHWAY	-0.012571052788693589	0.002457641916830259	0.006094951953739042	down
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	-0.01107427187833222	0.003605397736313743	0.008823736565188896	down
KEGG_TIGHT_JUNCTION	0.01418732517946433	0.0037995335783574807	0.009178094098370018	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	-0.012977172560058262	0.003894890113828227	0.009287814886821157	down
