pathway	P.Value	adj.P.Val
KEGG_ABC_TRANSPORTERS	5.493600662427905e-109	1.0218097232115903e-106
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.3574542425498353e-108	1.2624324455713468e-106
KEGG_OOCYTE_MEIOSIS	4.599081585376966e-105	2.8514305829337187e-103
KEGG_ASTHMA	4.025022595889009e-103	1.8716355070883893e-101
KEGG_MELANOGENESIS	1.685637988626748e-102	6.270573317691503e-101
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1.721121128105358e-101	5.33547549712661e-100
KEGG_O_GLYCAN_BIOSYNTHESIS	6.150935102562159e-101	1.634391327252231e-99
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	5.613043587766596e-98	1.3050326341557336e-96
KEGG_CHRONIC_MYELOID_LEUKEMIA	2.3149435118987948e-97	4.7842165912575096e-96
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	4.548933385660484e-97	8.4610160973285e-96
KEGG_DILATED_CARDIOMYOPATHY	3.171663596168452e-94	5.362994808066655e-93
KEGG_PEROXISOME	2.627622800587069e-93	4.072815340909957e-92
KEGG_GNRH_SIGNALING_PATHWAY	2.510165411896759e-91	3.591467435483056e-90
KEGG_WNT_SIGNALING_PATHWAY	2.5071087377633772e-89	3.330873037314201e-88
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	4.1241446660596655e-89	5.113939385913985e-88
KEGG_VIRAL_MYOCARDITIS	6.0864904135930275e-89	7.075545105801894e-88
KEGG_BASE_EXCISION_REPAIR	8.346060245034932e-89	9.131571797508808e-88
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	9.494982695220084e-89	9.811482118394087e-88
KEGG_PYRIMIDINE_METABOLISM	2.6239615330244377e-87	2.568720237592344e-86
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1.4699261750339685e-86	1.367031342781591e-85
KEGG_VEGF_SIGNALING_PATHWAY	2.0222705883745128e-86	1.79115394970314e-85
KEGG_GLIOMA	7.585956602165617e-82	6.41358149092184e-81
KEGG_PROTEASOME	1.540224555349584e-81	1.2455729012827072e-80
KEGG_PRION_DISEASES	5.488487610769821e-81	4.253577898346611e-80
KEGG_NOTCH_SIGNALING_PATHWAY	8.541296312316573e-81	6.3547244563635306e-80
KEGG_ADHERENS_JUNCTION	2.7618766823537263e-80	1.975804088145358e-79
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	3.1584137440301386e-77	2.1757961347763177e-76
KEGG_LONG_TERM_DEPRESSION	1.0749934165251287e-74	7.141027695488355e-74
KEGG_OTHER_GLYCAN_DEGRADATION	4.2411466962108464e-74	2.7201837430869565e-73
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	3.070691704813342e-72	1.903828856984272e-71
KEGG_TIGHT_JUNCTION	4.025854654873288e-72	2.415512792923973e-71
KEGG_STEROID_HORMONE_BIOSYNTHESIS	4.972018789839672e-72	2.8899859215943093e-71
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1.2302369414449204e-71	6.9340627608713696e-71
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	7.011048201777669e-71	3.8354557809724896e-70
KEGG_CELL_ADHESION_MOLECULES_CAMS	1.283136500019885e-70	6.818953971534245e-70
KEGG_BETA_ALANINE_METABOLISM	4.420184852817868e-70	2.2837621739558987e-69
KEGG_MTOR_SIGNALING_PATHWAY	1.08280095351221e-68	5.443269658196515e-68
KEGG_CALCIUM_SIGNALING_PATHWAY	3.0304430913208006e-68	1.4833221446991286e-67
KEGG_PARKINSONS_DISEASE	1.0070104028928922e-67	4.802664998412255e-67
KEGG_OXIDATIVE_PHOSPHORYLATION	1.4121028970092713e-66	6.566278471093113e-66
KEGG_HISTIDINE_METABOLISM	1.4006168197135484e-65	6.354017767480975e-65
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	3.249578791883389e-65	1.4390991792626437e-64
KEGG_ALLOGRAFT_REJECTION	1.0236875450667134e-64	4.4280437995909e-64
KEGG_BASAL_TRANSCRIPTION_FACTORS	1.6364194290601476e-64	6.91759122284517e-64
KEGG_ENDOMETRIAL_CANCER	1.0287951529571471e-63	4.252353298889542e-63
KEGG_MAPK_SIGNALING_PATHWAY	1.847864179753004e-63	7.471798639870843e-63
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	8.11907746575077e-62	3.213081720488603e-61
KEGG_PANCREATIC_CANCER	5.029947973507055e-61	1.9491048397339838e-60
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1.1860496919505061e-60	4.502147810261105e-60
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	2.593486603906392e-60	9.647770166531779e-60
KEGG_TYPE_II_DIABETES_MELLITUS	6.37385212639689e-60	2.3245813637447482e-59
KEGG_MISMATCH_REPAIR	6.290134742276951e-59	2.249932811660602e-58
KEGG_AUTOIMMUNE_THYROID_DISEASE	7.762261658690043e-59	2.7241144688987698e-58
KEGG_ERBB_SIGNALING_PATHWAY	1.3650657014150795e-58	4.7018929715408295e-58
KEGG_RETINOL_METABOLISM	1.6241494495048028e-57	5.492578138325333e-57
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	8.155005553128498e-57	2.7086268444319657e-56
KEGG_ENDOCYTOSIS	1.0084352680849032e-56	3.2906835063823156e-56
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	3.5053499207118817e-56	1.1241294573317414e-55
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	3.459890794488997e-55	1.0907452335168702e-54
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	1.1745460273076295e-54	3.641092684653652e-54
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	3.8845792195134794e-53	1.1844782538188641e-52
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	7.890630442086187e-53	2.3370398831902106e-52
KEGG_ARGININE_AND_PROLINE_METABOLISM	7.915780249515229e-53	2.3370398831902106e-52
KEGG_PPAR_SIGNALING_PATHWAY	1.976462199039515e-52	5.744093265958591e-52
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1.0021712314012155e-50	2.86775152370194e-50
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1.1343176174188133e-50	3.1967132854530195e-50
KEGG_LEISHMANIA_INFECTION	3.535453189004288e-49	9.677025234854476e-49
KEGG_TASTE_TRANSDUCTION	3.53783718263497e-49	9.677025234854476e-49
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	4.410688851941577e-49	1.1889682992190338e-48
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	5.786102348200803e-49	1.5374500525219276e-48
KEGG_GALACTOSE_METABOLISM	2.8763252672422037e-48	7.535161967704928e-48
KEGG_PROTEIN_EXPORT	5.1795150643021145e-48	1.3380413916113795e-47
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	8.009272484258348e-47	2.040718742564456e-46
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.9436862729757177e-46	4.885481713155182e-46
KEGG_ETHER_LIPID_METABOLISM	2.199527781079677e-46	5.4548288970775986e-46
KEGG_HOMOLOGOUS_RECOMBINATION	3.3400583294844187e-46	8.17435328005397e-46
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	2.1358239306222113e-44	5.159263001243264e-44
KEGG_GLUTATHIONE_METABOLISM	3.2812727773070444e-44	7.824573545886029e-44
KEGG_GLYCEROLIPID_METABOLISM	3.717844950940103e-44	8.753407099681761e-44
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	4.512531634189784e-44	1.0491636049491248e-43
KEGG_SPLICEOSOME	4.6403969398993615e-43	1.0655726306435571e-42
KEGG_TYPE_I_DIABETES_MELLITUS	1.2997940253214888e-41	2.9483132769487426e-41
KEGG_BLADDER_CANCER	5.304053487185896e-41	1.1886192152006946e-40
KEGG_ACUTE_MYELOID_LEUKEMIA	6.585521156879353e-41	1.4582225418804282e-40
KEGG_PROPANOATE_METABOLISM	6.75272683156399e-41	1.4776555184363556e-40
KEGG_RIBOFLAVIN_METABOLISM	1.4019926407929902e-40	3.032216641715072e-40
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1.462563461690609e-40	3.126859814648888e-40
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	5.24393628652317e-40	1.108377442378761e-39
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	3.5383501270018143e-39	7.394754198003792e-39
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1.1778976265971924e-38	2.4343217616341977e-38
KEGG_CITRATE_CYCLE_TCA_CYCLE	1.4346026389050494e-38	2.9322647344652656e-38
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	3.3779011985546624e-38	6.829235031860514e-38
KEGG_ECM_RECEPTOR_INTERACTION	5.665564422936467e-38	1.1331128845872934e-37
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	9.450617017789518e-38	1.8700157077753729e-37
KEGG_NUCLEOTIDE_EXCISION_REPAIR	2.2356808428404967e-37	4.3772277554561306e-37
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	2.784776149895182e-37	5.3955037904219155e-37
KEGG_SMALL_CELL_LUNG_CANCER	3.131362777464706e-37	6.004468831014797e-37
KEGG_STARCH_AND_SUCROSE_METABOLISM	3.5278266612284595e-37	6.695671010086668e-37
KEGG_APOPTOSIS	4.2056586535046315e-37	7.901540500523853e-37
KEGG_PHENYLALANINE_METABOLISM	5.420257706663706e-37	1.0081679334394492e-36
KEGG_NON_SMALL_CELL_LUNG_CANCER	1.6708583956932296e-36	3.0770263524647595e-36
KEGG_LYSINE_DEGRADATION	1.5848162706984567e-35	2.8899590818618914e-35
KEGG_INOSITOL_PHOSPHATE_METABOLISM	4.1833275415324593e-35	7.554358473058616e-35
KEGG_CELL_CYCLE	4.2490628610955613e-35	7.599285501574754e-35
KEGG_DORSO_VENTRAL_AXIS_FORMATION	4.7786229036058446e-35	8.464989143530353e-35
KEGG_FATTY_ACID_METABOLISM	1.4286612684390567e-34	2.5068961880157033e-34
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	3.7144645443356877e-34	6.4569196752003545e-34
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	6.096212935914315e-34	1.049903338963021e-33
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	6.828960099199216e-34	1.1653087875697745e-33
KEGG_PYRUVATE_METABOLISM	2.103250476865435e-33	3.556405351790645e-33
KEGG_PURINE_METABOLISM	2.7867355762628288e-33	4.669665019683659e-33
KEGG_AXON_GUIDANCE	1.0358558432542306e-32	1.720260596832919e-32
KEGG_NON_HOMOLOGOUS_END_JOINING	2.018749860672001e-32	3.322898000752143e-32
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	5.718412749371368e-32	9.330041854237496e-32
KEGG_MELANOMA	8.123256850410985e-32	1.3138484992838637e-31
KEGG_JAK_STAT_SIGNALING_PATHWAY	1.1073329267089156e-31	1.7755510721367094e-31
KEGG_NITROGEN_METABOLISM	7.995847034656223e-31	1.271134656791502e-30
KEGG_LONG_TERM_POTENTIATION	5.678190669008767e-30	8.950368342674836e-30
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1.3253286534047112e-29	2.071522096918288e-29
KEGG_TGF_BETA_SIGNALING_PATHWAY	1.462336556875997e-29	2.2666216631577953e-29
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	3.039853260713256e-29	4.672832285063352e-29
KEGG_CARDIAC_MUSCLE_CONTRACTION	7.727147832666662e-29	1.1780733580950812e-28
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1.9225224055344686e-28	2.9072290034911477e-28
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1.0272923168622317e-26	1.5409384752933474e-26
KEGG_DNA_REPLICATION	2.5618059109528104e-26	3.811967195497782e-26
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	8.488581250106747e-25	1.2530762797776626e-24
KEGG_N_GLYCAN_BIOSYNTHESIS	1.4656844633185688e-24	2.1465929935216837e-24
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1.5570304410886291e-24	2.2625598597069143e-24
KEGG_FOLATE_BIOSYNTHESIS	1.72331935160051e-24	2.4847860418425957e-24
KEGG_LYSOSOME	3.956495376674173e-24	5.6608318466261244e-24
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	5.692836604572847e-24	8.082958843133966e-24
KEGG_LINOLEIC_ACID_METABOLISM	6.245171997441224e-24	8.800015087303543e-24
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	7.337110050959506e-24	1.0260920823146376e-23
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1.3735101946353495e-23	1.9065141507625e-23
KEGG_GAP_JUNCTION	1.823540138181597e-22	2.5124330792724225e-22
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	6.954956957819482e-22	9.511926427606058e-22
KEGG_RIBOSOME	1.3684556224083683e-21	1.8579032537807043e-21
