pathway_description	BS_FXJY0MNH	BS_C83TK159	BS_8ZY4GST0	BS_FCDAH728	BS_GWSJ4Z9H	BS_G3NN392N	BS_2JP7RBMB	BS_0ZA67BBC	BS_6M2053M0	BS_7WM3MNZ0	BS_5VPM0F36	BS_XGDPK33A	BS_B57327NA	BS_YDEVMD24	BS_XM1AHBDJ	BS_ZF6BSFNF	BS_Z3RCA1T9	BS_H97S5SQN	BS_JQVAWTTM	BS_JB43XBCQ	BS_QNNX91SM	BS_R9B92M75	BS_NGSG2KB6	BS_NEVYM2FP	BS_NB9XXBW6	BS_3AC3SRWH	BS_F0JB4EAK	BS_W7MFJZ5A	BS_J9CBGP57	BS_ZD5HN296	BS_NPA6CZQF	BS_R7NTZR4C
KEGG_ABC_TRANSPORTERS	0.07390985585920963	0.016468817205018957	0.01708974035938162	-0.002091190726533716	0.00996216547646555	-0.02794578753850015	0.025203338985060962	0.008799816666818313	0.002359737539712589	0.012115581760439108	0.048371064819804785	-0.0036663840130737478	0.011475321302022152	0.016604645957722788	-0.02126462280452582	-0.013913557802800458	-0.0020896409254401926	-0.008661459519044028	-0.038171094663095706	0.006502661344972575	-0.0242383002802004	0.02629193223811487	-0.024917227400722195	8.226049806860479e-4	0.018012454841071494	-0.06654826222938438	0.008246038144875446	-0.005251702298137	0.056957504421618906	0.04079466226244551	0.018734877840211453	-0.010398334654767409
KEGG_ACUTE_MYELOID_LEUKEMIA	0.24853593081828337	0.22625189729112052	0.23088382819969372	0.23808684566597024	0.25121980250223325	0.24432563444968144	0.24436034421928604	0.24711731945949558	0.24923331675032015	0.2408644170313629	0.2641369854617137	0.24473425471175062	0.23471205518201876	0.22956354073326687	0.22935916434266357	0.2456716969277254	0.24700463628466499	0.23162092318566357	0.23979879225328915	0.2646764509970627	0.25062091584268514	0.22599542226236147	0.25548018013383755	0.21971185347899422	0.23272359735198633	0.21741344087661757	0.2418369950208768	0.2624118316061371	0.24089104582076026	0.26830366520495436	0.2394389364031289	0.23921877522231141
KEGG_ADHERENS_JUNCTION	0.32876659044224193	0.3121710706955219	0.31253085943866266	0.2973870937063905	0.32267724125586456	0.278403766308862	0.3253609573376391	0.32082556466632134	0.32040375997634074	0.3146149575799037	0.3084953890093927	0.2995839960432114	0.33744208585504204	0.32385931693266906	0.25682025667940445	0.3082756541060619	0.3070481622591215	0.31644285897122043	0.28954327069263414	0.3208789351220372	0.2999789700365636	0.30335391373861453	0.31270427460631006	0.29929578362590864	0.321933916069433	0.25786395081527236	0.3094013166050583	0.31604213021457905	0.32870095801142324	0.3150582738603318	0.30361780678798284	0.3063368780603835
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.1887524610579899	0.17000942708512423	0.16178939625550995	0.14038456897166005	0.16967558993027482	0.15656655478357906	0.1554919547486341	0.1712450245805204	0.16069914501958632	0.15581632234148526	0.1958252092869207	0.15939217129526492	0.16280768320609684	0.17879965305071835	0.14407058379535143	0.1655216289375492	0.15129695101813004	0.14014354369220083	0.15417909317806316	0.17135333902678718	0.1359501356905876	0.17075211614686	0.17068856788768377	0.16536899227141133	0.18125228713767197	0.165439762060528	0.18588901268198296	0.1741613603180917	0.15806367089014017	0.18553662425642098	0.1662467456699468	0.1330653454470134
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.1694500614493096	0.15198944492342667	0.15992520213970055	0.14444665282249824	0.13548437567694127	0.18126080790523597	0.12398129873776431	0.14160595747198373	0.1473350010828019	0.16559703625615843	0.14637912303137623	0.12694389132432715	0.12888596613179173	0.15395820938195343	0.14996365952559373	0.14162208718340025	0.10363332131124929	0.1285123946662829	0.161612426207229	0.16315525218595542	0.14780665487104594	0.17010794730919715	0.15816784740409318	0.16262418589534114	0.13990228759690537	0.17695576387000064	0.14433678850143114	0.14509665357877133	0.15133914349827643	0.1315709408225062	0.1435956557313325	0.1322481873817606
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.20138410555323177	0.16799790001597079	0.1569932202747517	0.14328265820095076	0.16285225855364696	0.13215925300867867	0.1511338709386594	0.1421567234885564	0.1433309798476316	0.13855252064857426	0.18536274090765534	0.11613192604359825	0.13996046268943713	0.16028165029006383	0.0806199463822863	0.16698270987048686	0.1378361978449813	0.15199189848102151	0.1546235020817767	0.16949841802078633	0.14084843694307592	0.17259222202781818	0.1606616409528556	0.1580740055509472	0.16370834098541445	0.17669913601561452	0.1571687203291249	0.16490860835900717	0.15448411829170824	0.16389622317470148	0.1662456453132172	0.13021418464206153
KEGG_ALLOGRAFT_REJECTION	0.03201994880376595	-0.0018318130837637289	-0.08574091639128875	-0.022849280554264648	0.08947104403997777	0.06089989002922178	-0.025641646638203206	-0.0890645620662144	0.052323694983351	-0.059435468453889584	0.1813364075578145	-0.004187571849786184	-0.008257142503071859	0.014564903567374034	-0.03172620696885487	0.05671654750276837	-0.0026106864465109164	0.02718754236423036	0.06141729981925162	0.1280758490573206	-0.023270902362012815	-0.03259535912152801	0.06526283699952784	9.52713891322401e-4	-0.023625609530595598	-0.08169104639821366	-0.08890694445791018	0.1445796051719533	0.05059352627800814	0.17728227597949334	-0.05713863181392093	-0.028628008894240154
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.0836613948347512	-0.1012754194762435	-0.10145939295955111	-0.12397394719940656	-0.1250889178311654	-0.06350541281986707	-0.11658924906315768	-0.11306932628781959	-0.11008655074210152	-0.12457278550130807	-0.09109522567803473	-0.09291686741079598	-0.10142877692037759	-0.10953315474164413	-0.09205827588410839	-0.11476450134245882	-0.1336114811702118	-0.13367809621925783	-0.10739514283559184	-0.12548183828402326	-0.14252812091512415	-0.10709265957970761	-0.10403902005465121	-0.12578419336108487	-0.10674672808100896	-0.09847836888645099	-0.09008113315267342	-0.09553030302058636	-0.08617896063354367	-0.0850290268555273	-0.10301722252626319	-0.09235788478677652
KEGG_ALZHEIMERS_DISEASE	0.230127150874395	0.27714575720574935	0.22678698454636115	0.237017110668792	0.2514571365842445	0.2891560981111114	0.2669899375081715	0.24183416731411447	0.27401178199253307	0.25774084643071643	0.2755902853411643	0.24194713430559509	0.2163113987880952	0.2404820752069825	0.3113334879305388	0.2686447258006646	0.24198333456754303	0.24055770323342157	0.29378063062426707	0.2742295094147017	0.26460805894879125	0.2729633212339553	0.2709770495739093	0.2633674161479864	0.24910384403198707	0.2913176712432053	0.2622241415882469	0.2762565817196075	0.234328661613365	0.2656216239116717	0.24354093597252466	0.23765657600870885
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.10303367775032077	0.13267038180762625	0.1176563078998127	0.13336305639193594	0.13415776514401803	0.1586606786974326	0.15749645384608965	0.13146370622251904	0.136741983046198	0.133570368033254	0.16301540990122165	0.1423686781604748	0.1330265239758129	0.11472905652702027	0.17135762053914957	0.12923115779471156	0.11392247821293273	0.12835498900262934	0.16871670161558286	0.13907179865471803	0.14534049152515063	0.12589840577409703	0.14516329464593614	0.13128903067107578	0.1319058653296863	0.12613779800466807	0.1425576088698699	0.16999132015464313	0.1433122630926158	0.1838340369551473	0.11129667130537699	0.11430396422539078
