pathway_description	BS_4KNBXM3C	BS_3ZPJAK9A	BS_2853394H	BS_E7NVYA6G	BS_CZPQ493E	BS_8ZE4Z9G5	BS_KKDTW11T	BS_00FD2KMP	BS_F21R36MM	BS_KRS4EV4X	BS_HRJ9145M
KEGG_ABC_TRANSPORTERS	0.15247991987623474	0.16711647236313662	0.1220788078800965	0.18054535539294678	0.15663822713295728	0.07530117090318866	0.14728946704120846	0.13377552608932647	0.09687920859490155	0.09917042230225988	0.177569232417581
KEGG_ACUTE_MYELOID_LEUKEMIA	0.2628778330129497	0.2227722876310815	0.18892227456656016	0.25159887803368647	0.23608159843601473	0.24237986762758595	0.19588670809720748	0.20564656568271478	0.23485829950798676	0.22405736921833522	0.2710520724772272
KEGG_ADHERENS_JUNCTION	0.3560195970447249	0.35849252063163206	0.33006251207730264	0.3740234175591186	0.3467082021883609	0.3219450040279887	0.33579037469535833	0.3504211260463244	0.3474577238993431	0.31483054217689427	0.356722481243491
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.1688066496256733	0.16124137703542368	0.13374838467896916	0.1674793342591437	0.14300301258338452	0.1185045200468348	0.12362586006473811	0.1509843400916537	0.13609522536463128	0.13159593029767458	0.17669559764597237
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.19985738302218306	0.2118386812855507	0.15554748465434318	0.1612341870540591	0.19396561337628182	0.20684874147121055	0.05918716645308995	0.20728999282102437	0.16983316391416584	0.16289830323763185	0.18342488528422946
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.17361347080273407	0.17904724008603842	0.14742479104827075	0.18361254120342232	0.1409577101074774	0.11621757562919964	0.14670935039022762	0.19023572755116203	0.1537502374335721	0.09921913219744313	0.17567671020516842
KEGG_ALLOGRAFT_REJECTION	0.089221304549532	-0.05638910548865487	-0.0990416477057043	0.11323776697482862	0.07726399833938187	-0.00810330069246299	-0.014411958172380997	-0.07738664903891189	-0.021139402784837284	-0.0284881774439581	0.13670881628583312
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.06874444625011693	-0.08460801688975329	-0.07095519008038566	-0.08323435176260723	-0.06388206808734744	-0.09928211880202432	-0.12353584387937282	-0.10957391955412747	-0.0913277272714324	-0.07111057886087144	-0.06209667407077884
KEGG_ALZHEIMERS_DISEASE	0.2724388572102608	0.2732904897190419	0.23910845796656618	0.25851394234690456	0.24582691893272648	0.2414092856451648	0.22761576484134757	0.2793296066503061	0.2620922508849016	0.25278252619034136	0.2599972684919549
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.20615390530032682	0.16548080560523248	0.15463573611561765	0.1871521746761943	0.17177642603145038	0.16983178706334084	0.15972112541138006	0.1610705607059416	0.21131683083380842	0.19817475230959208	0.2393568578328905
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.17268950102543495	0.16949655995058852	0.15797445742843388	0.1288929103761276	0.14048768194446423	0.17910324538263828	0.07260647591093865	0.14154426956990315	0.15885574553390547	0.24807684685412587	0.13891233561724645
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.19434950713451188	0.1714987102646296	0.13371722084652995	0.13696543736481986	0.1498693938013389	0.11808822454582558	0.1355521851567273	0.19717488326799884	0.15797936053712047	0.13262772334617412	0.20034049502086185
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.21624044784835653	0.09791772317711733	0.07049343367649794	0.18408626677518586	0.17927126626063733	0.12970202874410142	0.19310275201168017	0.09516640187115866	0.13098920441378606	0.11442277680985034	0.20477266637395894
KEGG_APOPTOSIS	0.1723115282591664	0.1307167067902825	0.1024678689652812	0.18258901881110734	0.13180657517068636	0.14468333879355091	0.12576874621915196	0.10908872468624321	0.14183658975422467	0.12275142463077687	0.21285909315399448
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.09716511904486483	-0.14361257362431812	-0.16171541805650327	-0.09935206598361121	-0.10601078268447892	-0.15831391060062064	-0.1587775208608415	-0.13180478484120725	-0.13970086684927535	-0.1288924628279931	-0.08109234116927647
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.18190558090054493	0.18082634304479614	0.1402300982282741	0.1500323117265143	0.17879869362777176	0.1473965204172182	0.1201528386186262	0.1765694302002324	0.16074062785609924	0.1691485013888448	0.17963951460881383
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.23304876329712693	0.20882809037000025	0.22425076573470867	0.2380970591103202	0.23351965473222858	0.16714608020842392	0.18904581755190245	0.2065619785156044	0.22649837530578884	0.15089749251394813	0.22519525726918432
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	-0.17421340516780268	-0.18993014471082675	-0.17909791044486853	-0.19129622988701334	-0.17901010173713452	-0.17615198959198994	0.005632075051841515	-0.1893586704061837	-0.18726202021790736	-0.15661997950728967	-0.1807832157360945
KEGG_ASTHMA	-0.007472977372648022	-0.18859269060096506	-0.23476700371982026	0.014382598035593936	-0.026706995101629077	-0.13939721753228745	-0.153595092230959	-0.18727722798280527	-0.1583065410026034	-0.14383414760332427	0.03213173268482968
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.022206865026747867	-0.14069374784883906	-0.15678807657210006	-0.010166644109556634	-0.04781700692336656	-0.10095018424577445	0.05276188347781814	-0.14099566659095739	-0.11794250931048122	-0.11602507190838812	0.0029589064450120735
KEGG_AXON_GUIDANCE	0.20463312063533737	0.1962280284009037	0.1997054231486626	0.18780819011197128	0.21597078084811996	0.2068827499813557	0.15006308184689246	0.23182944779815406	0.2037464618674617	0.15468830903709507	0.19727993797156174
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.24964941266215776	0.18791124304405873	0.11554990800476893	0.25268692240163915	0.189462223406869	0.19564208556765897	0.15812873591024812	0.17064688494315436	0.1797075767649747	0.15452147544593997	0.2755367733550315
KEGG_BASAL_CELL_CARCINOMA	0.019979556991998985	0.05265101004825545	0.04891557813136793	0.024042658263462312	0.03639952562426433	0.04568365375824661	0.09327655903379287	0.004550176242156148	-0.00600686445153264	0.05326074583928672	0.018559267535300246
