pathway	logFC	P.Value	adj.P.Val	direction
KEGG_TRYPTOPHAN_METABOLISM	495.5844480152791	7.951933579238161e-25	1.4790596457382978e-22	up
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	386.491252976411	4.77302834565512e-22	4.438916361459261e-20	up
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	737.1354333331816	5.2018251952214046e-20	3.225131621037271e-18	up
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	347.45988825469703	1.1358345487064726e-19	5.281630651485098e-18	up
KEGG_HEDGEHOG_SIGNALING_PATHWAY	596.293966558269	2.227893176328254e-19	8.287762615941106e-18	up
KEGG_ARACHIDONIC_ACID_METABOLISM	359.19377717132807	7.193501342016533e-19	2.229985416025125e-17	up
KEGG_NUCLEOTIDE_EXCISION_REPAIR	411.1198182095019	1.0926482408767793e-18	2.9033224686154424e-17	up
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	380.7570109114913	7.024989052810167e-17	1.6333099547783637e-15	up
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	551.8058817153819	3.322427115910299e-16	6.866349372881285e-15	up
KEGG_NITROGEN_METABOLISM	548.5648854294634	1.7740270135247697e-15	3.299690245156072e-14	up
KEGG_OXIDATIVE_PHOSPHORYLATION	253.42447411213075	5.969295983667776e-15	1.0093536845110966e-13	up
KEGG_PURINE_METABOLISM	610.801657981453	1.4693751472021724e-14	2.277531478163367e-13	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	241.00975416800458	1.2805294414254305e-12	1.832142123885616e-11	up
KEGG_JAK_STAT_SIGNALING_PATHWAY	440.5200824403408	2.417576991732027e-12	3.211923717586836e-11	up
KEGG_HISTIDINE_METABOLISM	295.60753424769115	3.4803219085932738e-12	4.3155991666556596e-11	up
KEGG_GALACTOSE_METABOLISM	332.315653673227	9.493792842730496e-12	1.1036534179674202e-10	up
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	233.80382659665162	1.4117079127602306e-11	1.5445745398435465e-10	up
KEGG_RNA_DEGRADATION	225.57415316438014	1.305425001855756e-10	1.3489391685842813e-9	up
KEGG_RIBOFLAVIN_METABOLISM	297.06928714965323	1.44893000899186e-10	1.4184262193288734e-9	up
KEGG_GAP_JUNCTION	295.5073038270692	2.0856772524841796e-10	1.939679844810287e-9	up
KEGG_SELENOAMINO_ACID_METABOLISM	326.53122669086514	2.534713861507214e-10	2.2450322773349612e-9	up
KEGG_CELL_ADHESION_MOLECULES_CAMS	230.37402009135712	2.6599841691599435e-10	2.248895706653407e-9	up
KEGG_CALCIUM_SIGNALING_PATHWAY	297.9525904251292	4.421067594805446e-10	3.5752981418861437e-9	up
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	278.7550633409935	4.69880352645199e-10	3.6415727330002927e-9	up
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	627.159384604965	6.413525062089515e-10	4.771662646194599e-9	up
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	232.78669034366362	8.336384546019291e-10	5.963721252152262e-9	up
KEGG_TIGHT_JUNCTION	243.14884033236044	9.150622775940543e-10	6.303762356759041e-9	up
KEGG_VIBRIO_CHOLERAE_INFECTION	266.07806145248475	2.757806386267694e-9	1.8319713851635396e-8	up
KEGG_SPHINGOLIPID_METABOLISM	388.1283785131736	3.17863568437411e-9	2.0387111630813257e-8	up
KEGG_INSULIN_SIGNALING_PATHWAY	317.4038949088121	3.5028965522761087e-9	2.1717958624111874e-8	up
KEGG_RNA_POLYMERASE	513.604076707244	3.835392722349486e-9	2.3012356334096915e-8	up
KEGG_PRION_DISEASES	241.498309725225	4.600114358780153e-9	2.673816471040964e-8	up
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	514.3910633280726	4.929124968573902e-9	2.7782340731961995e-8	up
KEGG_GRAFT_VERSUS_HOST_DISEASE	359.3582858090054	1.2802957373800767e-8	7.003970798608655e-8	up
KEGG_DNA_REPLICATION	236.12594424304123	1.5765210673636687e-8	8.37808338656121e-8	up
KEGG_HEMATOPOIETIC_CELL_LINEAGE	263.27964044442234	4.032780357715924e-8	2.0836031848198942e-7	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	230.58627778226082	6.269899959327544e-8	3.1518956552295223e-7	up
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	594.8830588341126	7.347860590520541e-8	3.596584394307423e-7	up
KEGG_BLADDER_CANCER	160.54829922304904	8.285587318340573e-8	3.951587797977812e-7	up
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	377.2731488037095	1.9046887707783729e-7	8.856802784119434e-7	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	173.11067678931784	2.0149970001078754e-7	9.14120590292841e-7	up
KEGG_N_GLYCAN_BIOSYNTHESIS	299.1895797511222	2.1940765516596535e-7	9.592050634538823e-7	up
KEGG_CITRATE_CYCLE_TCA_CYCLE	335.208547013117	2.2175170821783304e-7	9.592050634538823e-7	up
KEGG_NON_HOMOLOGOUS_END_JOINING	213.3027622198307	2.2740306748770928e-7	9.612947852889528e-7	up
KEGG_RIBOSOME	522.7307543850161	3.1871938057434277e-7	1.3173734397072835e-6	up
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	559.4981351932648	3.7486427897396715e-7	1.5157555628077803e-6	up
KEGG_PHENYLALANINE_METABOLISM	195.34649067742478	4.096096824692612e-7	1.6210085306230339e-6	up
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	234.53306262128896	5.073910865520748e-7	1.9661404603892895e-6	up
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	277.447424148645	7.189086743943711e-7	2.728918641578633e-6	up
KEGG_VIRAL_MYOCARDITIS	-111.28489224930873	9.548986881571797e-7	3.5522231199447087e-6	down
KEGG_PROSTATE_CANCER	212.1228830463396	1.6526666510258287e-6	6.027372491976551e-6	up
KEGG_FATTY_ACID_METABOLISM	213.74499062183256	2.0013710267511634e-6	7.158750211071469e-6	up
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	627.4103905890521	2.9160586993351728e-6	1.0233715435402681e-5	up
KEGG_ETHER_LIPID_METABOLISM	204.6528579737864	3.2761022324347887e-6	1.128435213394205e-5	up
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	163.23305146473453	3.819001964422559e-6	1.2915170279683561e-5	up
KEGG_LONG_TERM_DEPRESSION	124.44527015150915	4.311100128324921e-6	1.4319011140507773e-5	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	210.6219950864404	6.24909834324746e-6	2.0194100614508668e-5	up
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	320.6920895064526	6.297085137857542e-6	2.0194100614508668e-5	up
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	285.1650679439712	6.591699006063947e-6	2.078061042589651e-5	up
KEGG_BASAL_CELL_CARCINOMA	405.8949351136488	1.3182434289019653e-5	4.0865546295960924e-5	up
KEGG_FOCAL_ADHESION	172.00335919698549	1.3554590829143652e-5	4.133039170853638e-5	up
KEGG_REGULATION_OF_AUTOPHAGY	178.82159702619816	1.868632302706099e-5	5.6058969081182966e-5	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	200.391133707764	1.92823946445656e-5	5.692897466490796e-5	up
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	175.8681858999526	3.883581421736117e-5	1.1286658506920589e-4	up
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-110.76456834305573	4.807678364957741e-5	1.375735655203292e-4	down
KEGG_ACUTE_MYELOID_LEUKEMIA	183.8098855162509	7.226070116625967e-5	2.0364379419582273e-4	up
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	84.70414192829011	1.0039714294710342e-4	2.7871445653971993e-4	up
KEGG_GNRH_SIGNALING_PATHWAY	126.55936953186998	1.1981675387384415e-4	3.2773406206669135e-4	up
KEGG_O_GLYCAN_BIOSYNTHESIS	99.19062000754262	1.5146953695943324e-4	4.083091865862983e-4	up
KEGG_THYROID_CANCER	178.29382616037284	1.5579763087588934e-4	4.139765620416488e-4	up
KEGG_PRIMARY_IMMUNODEFICIENCY	224.15511743537655	1.8483389920402832e-4	4.8421275002745446e-4	up
KEGG_ADHERENS_JUNCTION	82.80540915034254	2.3052393614468627e-4	5.955201683737729e-4	up
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	-179.5284540356483	3.580594317943752e-4	9.123158125171751e-4	down
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-101.75809859721771	5.070848705217221e-4	0.0012745646745545988	down
KEGG_PROTEASOME	120.24890108001361	5.728305876887916e-4	0.0014206198574682031	up
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	214.6254879920376	5.886687302193881e-4	0.0014406892608000812	up
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	188.04680527229678	6.423952870193313e-4	0.0015517600439687745	up
KEGG_DORSO_VENTRAL_AXIS_FORMATION	154.7476855280788	7.734107804143022e-4	0.0018442872456033359	up
KEGG_SMALL_CELL_LUNG_CANCER	206.40754718766786	8.269288386314171e-4	0.001946946379562577	up
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	138.2518013975925	0.0010128094108496988	0.00235478188022555	up
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	162.94467008706616	0.0010803092583841203	0.002480710148882054	up
KEGG_LEISHMANIA_INFECTION	82.93094062802962	0.0012020580525515545	0.0027266194850559646	up
KEGG_ARGININE_AND_PROLINE_METABOLISM	139.73307143422352	0.001283182799392071	0.0028755662733364485	up
KEGG_AXON_GUIDANCE	146.23241003654326	0.0015759590340887091	0.003489623575482142	up
KEGG_OTHER_GLYCAN_DEGRADATION	101.40734303459082	0.0021760753652897706	0.004761764916987028	up
KEGG_NON_SMALL_CELL_LUNG_CANCER	95.49980383301671	0.002534359084461196	0.005481288252439331	up
KEGG_ALLOGRAFT_REJECTION	111.61883236155242	0.0035725808653446775	0.007637931505219655	up
KEGG_LINOLEIC_ACID_METABOLISM	151.67083946748426	0.004015993203631183	0.008488349271311365	up
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	103.21562721785742	0.004101888764123205	0.008572486630639508	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-61.826237113355056	0.004206771857817223	0.008693995172822263	down
KEGG_LONG_TERM_POTENTIATION	97.19722291243767	0.004591736023991973	0.009385306598489088	up
KEGG_ONE_CARBON_POOL_BY_FOLATE	-111.05409165553112	0.004819710626835455	0.009744197571645593	down
