pathway	logFC	P.Value	adj.P.Val	direction
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.10768039674754684	8.454616274836235e-21	1.5725586271195396e-18	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.0594810841899068	1.537095810958384e-19	1.429499104191297e-17	up
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.059451545126742875	3.2819658376325907e-19	2.0348188193322063e-17	up
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.07346363837657063	7.312912550099527e-18	3.40050433579628e-16	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.057596728323443945	2.1986231904700698e-17	8.178878268548661e-16	up
KEGG_CALCIUM_SIGNALING_PATHWAY	0.05834084445470449	8.74911434441822e-17	2.054529259450346e-15	up
KEGG_GNRH_SIGNALING_PATHWAY	0.044247694698807724	8.817884253912767e-17	2.054529259450346e-15	up
KEGG_SULFUR_METABOLISM	0.06105263552001884	8.83668498688321e-17	2.054529259450346e-15	up
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.044612774975036115	6.783457546129001e-16	1.401914559533327e-14	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.04727050574524873	7.956642707862613e-15	1.479935543662446e-13	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.028951851461336373	3.176752201765518e-14	5.371599177530785e-13	down
KEGG_SMALL_CELL_LUNG_CANCER	0.0557361351401875	7.514472300407649e-14	1.1647432065631856e-12	up
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.04629835459611496	2.0664868145967083e-13	2.9566657501152905e-12	up
KEGG_THYROID_CANCER	0.048914482203942664	3.1194905071624305e-13	4.144465959515801e-12	up
KEGG_SELENOAMINO_ACID_METABOLISM	0.05045170623203201	4.441107465524869e-13	5.24504620855552e-12	up
KEGG_ECM_RECEPTOR_INTERACTION	0.03952136904164537	4.511867706284318e-13	5.24504620855552e-12	up
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.0399682164804235	2.5662373101325197e-12	2.8077655275567568e-11	up
KEGG_TYROSINE_METABOLISM	0.07052603792522281	2.9240192958132365e-12	3.021486605673678e-11	up
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	-0.03618711837114097	3.3376944846544016e-12	3.267427232345888e-11	down
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.042270689836574615	1.6675280024211224e-11	1.550801042251644e-10	up
KEGG_P53_SIGNALING_PATHWAY	0.046942557714263027	1.9885137420870923e-11	1.7612550287057104e-10	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.03652586074135369	5.220681460991955e-11	4.413848871565926e-10	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.027635521418722265	1.0381059786925805e-10	8.395117914644347e-10	up
KEGG_PRION_DISEASES	0.03985802801202525	1.1351723212012952e-10	8.797585489310038e-10	up
KEGG_VIRAL_MYOCARDITIS	-0.025866531504767656	1.9231129850420682e-10	1.4307960608712988e-9	down
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.029505673961867606	3.6671612940340315e-10	2.6234307718858843e-9	down
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.029744263585290764	4.807417397221368e-10	3.306232317120621e-9	down
KEGG_RNA_POLYMERASE	0.07885303877513601	4.977123918246096e-10	3.306232317120621e-9	up
KEGG_ALZHEIMERS_DISEASE	0.040507745693548876	6.213155183017813e-10	3.857669748366575e-9	up
KEGG_PHENYLALANINE_METABOLISM	0.034665946240462805	6.222047981236411e-10	3.857669748366575e-9	up
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.03331184220899912	6.727475200662286e-10	4.036485120397372e-9	up
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.04277859552329558	1.0293454421820598e-9	5.845847003318682e-9	up
KEGG_BLADDER_CANCER	0.03154391548887105	1.0371664038146047e-9	5.845847003318682e-9	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.034589848489415466	1.0931468028591489e-9	5.980156039170638e-9	up
KEGG_GALACTOSE_METABOLISM	0.047928507074507486	1.2005214028568373e-9	6.379913740896335e-9	up
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	-0.031058564071318344	1.2486210225531763e-9	6.451208616524745e-9	down
KEGG_O_GLYCAN_BIOSYNTHESIS	-0.03157724341755474	1.9410882549825198e-9	9.757903119641856e-9	down
KEGG_SPLICEOSOME	0.05959508468296647	2.103518001805485e-9	1.0296167061468953e-8	up
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	-0.03191891531590268	2.6705578867996012e-9	1.273650684473656e-8	down
KEGG_PATHWAYS_IN_CANCER	-0.04539414759459993	2.8475762409251035e-9	1.3241229520301732e-8	down
KEGG_REGULATION_OF_AUTOPHAGY	0.04160817614164242	4.8617477684232724e-9	2.20557337787007e-8	up
KEGG_NITROGEN_METABOLISM	0.060335792226514785	6.5152595744520635e-9	2.8853292401144855e-8	up
KEGG_ARACHIDONIC_ACID_METABOLISM	0.0347950571401687	7.115138526165322e-9	3.077711083411046e-8	up
KEGG_ERBB_SIGNALING_PATHWAY	-0.025786704158104645	1.2684403113674924e-8	5.312880657825055e-8	down
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.046416325690782405	1.28537435269961e-8	5.312880657825055e-8	up
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.09263828436563641	1.4309239117386352e-8	5.785909730073612e-8	up
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.031729293163176825	4.593989828719196e-8	1.8180470385995117e-7	up
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.03299055972501082	4.9166127733581575e-8	1.905187449676286e-7	up
KEGG_PEROXISOME	-0.02406487747480488	6.300289218619653e-8	2.3915383564556236e-7	down
KEGG_RIBOFLAVIN_METABOLISM	-0.03144618936865834	7.415160632939886e-8	2.758439755453638e-7	down
KEGG_RIBOSOME	0.08132246859158052	8.549908741181339e-8	3.089190602159864e-7	up
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	-0.04481758093584823	8.636446844748006e-8	3.089190602159864e-7	down
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.03952723596088193	9.864717040237129e-8	3.461957300913408e-7	up
KEGG_HUNTINGTONS_DISEASE	0.07196337269290855	1.0562962063350082e-7	3.638353599598362e-7	up
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.018870432061339495	1.0963299517625117e-7	3.7075885641423124e-7	down
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.10506424840957745	1.1523980607017123e-7	3.827607844473545e-7	up
