pathway	logFC	P.Value	adj.P.Val	direction
KEGG_MELANOGENESIS	0.5282719952040439	1.1615918003986787e-180	2.1605607487415423e-178	up
KEGG_ASTHMA	0.28894271246240727	2.7327098698872254e-107	2.5414201789951196e-105	up
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.27943730912107273	1.4908878819143126e-101	9.243504867868738e-100	up
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.2976171219192146	5.354184276396689e-101	2.4896956885244604e-99	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.25856479928237847	5.554912254102284e-96	2.06642735852605e-94	up
KEGG_ECM_RECEPTOR_INTERACTION	0.3551895137812937	5.498132391593594e-93	1.7044210413940143e-91	up
KEGG_OOCYTE_MEIOSIS	0.24425108007972746	5.9951729231539706e-92	1.5930030910094838e-90	up
KEGG_ABC_TRANSPORTERS	0.2026792894266002	1.7051545615205462e-91	3.96448435553527e-90	up
KEGG_PARKINSONS_DISEASE	0.37202403146101176	1.865697431132614e-89	3.855774691007402e-88	up
KEGG_ETHER_LIPID_METABOLISM	0.27560656135487166	2.1872354250591195e-89	4.068257890609963e-88	up
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.2787239668205127	3.150066897926258e-89	5.32647675467531e-88	up
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.3436914581316285	4.5545244541484786e-88	7.059512903930142e-87	up
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.2966124199626022	3.1242866395794785e-85	4.470133192013716e-84	up
KEGG_PYRIMIDINE_METABOLISM	0.2318218970794559	6.593859754859992e-85	8.760413674313989e-84	up
KEGG_BASE_EXCISION_REPAIR	0.267783163852448	2.5163819696665025e-83	3.120313642386463e-82	up
KEGG_ALLOGRAFT_REJECTION	0.2560864251440682	4.089076639123134e-83	4.753551592980643e-82	up
KEGG_GNRH_SIGNALING_PATHWAY	-0.28260564398744437	4.673417114006809e-83	5.1132681365015676e-82	down
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.29889768279409545	3.628946860710979e-82	3.749911756068012e-81	up
KEGG_DILATED_CARDIOMYOPATHY	0.26419960211146776	1.1369415803584041e-80	1.1130059681403323e-79	up
KEGG_O_GLYCAN_BIOSYNTHESIS	0.2810161928980454	8.110295338817503e-80	7.542574665100279e-79	up
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.2646737554208444	1.833678123043297e-79	1.6241149089812061e-78	up
KEGG_PEROXISOME	0.23806318663580606	3.201913588253299e-79	2.707072397341426e-78	up
KEGG_WNT_SIGNALING_PATHWAY	-0.42960459741777407	5.546787166009704e-76	4.485662664686109e-75	down
KEGG_RETINOL_METABOLISM	0.2379569657708923	1.896252162804481e-75	1.469595426173473e-74	up
KEGG_NOTCH_SIGNALING_PATHWAY	0.2051032455836767	4.556009615085332e-75	3.37668423833511e-74	up
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.22979878710788437	4.7200962471351e-75	3.37668423833511e-74	up
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.23424719767463947	7.68619340383222e-75	5.294933233751086e-74	up
KEGG_PRION_DISEASES	-0.29854859083510243	1.0869113531064972e-74	7.220196845636017e-74	down
KEGG_VEGF_SIGNALING_PATHWAY	0.2373773781164633	1.7840033655614854e-74	1.144222848256677e-73	up
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.24803459462656	1.882726986566093e-74	1.1672907316709778e-73	up
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.37211987017837567	6.263641689866631e-74	3.7581850139199786e-73	up
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.20648462621191724	4.238134927856629e-73	2.4634159268166656e-72	up
KEGG_GLIOMA	0.16728776820036223	8.272313061062386e-72	4.6625764525988e-71	up
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.3409563102664908	1.3422061376483926e-70	7.342657105958853e-70	up
KEGG_VIRAL_MYOCARDITIS	0.18134724728970197	3.318933859375615e-70	1.7637762795538983e-69	up
KEGG_PROTEASOME	-0.2944209876633426	1.1672993103070364e-69	6.031046436586355e-69	down
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.20332489852902966	6.368472992822112e-67	3.201448585580846e-66	up
KEGG_TYPE_II_DIABETES_MELLITUS	0.27211305219529547	6.936886793316366e-67	3.395423535675905e-66	up
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.1996238654725652	2.124670725593678e-66	1.0133044998985234e-65	up
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.13011379621794336	2.703954115868525e-66	1.2573386638788642e-65	up
KEGG_OTHER_GLYCAN_DEGRADATION	0.2057406095630625	4.3169435349372497e-66	1.9584182865812886e-65	up
KEGG_LONG_TERM_DEPRESSION	0.16515997863057477	5.373287528139212e-66	2.379598762461651e-65	up
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.28610600066999503	5.254451472642011e-65	2.272855753282358e-64	up
KEGG_TYPE_I_DIABETES_MELLITUS	0.2589879385654006	1.3907816208979552e-64	5.879213215614084e-64	up
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.16484798470472115	6.301882458374333e-64	2.6047780827947244e-63	up
KEGG_ADHERENS_JUNCTION	0.14453213142376511	2.2929363108074388e-63	9.27143812630834e-63	up
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.21701152575060725	4.0182638904535997e-63	1.590206560902914e-62	up
KEGG_ENDOMETRIAL_CANCER	0.219513573583645	3.7309517827390213e-62	1.4457438158113708e-61	up
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.17042843571512256	1.2462605016714245e-60	4.730703128793571e-60	up
KEGG_TIGHT_JUNCTION	-0.16555392730549473	3.5407181238545177e-60	1.3171471420738806e-59	down
KEGG_MTOR_SIGNALING_PATHWAY	0.3014406216632964	1.4038574453486732e-59	5.119950683036338e-59	up
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.19202668513993443	4.2298393425477096e-59	1.5129809956036038e-58	up
KEGG_BETA_ALANINE_METABOLISM	0.17806273455090701	8.124260704394798e-59	2.851155643429118e-58	up
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.1896226877217275	1.4966894180120752e-58	5.155263550930482e-58	up
KEGG_OXIDATIVE_PHOSPHORYLATION	-0.17842413839428498	1.1307622443002286e-56	3.824032317088046e-56	down
KEGG_STEROID_HORMONE_BIOSYNTHESIS	-0.2030711378059475	1.2529348759663655e-56	4.1615336951740005e-56	down
