pathway	P.Value	adj.P.Val
KEGG_MELANOGENESIS	1.2766792280482942e-180	2.3746233641698272e-178
KEGG_ASTHMA	7.531833001509205e-107	7.00460469140356e-105
KEGG_CHRONIC_MYELOID_LEUKEMIA	3.935418702551367e-102	2.4399595955818474e-100
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	3.695977607979757e-101	1.7186295877105868e-99
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.3601461394858411e-97	5.059743638887329e-96
KEGG_OOCYTE_MEIOSIS	6.569538369964791e-94	2.0365568946890852e-92
KEGG_ABC_TRANSPORTERS	1.3267441152445152e-93	3.525348649078283e-92
KEGG_ECM_RECEPTOR_INTERACTION	1.0541575043971703e-92	2.450916197723421e-91
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1.0037551385524393e-90	2.074427286341708e-89
KEGG_ETHER_LIPID_METABOLISM	6.725445792996302e-89	1.2509329174973122e-87
KEGG_PARKINSONS_DISEASE	1.2452936273899641e-88	2.1056783154048487e-87
KEGG_TGF_BETA_SIGNALING_PATHWAY	3.404154372396967e-88	5.276439277215299e-87
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1.9694814986018518e-86	2.8178735287688035e-85
KEGG_GNRH_SIGNALING_PATHWAY	1.375725859447488e-85	1.8277500704088055e-84
KEGG_PYRIMIDINE_METABOLISM	3.011417293570299e-84	3.734157444027171e-83
KEGG_ALLOGRAFT_REJECTION	1.3629419447018284e-83	1.5844200107158754e-82
KEGG_DILATED_CARDIOMYOPATHY	1.4723123926859558e-83	1.6108829708211047e-82
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	3.667713299226595e-83	3.7899704092008156e-82
KEGG_BASE_EXCISION_REPAIR	4.229413502328217e-83	4.1403732180686755e-82
KEGG_O_GLYCAN_BIOSYNTHESIS	1.5039421031057684e-82	1.3986661558883646e-81
KEGG_PEROXISOME	6.784724121454464e-81	6.009327079002526e-80
KEGG_CELL_ADHESION_MOLECULES_CAMS	1.3144398734291476e-79	1.1112991657173703e-78
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.0116406850538683e-77	8.181094235653022e-77
KEGG_PRION_DISEASES	1.3766381214318622e-77	1.0668945441096932e-76
KEGG_WNT_SIGNALING_PATHWAY	2.7373517031634085e-77	2.036589667153576e-76
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	4.78059397941718e-77	3.419963385275367e-76
KEGG_VEGF_SIGNALING_PATHWAY	2.606299391478711e-76	1.7954506919075565e-75
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	6.609364728943994e-76	4.390506569941368e-75
KEGG_NOTCH_SIGNALING_PATHWAY	1.2707780289693595e-75	8.150507358217271e-75
KEGG_RETINOL_METABOLISM	3.3331694478140734e-74	2.0665650576447255e-73
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	4.173280928794003e-73	2.503968557276402e-72
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	6.730099068146644e-73	3.9118700833602366e-72
KEGG_VIRAL_MYOCARDITIS	2.0035706209347884e-71	1.1292852590723353e-70
KEGG_GLIOMA	1.1863167920780889e-70	6.489850686074251e-70
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	2.5328945861755418e-70	1.3460525515104307e-69
KEGG_PROTEASOME	3.7408631902442686e-70	1.932779314959539e-69
KEGG_OTHER_GLYCAN_DEGRADATION	1.1279376843812705e-69	5.670173224186927e-69
KEGG_LONG_TERM_DEPRESSION	1.5947297559396379e-68	7.80578248959928e-68
KEGG_ADHERENS_JUNCTION	2.437124043555643e-68	1.1623206976957682e-67
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1.493492089176086e-67	6.9447382146688e-67
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1.2485749512646823e-66	5.664266852078802e-66
KEGG_TYPE_II_DIABETES_MELLITUS	1.8218030000110109e-66	8.067984714334477e-66
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	5.461352887725115e-65	2.3623526444578404e-64
KEGG_TIGHT_JUNCTION	6.936743870598612e-64	2.932350818025777e-63
KEGG_TYPE_I_DIABETES_MELLITUS	7.490704258309575e-64	3.0961577601012913e-63
KEGG_CITRATE_CYCLE_TCA_CYCLE	2.3940392392098754e-63	9.680245619413845e-63
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	2.996063887684556e-63	1.1856763470411223e-62
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	4.3493945599129465e-63	1.6853903919662667e-62
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	3.411340096182224e-62	1.2949168528365177e-61
KEGG_ENDOMETRIAL_CANCER	4.281253190043608e-62	1.592626186696222e-61
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1.0625474532530365e-61	3.875173064805192e-61
KEGG_MTOR_SIGNALING_PATHWAY	2.719784858014694e-61	9.728461222898714e-61
KEGG_STEROID_HORMONE_BIOSYNTHESIS	1.114660093254214e-60	3.911825987646864e-60
