pathway_description	BS_30VC3R2Q	BS_BMMY0H73	BS_D7XRFE0R	BS_0VXZCRJS	BS_6WP1FHTE	BS_4QW2S1Q8	BS_51RA1PGE	BS_49CJNZ06	BS_4B0BAVTX	BS_VF5XWFXD	BS_X4DD4KSZ	BS_T3DGY9J9	BS_TM9MH0RP	BS_4C6B11E4	BS_2HNXVFAS	BS_TR2P8KRF	BS_PJC6FH4Y	BS_VKYEM67A	BS_XZM79E42	BS_RXN5T5YT	BS_RX1YTZ7F	BS_NR3P3GN2	BS_MWWZBQ60	BS_C41DJZ1F	BS_FN07P04C	BS_FYRDYBMZ	BS_2EN3X6HB	BS_84XCR9GG	BS_4PWDGEB0	BS_SNVM7CZT	BS_SD8YBRBR	BS_Z8F3GM85	BS_KBEX4RT2	BS_HWGWYCY7	BS_R5SNFB5B	BS_PXCPK5XS	BS_PS0P3QJ3	BS_BYCX6VK1	BS_9XVACXP0	BS_GG9W3J9Y	BS_29X4ZX6Q	BS_399RPKC9	BS_0C7VZC0A	BS_7327SDAQ	BS_52C576HH	BS_W9N9844Q	BS_X0XXN9BK	BS_9TXEDSWB	BS_YA0KMBRT	BS_ECNBQ2RA	BS_H9JYKFTV	BS_Z8YZ6QGS	BS_KP735TJ6	BS_K17VQECG
KEGG_ABC_TRANSPORTERS	-0.017192986232040047	-0.02959353556702479	0.0053998437221946735	-0.03144157229484436	-0.055257876908595356	-0.03727055750823256	0.014299767452231965	-0.07053217376606381	0.0012034164232513557	-0.009829468265603953	-0.04419162410027725	-0.02189898406033026	-0.03327013865006506	0.03584015265674419	0.038147471998068186	-0.008860384888365502	0.0060734365737277534	0.050627683171292036	-0.010354854796868155	-0.01176785609534845	-0.02171377479617774	-0.04153374757292534	-0.05015721093592713	3.894935614373234e-4	0.0038674472121913005	-0.010424285057874244	-0.0074567282788009	-0.0700829573447704	-0.019884633081133824	-0.019029645562690246	4.617742827866587e-4	-0.0027316286722494933	-0.026433523637605743	-3.389804183432249e-4	-0.07122003454688755	-0.03647446799319596	0.014660807372614668	-0.008806863127840795	-0.011361163092781616	-0.03369104126578565	0.03074578459126071	-0.007624585361031832	-0.004186821330823559	-0.014332514209285873	0.016518800183384558	-0.04384086331942778	0.008028241538282941	0.012674309654422719	0.006128885740392645	0.008322699160971196	0.016212292758804123	-0.015055499767028073	0.011948857179875967	-0.005916329567934668
KEGG_ACUTE_MYELOID_LEUKEMIA	0.25357249042945706	0.2103832872423194	0.25273673813917	0.21524516129233673	0.2564739936272829	0.24122979797863933	0.22373277767370187	0.21772059123067045	0.2370236873326471	0.2548961966465489	0.24190008187527773	0.22879933237618522	0.24605744950368438	0.2785957042043046	0.2391943099662258	0.22299500950677795	0.2779343009561523	0.28987451028641675	0.22617796800467832	0.2558633695985378	0.2254223617221614	0.25982540750903194	0.2444776556157803	0.24231428717735023	0.22456021239447352	0.23652519946785558	0.20496058547085402	0.24023155892151074	0.19711271781378478	0.20616732589469286	0.22102058974707492	0.26902190532215864	0.23173799659962638	0.21139721432355624	0.23547038451232913	0.2168268236932866	0.1848267863440279	0.2206097890759065	0.2340931302432003	0.22394307814470682	0.21736503461989143	0.26445923189086185	0.2566331276368309	0.23111773842235142	0.22216202693297823	0.24351120800062526	0.19962135434753467	0.2665521216984105	0.23636804759627186	0.23192548330945995	0.22625871544608409	0.24677370315026004	0.2433618410595918	0.24946639713666532
KEGG_ADHERENS_JUNCTION	0.2991473052357454	0.2548242849323486	0.3052003234039045	0.24959256900266102	0.2995750377350384	0.2883818352150978	0.2854986438140645	0.24205559272382632	0.3066564484864611	0.29558024336910116	0.2544263583732387	0.25726131017087894	0.29397315319355305	0.29106663082481005	0.3066340905422359	0.29599624454141715	0.29845415737265246	0.30300423847194546	0.23342489835122746	0.3020182701937994	0.25046933131894605	0.3108665976356175	0.3017629376349646	0.2815762867927085	0.2754791774564038	0.27096076311540346	0.2661856394283326	0.2685481002749499	0.2396387042384449	0.24599808515771027	0.27710104319496287	0.2926787570729198	0.2753825293188783	0.23289970760017584	0.2801978779337557	0.23851821450796237	0.22227548524833762	0.2700710234800026	0.2607350910288432	0.2676291632853954	0.2807728556608928	0.3087093226480762	0.2837127959837901	0.2993503657748342	0.2715759382041298	0.28251197675791256	0.2105631146856359	0.27417389075582926	0.27827240664477193	0.2793919501568166	0.2957023707717497	0.2751336674318277	0.28791356782225325	0.2989983691111911
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.14055760624649508	0.11461351046235317	0.12452021810593064	0.10788694309466747	0.12381691581610077	0.1208953350275083	0.13116301969890043	0.14047912321427233	0.16742155403490505	0.13506383362728594	0.1418905087530367	0.12687647483623127	0.14007362321688271	0.1600274283138269	0.12671794321720117	0.11355140924058241	0.16151419612641565	0.17254457637675422	0.1277263227657297	0.1377682608120663	0.11175174500612788	0.11516250383994285	0.13226656313933824	0.12659831726189605	0.13569626386566844	0.1481971178367114	0.11844665181498475	0.12503268707529866	0.12039235340303124	0.11396612420156041	0.1307143662570137	0.13992887133679716	0.12170914728139103	0.1335068626986991	0.12448578659837777	0.11273147680991026	0.10216109151182667	0.1216091528430844	0.1290347726139341	0.13569916232662477	0.12414180683869533	0.15289075386699805	0.16013216029429117	0.11525031276609891	0.10782635990847822	0.13174756048018843	0.11858020678766149	0.16846597564642152	0.1355597832742195	0.15613231858498847	0.13792888245334337	0.12476347942829372	0.1575556755957119	0.11370504943837889
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.07456069192193611	0.13882502931387425	0.10696659309920449	0.08774501537844177	0.11510699107831436	0.0855951502289395	0.11361610074470437	0.10305788376024208	0.09352675088806843	0.13117754025407172	0.08628119125832863	0.1339938614146538	0.13045630558926347	0.06295356078696822	0.08577283016429646	0.1092417413586985	0.07474859017050978	0.08233557773692235	0.11093467559505614	0.1309243646245455	0.12210736480109652	0.08390327214544487	0.1097111466084354	0.09844375334419925	0.0789672812318907	0.10547985887441375	0.12094465499531454	0.09113191131990417	0.11379535049549484	0.1410082759286193	0.11296395939530686	0.09156147748944107	0.09656591881685646	0.11521953215822729	0.11939100827049165	0.08076423379136492	0.0901181383983094	0.11211910127482408	0.07044579759983775	0.13427413241384564	0.10673366044219623	0.12644647636345466	0.10382635676099236	0.0950344050247573	0.06333877980518879	0.10970662589872755	0.10584903484233216	0.11638722192708621	0.09371848871390946	0.10212840597757833	0.09926251269095758	0.09275089178844272	0.11600966866129725	0.08932093591624825
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.1251608915016668	0.0752666586488725	0.08980049606552855	0.06403609851385436	0.12369286110499988	0.11783352828924004	0.1121458439937133	0.0796293409719241	0.12528054279146372	0.10852324225648624	0.08102056095557675	0.09257481237626795	0.11108093816082232	0.12544314725876743	0.10078927071699748	0.1192259022341478	0.11843819856630491	0.14414516537404123	0.06619709965568653	0.11890844799007962	0.10280434722965552	0.14079385811426406	0.13523099511059983	0.11536495122369508	0.11148576252774554	0.11296092381470489	0.07784796379033337	0.10788518119543357	0.07707612714828281	0.08018547507889744	0.04905369423716198	0.11152204048561122	0.09935462650168925	0.07418542247641076	0.04111259236621929	0.06929583017922314	0.0590842339160692	0.06406295344969522	0.0951287057502724	0.12318174828363805	0.05591177483434381	0.11499955907079965	0.11142495226381494	0.1126797176475729	0.09373289008386954	0.10557868491194164	0.030842125554788675	0.16422395885474586	0.1002597364198528	0.11882503925665291	0.10175071986509251	0.12643845528559866	0.11456891787526557	0.11191712023772961
KEGG_ALLOGRAFT_REJECTION	0.032914964959773654	0.09073609135739952	0.12278690038198906	0.08895148973234984	0.14433894703615366	0.09913607115142241	0.11269063864412227	-0.011028460199478621	0.09349834806848638	0.07879347301354885	0.1591067026804017	0.12284700650243309	0.09855428738900728	0.07569816224204194	0.06938954078061149	0.07393480091863244	0.1668264350324572	0.15032733692850292	0.17750687244859364	0.12001196273328348	0.11218662323534163	0.1060791690429175	0.12468914563836436	0.07608531620813323	-0.06161975845128669	0.05082921523191281	0.1259593959275539	0.03673704633929129	0.05114809316638131	0.12819504446107582	-0.0871981814989377	0.12252862723073495	0.03450703349576833	0.16117558854608935	-0.08562183918596238	0.05409838554111849	0.03963988738830314	0.15080103065366746	-0.03909928176568674	0.01707272162084394	-0.012716452180044004	0.022906012358545773	0.07699238209194531	0.07310777049809893	0.06645601992044878	0.10678184153466433	0.1373471522473248	0.03420991225388725	-0.010636723521763546	0.16160280246764636	0.012213864872809595	0.12079124531667271	-0.06311165620067595	0.14129032807087916
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.06989706485341776	-0.050681766642920914	-0.026436519816651228	-0.04332698338529729	-0.07127251464318124	-0.13812892464970647	-0.02473229717027293	-0.1257744825841737	-0.04239827356201009	-0.03997453628792481	-0.10682835931963745	-0.0013895711677894779	-0.07087204226505842	-0.08968864690627931	-0.10409920824738185	-0.10921984972525878	-0.10384326697677444	-0.11075977310134455	0.0031151725472136154	-0.07445941112062196	-0.11380445236300499	-0.13413166440259278	-0.106451113298875	-0.10141337956746199	-0.08769418369978495	-0.05421872916050494	-0.057818247669696496	-0.17648607711438785	-0.08206858276277211	-0.09007282106915289	-0.0637759980648775	-0.05246110644075427	-0.07592854112356522	-0.10482068787053847	-0.12555067332749684	-0.11917970762806718	0.00641316670204065	-0.0713331235812698	-0.07943614937626758	-0.08236407379432875	-0.09370363756350418	-0.10428785059518371	-0.05262493424200231	-0.09157870253370054	-0.07271061282953381	-0.10494001464008437	-0.0716652168901821	-0.06237639614435442	-0.05955650222397139	-0.0076082636235759405	-0.0891056591585379	-0.10621486892778535	-0.07909423958965599	-0.15626463590079706
KEGG_ALZHEIMERS_DISEASE	0.3189378676454959	0.3218811926410373	0.2864053976205459	0.32255105640237297	0.3045173120451231	0.3089577177785307	0.32132641692960695	0.3215340270954706	0.3058055552641236	0.3177723764503011	0.30697131647294407	0.32069182704554444	0.3099179101524121	0.2910939550545513	0.2879548441768484	0.2910000228917986	0.3058664507560271	0.29638016330632366	0.3251760867206219	0.2920240808225661	0.313723273961974	0.31116934745952024	0.3139506747288445	0.28905605996535066	0.26329173628841074	0.31500942933731635	0.31746149334997364	0.3014543575298354	0.32313466772723093	0.3159855154711184	0.2391579426094016	0.29091846648170677	0.30934520996905523	0.32785715706980273	0.29104465868428087	0.3158313332709728	0.30523854429427066	0.31094078192868146	0.3023406348235854	0.3038928758015741	0.2829433494641801	0.31128219019092523	0.30085699707923647	0.30543394651311073	0.2906333101363349	0.3122689641717243	0.30430674137836466	0.30933990234272996	0.29695942106280404	0.30663296251951866	0.30579049754354065	0.30599517203090787	0.30070533398874344	0.2916889661545998
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.17106660984529876	0.22019874668345304	0.18299621932742607	0.1955691967049321	0.17932071780483994	0.20221282790961356	0.217270573050752	0.2698317429539447	0.15248380003590423	0.19760161868758958	0.23059941108865098	0.17690194357794023	0.18540313126516322	0.23929206176970277	0.1280409684869794	0.16835194739880172	0.2105733905835014	0.24146119583787237	0.24299338657599223	0.22828931840106043	0.19190761885125832	0.17266281018061866	0.18199775761789405	0.17576691049971735	0.1866282758886668	0.2148334925161337	0.19132136625407414	0.22015272192608376	0.21793126378259148	0.18306032741059852	0.19561206982131174	0.17372186469149764	0.1990294959808334	0.28001324871046535	0.2096192645414762	0.2175986035934542	0.2149654461413468	0.22172869256576827	0.1887602474229163	0.1590832566413035	0.20341317307543072	0.1896567752788779	0.1465853811215929	0.16826362993032806	0.1621433460466907	0.20313108882519243	0.2533340228625122	0.1831579593252633	0.18910156459615457	0.19678143193315023	0.21513604433311606	0.19168845343389695	0.19862327650984768	0.1499066087285753
