pathway_description	BS_B1C6GZ84	BS_W4DB5RP1	BS_EZ3147MX	BS_GW0GKWMS	BS_2A5R9MEJ	BS_5965SFPZ	BS_9FX3YREK	BS_XG0DBWVT	BS_MDBT7S5Z	BS_MB7WN0ZB	BS_3MS8WVNR	BS_52MPKTJH	BS_PQVTB6BB	BS_TXZ7KHTQ	BS_TGS109T3	BS_YEW22W35	BS_JVW2JJ39	BS_052PZFMK	BS_5P1TN10Z	BS_B4R7X1KE	BS_T9A8JJW5	BS_RJC3WDD6	BS_WBVSK3MP	BS_FKASA3MN	BS_JJVH7WR0	BS_AWH9757B	BS_FEV5A0HN	BS_FX2P2WEG	BS_DS438CXE	BS_45J79YTF	BS_X4X1SFSE	BS_V3Z3DB4N	BS_TVH33J9Q	BS_SY3J3XR9	BS_WQ1YRTAT	BS_MG78HQDM	BS_G5NHSFD4	BS_F9Y4Z92G	BS_D6J2BGDJ	BS_MD0937XT	BS_M0XGZ53Z	BS_JTWNJ8T7	BS_JQXHHK0K	BS_M0QYNVK8	BS_8PNA0V6R
KEGG_ABC_TRANSPORTERS	-129.12811342717214	450.0581415746419	487.1281958283653	338.2972722598479	372.4753416864223	637.630081402016	574.8423686709921	768.6019612991586	142.37349864879616	125.1743657663028	783.0030714942914	983.7224517578434	142.7544302852366	994.720258902842	256.2917861170754	774.2197766284335	-272.3521306739076	740.7809170412129	436.9813473675731	423.3373354843916	991.0420611424379	1331.7513373288457	913.0149327127892	701.3085565443998	1134.3999821663929	-313.31109691230995	-485.5399846157834	869.5688505035159	883.6068663220485	-293.61606843588197	815.7196566456114	236.40346647836122	-22.352311282757	1144.008361236718	684.8938745078285	-402.42404771879956	257.6352923451741	227.68932252047853	1303.9129488375202	846.0022270131831	485.17934478289317	818.6575010006363	909.151836924113	-236.50397506301488	783.0028009147809
KEGG_ACUTE_MYELOID_LEUKEMIA	4361.666525611054	4619.304888455044	4369.816845383233	4272.040702373248	4235.363309083439	4222.38863277754	4100.612455987461	4469.628209920596	3981.764789124336	3962.0319358675897	4019.8670133398446	4143.129603392501	4292.1972990487175	3726.2930259661116	4647.706116790356	4235.8247641972175	4039.9365295001007	3273.4236144858023	3763.7902675730293	3868.398836971617	3873.874719598247	3638.5440900594967	3409.4562238228755	3418.7801853661713	3547.074733354515	3845.597401492838	3726.968221057148	4389.351456276807	4591.05261283545	4112.532409597219	3450.5722699313537	3994.4575103234965	3702.8149122602226	3911.7724173720017	3928.471124331387	3369.2778049990884	4112.048832597462	3708.619822003646	4079.8905183183015	3609.4473384022403	3896.429352319494	3620.820702372028	3386.007832887404	4206.488952255828	4422.444316068231
KEGG_ADHERENS_JUNCTION	5624.723946574748	5578.750831999303	5115.988849200601	5474.652042962118	5364.850723072237	5426.579666518546	5537.982136164057	5612.063613767208	5602.847570521304	5427.838571907136	5581.12679232118	4581.317228502257	5347.006142695143	5350.9996805305145	5324.880625988881	5225.196173701581	4776.578580205309	5122.645081408169	5205.646190102178	5338.374169428607	5594.612539153206	5070.030744896472	5079.643702771622	5166.573636910558	5118.295357509429	5439.221322707015	4822.370884187803	5181.207297870567	5583.606710224105	5230.201762890696	5345.234167192113	5341.49259989581	5246.517887625416	5390.908501036336	4391.525579506066	4917.976416565009	5139.673086308727	5494.307122838076	5440.352886589299	5265.102892142626	5149.834092028346	4937.737612279992	5385.642710269269	5184.378663189476	5569.474173747232
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1973.296359232374	2912.3705896922493	2284.3722552190975	2643.8542670327934	2490.3321246177693	2631.3759399736773	2593.443089886696	2485.462607835927	2307.0240245346213	2342.943273488503	2231.0565305659093	2599.432650853323	2141.575339515999	2600.234430486984	2476.0060206589424	2720.246014160748	2111.7900702057595	2147.8271964045307	2370.203814868284	2651.6788053442615	2516.660622964766	2342.957381553755	2246.4643777565925	2055.6224716421566	2155.8993992514625	2246.1229381129288	2247.8739865796942	2559.2688158264773	2146.7886210656216	2024.2577578692872	2641.744682203993	2728.1419282200513	2167.4944091921934	2470.094175026674	2287.5811906658255	1775.3095629342642	2291.1277448497112	2643.619901342625	2596.6960807287505	2456.2850338640364	2254.3873044065404	2643.3403449124708	2297.9218064860197	2491.1966299499218	2942.4768522595623
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1918.7255570316156	1725.2055793115742	2369.5465070129612	1971.6561918298994	2099.503253931318	1974.4204936965652	1993.3226382660832	2066.8006832611627	1574.1915949490995	1882.6649027883996	2379.363837325058	2129.6342579343163	1489.438220882459	3087.211247692592	1691.6309139302539	1747.83391344158	1738.4672966644157	1613.6364846255565	2210.4638412914974	2616.821040622057	2056.8505022932186	1884.9142485434786	1556.0538837401255	1603.891051009532	2137.660365164662	2771.2160216042794	2681.8767086290864	1673.825781309768	1481.7030731365066	1970.0621808023625	3039.312647933486	1904.9263775097043	1513.0227182448652	2222.8154227750692	1073.2977350503534	1811.416020222412	1977.4518985109207	2763.090266095378	2017.3070539919518	1807.291680075581	1830.1367694641576	1990.0817255532602	2684.6421487297703	1491.1664466470174	2485.042448133465
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2620.2245129836774	2603.133184033919	2456.6960641855076	2981.177875657426	2646.141538793476	2591.8669822780266	2652.493609222589	2380.6789737054096	2701.359283335216	2509.0796141525334	2916.215139671138	3457.109585207756	2490.2422426532066	2348.524515046436	2360.7618715462995	2990.8720175972867	1526.834782896627	1973.9114872140417	2401.7628086959394	2667.311236855392	2222.420256126872	2830.4837372063303	1973.4883738880435	2224.5097425955682	2449.6859818700686	3298.6069846601767	3457.61042990486	2843.255406452905	2112.0552586657705	2710.197570363116	3222.921802698491	3097.0562314740946	2530.656689927564	2673.1306299486696	2841.969954643342	2621.1924651727786	2983.2489757818057	3580.0218352526717	2275.8078753787613	1818.9863453963571	2309.4223543925254	3078.0071812196074	2860.312231100321	2477.559970035738	2795.3585813191803
KEGG_ALLOGRAFT_REJECTION	-691.649596448131	-313.54999330710234	68.68407779395056	724.9477881349121	-216.00976344631454	-665.2468871666752	-1652.5362477484814	-232.3409145677815	-892.8112736093299	1180.2685043954716	-1355.574611422524	-345.43376964104573	-1060.218860782641	-537.4969575320938	160.53277930555487	-880.4619793933471	-1596.865078991651	-1147.0177563717007	-1706.0002333516604	-510.41749836785675	-221.87804211405455	-2155.557824086076	-2305.9144080979486	-2439.0534860233556	-1706.9373589020288	-1544.5867570343635	-2479.4147730430122	1994.0685592933605	-2981.2200754754167	-1762.5330198938846	-209.2202846090422	-1066.5235515014374	-537.7839294762489	-1098.7268656590204	-2475.1631156345184	-3435.3072353069465	-831.1799428355916	-1401.5581787722804	-137.0580586867527	-2265.9384725465497	-2100.7204329559727	-2457.3055798654395	-1536.7345659597695	-1980.5526664014023	1086.3604651944388
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-2190.5089421444864	-1890.6411105906482	-2110.2456437883066	-1279.1960748808178	-1397.1007626698456	-1601.6822937137222	-1255.6058528831836	-1606.2478852688755	-1794.0120092061989	-1707.8059280787656	-1888.191124836635	-1360.1857909747641	-1630.259223678654	-879.8719397041787	-1946.3309740536606	-1698.8661762620395	-2180.7844043433834	-2099.744325728947	-1810.9972296293145	-1481.1180010995695	-1380.249994570765	-1741.794363777959	-1670.6069468521728	-1801.2610663967052	-2041.106790668442	-1978.8324516516313	-2261.901239978657	-1785.2438989275824	-2192.338844522498	-1230.4419294118252	-1629.417004915107	-1892.980994513273	-2020.7290540450995	-1037.138705423944	-1898.7825343528702	-2157.5931304744627	-1857.9154523358766	-2133.3884546895824	-1488.0748026728998	-1634.662072960572	-1809.0313264345405	-1886.9623397656414	-1944.5761748305758	-1690.1400829903423	-1706.3036090918758
KEGG_ALZHEIMERS_DISEASE	3462.256618209507	2720.9920628698983	3823.5337366269723	3876.2765889737184	3779.6858526271317	4102.735613591249	3484.3443364673167	3747.750839950513	3979.22218747419	3649.0057773116732	3983.713180238645	4251.499684465551	3856.280784680461	4157.225322361199	4003.630239010179	3754.1224958563653	3528.8696644692045	3550.6059237732716	3250.7370748078265	3788.3419936962073	3069.1588338353104	3195.6503916073307	2537.4595827987887	2512.5217295362545	2849.8275564828837	4108.623589399225	3961.623044918182	3729.4807641528023	4038.5853867980713	3797.3151913901474	4006.06121273192	3685.0795239197596	3190.0969444820003	3249.562054627495	3073.0656830958796	2843.649082175398	3006.302956058742	4233.023135071531	2956.549220431194	2834.855396119494	2616.7598946130747	3170.652089059742	3845.4817060062214	3552.2271611302385	3937.432567845666
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1754.6427741959014	1522.4613234868866	2281.966363723717	2180.133382703616	1727.7768537522843	1891.9000660074762	1585.3885838176411	2211.2836371211815	1538.3307949792143	2168.0599907650103	1644.8767013780162	1794.3382021115322	1810.052582471575	2063.385906151265	1741.4528306926968	1738.5932974673087	2733.3258822647113	2166.674536850387	1683.514626760185	1950.1434696594697	2358.1554903429696	1538.83520435235	2104.964290649983	1758.859097819508	2025.65579999707	1675.3121765222822	1533.2370524717353	2277.7106029926945	2110.7782260561125	1885.6377066242712	1682.039113088431	1685.5943459708578	2301.840971040163	2047.0488366006157	1517.1769269112738	2067.974455460304	1555.4446091635964	1514.3363669348437	2196.5240952768854	2000.371561080683	2277.977441481573	1753.2048770489037	1838.5463120583518	1981.7173796796797	2014.6363431262816
