pathway_description	BS_FXJY0MNH	BS_C83TK159	BS_8ZY4GST0	BS_FCDAH728	BS_GWSJ4Z9H	BS_G3NN392N	BS_2JP7RBMB	BS_0ZA67BBC	BS_6M2053M0	BS_7WM3MNZ0	BS_5VPM0F36	BS_XGDPK33A	BS_B57327NA	BS_YDEVMD24	BS_XM1AHBDJ	BS_ZF6BSFNF	BS_Z3RCA1T9	BS_H97S5SQN	BS_JQVAWTTM	BS_JB43XBCQ	BS_QNNX91SM	BS_R9B92M75	BS_NGSG2KB6	BS_NEVYM2FP	BS_NB9XXBW6	BS_3AC3SRWH	BS_F0JB4EAK	BS_W7MFJZ5A	BS_J9CBGP57	BS_ZD5HN296	BS_NPA6CZQF	BS_R7NTZR4C
KEGG_ABC_TRANSPORTERS	1239.0484664016476	276.93391958402935	286.8929972204751	-34.58632055124872	167.51520298488322	-468.01325633338274	422.70976434611475	147.49723818442726	39.59213059466856	204.17345569044483	810.3743994292672	-61.28727966264523	193.11163482416305	279.1208090992877	-355.21066599576625	-232.90102948117965	-34.929384813513025	-144.53013775241016	-638.913167157365	109.86212343348416	-406.1022271451784	441.14869337407254	-417.19756624972433	14.28350716191926	301.9191647591997	-1112.1319016204925	138.5196919726568	-87.70986938311034	955.3394903731205	684.2997415196278	314.49944952969236	-173.5032479435522
KEGG_ACUTE_MYELOID_LEUKEMIA	4166.049610435894	3792.880074354116	3870.2109343173634	3990.8087504510695	4211.195927284352	4095.766153973491	4096.035271246046	4142.384828962773	4177.964834124643	4037.731688527305	4427.695564812011	4102.381620733342	3934.5871758884114	3848.218811460305	3845.223942973311	4118.041299791232	4140.398405850361	3882.572109712566	4019.4428402831236	4436.546962024935	4200.907034153513	3788.157046277496	4282.463947867045	3682.949271056057	3901.2046581045524	3645.458105708327	4053.944025464918	4398.719047093269	4037.8254921752414	4497.452595119443	4013.599557509646	4010.027267987818
KEGG_ADHERENS_JUNCTION	5510.852467661338	5233.095099809239	5239.046921606905	4985.049712560538	5408.960118542682	4667.1240969646005	5453.955743139386	5377.8356656820215	5371.0017054489235	5274.033264344473	5171.259804551086	5021.803767235335	5656.387040478117	5428.748621423263	4305.6230538382715	5167.51295343944	5146.978737545598	5304.376840883266	4853.429398109049	5378.923769319701	5028.54765182373	5085.080332526739	5241.642773433658	5016.942617273822	5396.4692402974415	4323.912306242268	5186.479165073888	5297.7828492396875	5509.79329364546	5281.410471144352	5089.489067956152	5135.2400492881425
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	3164.052263158106	2850.6789488841205	2712.440864669179	2353.638346519243	2844.7510616303953	2624.555554822762	2606.728913724428	2870.7379071943087	2694.3137185430096	2612.355575380763	3282.6407524469705	2672.1635897001943	2729.2672917864747	2997.8128005216913	2415.473806938551	2774.7329877692155	2536.508968382408	2349.4129977251814	2585.294071805445	2872.7240336721916	2279.166433628772	2862.444378737471	2861.482859527916	2772.0886707763766	3038.311471707995	2774.549282044947	3116.2721892888912	2919.36380074332	2650.073129912851	3110.377823757548	2786.7414716643943	2230.7147902179768
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	2840.3148663064694	2548.5361413631017	2681.331071370634	2421.8115513644643	2270.4166373500975	3037.9621828846884	2078.1818358656346	2374.4705884095856	2469.6475169881087	2776.84123585222	2453.6462748336944	2127.728806468356	2160.5101637728785	2581.415025902281	2513.4493701519514	2374.2747564739293	1737.6347272350522	2153.76443520248	2709.582639601469	2734.8318673076265	2477.5464804292496	2851.554643022768	2651.6424071570673	2726.0985519952865	2345.117948518213	2965.16126959153	2420.30794370695	2432.1918834528788	2537.30905032583	2205.798170273969	2406.1699380953196	2216.347305304045
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	3375.789017819221	2816.5394090475656	2632.4656819902157	2402.205417085119	2730.2660095996926	2215.5856190439044	2533.0154489768847	2383.3344013102087	2403.363919680507	2323.1739886759915	3107.7576521178435	1946.9093443460606	2346.2605241102574	2688.137397917526	1352.9543296395823	2799.498549273825	2310.8656744544114	2548.1382630937696	2592.9464827461707	2841.457888949977	2361.431651919129	2893.4578691033566	2693.418503726205	2649.01114732546	2744.7202703922594	2963.082248701505	2635.0843576164443	2764.743985370429	2590.191743403284	2747.854492166158	2786.4395098349796	2182.9501536376447
KEGG_ALLOGRAFT_REJECTION	536.9590364374653	-29.966656056047213	-1434.57038558764	-383.06305343822896	1499.1126102103026	1020.5037506976769	-429.85902585611984	-1487.1088159639094	875.7037618562081	-997.0194831587123	3039.115678765589	-70.69005538451529	-136.71105891478146	245.0266885381934	-530.8792297373366	950.1717282245063	-43.884031166277055	455.3614055201524	1028.7996352141654	2145.5311533005224	-390.7977842930977	-546.3496627881559	1093.4815313302988	16.286886702653646	-394.01307324202025	-1365.577275879883	-1490.0417121536739	2422.519555314764	849.3913886322516	2971.075290656765	-955.405435120354	-478.8619691768199
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-1402.0963357654646	-1695.9790232983678	-1698.1879757681518	-2076.7049999171404	-2095.910719911264	-1063.2942018734684	-1952.7482250257353	-1893.5573053982398	-1842.2684346159404	-2086.0865707025405	-1525.8905102309127	-1556.5365683160635	-1698.2427748270766	-1833.9853743681933	-1542.088726821381	-1922.8224378808	-2241.942949145776	-2241.9672527075345	-1799.469482269291	-2100.542042930493	-2386.709475187141	-1793.4911204046912	-1742.7057131168503	-2106.44930371427	-1786.8645643059344	-1649.2987417790555	-1507.2723647790672	-1599.8128909393845	-1442.3015550774844	-1423.6547923407725	-1725.1549938281787	-1546.6263388768657
KEGG_ALZHEIMERS_DISEASE	3857.47873089146	4646.045478976153	3802.001710954195	3973.2230698300555	4215.076776800333	4847.129216563788	4475.30941269972	4053.989962175041	4593.309066138801	4320.590340228564	4619.6360702679085	4055.76719014208	3626.066480933805	4031.3244360690587	5218.911828301074	4503.106200200164	4056.349836447567	4032.8037992841437	4925.345543193398	4596.9013947840685	4435.927950552941	4576.600940550703	4542.310315172257	4414.961159746235	4176.962566772045	4883.904839573946	4396.222397825566	4630.726538755413	3928.0445983663067	4452.620003604501	4083.5409182655294	3983.988093843245
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1727.2549412355947	2224.025903846965	1972.1617104856614	2235.7533809965626	2248.6800054117048	2659.4821369073525	2640.1281326698736	2204.0724398766706	2292.646307514022	2239.1748764461136	2732.4817988089435	2386.514455409724	2230.5105903218955	1922.5996613586376	2872.598570723101	2166.3120588501333	1909.7775384133329	2151.754999654013	2827.954208875439	2331.0287060415685	2436.259776479841	2110.2878733132457	2433.3256034307215	2200.8899267892702	2210.8890846241957	2115.510275404122	2389.6154163994943	2849.573891170703	2402.2587790172547	3081.158541347875	1865.798636433532	1915.925375210516
