pathway_description	BS_4KNBXM3C	BS_3ZPJAK9A	BS_2853394H	BS_E7NVYA6G	BS_CZPQ493E	BS_8ZE4Z9G5	BS_KKDTW11T	BS_00FD2KMP	BS_F21R36MM	BS_KRS4EV4X	BS_HRJ9145M
KEGG_ABC_TRANSPORTERS	2497.2202578370543	2736.5870404637335	1999.4362389703456	2956.5984263799637	2565.178180752022	1236.3082372565968	2412.0877206766654	2190.840438903655	1587.454103504866	1624.193958398082	2907.829493438181
KEGG_ACUTE_MYELOID_LEUKEMIA	4305.108398005741	3648.45170575309	3093.8822852847024	4120.58222738507	3866.2326137250966	3969.3584705232643	3208.228734942317	3367.9683148658387	3846.6678081471946	3669.47332470304	4439.136851866024
KEGG_ADHERENS_JUNCTION	5830.463481055527	5870.865460558249	5405.465737164617	6125.26547314337	5677.868512808051	5272.489314381144	5499.259018438888	5738.782453742297	5690.146031448046	5156.181097136105	5842.092053456805
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	2764.737167276002	2640.910956921909	2190.7277274890457	2742.833148774689	2342.058394134192	1940.9639711162763	2024.6286980742607	2472.6156416501253	2229.5222628494885	2155.4971826120436	2894.003338794564
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	3272.975290620685	3469.2678827420023	2548.1363175574334	2640.416887687439	3176.5975075161878	3387.752478973898	970.1357504291227	3394.8495237250045	2781.638555110936	2668.6482014933263	3003.916032038769
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2843.4909000081643	2931.9733992109614	2414.7539452331202	3007.389075978721	2308.437107424281	1903.7383578070276	2403.209465585709	3115.6051535574043	2518.6424914950003	1625.000668765655	2877.1946594210804
KEGG_ALLOGRAFT_REJECTION	1461.2712961972356	-924.4442791162473	-1623.0696872867766	1853.8869332551421	1264.7846701590825	-133.56714423675658	-236.34731249731158	-1266.6656148511902	-344.9244475581527	-466.30107687699456	2237.1933673970034
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-1125.2155864741908	-1385.1934397184978	-1159.4955979516926	-1361.4416258143638	-1045.898428208804	-1622.0359168787772	-2023.713025187093	-1791.6581984736158	-1493.8763653808428	-1163.001104137713	-1015.317553504552
KEGG_ALZHEIMERS_DISEASE	4461.78359109226	4475.849241286665	3916.1925624562227	4233.577444499506	4025.8889400009757	3953.6736100603794	3727.9144268959426	4574.582843742748	4292.328610715074	4139.970224114717	4258.175640346868
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	3376.0953443224353	2710.033521142852	2532.404297638399	3064.9734661761995	2813.1164703436916	2781.3132367239486	2615.759980696699	2637.773859493973	3460.8541590818913	3245.377721975423	3919.828402045554
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	2828.0201598766853	2775.83263091132	2587.2443547934	2111.1924601987757	2300.761961214763	2932.9145070285704	1189.2982171778021	2317.7745758601523	2601.8060151075297	4062.6565208658812	2274.5888974689333
