pathway	logFC	P.Value	adj.P.Val	direction
KEGG_ABC_TRANSPORTERS	0.24371718217162178	1.546892220759492e-106	2.8772195306126553e-104	up
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.29042448290904943	3.527481753354438e-105	3.2805580306196275e-103	up
KEGG_OOCYTE_MEIOSIS	0.28711859726166833	1.2801247888596697e-100	7.936773690929951e-99	up
KEGG_O_GLYCAN_BIOSYNTHESIS	0.34058025681819065	1.3395923754248101e-99	6.229104545725367e-98	up
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.32662784925602256	1.9076508907575536e-98	7.0964613136181e-97	up
KEGG_MELANOGENESIS	0.4640870183059057	1.1016087974758927e-97	3.4149872721752673e-96	up
KEGG_ASTHMA	0.28275384838203316	7.578129737211574e-97	2.013617330173361e-95	up
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.3030187160738137	9.048470034236517e-95	2.1037692829599904e-93	up
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.32427812558167446	5.195244276210407e-94	1.0719736769850281e-92	up
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.2802760142413658	5.763299338629184e-94	1.0719736769850281e-92	up
KEGG_DILATED_CARDIOMYOPATHY	0.31337946599223515	1.4343266737776977e-91	2.425316012024107e-90	up
KEGG_GNRH_SIGNALING_PATHWAY	-0.3275829921723169	4.061162882541998e-90	6.294802467940096e-89	down
KEGG_PEROXISOME	0.2797168980803256	1.4839712305706457e-89	2.1232203760472317e-88	up
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.2769842526894356	3.3801481857270977e-87	4.490768303894573e-86	up
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.3048629947957791	4.090937188113215e-86	5.0727621132603866e-85	up
KEGG_WNT_SIGNALING_PATHWAY	-0.4522955515196127	8.120217358091982e-86	9.439752678781929e-85	down
KEGG_BASE_EXCISION_REPAIR	0.2796407330244957	1.633093978533566e-85	1.7867969412190782e-84	up
KEGG_VIRAL_MYOCARDITIS	0.22339328863645555	4.524362758527593e-85	4.6751748504785135e-84	up
KEGG_VEGF_SIGNALING_PATHWAY	0.27304524306072925	1.0713537072083427e-83	1.0487988923197459e-82	up
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.2740747409393481	3.42256832834337e-82	3.1829885453593344e-81	up
KEGG_PYRIMIDINE_METABOLISM	0.23436489449486472	3.1842940014641107e-81	2.8203746870110697e-80	up
KEGG_ADHERENS_JUNCTION	0.19461140387259263	9.31150860671345e-80	7.872457276585008e-79	up
KEGG_NOTCH_SIGNALING_PATHWAY	0.2200001141186484	3.051889846589209e-78	2.468050049850404e-77	up
KEGG_PROTEASOME	-0.32084833774110294	5.172327286333062e-78	4.008553646908123e-77	down
KEGG_PRION_DISEASES	-0.3321955060235174	9.082195141841588e-78	6.757153185530142e-77	down
KEGG_GLIOMA	0.1725675809358833	2.3510917099425055e-75	1.681934838651177e-74	up
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.2316518788848141	1.3603408013107316e-74	9.371236631251707e-74	up
KEGG_LONG_TERM_DEPRESSION	0.2081556694618497	2.173996983094656e-73	1.4441551387700215e-72	up
KEGG_OTHER_GLYCAN_DEGRADATION	0.24682566489372793	9.074259632426774e-73	5.820042384935793e-72	up
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.249406992717578	2.1435661769800307e-72	1.3290110297276191e-71	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	-0.2784478381333926	3.192853316630247e-70	1.9157119899781484e-69	down
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.2769043822001608	4.248407680139997e-70	2.4693869640813735e-69	up
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.2233956002234859	2.0379401055758485e-69	1.1486571504154784e-68	up
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.2516808118835088	3.7350489713380215e-68	2.0432914960849178e-67	up
KEGG_BETA_ALANINE_METABOLISM	0.23875324949215318	6.248989664320649e-68	3.32089165018183e-67	up
KEGG_TIGHT_JUNCTION	-0.24196929259119615	1.974728619792893e-67	1.0030776244881359e-66	down
KEGG_HISTIDINE_METABOLISM	0.25977456636920776	1.995369468067797e-67	1.0030776244881359e-66	up
KEGG_MTOR_SIGNALING_PATHWAY	0.3229326053802957	1.3669058268501834e-66	6.69064431037195e-66	up
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.2933706204989475	3.183961980447594e-66	1.51850494452116e-65	down
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.25022765963723415	2.1489230276599896e-63	9.992492078618953e-63	up
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.22117524793069365	5.293518798005884e-63	2.4014499912904743e-62	up
