pathway	P.Value	adj.P.Val
KEGG_ABC_TRANSPORTERS	5.56046775961361e-109	1.0342470032881315e-106
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.3832623478389622e-108	1.2864339834902348e-106
KEGG_OOCYTE_MEIOSIS	4.491690125358798e-105	2.784847877722455e-103
KEGG_ASTHMA	3.7593750398245633e-103	1.7481093935184218e-101
KEGG_MELANOGENESIS	1.7043462642707776e-102	6.340168103087293e-101
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1.7309276897568967e-101	5.36587583824638e-100
KEGG_O_GLYCAN_BIOSYNTHESIS	6.045010601011636e-101	1.606245673983092e-99
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	5.653802023786799e-98	1.3145089705304308e-96
KEGG_CHRONIC_MYELOID_LEUKEMIA	2.3738920991359353e-97	4.9060436715476e-96
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	4.5082300854533685e-97	8.385307958943266e-96
KEGG_DILATED_CARDIOMYOPATHY	3.19827694384398e-94	5.40799555959073e-93
KEGG_PEROXISOME	2.63915364823811e-93	4.09068815476907e-92
KEGG_GNRH_SIGNALING_PATHWAY	2.373369472922715e-91	3.3957440151048077e-90
KEGG_WNT_SIGNALING_PATHWAY	1.8652165523514566e-89	2.4780734195526496e-88
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	4.095065558637852e-89	5.077881292710937e-88
KEGG_VIRAL_MYOCARDITIS	6.062949387856419e-89	7.048178663383087e-88
KEGG_BASE_EXCISION_REPAIR	8.482343908190523e-89	9.28068215837316e-88
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	9.568997679241596e-89	9.88796426854965e-88
KEGG_PYRIMIDINE_METABOLISM	2.596567695195724e-87	2.5419031121389716e-86
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1.4587937325981644e-86	1.356678171316293e-85
KEGG_VEGF_SIGNALING_PATHWAY	2.0391405615218312e-86	1.8060959259193362e-85
KEGG_GLIOMA	6.412048456783944e-82	5.42109551346279e-81
