pathway_description	BS_B1C6GZ84	BS_W4DB5RP1	BS_EZ3147MX	BS_GW0GKWMS	BS_2A5R9MEJ	BS_5965SFPZ	BS_9FX3YREK	BS_XG0DBWVT	BS_MDBT7S5Z	BS_MB7WN0ZB	BS_3MS8WVNR	BS_52MPKTJH	BS_PQVTB6BB	BS_TXZ7KHTQ	BS_TGS109T3	BS_YEW22W35	BS_JVW2JJ39	BS_052PZFMK	BS_5P1TN10Z	BS_B4R7X1KE	BS_T9A8JJW5	BS_RJC3WDD6	BS_WBVSK3MP	BS_FKASA3MN	BS_JJVH7WR0	BS_AWH9757B	BS_FEV5A0HN	BS_FX2P2WEG	BS_DS438CXE	BS_45J79YTF	BS_X4X1SFSE	BS_V3Z3DB4N	BS_TVH33J9Q	BS_SY3J3XR9	BS_WQ1YRTAT	BS_MG78HQDM	BS_G5NHSFD4	BS_F9Y4Z92G	BS_D6J2BGDJ	BS_MD0937XT	BS_M0XGZ53Z	BS_JTWNJ8T7	BS_JQXHHK0K	BS_M0QYNVK8	BS_8PNA0V6R
KEGG_ABC_TRANSPORTERS	-0.00795571943772944	0.02772855739933952	0.03001248259081508	0.020842852212554476	0.022948599164665115	0.03928506270287973	0.03541664541274014	0.047354378539986995	0.008771781609406103	0.007712124868873634	0.04824164614781834	0.06060817914136645	0.008795251209821078	0.06128576565412235	0.015790407607031248	0.04770049807528009	-0.016779902396169364	0.04564029462203598	0.026922882298115024	0.026082260316838583	0.06105914800563665	0.08205060632737304	0.056251814220278785	0.043208360805898634	0.06989158091720403	-0.019303427562019047	-0.029914631220731493	0.053575055212872945	0.05443995219270562	-0.01808999605808149	0.050257349510287784	0.014565067230454514	-0.0013771495039359015	0.07048356329893356	0.042197034910425445	-0.024793770571517645	0.015873182444593046	0.014028179618385433	0.08033545381288662	0.05212309065141874	0.029892411819762994	0.05043835320359643	0.056013804809004336	-0.014571259670500025	0.04824162947712894
KEGG_ACUTE_MYELOID_LEUKEMIA	0.2687268809070652	0.284600252528333	0.2692290307156102	0.2632049392854394	0.2609452063506316	0.26014582284114274	0.25264306398385006	0.2753785142934374	0.24532073371589472	0.2441049717872958	0.24766825198876882	0.2552625903369386	0.2644468084935724	0.22958084858936725	0.2863500822000107	0.2609736370875245	0.24890475607439558	0.2016790858822166	0.2318910932448167	0.23833613768037093	0.23867351259196193	0.22417454397835734	0.21006019860464778	0.2106346577221697	0.218539020312902	0.2369313171604075	0.22962244807198534	0.27043257872285453	0.2828595999907765	0.25337746491415924	0.2125934016271816	0.24610274567349055	0.22813433720920595	0.2410084297747635	0.242037254745684	0.20758476378933224	0.25334767122450874	0.2284919838289412	0.25136636352005115	0.2223818623802871	0.24006312733339058	0.22308258734563588	0.2086155184757615	0.25916622673288225	0.2724714647632765
KEGG_ADHERENS_JUNCTION	0.34654518250098276	0.3437127303607514	0.3152014758873384	0.33729909403163144	0.33053411875435423	0.3343373041507186	0.34120092795538076	0.34576516602639934	0.34519735586915	0.33441486664121306	0.3438591157853839	0.2822597926806741	0.3294346953120359	0.32968074139556436	0.3280715188614708	0.3219298544813994	0.29429005077050074	0.31561157338315327	0.32072535934551416	0.32890287032303944	0.34468998688971825	0.3123699485457748	0.31296221303250515	0.3183180580796779	0.31534358230010007	0.33511616993907706	0.29711136297915014	0.3192196533857252	0.34401190614637217	0.3222382541176381	0.3293255220299482	0.32909500011743253	0.32324350779365996	0.3321395659737929	0.2705665287510549	0.3030017207958992	0.316660686747994	0.3385100642601052	0.3351858867848853	0.32438854954919716	0.317286717041204	0.304219228933282	0.33181513504354315	0.31941504455223535	0.3431411856489579
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.12157687264903717	0.17943422772418952	0.14074258712148222	0.16289065351070658	0.15343199218501527	0.162121850602496	0.1597847676485529	0.15313197611349183	0.1421381865510682	0.14435120941267926	0.13745774901998523	0.16015379082515602	0.13194471834019872	0.16020318931512845	0.15254934579061524	0.16759722972697533	0.13010961644239916	0.13232990184555554	0.14603076015637126	0.16337273157940627	0.1550541187731464	0.14435207862547866	0.13840704275730617	0.12664907137747752	0.13282723878783845	0.1383860063002728	0.13849389024555567	0.15767925453297166	0.1322659141221078	0.12471665823831732	0.16276067976151606	0.16808370533087758	0.1335416195955327	0.1521851107378355	0.14094029302324426	0.10937869703942434	0.14115879997195466	0.16287621399302663	0.15998518784974702	0.1513343149672622	0.13889518263544545	0.16285899022613118	0.14157738928443306	0.15348525527151505	0.18128910635555157
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.11821470789437341	0.1062917376946684	0.14599026272523585	0.12147582020322445	0.1293526127158829	0.12164613176055072	0.12281071284963556	0.1273377728003984	0.09698760663540755	0.1159929729035513	0.14659511881363993	0.13120901569322643	0.09176586175290825	0.1902063453091277	0.10422316710302817	0.10768589325772522	0.1071088061061974	0.09941784794529142	0.1361890116862832	0.16122510788231997	0.12672473164278678	0.11613155747100841	0.0958701230929678	0.09881742148826093	0.13170351263589086	0.1707375457139228	0.16523325629215407	0.10312617407865443	0.09128929113135348	0.12137761150041643	0.18725526199326661	0.11736452587100554	0.09321892754249711	0.13695000566573118	0.06612700694358838	0.11160325400421632	0.12183289981256595	0.1702369093355801	0.1242884180319427	0.11134914905214129	0.11275665913558931	0.12261103679473886	0.16540363797728028	0.09187233956740554	0.15310608963050132
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.1614347994088549	0.16038178458246768	0.1513596389794485	0.1836735172784298	0.16303157473942176	0.15968766199428874	0.16342293250684725	0.14667614575492122	0.1664335982949356	0.154587044814081	0.1796710945085371	0.21299617252528175	0.1534264544622561	0.1446950755992952	0.1454490320568663	0.18427078360112376	0.09406990343232279	0.12161477133361143	0.1479751430948819	0.16433586219388877	0.13692565903120857	0.17438909226355154	0.1215887028747556	0.1370543944992076	0.150927740404794	0.20323065991428674	0.21302703009600185	0.17517596829372395	0.13012595498348037	0.16697813449265334	0.1985676159241004	0.19081290515698612	0.15591643123967597	0.16469440114810407	0.17509677025019818	0.16149443596545934	0.18380111994433804	0.22056892605558795	0.1402149266348579	0.11206966973304407	0.14228595018643933	0.18963927305350634	0.17622685727360454	0.1526450862528128	0.17222499431440677
KEGG_ALLOGRAFT_REJECTION	-0.042613262073743156	-0.01931814622119566	0.0042316985686934785	0.04466479882908477	-0.013308589649289803	-0.04098656327156738	-0.10181450343251548	-0.014314769116868176	-0.05500704544625573	0.07271758901251799	-0.08351838340354265	-0.021282539352914676	-0.06532120368763092	-0.033115755192770345	0.009890594068302904	-0.05424619238777947	-0.09838454393225818	-0.07066897531135867	-0.10510847604771668	-0.03144736111561513	-0.01367014049537479	-0.13280619398116864	-0.14206982191056222	-0.15027266110692306	-0.10516621334255344	-0.09516362130643478	-0.15275936262490938	0.1228566698318776	-0.18367611725378252	-0.10859152072966849	-0.01289028268789983	-0.06570964234106706	-0.03313343583731477	-0.0676937225355577	-0.15249741352188623	-0.21165290672289025	-0.051209874069735144	-0.08635147955023828	-0.008444291739820396	-0.13960686230349684	-0.129427604401029	-0.1513971918841858	-0.0946798395217954	-0.1220239413969542	0.0669318155430397
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.1349595692758871	-0.11648439548975294	-0.13001446269978367	-0.0788126211054441	-0.08607685343678399	-0.09868133761864402	-0.07735920261503318	-0.09896262853598212	-0.11053097450549788	-0.10521972680680981	-0.11633344928006982	-0.08380248304552579	-0.10044199245327742	-0.05420983941940131	-0.1199155067906012	-0.10466893925629768	-0.13436043023208155	-0.12936746540392566	-0.11157745187349964	-0.09125324422527553	-0.0850386598184583	-0.10731379022470831	-0.10292785828837869	-0.11097759657458163	-0.12575474494298197	-0.12191795714953824	-0.13935812414135268	-0.1099907619714157	-0.13507231149391777	-0.07580882671487311	-0.10039010246580579	-0.11662855820932798	-0.12449925106911933	-0.06389921094151554	-0.11698599720572962	-0.13293159135720137	-0.11446813312379792	-0.13144031572004652	-0.09168186011714005	-0.10071325664729279	-0.11145633050152065	-0.11625774253415187	-0.11980739175726043	-0.10413131543438506	-0.10512716734746008
KEGG_ALZHEIMERS_DISEASE	0.21331328666419277	0.1676431945758324	0.23557195146704968	0.2388214943007484	0.23287043702699256	0.25277387396604145	0.21467413431243054	0.23090288717009172	0.24516408134304116	0.22481909957833154	0.2454407761501021	0.26193938547920975	0.23758953168109295	0.2561310424687921	0.24666788717500268	0.2312954516194229	0.21741738679288813	0.21875658068381743	0.20028134421387972	0.2334037510198266	0.18909411702660645	0.19688739548601106	0.15633556465386403	0.15479911717801761	0.1755808853977802	0.2531366383737382	0.24407977958408167	0.22977724850555242	0.2488215107456102	0.23395659920615539	0.2468176620332993	0.2270416412035799	0.1965452417437409	0.2002089499796554	0.18933482213549135	0.17520022307073937	0.1852215000160232	0.26080102575834946	0.1821561198201375	0.17465843478600845	0.16122134061213156	0.19534722366587323	0.2369241890392935	0.2188564668295348	0.24258937874459052
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.10810539435949341	0.09380044997937029	0.14059435760564049	0.13432032010132522	0.10645015662842934	0.11656196106254	0.097677464944502565	0.13623952017311916	0.09477818487742724	0.13357646567353276	0.1013425906915455	0.11055107159488094	0.11151925116448935	0.12712738477638338	0.10729274801063941	0.10711656914873043	0.16840309421423377	0.1334911063947041	0.10372311407904027	0.12015039867117142	0.14528845015838482	0.09480926207160226	0.12968907295540572	0.10836516651071441	0.12480279309025288	0.10321775245744812	0.09446435402214727	0.1403321556925829	0.1300472756557521	0.11617613048739488	0.10363220612346458	0.10385124777595749	0.14181885315156095	0.12612084066813278	0.09347487272560684	0.1274100901451836	0.0958325850428658	0.0932998628256034	0.13533016921285074	0.123245004428462	0.1403485958936852	0.10801680399773399	0.11327477993595846	0.12209570061205803	0.12412387271502726
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.10499603193223371	0.03742974861745714	0.08466720224371628	0.0750197880590341	0.06995446805395902	0.06931456931048086	0.06949943691797775	0.08693955751562772	0.07705857019623409	0.07897057912314799	0.05532235955935519	0.0831620026298042	0.10792374769706532	0.08725773816738047	0.07069675161763476	0.10432015233292684	0.15362973359787285	0.08878798210275214	0.10926169797950426	0.11437633666370764	0.07893953327830017	0.1346849974035032	0.1338572199281523	0.1298412340933385	0.11614852968359263	0.05669233821486351	0.049811640290578496	0.07159917684422555	0.10714058929986485	0.10529662277268374	0.040936942865738575	0.050721074863968256	0.06456622063530412	0.09451431945192422	0.08141477508560556	0.07472381038516389	0.08072268220138938	0.04070097854881645	0.0777289746156628	0.10819461418701783	0.09557324616733616	0.08180355258369074	0.11521992475211307	0.10356451785446517	0.1027738149715591
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.1566539378126432	0.18873023197686134	0.20019234021504106	0.16984742706601166	0.1742339441210171	0.1862265795980563	0.18996290018180137	0.15104632516442784	0.16572792582422016	0.1622506909517144	0.20208774623193068	0.2453079111064898	0.14667941892302883	0.1924268849293172	0.1689472963209841	0.1345746464652982	0.134794346112507	0.12190171658621514	0.0934332904055755	0.14209486921686637	0.1384229380291771	0.18756346704188925	0.11233665132320403	0.13634476725101857	0.1654204751113916	0.2382449812815778	0.2136669429529732	0.197422999027226	0.22213899640550366	0.19343941901113856	0.21658656724686906	0.1968471349949107	0.16428391037657383	0.17762837015403032	0.17454919187377388	0.1642589247077658	0.18632598985470378	0.25784384224982654	0.1720308575818227	0.13107172925689983	0.10545854629701232	0.18587739566962808	0.23192884465942742	0.14168012316065243	0.16700329899199914
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.11399970294892739	0.12710324684431937	0.15418693388993412	0.14652882087045202	0.117209635093989	0.11093510688158366	0.0665507518060689	0.13038129440798016	0.07028844530308495	0.16051948591518916	0.09189625404486175	0.10698502466164096	0.08410504256038828	0.10745739324781343	0.14171856905637642	0.11125281761002516	0.08558692358185585	0.08952636616592834	0.0649170262406787	0.12613567003637788	0.1207346968196966	0.05698530266249746	0.030669229461164488	0.02075460281703263	0.05293967242912485	0.06188776883605874	0.06491598660777038	0.20501395227216423	0.04285951300460918	0.06380972915458386	0.11114199669742165	0.09461578336799531	0.09510934026387505	0.08597575116167229	0.026558074380345697	0.00866421781312156	0.09206611804219976	0.0820085213350155	0.10853239406768687	0.038165099192542046	0.05006411284846093	0.03847928032440977	0.08876944457641457	0.0685993508607447	0.17175985462322596
KEGG_APOPTOSIS	0.13290979485637214	0.14466119406434788	0.15891290058001722	0.1621342162354766	0.1431912462959084	0.14267723745122607	0.13466201418190668	0.14681084867261762	0.13007570938412596	0.14321987453976673	0.1371561387296143	0.12623949111268856	0.12440030922867548	0.14235873181994854	0.1561932780611084	0.13075593029573357	0.12339782206663827	0.15091026701189975	0.15256772724864923	0.1331895458554178	0.15889372854973474	0.10183480218222107	0.11477745488581306	0.11527578047084183	0.131188041859838	0.13161034910155128	0.13135112714531827	0.16980134777084646	0.1413404957366964	0.11970600603939202	0.14414731047261276	0.14451629541273642	0.15437644269849035	0.13195855639969387	0.11549785304214248	0.10393250342002304	0.13242065607658327	0.12057986420474703	0.14925213773802035	0.14716386044868135	0.14404987818179477	0.11878762492300245	0.1273228368562124	0.14255103794607973	0.1612817656454716
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.17014848099238591	-0.1145383006127621	-0.13705131921334923	-0.11894760017451035	-0.11467269311822507	-0.10971816980866203	-0.12236354844798786	-0.14662373124034797	-0.11224714170313621	-0.13206893099637063	-0.14595854079750148	-0.11055955450577729	-0.14554319913655184	-0.12535802571078292	-0.1340238373316612	-0.12669708795427848	-0.15874584928158994	-0.16853754296043902	-0.13955981353415475	-0.14365590564823805	-0.14085324568008756	-0.1531726449110642	-0.1721286863962779	-0.17882261166888294	-0.17701002284778278	-0.14229133102617622	-0.14793857818626102	-0.15269663297693165	-0.19354733992738746	-0.1382603805502455	-0.14721964883460775	-0.12246783519990789	-0.1819890945899869	-0.1396731149839635	-0.16505283752690808	-0.19370352922988401	-0.14405655045317536	-0.15096982529053193	-0.12041247319983468	-0.17168099262837097	-0.16527970029589992	-0.11851681371800886	-0.16465843493255677	-0.1349331448568531	-0.11111663275964857
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.1069595551667334	0.11645210084001235	0.1279333452954353	0.13816604527391657	0.11737535113007377	0.14802033397527026	0.11933139303323034	0.11393178649565656	0.12444388821647664	0.09996830783227023	0.14045449613417635	0.14422390378721411	0.1138187487273355	0.14757759515709104	0.12462321600967412	0.12141040554252032	0.09916080007277196	0.10554996761200583	0.09809173294299514	0.11446736246078287	0.08658437893869547	0.07571004372657066	0.05120686044767039	0.05583949806813681	0.07135627063686995	0.1292016618956416	0.13086613984393758	0.09539434737986847	0.09112191367696514	0.10717663663151895	0.16904985197387185	0.12993065253389427	0.07051307475177969	0.11636858002532637	0.04481327443764219	0.049701276981162425	0.10622905091206018	0.13788582188251475	0.09447688861652072	0.0980082963950143	0.07639152311188963	0.08013871239561919	0.15308232894567272	0.096914578321542	0.12151251030505283
