pathway	logFC	P.Value	adj.P.Val	direction
KEGG_LONG_TERM_DEPRESSION	-0.04381643817547067	5.5969136655726254e-11	8.423962126850775e-9	down
KEGG_ECM_RECEPTOR_INTERACTION	0.07076115712479458	9.058023792312661e-11	8.423962126850775e-9	up
KEGG_SMALL_CELL_LUNG_CANCER	0.0313112583987921	2.4922950611816667e-10	1.5452229379326333e-8	up
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	-0.017684846456349202	7.311353495571155e-9	3.399779375440587e-7	down
KEGG_AXON_GUIDANCE	-0.02451058411562833	1.5286439428156976e-8	5.377534339489532e-7	down
KEGG_LONG_TERM_POTENTIATION	-0.04143868819130415	1.7346884966095262e-8	5.377534339489532e-7	down
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.020113966081906767	2.9671766758832082e-8	7.884212310203954e-7	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.04315144290414884	3.887253762175511e-8	9.037864997058064e-7	down
KEGG_ERBB_SIGNALING_PATHWAY	-0.020542477793595075	8.73107945167716e-8	1.8044230866799465e-6	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	-0.042778774158006655	2.0721795840004768e-7	3.854254026240887e-6	down
KEGG_TYROSINE_METABOLISM	0.021498905801651397	2.538291890633255e-7	4.292020833252596e-6	up
KEGG_INOSITOL_PHOSPHATE_METABOLISM	-0.024083429208047017	7.705112018287839e-7	1.1349489456260103e-5	down
KEGG_TYPE_II_DIABETES_MELLITUS	-0.034736012289097985	8.36818239438448e-7	1.1349489456260103e-5	down
KEGG_VIBRIO_CHOLERAE_INFECTION	-0.021736866663428448	8.54262647245384e-7	1.1349489456260103e-5	down
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	-0.017846583449543985	1.2019683298146753e-6	1.4904407289701975e-5	down
KEGG_GNRH_SIGNALING_PATHWAY	-0.019491313889110233	2.1576648699468423e-6	2.5082854113132042e-5	down
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.021491418376953342	2.8780855024589137e-6	3.148964137984458e-5	up
KEGG_THYROID_CANCER	0.024673692719797295	4.3776117138186606e-6	4.523532104279283e-5	up
KEGG_FOCAL_ADHESION	0.0287874936077054	7.749853674567586e-6	7.586698860366163e-5	up
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	-0.02713582863890952	1.114013972679849e-5	1.0360329945922596e-4	down
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	-0.0323856863628231	1.352646844884276e-5	1.1980586340403587e-4	down
