pathway	P.Value	adj.P.Val
KEGG_OLFACTORY_TRANSDUCTION	1.0822905599725055e-95	2.0130604415488605e-93
KEGG_RIBOSOME	5.47203710912914e-85	5.088994511490101e-83
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1.659795391830296e-78	1.0290731429347836e-76
KEGG_COLORECTAL_CANCER	9.169762229926084e-77	4.263939436915629e-75
KEGG_INSULIN_SIGNALING_PATHWAY	8.256993928444489e-76	3.07160174138135e-74
KEGG_ENDOMETRIAL_CANCER	1.5079853659759014e-74	4.6747546345252944e-73
KEGG_MTOR_SIGNALING_PATHWAY	1.3462137136571329e-73	3.5770821534318105e-72
KEGG_LYSINE_DEGRADATION	2.458222186784891e-71	5.7153665842748716e-70
KEGG_WNT_SIGNALING_PATHWAY	1.0313364005157971e-70	2.1314285610659807e-69
KEGG_SPLICEOSOME	1.3646675927851317e-70	2.538281722580345e-69
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1.0903093965653143e-69	1.8436140705558952e-68
KEGG_NON_SMALL_CELL_LUNG_CANCER	2.8899370304548616e-69	4.479402397205035e-68
KEGG_LINOLEIC_ACID_METABOLISM	5.006874357223277e-69	7.163681772642535e-68
KEGG_PROSTATE_CANCER	1.3844086995984602e-68	1.83928584375224e-67
KEGG_ADHERENS_JUNCTION	3.817559491423626e-68	4.7337737693652966e-67
KEGG_RENAL_CELL_CARCINOMA	1.0859451381051536e-67	1.262411223047241e-66
KEGG_GLIOMA	1.8662653031958364e-67	2.0419138023201504e-66
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1.9880420440125236e-66	2.0543101121462744e-65
KEGG_RETINOL_METABOLISM	7.198142476227028e-66	7.046602634622248e-65
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	6.582947443895354e-65	6.12214112282268e-64
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.2528555739486437e-64	1.1096720797830845e-63
KEGG_PATHWAYS_IN_CANCER	2.0102334719524163e-63	1.699561026287043e-62
KEGG_ERBB_SIGNALING_PATHWAY	3.5436368986178317e-63	2.86572375279529e-62
KEGG_PANCREATIC_CANCER	3.4009518964783292e-62	2.5533076951231282e-61
KEGG_ENDOCYTOSIS	3.431865181617108e-62	2.5533076951231282e-61
KEGG_OOCYTE_MEIOSIS	1.575904385408935e-61	1.1273777526386997e-60
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.7300444844361613e-61	1.1918084226115779e-60
KEGG_AXON_GUIDANCE	2.635589073923823e-60	1.7507841705351112e-59
KEGG_HUNTINGTONS_DISEASE	2.456560603245063e-59	1.5755871455295922e-58
KEGG_ALZHEIMERS_DISEASE	8.940263281761212e-58	5.542963234691952e-57
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	4.646238179862154e-55	2.7877429079172924e-54
KEGG_SMALL_CELL_LUNG_CANCER	1.2230679168744221e-54	7.109082266832578e-54
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	4.989150217681133e-54	2.812066486329366e-53
KEGG_PARKINSONS_DISEASE	3.089682716638776e-53	1.6902381920435656e-52
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	3.213265049448778e-53	1.707620854849922e-52
KEGG_ACUTE_MYELOID_LEUKEMIA	6.474893120902275e-53	3.2960712292376843e-52
KEGG_RNA_DEGRADATION	6.556700832354533e-53	3.2960712292376843e-52
KEGG_TIGHT_JUNCTION	7.840908820931693e-53	3.837918528140249e-52
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	3.3486286462049656e-52	1.5970382774208297e-51
KEGG_STEROID_HORMONE_BIOSYNTHESIS	3.486604266855209e-52	1.6212709840876723e-51
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	2.5317588597635295e-51	1.1485540193073573e-50
KEGG_VIBRIO_CHOLERAE_INFECTION	2.8297791509638017e-51	1.2531879097125407e-50
KEGG_NOTCH_SIGNALING_PATHWAY	6.69628972618651e-51	2.896534625745792e-50
KEGG_OXIDATIVE_PHOSPHORYLATION	2.7175795597965618e-49	1.148794995732183e-48
KEGG_THYROID_CANCER	1.4434908306885148e-48	5.966428766845861e-48
KEGG_MELANOGENESIS	2.86721552267252e-48	1.1483525992586162e-47
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	2.9017511916749976e-48	1.1483525992586162e-47
KEGG_GNRH_SIGNALING_PATHWAY	9.204973301946177e-48	3.5669271545041434e-47
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	4.0542522058692883e-47	1.5389610414116075e-46
KEGG_FOCAL_ADHESION	1.2711156081597074e-46	4.7285500623541115e-46
KEGG_N_GLYCAN_BIOSYNTHESIS	2.361985614305207e-46	8.614300475701343e-46
KEGG_PENTOSE_PHOSPHATE_PATHWAY	2.623526949484659e-46	9.38415408854128e-46
KEGG_GAP_JUNCTION	1.0954684884941291e-45	3.844474318111472e-45
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	8.686841147798277e-45	2.992134173130518e-44
KEGG_VEGF_SIGNALING_PATHWAY	2.3981048977621804e-44	8.109954745159374e-44
KEGG_HEDGEHOG_SIGNALING_PATHWAY	2.451526208105223e-44	8.142569191206635e-44
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	3.4749987581478174e-44	1.1339469631850772e-43
KEGG_LYSOSOME	1.417554923531163e-43	4.545951996151661e-43
KEGG_BASAL_CELL_CARCINOMA	1.8067203502268214e-43	5.695762460037098e-43
KEGG_APOPTOSIS	2.646864638255147e-43	8.205280378590956e-43
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1.0357732430021e-42	3.1582593966949274e-42
KEGG_CITRATE_CYCLE_TCA_CYCLE	1.7611419822767697e-42	5.2834259468303094e-42
KEGG_MELANOMA	6.800265720431546e-42	2.0076974984131232e-41
KEGG_PROPANOATE_METABOLISM	8.697372739803338e-42	2.527673952505345e-41
KEGG_NON_HOMOLOGOUS_END_JOINING	3.9644129493082777e-41	1.1344320131866763e-40
KEGG_MAPK_SIGNALING_PATHWAY	7.132629103007387e-41	2.010104565392991e-40
KEGG_RNA_POLYMERASE	2.1330886031288824e-40	5.92170865943242e-40
KEGG_PYRUVATE_METABOLISM	3.6093912670245782e-40	9.872746700978993e-40
