pathway_description	BS_8T7DZV2F	BS_BA6AZWB3	BS_AM70R8RG	BS_AMZ70B6F	BS_BPWEFR89	BS_BVSW4GTG	BS_8GW1TMV2	BS_3V3KE3VT	BS_3F5PR9GS	BS_81SP2HX4	BS_7C40TRCY	BS_7XQRH69M	BS_VT6C6N6K	BS_VPBMDMQX	BS_WH5HDE0A	BS_TW8DQH8J	BS_M15PW2N0	BS_J1AB8PMA	BS_RD4D5F9F	BS_R6WNEEE4	BS_RCC8BXVE
KEGG_ABC_TRANSPORTERS	0.0802025987299212	0.05961868089410189	-0.009696753222736401	-0.0019573685212265035	0.031245384999997624	0.005314605296851367	0.049789701163788905	-0.03649497551649911	0.0051735589473032315	-0.016068491448715434	0.008314624425335322	0.03722375536126118	0.008513615564152786	0.03394733007640122	-0.009703875178828794	0.034265521449775294	0.011020473429135138	0.059097996709065376	-0.004354031706683705	0.03888087375092116	0.026209701772191667
KEGG_ACUTE_MYELOID_LEUKEMIA	0.27697169230722885	0.2467374632015406	0.21112893039091796	0.23312121827936824	0.2496583459691469	0.23399064087005716	0.2353134158197188	0.23301667765436831	0.20856130706956566	0.21622173446553988	0.2257208851603048	0.23144232473424636	0.24071787348131019	0.22509033490977012	0.20601149298402968	0.21230574380895675	0.2324716841673572	0.2449422641599085	0.2312414774378079	0.23411512188235423	0.21792322050052146
KEGG_ADHERENS_JUNCTION	0.3389635381660665	0.3183307810058337	0.2727422490068827	0.29588830076288236	0.3018451681208618	0.3094484966321181	0.28504558102723854	0.320982776179812	0.2937103310307762	0.3004679439294125	0.30904093863605747	0.2969315685311486	0.30043969583695956	0.2749593664937404	0.2780400132470627	0.30293900465845863	0.2891958533864612	0.32529927211865506	0.3020630357436472	0.3105672672611012	0.25954094913854214
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.16517781278427937	0.16034946891198185	0.10813048361584388	0.13122518476096964	0.14223699319742786	0.12868661398905462	0.14637155675345404	0.10737543245804675	0.12589886534488945	0.13049532686337456	0.13264921676765185	0.12666947738873685	0.12799076942776888	0.13120150474514872	0.1282199976143058	0.13370262887904868	0.14748742796253758	0.13544887823922983	0.1343665215123367	0.1322657447716515	0.13867172521245838
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.09262154580280708	0.11170145849601597	0.08757536901025766	0.06431255269650567	0.08483133592945201	0.06348836811331457	0.10509072633313649	0.11006145021261216	0.07419933961284282	0.0645591266293992	0.06492603926482289	0.05336973170238396	0.08381161493259773	0.03751185727627583	0.0809909433879919	0.10803179666544228	0.051399679845332974	0.11436479354682351	0.05901636207007519	0.10059241085690844	0.11618030746431895
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.12962507263802894	0.2168881948273884	0.1461977402960327	0.1573951443470865	0.18338927859184848	0.1659490538926701	0.15911741020911604	0.10224195218159737	0.12287228897748939	0.16870527082224085	0.15089079260888658	0.16304210437529015	0.13628896123447257	0.17689763705031686	0.1636654883884658	0.12240782061263279	0.17666384812404662	0.1639013654068783	0.18364078574187856	0.15714425019002193	0.19606616143117375
KEGG_ALLOGRAFT_REJECTION	0.07633972179150761	-0.056284526997916556	-0.17502274731680084	-0.056332554258898895	-0.10505790559828079	-0.10284983665032034	0.009897954069195167	-0.14309413641327157	-0.17157210331448608	-0.09050323799151064	-0.00822332832979753	-0.10304125905889579	-0.03735824054879255	-0.05280520173179107	-0.18712547914572816	-0.002911417313003918	-0.08338963545819196	0.015768490684330134	-0.04796493229469037	-0.06603887955961768	-0.10436802773309223
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.10214781792069123	-0.11748802322565559	-0.1282272695707825	-0.13152227472980194	-0.1220382273640956	-0.11784762949538885	-0.11008066112652201	-0.15156843144933857	-0.12571275182185185	-0.13378655484306567	-0.13727225649793434	-0.12395886104169376	-0.13124378495417	-0.10254888318911441	-0.1274162020723309	-0.11715372653465907	-0.09325839995929315	-0.12438766815791208	-0.12161886220470584	-0.11687788037687312	-0.12835819648137525
KEGG_ALZHEIMERS_DISEASE	0.230682017438948	0.24231506275238596	0.23353944810024657	0.2533511045042678	0.23689568400433325	0.2330345091413905	0.230340525556765	0.20527806365820658	0.22076060873179887	0.2584385032959617	0.2327177249998915	0.23810427442483037	0.24236836504983333	0.23656490557436277	0.2579490469566047	0.22875495320424116	0.21590369130064674	0.23302571011543738	0.2460528897066767	0.2557138588170274	0.2786718665480209
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.18417833542174192	0.10645128548773616	0.1003899486056158	0.11230557518803573	0.1110834301871903	0.12442721698499014	0.14942298979581103	0.10920468365985105	0.11858865410593107	0.12124542234505194	0.11341625390957062	0.11635487082898419	0.1410972362921897	0.10802825498743843	0.12055992686267043	0.1347541446165166	0.12573041724444958	0.15910338025418505	0.12689288663065273	0.14001907945086306	0.10506822323840503
