pathway	logFC	P.Value	adj.P.Val	direction
KEGG_LIMONENE_AND_PINENE_DEGRADATION	-0.08271956587783048	2.489147014102989e-33	4.62981344623156e-31	down
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	-0.09036124079134454	1.2392679544582696e-23	1.1525191976461908e-21	down
KEGG_INOSITOL_PHOSPHATE_METABOLISM	-0.06971758082901443	1.4625570049893338e-17	8.640564401716375e-16	down
KEGG_BUTANOATE_METABOLISM	-0.08861593619619137	1.8581858928422313e-17	8.640564401716375e-16	down
KEGG_GAP_JUNCTION	-0.05024996689356524	7.696016313571268e-16	2.862918068648512e-14	down
KEGG_VIRAL_MYOCARDITIS	-0.030256983685766757	4.117866801233615e-15	1.2765387083824207e-13	down
KEGG_ONE_CARBON_POOL_BY_FOLATE	-0.05429781409385085	4.859798691534917e-13	1.291317938036421e-11	down
KEGG_ADHERENS_JUNCTION	-0.029751942033901347	1.4038038808920818e-12	3.0831332472924287e-11	down
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.03822469571441565	1.4918386680447236e-12	3.0831332472924287e-11	down
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.03145224134289597	6.131211224909687e-11	1.140405287833202e-9	down
KEGG_PROPANOATE_METABOLISM	-0.06451066018367589	2.0830166905203831e-10	3.5221918585162843e-9	down
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.029314148536053356	2.5568551391076216e-10	3.963125465616813e-9	down
KEGG_MAPK_SIGNALING_PATHWAY	-0.026486331113292672	1.405054787541878e-9	2.010309157559918e-8	down
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.038907542410828194	4.4671378312114995e-9	5.9349116900381354e-8	down
KEGG_ERBB_SIGNALING_PATHWAY	-0.03162395731925629	8.986885342249751e-9	1.1143737824389692e-7	down
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	-0.028231401179748237	1.818342173323038e-8	2.1138227764880318e-7	down
KEGG_FOLATE_BIOSYNTHESIS	0.03895534344586189	2.473672939245658e-8	2.706489215880544e-7	up
KEGG_BETA_ALANINE_METABOLISM	-0.03699669293470688	2.7474164460934304e-8	2.838996994296545e-7	down
KEGG_HOMOLOGOUS_RECOMBINATION	-0.05339629694779645	6.06814942218378e-8	5.736085365598131e-7	down
KEGG_PRIMARY_IMMUNODEFICIENCY	-0.04607030843949827	6.167833726449603e-8	5.736085365598131e-7	down
KEGG_PENTOSE_PHOSPHATE_PATHWAY	-0.024032675437351294	9.853865645631646e-8	8.727709571845173e-7	down
KEGG_CELL_ADHESION_MOLECULES_CAMS	-0.027247410133785135	1.8025254948593073e-7	1.5239533729265054e-6	down
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	-0.02481231526808132	2.2344748916197666e-7	1.807010129744681e-6	down
KEGG_GLIOMA	-0.02095061392847646	4.5363318439930115e-7	3.5156571790945838e-6	down
KEGG_SMALL_CELL_LUNG_CANCER	-0.03321068341590912	4.821704101598862e-7	3.5873478515895536e-6	down
KEGG_WNT_SIGNALING_PATHWAY	0.019916008691975257	6.995347070940075e-7	5.004363673826362e-6	up
KEGG_OOCYTE_MEIOSIS	-0.018492141761599933	7.86255630631431e-7	5.416427677683191e-6	down
KEGG_LEISHMANIA_INFECTION	-0.018185840481051183	8.542340809003018e-7	5.674554965980576e-6	down
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.0220784774406774	9.839881547350779e-7	6.311096440714638e-6	down
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.02114654732156497	1.1195590814865723e-6	6.941266305216748e-6	up
KEGG_PROTEIN_EXPORT	-0.03647186680982706	1.5121106643609083e-6	9.07266398616545e-6	down
KEGG_NON_HOMOLOGOUS_END_JOINING	-0.024337269189654887	2.4005218169112017e-6	1.395303306079636e-5	down
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.052418691803246	2.494210941244872e-6	1.4058279850652917e-5	down
KEGG_PEROXISOME	-0.020050812978881435	3.0813073860172104e-6	1.6856563935270622e-5	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	-0.021715650525025908	3.5863955532454104e-6	1.9059130654389893e-5	down
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.03136019049778317	3.7363443728868805e-6	1.9304445926582217e-5	down
KEGG_LYSINE_DEGRADATION	-0.016253573956100352	4.303186470993885e-6	2.1632234692023315e-5	down
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	-0.01904520822116526	5.385400371857214e-6	2.6360117609616888e-5	down
KEGG_TRYPTOPHAN_METABOLISM	-0.02711402421059121	6.795093163014759e-6	3.240736739283962e-5	down
KEGG_RIBOSOME	-0.050166027833941015	8.086199941529487e-6	3.6869704568841084e-5	down
KEGG_P53_SIGNALING_PATHWAY	-0.025415050490676043	8.127192942594004e-6	3.6869704568841084e-5	down
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.0361763700693283	9.682195021056383e-6	4.2511175092859414e-5	down
KEGG_DNA_REPLICATION	-0.030676228337695934	9.827852306413737e-6	4.2511175092859414e-5	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.02498272689615317	1.1532561728606701e-5	4.875128367092833e-5	down
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	-0.06478532683637678	1.2400566441718097e-5	5.125567462576814e-5	down
KEGG_REGULATION_OF_AUTOPHAGY	-0.018957819300607758	1.8416228210294555e-5	7.446561841553886e-5	down
KEGG_PRION_DISEASES	-0.02259333638433376	1.910615409270043e-5	7.478352566784194e-5	down
KEGG_ABC_TRANSPORTERS	-0.013356265463577828	1.9298974365894694e-5	7.478352566784194e-5	down
KEGG_LYSOSOME	0.023241084669860263	2.001642224758754e-5	7.598070485818945e-5	up
KEGG_PPAR_SIGNALING_PATHWAY	-0.03557422408985075	2.6209770197774352e-5	9.750034513572059e-5	down
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	-0.01901682944723068	2.8245706428687616e-5	1.0177442589215773e-4	down
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.060967177279531284	2.845306530318388e-5	1.0177442589215773e-4	down
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	-0.020036906762430605	7.240623320693552e-5	2.5410489389603787e-4	down
KEGG_OLFACTORY_TRANSDUCTION	0.017827396688446146	1.094935715101789e-4	3.771445240906162e-4	up
KEGG_STEROID_HORMONE_BIOSYNTHESIS	-0.01798066265063024	1.1351432574662259e-4	3.8388481070676e-4	down
KEGG_ARGININE_AND_PROLINE_METABOLISM	-0.018934227162845062	1.2631494270211002e-4	4.1954605968915116e-4	down
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.018350801429355183	1.3205798165738278e-4	4.309260454083017e-4	up
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	-0.020863129717472166	2.45406631387239e-4	7.869936799659732e-4	down
KEGG_HISTIDINE_METABOLISM	-0.027499422123917757	2.685206500862252e-4	8.465227273904727e-4	down
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.05201793433961569	2.864786174016176e-4	8.880837139450145e-4	up
KEGG_LONG_TERM_DEPRESSION	-0.018388251590170004	3.092006980501661e-4	9.428086858578835e-4	down
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.04172688922223522	3.5626341147769117e-4	0.0010687902344330734	down
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	-0.05212685943398261	3.994441932692144e-4	0.0011793114277472044	down
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.015019562826682455	4.18998008572041e-4	0.001217712962412494	down
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-0.020800753946753906	4.38303072895823e-4	0.0012542211009018936	down
KEGG_BASAL_CELL_CARCINOMA	-0.03972662731079799	6.777511702844417e-4	0.001910026025347063	down
KEGG_HUNTINGTONS_DISEASE	-0.03570147969514347	9.129060288570422e-4	0.002534336139812087	down
KEGG_VIBRIO_CHOLERAE_INFECTION	-0.02970862093558021	0.001014353058504953	0.002774553954145901	down
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.03496832439755617	0.001031736396355734	0.0027812024597415434	up
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	-0.021374678465763842	0.0012283417954824843	0.0032638796279963155	down
KEGG_PYRIMIDINE_METABOLISM	-0.013695976525210632	0.001304413919495663	0.003417197028537934	down
KEGG_GRAFT_VERSUS_HOST_DISEASE	-0.0292075571377254	0.0019079636503875534	0.004928906096834513	down
KEGG_GALACTOSE_METABOLISM	-0.020759510369862913	0.0019936126194782973	0.005079615715383059	down
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	-0.0441138509483235	0.0021211339744069226	0.0052823595417013135	down
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-0.02395011759376609	0.0021299836861698846	0.0052823595417013135	down
KEGG_MELANOGENESIS	-0.017548432326290574	0.0021634531678747966	0.005294766963483055	down
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	-0.021364387289688317	0.002830139277393519	0.006836440332405124	down
KEGG_ETHER_LIPID_METABOLISM	-0.014343667069268694	0.0031616166489716654	0.007539239701393971	down
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.012645828184050661	0.003687777399933338	0.008682615144146847	down
