pathway	logFC	P.Value	adj.P.Val	direction
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	-0.10985228126618936	1.0861012465410385e-27	2.0201483185663315e-25	down
KEGG_ENDOMETRIAL_CANCER	-0.07171827708815602	1.582360594542067e-19	1.4715953529241223e-17	down
KEGG_VIRAL_MYOCARDITIS	-0.03710843982960281	2.4889119413760058e-18	1.5431254036531236e-16	down
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.04315395825922644	2.732074665669497e-16	1.2704147195363161e-14	down
KEGG_LIMONENE_AND_PINENE_DEGRADATION	-0.047117534151701286	8.448175518926676e-16	3.1427212930407235e-14	down
KEGG_TRYPTOPHAN_METABOLISM	-0.05621672308520847	2.7096728353471773e-15	8.399985789576249e-14	down
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.07061353669315544	1.0129556403911791e-13	2.69156784446799e-12	down
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	-0.08220697859159072	7.602637205881323e-13	1.7676131503674075e-11	down
KEGG_GAP_JUNCTION	-0.04554155739784415	9.547811333530198e-13	1.9732143422629076e-11	down
KEGG_TYROSINE_METABOLISM	-0.08386885031658695	1.2248856553977351e-12	2.2782873190397876e-11	down
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.08659056948457403	3.8358504998615486e-12	6.486074481584073e-11	down
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.04247513885648334	3.782166518095617e-11	5.862358103048207e-10	down
KEGG_GLYCEROLIPID_METABOLISM	0.05555529774370505	7.380050815554916e-11	1.0114419417288947e-9	up
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	-0.05897235293427097	7.61300386247555e-11	1.0114419417288947e-9	down
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.03247242711843307	9.750702576386442e-11	1.2090871194719188e-9	up
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	-0.04520927778543229	1.8141596034875465e-10	2.108960539054273e-9	down
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	-0.04691665717698691	4.548003542524533e-10	4.976050934762136e-9	down
KEGG_MAPK_SIGNALING_PATHWAY	-0.028896637404907367	5.72151610557405e-10	5.912233309093186e-9	down
