pathway	P.Value	adj.P.Val
KEGG_WNT_SIGNALING_PATHWAY	1.9270113457526157e-95	3.584241103099865e-93
KEGG_MELANOGENESIS	5.73168782612714e-85	5.33046967829824e-83
KEGG_OOCYTE_MEIOSIS	1.7475365673267718e-78	1.0834726717425986e-76
KEGG_PENTOSE_PHOSPHATE_PATHWAY	9.598643276107497e-77	4.463369123389986e-75
KEGG_ABC_TRANSPORTERS	8.557575266543091e-76	3.18341799915403e-74
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1.592681689510703e-74	4.9373132374831793e-73
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.2879219063978256e-73	3.4221924941427937e-72
KEGG_BASE_EXCISION_REPAIR	2.571740826686999e-71	5.979297422047273e-70
KEGG_VIRAL_MYOCARDITIS	1.0960088480274288e-70	2.2650849525900196e-69
KEGG_PARKINSONS_DISEASE	1.4215588346516811e-70	2.644099432452127e-69
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.1336020768957196e-69	1.9168180572963986e-68
KEGG_PEROXISOME	3.065954184402773e-69	4.752228985824298e-68
KEGG_PROTEASOME	5.782127637672896e-69	8.272890312362759e-68
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.5428418078741296e-68	2.049775544747058e-67
KEGG_O_GLYCAN_BIOSYNTHESIS	4.002350481385644e-68	4.962914596918199e-67
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1.1276289482633708e-67	1.3108686523561685e-66
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	1.9762191191717432e-67	2.1622162127408484e-66
KEGG_ASTHMA	2.0913879676665478e-66	2.1611008999220994e-65
KEGG_GNRH_SIGNALING_PATHWAY	1.0145077570949596e-65	9.93149699050855e-65
KEGG_CELL_ADHESION_MOLECULES_CAMS	6.351542398390093e-65	5.906934430502787e-64
KEGG_DILATED_CARDIOMYOPATHY	1.298962813606875e-64	1.1505099206232322e-63
KEGG_ADHERENS_JUNCTION	2.1049322813489344e-63	1.7796245651404628e-62
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	3.7850123151242447e-63	3.0609230026656938e-62
KEGG_VEGF_SIGNALING_PATHWAY	3.556920767660298e-62	2.7457992310167028e-61
KEGG_PYRIMIDINE_METABOLISM	3.6905903642697614e-62	2.7457992310167028e-61
KEGG_NOTCH_SIGNALING_PATHWAY	1.7304767549900146e-61	1.2379564478005489e-60
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1.8275344449275978e-61	1.2589681731723453e-60
KEGG_BASAL_TRANSCRIPTION_FACTORS	2.775631846270706e-60	1.843812583594112e-59
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	2.5570530062371815e-59	1.6400408936555716e-58
KEGG_ETHER_LIPID_METABOLISM	9.390955510095232e-58	5.822392416259044e-57
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	5.020748298635878e-55	3.0124489791815265e-54
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1.2634431803169056e-54	7.343763485592013e-54
KEGG_ARGININE_AND_PROLINE_METABOLISM	5.46788804171236e-54	3.081900532601512e-53
KEGG_ECM_RECEPTOR_INTERACTION	3.2217918533089283e-53	1.7625096609278254e-52
KEGG_STEROID_HORMONE_BIOSYNTHESIS	3.436081514282613e-53	1.8260318904473312e-52
KEGG_TYPE_II_DIABETES_MELLITUS	6.783804409959886e-53	3.426075274420602e-52
KEGG_OTHER_GLYCAN_DEGRADATION	6.815311029761412e-53	3.426075274420602e-52
KEGG_GLIOMA	8.429526115796625e-53	4.126031204047821e-52
KEGG_PRION_DISEASES	3.622369365767427e-52	1.692402445164716e-51
KEGG_LEISHMANIA_INFECTION	3.639575150891862e-52	1.692402445164716e-51
KEGG_CALCIUM_SIGNALING_PATHWAY	2.372523496261887e-51	1.0763155373285632e-50
KEGG_ALLOGRAFT_REJECTION	2.994234079009826e-51	1.3260179492757801e-50
KEGG_MTOR_SIGNALING_PATHWAY	6.999537980294711e-51	3.0277071263600375e-50
KEGG_TGF_BETA_SIGNALING_PATHWAY	2.856365114269469e-49	1.2074634346684574e-48
KEGG_ENDOMETRIAL_CANCER	1.514075524956542e-48	6.258178836487042e-48
KEGG_MAPK_SIGNALING_PATHWAY	3.03259622144907e-48	1.2108328094684203e-47
KEGG_LONG_TERM_DEPRESSION	3.0596312927427827e-48	1.2108328094684203e-47
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	9.779036492113968e-48	3.7893766406941623e-47
KEGG_TIGHT_JUNCTION	7.118650637220059e-47	2.7021816704549613e-46
KEGG_HISTIDINE_METABOLISM	1.3227410657125655e-46	4.920596764450744e-46
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	2.4315889142680317e-46	8.868147804977527e-46
